GEN.1.1	Kuwaripatjara mulapa Godalu ilkaṟi munu manta palyaṉu uwankara wiyangka. 
GEN.1.2	Palu manta uwankara uḻṯu ngaṟangi, ka uṟu kutju tjiwariwari ngaringi puḻka mulapa, ka mungawaḻuṟungku tjutuningi. Ka Godaku kurunpa para-ngaṟangi uṟungka katuwanu. 
GEN.1.3	Palulanguṟu Godalu wangkangu, “Kaḻaḻari!” Ka kaḻaḻaringu. 
GEN.1.4	Ka kaḻaḻarinyangka nyakula Godanya pukuḻaringu wiṟu mulapa ngaṟanyangka. Munu paluṟu mungawaḻuṟu munu kaḻaḻa tiṯutiṯuṉu, 
GEN.1.5	munu ininu “Munga”, munu “Kaḻaḻa”. Ka kaḻaḻa ngaṟala mungartjirira mungaringkula piṟuku ngalya-tjiṉṯuringu.
GEN.1.6+GEN.1.7	Ka Godalu piṟuku wangkangu, “Uṟu pala tjara-tjarariwa munu katu tjaṟu ngarima ka nguṟurpa aḻa puḻka ngaṟama.” Ka paluṟu wangkanyangka mulapaṯu tjararingu, panya Godalu wangkangku uṟu tjaraṉu munu katu tjaṟu ngarinytjaku wangkangu munu nguṟurpa aḻa puḻka ngaṟanytjaku. 
GEN.1.8	Munu tjaraṟa wiyaringkula paluṟu aḻa panya nguṟurpa ngaṟanytja ininu “Ilkaṟi.” Ka tjiṉṯu nyanga kutjaritja mungartjirira mungaringkula ngalya-tjiṉṯuringu.
GEN.1.9	Ka Godalu wangkangu, “Uṟu pala puḻka tjaṟu ngarinytja ma-kitikitiriwa ka manta utiriwa.” Ka mulapaṯu alatjiringu Godalu wangkanyangka. 
GEN.1.10	Ka manta utiringkunyangka Godalu ininu “Manta”, munu paluṟu uṟu kitikitiringkula ngarinyangka ininu “Uṟu Puḻkanya”. Munu paluṟu pukuḻaringu wiṟu mulapa ngaṟanyangka. 
GEN.1.11+GEN.1.12	Munu palulanguṟu wangkangu, “Mantangka ukiṟi tjuṯariwa munu puṉu kutjupa kutjupa tjuṯa kuḻu pakala, puṉu uṉinypatjara munu puṉu maitjara tjuṯa kuḻu uṉinypa walytjatjara walytjatjara.” Ka mulapaṯu pakaṉu ukiṟi puṉu kutjupa kutjupa tjuṯa mulapa uṉinypa walytjatjara uwankara. Ka Godanya nyakula pukuḻaringu wiṟu mulapa ngaṟanyangka. 
GEN.1.13	Ka tjiṉṯu nyanga maṉkuritja mungartjirira mungaringkula ngalya-tjiṉṯuringu.
