MAT.1.1	Baa arrittiaa Yeesu Krĩstõ halaangatõõ cĩ habu Daavide
MAT.1.2	Baa ĩĩn Abũrahamĩ maaꞌnyĩ Iꞌthaako,
MAT.1.2	nẽ ĩĩ Iꞌthaako maaꞌnyĩ Yakobo.
MAT.1.2	Nẽ ĩĩ Yakobo maaꞌnyĩ ꞌJuuda hĩ ꞌgõtõõnõgĩ.
MAT.1.3	Ma ho, ikia ittira ꞌJuuda Pẽrẽth hĩ ꞌThẽẽra, ꞌcĩg baag haĩ aattĩnĩĩng Tamar,
MAT.1.3	baa ĩĩn Pẽrẽthĩ maaꞌnyĩ Hethoronĩ,
MAT.1.3	nẽ ĩĩ Hethoronĩ maaꞌnyĩ Ramĩ, 
MAT.1.4	nẽ baa ĩĩn Ramĩ maaꞌnyĩ Ammĩnadabĩ,
MAT.1.4	nẽ ĩĩ Ammĩnadabĩ maaꞌnyĩ Nahathõnĩ,
MAT.1.4	nẽ ĩĩ Nahathõnĩ maaꞌnyĩ ꞌThalmõnĩ,
MAT.1.5	nẽ ĩĩ ꞌThalmõnĩ maaꞌnyĩ ꞌBõathĩ,
MAT.1.5	ꞌcĩ baa haĩ aattĩnnĩ Rahab. Baa ĩĩn ꞌBõathĩ maaꞌnyĩ Obeede ꞌcĩ baa haĩ aattĩnnĩ ꞌRuuth,
MAT.1.5	nẽ Obeede baa ĩĩn maaꞌnyĩ ꞌJeeꞌthe.
MAT.1.6	Baa ĩĩn ꞌJeeꞌthe maaꞌnyĩ habu Daavide.
MAT.1.6	Nẽ baa ĩĩn Daavide maaꞌnyĩ ꞌThõlõmõõnẽ, ꞌcĩ baa ĩĩn ngaannia ngaa cĩ eet ꞌcĩ haĩ Uria.
MAT.1.7	Nẽ baa ikia ittira ꞌThõlõmõõnẽ ngeerĩnĩ ꞌcĩ haĩ Rehoboam,
MAT.1.7	ꞌcĩ baa ĩĩn maaꞌnyĩ Abija.
MAT.1.7	Nẽ ittira Abija ngeerĩnĩ ꞌcĩ haĩ Atha
MAT.1.8	ikia tarĩ ittira Atha ngeerĩnĩ ꞌcĩ haĩ ꞌJehothavat,
MAT.1.8	nẽ ꞌJehothavatĩ ĩĩn maaꞌnyĩ ꞌJehoramĩ.
MAT.1.8	Ma nĩngaata ittira ꞌJehoramĩ ngeerĩnĩ ꞌcĩ haĩ Uthia,
