MAT.1.1	Ã ndei Jesucristo i ñiinda ã. David rei ei tuchɨ. Abraham abe no.
MAT.1.2	Abraham ndei Isaac ndu. Isaac ndei Jacob ndu no. Jacob ndei Judá ru no. Judá nongue abe ru. 
MAT.1.3	Judá rei Fares ndu. Zara ru abe no. (Tamar rei ũquɨ̃si.) Fares ndei Esrom ndu. Esrom ndei Aram ndu. 
MAT.1.4	Aram ndei Aminadab ndu. Aminadab ndei Naasón ndu. Naasón ndei Salmón ndu. 
MAT.1.5	Salmón ndei Booz ndu. (Rahab ndei esi.) Booz ndei Obed ndu. (Rut rei esi.) Obed ndei Isaí ru. 
MAT.1.6	Isaí rei David ndu. David ndei ererecua. David ndei Salomón ndu. (Urías ninisi rei esi.) 
MAT.1.7	Salomón ndei Roboam ndu. Roboam ndei Abías ru. Abías rei Asa ru. 
MAT.1.8	Asa rei Josafat ndu. Josafat ndei Joram ndu. Joram ndei Uzías ru. 
MAT.1.9	Uzías rei Jotam ndu. Jotam ndei Acaz ru. Acaz rei Ezequías ru. 
MAT.1.10	Ezequías rei Manasés ru. Manasés rei Amón ndu. Amón ndei Josías ru. 
MAT.1.11	Josías rei Jeconías ru. Jeconías nongue abe ru. Ũquɨ̃ ngue siqui abae judíos rerao mose Babilóniaa nda.
MAT.1.12	Jeconías rei Salatiel ndu no. Salatiel ndei Zorobabel ndu. 
MAT.1.13	Zorobabel ndei Abiud ndu. Abiud ndei Eliaquim ndu. Eliaquim ndei Azor ndu. 
MAT.1.14	Azor ndei Sadoc ndu. Sadoc ndei Aquim ndu. Aquim ndei Eliud ndu. 
MAT.1.15	Eliud ndei Eleazar ndu. Eleazar ndei Matán ndu. Matán ndei Jacob ndu. 
MAT.1.16	Jacob ndei José ru. José quia María quereco nguiã. María rei Jesús si. Cristo, ɨ equia ee.
MAT.1.17	Nyebe cator ce generaciones jaaja. Sã Abraham nane siqui no. David siqui mose, catorce generaciones cote. Abae judíos rerao mose Babilóniaa, catorce que aque abe mose cote ra. Cristo nyaacuquia mose que catorce aque mose cot e no nda.
MAT.1.18	Jesucristo chaacuquia tasenei na jẽje. María rei esi. María que siquichõ ndei quia José ninisirã nda. Nyucuaaque ru eã ngue siqui rei ra. Nguiirĩ ngue eteachõ nguíe ye ra. Siquíã ndaque José rese. Espíritu Turã ae que eriirĩ mondo erie ye ra. 
MAT.1.19	José turãte que eriqui rei ra. Eɨreɨ̃te que eriqui mae María rio rese ra. —Seninisirã eã nda cote reae. Ahuɨ rei ra esɨ mbia mbiiranua ndeae, ɨ rei que ndua ndua uchɨ angui re ra. María siqui reɨ̃ nguia emo ndese ee reaẽ. 
MAT.1.20	José que ndua ndua quia erese ra. Ndua ndua mose que ángel mo ndu eque re cuu ra. Angel que ñee ee ra. —David riirĩ ño nde re. María eisi turã ño neninisirã. ¡Ndeɨreɨ̃ ngũíã ño jẽ! Emo ngue siqui ãte quia erese ra. Espíritu Turã ae que eriirĩ mondo erie ye ra. 
MAT.1.21	Nguiirĩ nda etea. “Jesús” ere chõ eriirĩ je. Ae quia ra mbia sirõ tuchɨ eɨcuã sɨ, ɨ que ángel ñee José je cuu ra. 
MAT.1.22	Eɨ̃ nda Dios cheẽ ɨo cote. Ae Dios cheẽ mbuchecuasa mbesa cose nae, ũquɨ̃ nda ɨo cote. Ã ndei embesa ji ã:
MAT.1.23	¡Sã jẽ! Nyucuaaque ruã nda nguiirĩ tea.
MAT.1.23	Emanuel, ɨ ra eriirĩ je.
MAT.1.23	Dios riqui nanderese co, ɨ ñɨ Emanuel nde, ɨ que embesa ji cose ra.
MAT.1.24	José que ñumumba cote ra. Angel cheẽ nduɨ sɨ que María rerequia turã cote ra. 
MAT.1.25	José que siqui eã mbeɨ erese ra. Nguiirĩ ndea chee. Jesús ɨ que José eriirĩ je ra.
MAT.2.1	Jesús que nyaacuquia Belén nda. Judea, ɨ que hue ibi je ra. Herodes rei hue jenda mbia rerecua Jesús nyaacuquia mose. Mbia aquiatu mo ngue ngaẽ huee ra. Tenda semba sɨ que ecuaẽ Jerusalén nda. 
MAT.2.2	Ũquɨ̃ ngue ñee ngaẽ judíos je ra. —¿Mangue judíos rerecua mangue re? Ae nyaacuquia ramo nae ¿mangue mangue re? Uremae ngue nyasitata embae rese ra. Ureɨco mose ure récuaa. Nyebe urechu nguiã erea co. Urecoi rã urenia ndese ñee ee. ¿Ma eriqui ma nde? ɨ que mbia aquiatu ñee judíos je ra. 
MAT.2.3	Herodes que jirandu erese ra. “Judíos rerecua nyaacuquia” ɨ mose, Herodes que pare pare ɨ tuchɨ quia ra. Siqui turã eã cote. Jerusalén jenda abe que ndua ndua jate quia erese ra. 
MAT.2.4	Herodes que “jenyu” ɨ sacerdote rerecua ja je ra. Embesasa ja je abe que “jenyu” ɨ ra. —¿Mangue ra Cristo nyaacuquia mangue re? “Hue ra nyaacuquia” ¿ɨ embesa ji re? ɨ que Herodes ñee ee ra. 
MAT.2.5	Ũquɨ̃ ngue ñee Herodes je ra. —Nyaacuquia ra Belén de Judea. Ɨ que embesa ji ra:
MAT.2.6	Sucha ñetẽ tuchɨ rei Belén.
MAT.2.6	Belén de Judea.
MAT.2.6	Mbia chɨɨcua tuchɨ ra Belén cote.
MAT.2.6	Hue jenda mo nda mbia rerecuarã tuchɨ cote.
MAT.2.6	Ae ra serimba Israel jenda teaquiatu tuchɨ quia cote,
MAT.2.6	ɨ que Dios cheẽ embesa ji ra, ɨ que sacerdotes ñee Herodes je ra.
MAT.2.7	Nyebe Herodes “jenyu” ɨ nguiã ũquɨ̃ mbia aquiatu je. Ñee ngue ũquɨ̃ ísaa ra. —¿Manosete nyasitata embae rese jemae nde? ɨ que ñee ee ra. 
MAT.2.8	Herodes que ũquɨ̃ mbia aquiatu mondochoɨ Belén cote ra. —Jẽso Belén. Nyaacuquia ramo je rese jẽirandu tuchɨ. Jẽ erea mose, sembiirandu se. Ɨ̃ nda se abe aso mae erese. Ɨ̃ nda acoi senia ndese se abe ñee ee, ɨ rei que Herodes ñee ee ra. 
MAT.2.9	Mbia aquiatu que nyoɨ cote ra. Ae nyasitata rese eriqui mae nyii nae, aque nyasitata que oso beɨ quia mbia rẽta ra. Tiba que ee Belén arõ cote ra. 
MAT.2.10	Nyebe mbia aquiatu ia tuchɨ nguiã mae mose nyasitata tiba rese cote. 
MAT.2.11	Mbia aquiatu que ɨque tuchúaa cote ra. Huee que ãquẽ ɨtãquieɨ̃ ndiqui ee cote ra. Usi rese. María, ɨ equia ee. Ngoi que ngũíã ndese eɨtãquieɨ̃ je cote ra. Ñee turã ngue ee ra. Mbae que esirõ mondo Jesús je cote ra. Oro. Mbae mbushɨmbusa abe no. Mirra abe no. 
MAT.2.12	Dios que ñee mbia aquiatu je cote ra. —Jẽsochɨ̃ nda ñee Herodes mbiirandu jẽ, ɨ que Dios ñee ee cuu ra. Nyebe echoɨ nguiã Herodes abi nguécuaa.
MAT.2.13	Aquere que Dio s ángel mo mondo ñee José je ra. Ñee ngue ee cuu ra. —Herodes ra eɨtãquieɨ̃ sequia sequia. Ɨquia serɨ̃te equia co. Jẽso uchã. Ãquẽ jendao sunuña Egíptoo. Esi rese. Huee jẽɨngochõ. Acheẽ jee ra ndeje huee, ɨ que Dios ñee José je ra. 
MAT.2.14	José que ñumumba juã cote ra. Ãquẽ ngue ecuruchoɨ isa usi rese ra. Nyoɨ que Egipto quiti ra. 
MAT.2.15	Chɨ arete que Egíptoo ra. Ererecua Herodes que mano cote ra. Dios cheẽ ngue ɨque cote ra. Eɨ̃ ngue Dios cheẽ embesa ji ra:
MAT.2.15	Seriirĩ ngue aru Egipto sɨ ra,
MAT.2.15	ɨ que embesa ji ra.
MAT.2.16	Herodes que paama ɨ tuchɨ cote ra. —Mbia aquiatu sembɨɨrɨ̃ ɨrɨ̃ ñochɨ̃. Nyebiã ñochɨ̃ ecuaẽ ñee seje, ɨ que ra. Nyebe que soldados mondo mbia riirĩ nacuẽ ɨquia ja cote ra. Ãquẽ ɨtãquieɨ̃ ngu e eɨquia ɨquia ja quia Belén jenda ra. Hue rurubinda ja abe no. Ngata ramo je abe ɨquia ja. Nyasitata nyecua quia mbia je nae, aque mosenda ãquẽ ɨtãquieɨ̃ ɨquia ja. 
MAT.2.17	Herodes ũquɨ̃ ɨquia mose que Dios cheẽ ɨque cote ra. Ae Jeremías mbesa quia:
MAT.2.18	Mbia Ramá jenda nyeseo tuchɨ.
MAT.2.18	Eya eã tuchɨ nguiirĩ ndese.
MAT.2.18	Emo embia aroneãte.
MAT.2.18	Eriirĩ nguia mano jate nguiã ee, ɨ que embesa ji ra.
MAT.2.19	José chɨ mose Egipto que Herodes mano nyee ra. Nyebe Dios ángel mo mondo nguiã ñe e José je. 
MAT.2.20	—José, echumumba rã. Jẽso Israel cote. Ãquẽ abe erao. Esi rese. Ae ãquẽ ɨquia serɨ̃te quia nae, ũquɨ̃ ngue mano cote ra, ɨ que ángel ñee José je cuu ra. 
MAT.2.21	José que ñumumba cote ra. Nyoɨ que nyebi Israel quiti cote ra. Ãquẽ ngue equerao esi rese ra. 
MAT.2.22	Herodes riirĩ ngue siqui Judea jenda rerecuarã cote ra. Arquelao, ɨ que ee ra. José jirandu mose erese que esiquiche cote ra. Oso sereãte que huee cote ra. Dios que ñee ee cuu ra. Nyebe esɨ nguiã Galilea cote. 
MAT.2.23	Sucha tubɨrɨã mo ngue chɨ Galiléaa ra. Nazaret, ɨ que hue je ra. José que nyoɨ beɨ hue, hue jendarã cote ra. Nyebe Dios cheẽ mbesa ji ɨque nguiã cote. Ɨ̃ ngue Dios cheẽ nda: Nazaret jenda ra Jesús, ɨ que Dios cheẽ nda.
MAT.3.1	Emo mose que Juan el Bautista Dios cheẽ nenei nenei mbia je cote ra. Dios cheẽ ngue esenei senei nguia mbia je turúquiaa ra. 
