GEN.1.4	Tsî Elob ge ge mû, ǃnâb a ǃgâi ǃkhaisa; tsî Elob ge ǀgorasa ǃnâb tsî ǃkhaenab tsîkha ǁaegu ge dī.
GEN.1.5	Tsî Elob ge ǃnâba tsēb ti ge ǂgai, tsî ǃkhaenabab ge tsuxub ti ge ǂgai. ǃNubai i ge ǃui ge i tsî i ge ǁgoa ge i; ǂguro tsēs.
GEN.1.6	Ob ge Eloba ge mî: ǃĀǂuisaba ab hâ ǁgamgu ǁaegu, îb ǁîba ǀgorasa dī, ǁgamgu tsî ǁgamgu ǁaegu.
GEN.1.8	Tsî Elob ge ǃāǂuisaba ǀhommi ti ge ǂgai. ǃNubai i ge ǃui ge i tsî i ge ǁgoa ge i; ǀgamǁî tsēs.
GEN.1.10	Tsî Elob ge ǂnâsaba ǃhūb ti ge ǂgai, tsî ǁgamgu ǀhaosab ge hurib ti ge ǂgai. Tsî Elob ge ge mû ǃgâi i a ǃkhaisa.
GEN.1.11	Ob ge Eloba ge mî: Ab ǃhūba ūǀkhī, ǀgân tsî ǁhaon ǃkhomna ra tsoron tsî ǂûtani ra hain, ǁîn di ǃnôab ai ra ǂûtanin, ǃkhommi âna ǁîn ǃnâ ūhâna ǃhūbaib ai! Tsî i ge ǁnāti ge ī.
GEN.1.12	Ob ge ǃhūba ge ūǀkhī ǀgân tsî ǁhaon, ǃkhomna ra tsorona ǁîn di ǃnôab ai tsî ǂûtani ra hain, ǃkhomna ǁîn ǃnâ ūhâna ǁîn di ǃnôab ai. Tsî Elob ge ge mû, ǃgâi i a ǃkhaisa.
GEN.1.13	ǃNubai i ge ǃui ge i, tsî i ge ǁgoa ge i; ǃnonaǁî tsēs.
GEN.1.14	Ob ge Eloba ge mî: An ǃnâna hâ ǀhommi di ǃāǂuisab tawa, ǀgorasan nî dīse tsēs tsî tsuxub tsîra ǁaegu; saosen nî īse kamagu tsî tsēdi tsî kurigu tsîn dise,
GEN.1.15	ǃnân nîse ǀhommi di ǃāǂuisab ai, ǃhūbaiban nî ǃnâǃnâse. Tsî i ge ǁnāti ge ī.
GEN.1.17	Tsî Elob ge ǁîna ǃāǂuisab ǀhommi dib ai ge ǂnûi, ǃhūbaiban nî ǃnâǃnâse,
GEN.1.19	ǃNubai i ge ǃui ge i tsî i ge ǁgoa ge i, hakaǁî tsēs.
GEN.1.20	Ob ge Eloba ge mî: A gu ǁgamga ǃnāǂamsase ūǀkhī gons ûitsama ǀomdi disa, în anina doe ǃhūbaib ǂamǃnâ ǀhommi di ǃāǂuisab ǃnâ!
GEN.1.21	Tsî Elob ge kai ǂkharaga ge dī tsî ûitsama gon ra ǀoms hoas, ǁgamgu ge ǃnāǂamsase ūǀkhīsa ǁîs di ǃnôab ǃoa, tsî ǁgaboxa anin hoana ǁîn di ǃnôaba ǃoa. Tsî Elob ge ge mû ǃgâi i a ǃkhaisa.
GEN.1.23	ǃNubai i ge ǃui ge i tsî i ge ǁgoa ge i; koroǁî tsēs.
GEN.1.24	Ob ge Eloba ge mî: Ab ǃhūba ūǀkhī ûitsama ǀomde ǁîdi di ǃnôaba ǃoa, tsî ǂhanaben tsî ǀgurun ǃhūbaib din tsîna ǁîn di ǃnôaba ǃoa! Tsî i ge ǁnāti ge ī.
GEN.1.25	Tsî Elob ge ǀgurun ǃhūbaib dina ge dī, ǁîn di ǃnôaba ǃoa, tsî ǀgoana ǁîn di ǃnôaba ǃoa, tsî ǂhanaben ǃhūbaib din hoana ǁîn di ǃnôaba ǃoa. Tsî Elob ge ge mû, ǃgâi i a ǃkhaisa.
GEN.1.30	Xawe mâ ǀguru-i ǃhūbaib di-i hoa-i tsî mâ ani-i ǀhommi di-i hoa-i tsî mâ ǂhanabe-i ǃhūb ai ra ǂhana-i, ûitsama ǀoms hâǃnâ-i, ǁî-e ta ge tita ǃam ǁhaona ǂûse ge mā. Tsî i ge ǁnāti ge ī.
GEN.2.4	Nēdi ge ǃnaeǃkhaidi ǀhommi tsî ǃhūbaib tsîkha dide, ǁîkha ge kuruheo, ǁnā tsēs ǃKhūb Elob ge ǁîs ai ǃhūbaib tsî ǀhommi tsîkha dīs ai,
GEN.2.5	tsî mâ hai-i ǃaub di-i hoa-i ǃhūb ǃnâ i gorose hâ tama hîa, tsî mâ ǁhao-i ǃaub di-i hoa-i ganupe i ǀkhī tama hâ hîa; ǃKhūb Elob ge ǃhūbaib ai ǀapi kai tama ge i, tsî khoe-i ge ǀkhai i ǃhūba ga sîsen hâ i-e xui-ao.
GEN.2.6	Xawe ǃnū-i ge ǃhūba xu ǀkhī tsî ǃhūbaib hoaragaba ge ǀâǀâ.
GEN.2.8	Tsîb ge ǃKhūb Eloba ǁkhāti ǃhanaba ge ǂgā, Edenni ǃnâ aiǂoas ǀkhāb ai, tsîb ge ǁîba khoeba ǁnāpa ge ǂnûi, ǁîb ge ǂnubiba.
GEN.2.10	Tsî ǃāb ge Edenna xu ge dâuǂoaxa, ǁnā ǃhanabab nî ǀâǀâga; tsîb ge ǁnāpa ǀgora tsî ge haka danaǃā kai.
GEN.2.11	ǂGuro ǃāb ge Pisonni ti ǀon hâ; nēb ge ǁnāb, Havilaǃhūb hoaragaba ra dâuǂnamipeb, ǃhuniǀurib hâǃnâba.
GEN.2.12	Tsî ǃhuniǀurib ǁnā ǃhūb dib ge a ǃgâi; tsî ǁnāpas ge ǁkhāti bedolas tsî ǀuis sardoniks ti ra ǂgaihesa hâ.
GEN.2.13	Tsî ǀgamǁî ǃāb ge Gihonni ti ǀon hâ; nē ǃāb ge hoaraga ǃhūb Kus diba ra dâuǂnami.
GEN.2.14	Tsî ǃnonaǁî ǃāb ge Tigris ti ǀon hâ; nēb ge ǁnāb, Asiriaba xu aiǂoasǀî ra dâuba. Tsî hakaǁî ǃāb ge Eufrata.
GEN.2.15	Tsî ǃKhūb Elob ge khoeba ū tsî Edenǃhanab ǃnâ ge ǂnûi, ǁîbab nî sîsense tsî ǁîbab nî ǃûise.
GEN.2.16	Tsî ǃKhūb Elob ge khoeba mîmā tsî ge mî: Mâ hai-i ǃhanab di-i hoa-i xats ge ǃnorasase a ǂû ǁkhā;
GEN.2.19	ǃKhūb Elob ge ǃhūba xu ǀgurun ǃaub din hoan tsî anin ǀhommi din hoana ǂnubi tsî ǁîna Adammi ǃoa ge ūhā, mûb nîga, matib nî ǁîna ǀonǂgaisa; tsî Adammi ge ûitsama ǀoms hoasa ǂgai khami, ǁnātin nî ǂgaihe xui-ao.
GEN.2.20	Nētib ge Adamma ǀonde mâ ǀgoa-i hoa-i tsî mâ ani-i ǀhommi di-i hoa-i tsî mâ ǀguru-i ǃaub di-i hoa-e ge mā; xawe khoeb ge hui-aosa hōbahe tama ge hâ i, ǁîb ǂnamipe nî hâsa.
GEN.2.23	ǃNubaib ge Adamma ge mî: Nēs ge a nē ǃnās ai ti ǂkhōgu di ǂkhō tsî ti ǁgans di ǁgan, tsîs ge khoes ti nî ǂgaihe, khoeba xus ūhe hâ amaga.
GEN.2.25	Tsî ra ge ǁîǀgamra ǀōǀkhā ge hâ i, Adammi tsî taras âb tsîra, xawe ra ge tao tama ge hâ i.
GEN.3.5	xawe Elob ge a ǂan, ǁîs xa ro ga ǂû tsēsa xu di saro di mûde nî khowahe ǃkhaisa, o ro ge Elob ǁkhāb khami nî ī, tsî ro ge nî ǂan mâ-i a ǃgâi tsî mâ-i a ǂkhaba ǃkhaisa.
GEN.3.8	Tsî ra ge ǃKhūb Elob di domma ge ǁnâu, ǃhanab ǃnâ ra ǃgûmaba tsēs di ǂoab ǃnâ. Ob ge Adamma ǁîb di taras ǀkha ǃKhūb Elob di aisa xu ge gaugausen ǃhanab di haidi ǁaegu.
GEN.3.9	Ob ge ǃKhūb Eloba Adamma ǂgai tsî ǁîb ǃoa: Mapats hâ? ti ge mî.
GEN.3.10	Ob ge ge mî: Sa domma ta go ǃhanab ǃnâ ǁnâu, o ta go ǃao, ǀōǀkhāse ta hâ xui-ao; ǁnā-amaga ta ge go gau.
GEN.3.11	Ob ge Eloba ge mî: Tari-e go ǂanǂan tsi, ǀōǀkhāts a ǃkhaisa? ǂÛ tamats xare hâ ǁnā hais, ǃkhâi tsi ta ges tsî ǁîs xats ǂû tide ti ta ge mîs xa?
GEN.3.12	Ob ge Adamma ge mî: ǁNā taras sats ge mā tes ge hais xa go mā te, o ta ge go ǂû.
GEN.3.18	tsîb ge ǁkhāti ǁkhūn tsî ǀgamen tsîna nîra ūǀkhība tsi, tsîts ge ǁhaon ǃhūb dina nîra ǂû.
GEN.3.20	Ob ge Adamma taras âba Evas ti ge ǂgai, ûitsaman hoan di îs a amaga.
GEN.3.21	Tsîb ge ǃKhūb Eloba Adammi tsî taras âb tsîra khōsarana dība tsî ǁîna ǁîra ge ana.
GEN.3.23	amagab ge Eloba ǃhanab Edens diba xu ge sîǂui bi, ǃhūbab nî sîsense, ǁîba xub ge ūheba.
GEN.4.1	Tsî Adammi ge Evas taras âba ge ǂan, os ge ǀgamǀkhā tsî Kainna ǁora tsî ge mî: Tita ge ao-e go hō ǃKhūba xu.
GEN.4.2	Tsîs ge ǃaruǀî ǃgâsab âb Abela ge ǁora; tsî Abeli ge ge gūǃûi-ao kai tsî Kainni ge ge ǃhanasîsenao kai.
GEN.4.3	Tsî i ge ǁae-i khaoǃgâ ge ǃnae, ob ge Kainna ǃKhūba ǃhūb di ǂûn xa ǁguiba-e ge ǁguiba.
GEN.4.5	xawe Kainni tsî ǁguibas âbab ge kōǀî tama ge i. ǃNubaib ge Kainna kaise ge ǁaixa tsî ais âb di īsib ge ge ǀkhara.
GEN.4.6	Ob ge ǃKhūba Kainni ǃoa ge mî: Tare xū-i ǃaromats kha go ǁaixa? Tsî tare xū-i ǃaromab kha sa ais di īsiba go ǀkhara?
GEN.4.9	Ob ge ǃKhūba Kainni ǃoa ge mî: Mapab Abeli sa ǃgâsaba hâ? Ob ge ge mî: ǀŪ ta a; ti ǃgâsab di ǃûi-aota kha ǁnâi tita?
GEN.4.11	Tsî nēsi ǀâxarexūhe hâsets ge nîra hâ satsa ǃhūbaib, ǁîb di amsa khowa tsî go sa ǃgâsab di ǀaoba sa ǃomǁaeba xu ǃkhōǃoab ai.
GEN.4.12	ǃHūbats kara sîseno, ob ge ǃaruǀî ǁîb di ǁkhāsiba mā tsi tide. ǀHâioǃnâ tsî ǁhapuma rasets ge satsa ǃhūbaib ai nîra hâ.
GEN.4.13	Ob ge Kainna ǃKhūb ǃoa ge mî: Ti ǁoreb ge ǀûbahe bi ta nîs ǂamai a kai.
GEN.4.15	Xaweb ge ǃKhūba ǁîb ǃoa ge mî: ǁNāti tama; Kainna kara ǃgam-i hoa-i ge hû ǃnādi kōse nîra ǀkhaohe. Ob ge ǃKhūba sao-e ge ǂnûi Kainni tawa, hō bi kara khoe-i hoa-i ǃgam bi tidega.
GEN.4.16	Ob ge Kainna ǃKhūb di aisa xu ge ǃgûǂoa, tsîb ge Nodǃhūb ǃnâ sī ge ǁan Edens aiǂoas ǃnâ.
GEN.4.17	Tsî Kainni ge taras âba ge ǂan, os ge ǀgamǀkhā tsî Henoxa ge ǁora; tsîb ge ǃāsa ǂnubi tsî ǁnā ǃāsa ǁîb ôab Henoxi di ǀons ǃoa ge ǂgai.
GEN.4.18	Tsî Henoxi ge Irada ge ǁorabahe; tsî Iradi ge Mehujaela ge hō; tsî Mehujaeli ge Metusaela ge hō; tsî Metusaeli ge Lamexa ge hō.
GEN.4.19	Tsî Lamexi ge ǀgam tarara ge ū. ǂGuros ge Adas ti ge ǀon hâ i tsî naus ge Silas ti ge ǀon hâ i.
GEN.4.20	Tsî Adas ge Jabala ge ǁora. Nēb ge tentomdi ǃnâ ǁan hân di îba tsî ǀgoaǂgari-aon diba.
GEN.4.21	Tsî ǃgâsab âb ge Jubali ti ge ǀon hâ i. Nēb ge harps tsî ǂāǀkhōxūn ǀkha ra ǀkhōn hoan di îba.
GEN.4.22	Tsî Silas ge ǁkhāti Tubal-Kainna ge ǁora, ǂaib tsî ǂnūǀuriba ra sîsenūn hoan di ǁgauǃnâ-aoba; tsî ǃgâsas Tubal-Kainni dis ge Naamasa ge i.
GEN.4.24	Kainni ge hû ǃnādi kōse nîra ǀkhaohe xui-ao, xawe Lamexa hûdisi ǃnādi di hû ǃnādi kōse.
GEN.4.25	Tsî Adammi ge taras âba ǁkhawa ge ǂan, os ge ǀgôaba ge ǁora, tsîs ge ǀons âba Set, ti ge ǂgai. Elob ge tita Abeli ǃās ǃnâ ǀnî ǃkhomma go mâiba tis ge ge mî, Kainni ge ǁîba ǂnauǃan xui-ao.
GEN.5.2	Aob tsî taras tsîra aseb ge ǁîra kuru tsî ge ǀkhae ra, tsîb ge ǁîra ǀonsa khoe ti ge ǂgai, ǁîra ge kuruhe tsēs ai.
GEN.5.4	Tsî Adammi di tsēdi ge Setab ge hō hâ is khaoǃgâ ǁkhaisakaidisi kuri ge i; tsîb ge ǀgôagu tsî ǀgôadi tsîna ge hō.
GEN.5.5	O di ge tsēdi Adammi ûib didi hoade khoesekaidisi tsî ǃnonadisi kuri ge i; tsîb ge ge ǁō.
GEN.5.6	Tsî Seti ge ǀguikaidisi tsî koro kuriga ûi tsî Enoba ge hō.
GEN.5.7	Tsî Seti ge Enobab ge hō hâ is khaoǃgâ ǁkhaisakaidisi tsî hû kuriga ge ûi, tsîb ge ǀgôagu tsî ǀgôadi tsîna ge hō.
GEN.5.8	O di ge tsēdi Seti didi hoade khoesekaidisi tsî disiǀgamǀa kuri ge i; tsîb ge ge ǁō.
GEN.5.9	Tsî Enob ge khoesedisi kuriga ûi tsî Kenanna ge hō.
GEN.5.10	Tsî Enob ge Kenannab ge hō hâ is khaoǃgâ ǁkhaisakaidisi tsî disikoroǀa kuriga ge ûi, tsîb ge ǀgôagu tsî ǀgôadi tsîna ge hō.
GEN.5.11	O di ge tsēdi Enob didi hoade khoesekaidisi tsî koro kuri ge i, tsîb ge ge ǁō.
GEN.5.12	Tsî Kenanni ge hûdisi kuriga ûi tsî Mahalalela ge hō.
GEN.5.13	Tsî Kenanni ge Mahalalelab ge hō hâ is khaoǃgâ ǁkhaisakaidisi tsî hakadisi kuriga ge ûi; tsîb ge ǀgôagu tsî ǀgôadi tsîna ge hō.
GEN.5.14	O di ge tsēdi Kenanni didi hoade khoesekaidisi tsî disi kuri ge i; tsîb ge ge ǁō.
GEN.5.15	Tsî Mahalaleli ge ǃnanidisikoroǀa kuriga ûi tsî Jereda ge hō.
GEN.5.16	Tsî Mahalaleli ge Jeredab ge hō hâ is khaoǃgâ ǁkhaisakaidisi tsî ǃnonadisi kuriga ge ûi; tsîb ge ǀgôagu tsî ǀgôadi tsîna ge hō.
GEN.5.17	O di ge tsēdi Mahalaleli didi hoade ǁkhaisakaidisi tsî khoesedisikoroǀa kuri ge i; tsîb ge ge ǁō.
GEN.5.19	Tsî Jeredi ge Henoxab ge hō hâ is khaoǃgâ ǁkhaisakaidisi kuriga ge ûi, tsîb ge ǀgôagu tsî ǀgôadi tsîna ge hō.
GEN.5.20	O di ge tsēdi Jeredi didi hoade khoesekaidisi tsî ǃnanidisiǀgamǀa kuri ge i; tsîb ge ge ǁō.
GEN.5.21	Tsî Henoxi ge ǃnanidisikoroǀa kuriga ûi tsî Metuselaxa ge hō.
GEN.5.23	O di ge tsēdi Henoxi didi hoade ǃnonakaidisi tsî ǃnanidisikoroǀa kuri ge i.
GEN.5.25	Tsî Metuselaxi ge ǀguikaidisiǁkhaisadisihûǀa kuriga ûi tsî Lamexa ge hō.
GEN.5.26	Tsî Metuselaxi ge Lamexab ge hō hâ is khaoǃgâ hûkaidisiǁkhaisadisiǀgamǀa kuriga ge ûi; tsîb ge ǀgôagu tsî ǀgôadi tsîna ge hō.
GEN.5.27	O di ge tsēdi Metuselaxi didi hoade khoesekaidisiǃnanidisikhoeseǀa kuri ge i; tsîb ge ge ǁō.
GEN.5.28	Tsî Lamexi ge ǀguikaidisiǁkhaisadisiǀgamǀa kuriga ûi tsî ǀgôaba ge hō.
GEN.5.30	Tsî Lamexi ge Noaxab ge hō hâ is khaoǃgâ korokaidisikhoesedisikoroǀa kuriga ge ûi; tsîb ge ǀgôagu tsî ǀgôadi tsîna ge hō.
GEN.5.31	O di ge tsēdi Lamexi didi hoade hûkaidisihûdisihûǀa kuri ge i; tsîb ge ge ǁō.
GEN.6.1	Tsî i ge ge ī, khoen ge ǃhūbaib ai ǂguiǂguisentsoatsoa tsî ǀgôaden ge ǁorabahe
