MAT.1.1	Ŋwa'nyə nə ŋkhənyə Yeso Kristo mú David, mú Abraham.
MAT.1.2	Abraham lə tsə́ Isak,
MAT.1.2	Isak tsə́ Yakop,
MAT.1.2	Yakop tsə́ Yuda pu a mfɑ pyə́,
MAT.1.3	Yuda pu Tamar tsə́ Farɛs ba Zora,
MAT.1.3	Farɛs tsə́ Esrom,
MAT.1.3	Esrom tsə́ Aram,
MAT.1.4	Aram tsə́ Aminadab,
MAT.1.4	Aminadab tsə́ Nasoŋ,
MAT.1.4	Nasoŋ tsə́ Salmoŋ,
MAT.1.5	Salmoŋ pu Rahab tsə́ Boos,
MAT.1.5	Boos pu Rut tsə́ Obɛb,
MAT.1.5	Obɛb tsə́ Yese,
MAT.1.6	Yese tsə fo David,
MAT.1.6	David pu jwi Uria tsə́ Salomoŋ,
MAT.1.7	Salomoŋ tsə́ Roboam,
MAT.1.7	Roboam tsə́ Abia,
MAT.1.7	Abia tsə Asaf,
MAT.1.8	Asaf tsə Yosafat,
MAT.1.8	Yosafat tsə́ Yɔram,
MAT.1.8	Yɔram tsə Osia,
MAT.1.9	Osia tsə Yɔatam,
MAT.1.9	Yɔatam tsə́ Akaz,
MAT.1.9	Akaz tsə Ezekias,
MAT.1.10	Ezekias tsə́ Manase,
MAT.1.10	Manase tsə́ Amoŋ,
MAT.1.10	Amoŋ tsə́ Yozia,
MAT.1.11	Yozia tsə́ Yekonia pu a mfɑ pyə,
MAT.1.11	nə cwə yə pu lə lɑ pɑ Israɛl gɔ m Babilon a.
MAT.1.12	Pɑ Israɛl lə fɑ̌ Babilon,
MAT.1.12	Yekonia tsə Salatiɛl,
MAT.1.12	Salatiɛl tsə́ Zorobabɛl,
MAT.1.13	Zorobabɛl tsə́ Abiud,
MAT.1.13	Abiud tsə́ Eliakim,
MAT.1.13	Eliakim tsə Azɔr,
MAT.1.14	Azɔr tsə́ Sadɔk,
MAT.1.14	Sadɔk tsə́ Akim,
MAT.1.14	Akim tsə́ Eliud,
MAT.1.15	Eliud tsə́ Eleazar,
MAT.1.15	Eleazar tsə́ Matan,
MAT.1.15	Matan tsə́ Yakop,
MAT.1.16	Yakop tsə́ Yosɛp dhə́ Maria,
MAT.1.16	ma Yeso yə pu ŋkhe e gɑ Kristo a.
MAT.1.17	Guŋ Ŋkhənyə Yeso tə fɑ nə Abraham gɔ ŋkhəm nə David bɑ m zhəŋ shwɔppfʉə m gham; biŋ fɑ nə David gɔ ŋkhəm nə cwə Babilon bɑ m zhəŋ shwɔppfʉə m gham, fɑ nə cwə Babilon gɔ ŋkhəm nə Kristo bɑ mzhəŋ shwɔppfʉə mgham.
MAT.1.18	Pɑ yu' pa' pu lə tsə Yeso a. Yosɛp lə ko nə map e Maria. Da' gɑ́ pu e lə yɑtə wuŋ dɔmdyə, gʉ' Zhwenyə Dɔlɔ̌ ghə e pɑ tsʉ̌m. 
MAT.1.19	Yosɛp, dhə e yə e lə bɑ́ mo dəŋdəŋ, la' e pɑwə shəŋ nə lɑ sǒ ŋkhu Maria sɔsɔ̌ á, lə nyəŋ nə təm nə e pɑ́ m jʉmjʉ̀m. 
MAT.1.20	E lə sɛ nə ghə po'o, da'gɑ́ aŋgəle Cyəpɔ sɔ' bi e m nthʉm jʉ̀m gɔm bi e gɑ: Yosɛp mu David, kɑ pwɔk nə lɑ Maria jwi o la' o, nə pa' tsʉ̌m é fɑ m nə Zhwenyə Dɔlɔ̌ a. 
MAT.1.21	E nəŋ gɔ sɔ' tsə́ mú mbɛ, o ke é gɑ́ Yeso, nə pa' yʉ́ nə gɔ sɔ' vɔ́k pɔ pyə nə mhɔ máp a.
MAT.1.22	Guŋ mnwə bɔ lə nthəm po'o gɑ guŋ ywə yə Cyəpɔ lə cyə m nə gɔm ghɔm Si gɔm á a pəmtə gɑ:
MAT.1.23	Gò tə wuŋ jyə m bɛ gɔ sɔ' pɑ́ tsʉ́m,
MAT.1.23	tsə mú mbɛ, pú ke tsó tsyə́ gɑ Emanuɛl,
