GEN.1.1	Tɔɔzeizu mɔunpa GALA ge geeɠɔlɔgi ta zooi ɓɛtɛni. 
GEN.1.2	Kɛʋele ɠila ge la ɠɛni zooi ʋa, suɲakai ɠɛni de. Kpidii ʋɛɛni ziɛ wolai ɠa. GALA Zɛnvui ɠɛni leʋeteʋesu ziɛi ɠa.
GEN.1.3	GALA ge ɠɛni ma: «Wozakalagi ɠula.» Wozakalagi ma ge ɠula. 
GEN.1.4	GALA ge kaani ga wozakalagi ʋagɛ. GALA ge wozakalagi ta kpidii yeeɠaaɠwɛɛni. 
GEN.1.5	GALA ge wozakalagi laasei pɛɛni ga foloi, é kpidii laasei pɛɛ ga kuai. Kpidii ʋɛɛni, geelaalao: naa ɠɛni ga folo mɔungi.
GEN.1.6	GALA ge ɠɛni ma: «Zɔɠɔzu ɠɛ ziɛiti ba, é ziɛiti zeeɠaaɠwɛ ta ziɛiti.» 
GEN.1.7	GALA ge zɔɠɔzu ɠɛɛni ziɛiti ba, niiti ti bu ʋelei, ta niiti ti maazu ʋelei. Naa ɠɛɛni ɠana nɔ. 
GEN.1.8	GALA ge zɔɠɔzuʋɛ laasei pɛɛni ga geeɠɔlɔgi. Kpidii ʋɛɛni, geelaalao: naa ɠɛni ga foloi velesiɛi.
GEN.1.9	GALA ge ɠɛni ma: «Ziɛiti ti geeɠɔlɔgi wu, naati ti ɠaalɛ ba ada ɠila, ada vɔɔi ɠula kɛlɛma.» Naa ɠɛɛni ɠana nɔ. 
GEN.1.10	GALA ge ma vɔɔi laasei pɛɛni ga zooi. Ziɛiti ti ɠaalɛai ba, é naati daasei pɛɛ ga kpoloɗɛiti. GALA ge kaani ga naa ʋagɛ. 
GEN.1.11	Naa ʋolu GALA ge ɠɛni ma: «Zooi pɔnɔba aniiti kula, eɠɛʋelei ti-ma ziiti ti la: tufai nii ma waai su a ɠɛ ga ma zuwui, ta gwaa wuluiti, niiti ti-ma waai ti zu ta ɠɛ ga ma zuwui.» Naa ɠɛɛni ɠana nɔ. 
GEN.1.12	Zooi pɔnɔba aniiti kulani, eɠɛʋelei ti-ma ziiti ti la: tufai nii ma waai su a ɠɛ ga ma zuwui, ta gwaa wuluiti, niiti ti-ma waai ti zu ta ɠɛ ga ma zuwui. GALA ge kaani ga naa ʋagɛ. 
GEN.1.13	Kpidii ʋɛɛni, geelaalao: naa ɠɛni ga foloi zaʋasiɛi.
GEN.1.14	GALA ge ɠɛni ma: «Wozakalagiti ti ɠɛ geezuʋɛ geei ɠaaʋɛ, ti foloi ta kuai yeeɠaaɠwɛ. Naati ti ɠɛ ga poogiti, é lo siɛgiti ba, ta foloiti, ta konagiti, 
GEN.1.15	ti ɠɛ ga wozakalagiti geei ɠaaʋɛ, ti eteai zuɠala.» Naa ɠɛɛni ɠana nɔ. 
GEN.1.16	GALA ge wozakala gola felegɔiti kpɛtɛni, ma wola gelei ɗa zei foloi unda, ma go gelei ɗa zei kuai unda. É somideɠaiti ɓalaa kpɛtɛni. 
GEN.1.17	GALA ge ti zɛlɛni geei ɠaaʋɛ ga ti ɗa eteai zuɠala, 
GEN.1.18	ti zei foloi ta kuai unda, ti wozakalagi ta kpidii yeeɠaaɠwɛ. GALA ge kaani ga naa ʋagɛ. 
GEN.1.19	Kpidii ʋɛɛni, geelaalao: naa ɠɛni ga foloi naanisiɛi.
GEN.1.20	GALA ge ɠɛni ma: «Ziɛ wu ani vuluiti ti wola mɔin ziɛiti bu, wɔniiti ti ɗa ɠoʋe geezuʋɛ, zooi maazu.» 
GEN.1.21	GALA ge kpoloɗɛ wu zua wolaiti kpɛtɛni, eɠɛʋelei ti-ma ziiti ti la, ta zɛnvu anii ma ziiti kpein, eɠɛʋelei ti-ma ziiti ti la, niiti ti leʋeteʋesu ziɛiti bu. É wɔniiti kpɛtɛni, eɠɛʋelei ti-ma ziiti ti la. GALA ge kaani ga naa ʋagɛ. 
GEN.1.22	GALA ge tuya looni ti ʋɛ, é ɠɛ ma: «À ɓuɠu, wo mɔin, wo kpoloɗɛiti buulaave, wɔniiti ti mɔin eteai zu.» 
GEN.1.23	Kpidii ʋɛɛni, geelaalao: naa ɠɛni ga foloi lɔɔlusiɛi.
GEN.1.24	GALA ge ɠɛni ma: «Zooi fuluaniiti kula, eɠɛʋelei ti-ma ziiti ti la: toganiiti, ta kpokpo ganiiti, ta dɔɓɔ zuaiti, eɠɛʋelei ti ɠilagilagi ti-ma ziiti ti la.» Naa ɠɛɛni ɠana nɔ. 
GEN.1.25	GALA ge dɔɓɔ zuaiti kpɛtɛni, eɠɛʋelei ti-ma ziiti ti la, toganiiti eɠɛʋelei ti-ma ziiti ti la, ta kpokpo ganiiti pɛ, eɠɛʋelei ti-ma ziiti ti la. GALA ge kaani ga naa ʋagɛ.
GEN.1.26	GALA ge ɠɛni ma: «Ade nuɓusɛi ɓɛtɛ ga ade-maaniinigi, é ɠɛ ga de-ʋaaɠulabai, é zei kaleiti unda, ta wɔniiti, ta toganiiti, ta eteai pɛ, ta aniiti kpein ti ɓokposu zooi ma.»
GEN.1.27	GALA ge nuɓusɛi ɓɛtɛni ga tɔ ɓɔɠɔi maaniinigi, é kpɛtɛni ga GALA maaniinigi. É zunui ta anzanui ɓɛtɛni.
GEN.1.28	GALA ge tuya looni ti ʋɛ, é ɠɛ ti ma: «À ɓuɠu, wo mɔin, wo eteai laave, wo maaɠolo. À zei kaleiti unda, ta wɔniiti, ta suai kpein é yɛnvuzu zooi ɠa.» 
GEN.1.29	GALA ge ɠɛni ma: «Wɛlɛ, tufai nii ma waai su a ɠɛ ga ma zuwui, zooi ɠa ná pɛ, gè naa vea wo ʋɛ, ta gului nii ma waai su a ɠɛ ga ma zuwui, naa ɠa ɠɛ ga wo-laamianigi. 
