MAT.1.1	O le tala lenei i le gafa o Iesu Keriso le atali‘i o Tavita, le atali‘i o Aperaamo.
MAT.1.2	O Aperaamo na fānaua Isaako. O Isaako na fānaua Iakopo. O Iakopo na fānaua Iuta ma ona uso. 
MAT.1.3	Na fānaua e Iuta o Faresa ma Sera mai ‘iā Tamara, o Faresa lea na fānaua Esaroma. O Esaroma na fānaua Arama. 
MAT.1.4	O Arama na fānaua Aminatapu. O Aminatapu na fānaua Naasona. O Naasona na fānaua Salemona. 
MAT.1.5	Na fānaua e Salemona Poasa mai ‘iā Raava. Na fānaua e Poasa Opeta mai ‘iā Ruta. O Opeta lea na fānaua Iese. 
MAT.1.6	O Iese na fānaua Tavita le tupu.
MAT.1.6	Na fānaua e Tavita Solomona mai le avā a Uria. 
MAT.1.7	O Solomona na fānaua Reopoamo. O Reopoamo na fānaua Avia. O Avia na fānaua Asa. 
MAT.1.8	O Asa na fānaua Iosefatu. O Iosefatu na fānaua Iorama. O Iorama na fānaua Usia. 
MAT.1.9	O Usia na fānaua Iotama. O Iotama na fānaua Aasa. O Aasa na fānaua Esekia. 
MAT.1.10	O Esekia na fānaua Manase. O Manase na fānaua Amone. O Amone na fānaua Iosia. 
MAT.1.11	O Iosia na fānaua Iekonia ma ona uso. O le taimi lenei na ‘avea fa‘amalosi ai Isaraelu i Papelonia.
MAT.1.12	O le fa‘asologa lenei mai le taimi na ‘avea fa‘amalosi ai i latou i Papelonia: O Iekonia na fānaua Salatielu. O Salatielu na fānaua Serupapelu. 
MAT.1.13	O Serupapelu na fānaua Apiuta. O Apiuta na fānaua Eliakimo. O Eliakimo na fānaua Asora. 
MAT.1.14	O Asora na fānaua Satoka. O Satoka na fānaua Akeimo. O Akeimo na fānaua Eliuta. 
MAT.1.15	O Eliuta na fānaua Eleasaro. O Eleasaro na fānaua Matano. O Matano na fānaua Iakopo. 
MAT.1.16	O Iakopo na fānaua Iosefa, le tane a Maria lē na fānau mai ai Iesu. O Iesu lenei ‘ua ta‘ua o le Keriso.
MAT.1.17	O le aofa‘iga o tupulaga mai ‘iā Aperaamo se‘ia o‘o mai ‘iā Tavita, e sefulu ma le fa. O le aofa‘iga o tupulaga mai ‘iā Tavita se‘ia o‘o i le taimi na ‘avea fa‘amalosi ai i latou i Papelonia, e sefulu ma le fa. O le aofa‘iga o tupulaga mai le taimi na ‘avea fa‘amalosi ai i Papelonia se‘ia o‘o i le taimi na fānau ai le Keriso, e sefulu ma le fa.
MAT.1.18	O le tala i le fānau mai o Iesu Keriso: A o sauni fa‘aipoipo lona tinā o Maria ‘iā Iosefa, na iloa ‘ua tō o ia i le Agaga Pa‘ia, a o le‘i nonofo i lā‘ua. 
MAT.1.19	O lana tane fo‘i o Iosefa o le tagata amiotonu; e lē mana‘o e fa‘amāsiasi. O lea na manatu ai o ia e fa‘ate‘a lemū ‘iā te ia. 
MAT.1.20	A o fa‘asolo pea mafaufauga o Iosefa, na fa‘aali mai ‘iā te ia le agelu a le Ali‘i i le miti. Fai mai le agelu, “Iosefa e, le atali‘i o Tavita, ‘aua ‘e te fefe. Fa‘ataunu‘u pea la ‘oulua fa‘aipoipoga ma Maria lau avā, auā o lana to e mai le Agaga Pa‘ia lea. 
MAT.1.21	O le a fānaua e ia le tama tane; ‘ia e fa‘aigoa ‘iā te ia, o Iesu, auā e fa‘aolaina e ia lona nu‘u mai ‘iā latou agasala.”
MAT.1.22	‘Ua faia nei mea uma ‘ina ‘ia fa‘ataunu‘uina ai le afioga a le Ali‘i na folafolaina mai i perofeta e fa‘apea: 
