GEN.1.1	Yäput peŋpäŋ Anututä kunum kenta kome pewän ahäŋkumän. 
GEN.1.2	Täŋpäkaŋ kome u täŋkuräk-kuräk ikek, jopitä parirän bipmäŋ uranitä uwäk täŋkuk. Täŋpäŋ gwägu pähap terak uwä Anutu täŋo Munapiktä punin jop kuŋatkuk.
GEN.1.4	Yäŋeŋirän Anututä peŋyäŋek u kawän tägaŋkuk. Kawän tägawäpäŋ bipmäŋ urani ba peŋyäŋek yäpmäŋ daniŋpäŋ inigän inigän yepmaŋkuk. 
GEN.1.5	Ude yäpmäŋ daniŋpäŋ peŋyäŋek täŋo wäpi Kepma yäŋ iwetkuk. Täŋkaŋ bipmäŋ urani täŋo wäpi Bipani yäŋ iwetkuk. Eruk, kome bipmäŋpäŋ yäŋeŋirän edap kubä u täreŋkuk.
GEN.1.7	Ude yäwänä ume bämopiken baga kubä ahäŋpäŋ ume yäpmäŋ daniŋkuk. Yäpmäŋ daniŋpäŋ punin kubä täŋkuko gubam. Täŋkaŋ kome terak umeinik. Ude täŋirän punin inigän, komen inigän täŋkuk. 
GEN.1.8	Ude ahäŋirän Anututä baga unitäŋo wäpi Kunum yäŋ iwetkuk. Eruk, kome äneŋi bipmäŋpäŋ yäŋeŋirän edap yarä u täreŋkuk.
GEN.1.9	Edap yarä u täreŋirän, eruk Anututä yäŋkuk; Kunum gämoriken ume kubäkengän it moreŋirä kome kawuki ahäwän! Ude yäwänä ahäŋkuk. 
GEN.1.10	Täŋpäŋä Anututä kome kawuki täŋo wäpi Kome yäŋ iwetkuk. Täŋpäŋ ume kubäkengän it moreŋkuŋo unitäŋo wäpi Gwägu Pähap yäŋ iwetkuk. Ude ahäŋirän Anututä kawän tägaŋkuk.
GEN.1.11	Ude täŋkaŋ Anututä yäŋkuk; Imaka yeri-yeri kome terak tädorut! Ketem mujipi nikek mebäri mebäri ba päya mujipi nikek mebäri mebäri tädorut! Ude yäwänä udegän ahäŋkuŋ. 
GEN.1.12	Kometä towiŋirä ketem mujipi nikek doni iniken iniken terak, ba päya mujipi nikek doni iniken iniken terak ahäŋkuŋ. Ahäwäkaŋ Anututä yabäwän tägaŋkuŋ. 
GEN.1.13	Eruk, kome äneŋi bipmäŋpäŋ yäŋeŋirän edap yaräkubä u täreŋkuk.
GEN.1.14	Edap yaräkubä u täreŋirän, eruk Anututä yäŋkuk; Kunum terak kepma ba bipani yäpmäŋ danikta topän ahäwut! Unitä iwän kadäni, edap kadäni, orekirit kadäni api yäŋahäk täneŋ. 
GEN.1.15	Täŋpäŋ kunum täŋo topän u ahäŋpäŋ kometa peŋyäŋek imut. Yäwänä udegän ahäŋkuk. 
GEN.1.16	Anututä ude yäŋpäŋ topän pähap yarä pewän ahäŋkumän. Kubä taŋi uwä kepma watäni itta, kubä täpuri uwä bipani watäni itta u yepmaŋkuk. Täŋkaŋ guk bok pewän ahäŋkuŋ. 
GEN.1.17+GEN.1.18	Pewän ahäŋkuŋo uwä kometa peŋyäŋek imikta, bipani kepmata watäni itta, ba bipmäŋ urani ba peŋyäŋek yäpmäŋ danikta u Anututä kunum gänaŋ yepmaŋkuk. Ude yepmaŋpäŋ Anututä yabäwän tägaŋkuŋ. 
GEN.1.19	Eruk, kome äneŋi bipmäŋpäŋ yäŋeŋirän edap yaräbok-yaräbok u täreŋkuk.
GEN.1.20	Edap yaräbok-yaräbok u täreŋirän, eruk Anututä yäŋkuk; Ume gänaŋ tom bumtainik, jiraŋ ahäwut! Täŋkaŋ barak punin terak piäŋ kuŋarut! Ude yäwänä udegän ahäŋkuŋ. 
GEN.1.21	Anututä gwägu tom taŋi pähap ba imaka kuŋat-kuŋat ikek mebäri mebäri, wareŋ täŋpani mebäri mebäri gwägu gänaŋ kuŋat täkaŋ, ba barak mebäri mebäri pewän ahäŋkuŋ. Pewän ahäŋkuŋo u yabäwän tägaŋkuŋ. 
GEN.1.22	Täŋpäkaŋ Anututä man yeri nikek ŋode yäwetkuk; In bäyaŋ weŋpäŋ gwägu tokŋewut, ba barak imaka, bäyaŋ weŋpäŋ kome tokŋewut! 
GEN.1.23	Eruk, äneŋi bipmäŋpäŋ yäŋeŋirän edap ket kukŋi kudup u täreŋkuk.
GEN.1.24	Edap ket kukŋi kudup u täreŋirän Anututä yäŋkuk; Kome terak tom ŋode ahäŋpäŋ ini-ini bäyaŋ wewut; Tom yepmäŋ towikta yäwani ba tom ägwäri ba gämok kejima mebäri mebäri udegän bäyaŋ wewut! Ude yäwänä udegän ahäŋkuŋ. 
GEN.1.25	Anututä tom ägwäri ba yepmäŋ towikta yäwani mebäri mebäri ba gämok gwakgwak mebäri mebäri ude u pewän ahäwäpäŋ yabäwän tägaŋkuŋ.
GEN.1.27	Ude yäŋpäŋ Anututä ini bumik äma pewän ahäŋkuŋ. Ämani peŋ webe peŋ täŋkuk. 
GEN.1.28	Täŋpäŋ man yeri nikek ŋode yäwetkuk; Intä kome mähem täŋpäŋ bäyaŋ wewäpäŋ kome tokŋewut. Täŋpäŋ tom gwägu gänaŋ nanik ba barak ba imaka imaka kome terak kuŋarani u kuduptagän kaŋ yabäŋ yäwarut. 
GEN.1.29	Anututä ude yäŋpäŋ yäwetkuk; Ketem imaka yeri nikek kudup ba päya mujipi näŋpani kudup u nakjinta peŋ tamitat. 
GEN.1.30	Täŋpäŋ tom kejima, barak kejima ba imaka gwakgwak kome terak kuŋarani unitä nakta tokän peyat.
GEN.1.31	Täŋpäkaŋ Anututä imaka kudup täŋpewän ahäŋkuŋo u yabäwän tägagämäninik täŋkuŋ. Eruk, kome äneŋi bipmäŋpäŋ yäŋeŋirän edap 6 u täreŋkuk.
GEN.2.1	Eruk, kunum kome yarä ukät äboriye pähap pewän ahäŋ moreŋkuŋo unitäŋo manbiŋam uba. 
GEN.2.3	Anututä edap 7u ini kon täŋ imiŋpäŋ ini pärik, kudupi api irek yäŋ yäŋkuk. Imaka kudup ahäŋ morewäpäŋ itpäŋ-nadäk täŋpa yäŋpäŋ orek itkuko unita edap u ini pärik, kudupi peŋkuk.
GEN.2.4+GEN.2.5	Ŋowä kunum kome pewän ahäŋkuŋo unitäŋo manbiŋam. Yawe Anututä kunum kome pewän ahäŋkuŋo kadäni uken päya ba ketem imaka mebäri mebäri kome terak nämo ahäwani. Yawe Anututä iwän takta nämo nadäŋ imiŋkuk. Ba piäni täkta äma kubä nämo itkuk. 
GEN.2.6	Täŋpäkaŋ woŋ taŋi kome gänaŋ naniktä ahäŋpäŋ kome pähapta ume imiŋkuk. 
GEN.2.7	 Täŋpäkaŋ Yawe Anututä komepäŋ äma kubä gatäŋpäŋ iŋami gänaŋ irit täŋo woŋ piäŋ iwatkuk. Piäŋ iwat-pewän äpmoŋirän äma u imaka irit ikek ahäŋkuk. 
GEN.2.8	Ude täŋpäŋ Yawe Anututä edap abani käda ketem piä kubä Iden komeken täŋkuk. Piä u täŋpäŋ äma gatäŋkuko u Iden piä uken teŋkuk. 
GEN.2.9	 Teŋpäŋ Yawe Anututä päya mebäri mebäri kaŋgärip ikekkät mujipi ätu täga nakta bok pewän ahäŋkuŋ. Täŋkaŋ piä u bämopiken päya kubä wäpi Irit päya, kubäwä wäpi Waki ba Täga täŋo Mebäri Nadäwani päyatä itkumän.
GEN.2.10	Täŋpäkaŋ Iden kome bämopiken naniktä ume taŋi kubä piäta gakŋi imikta kuŋkuk. Kuŋkaŋ yäpmäŋ daniŋpäŋ ume yaräbok-yaräbok ini-ini kuŋkuŋ. 
GEN.2.11	Ume kubä wäpi Pison, unitä Havila kome kudupken kuŋat moreŋkuk. Kome uken gol mobä kome gänaŋ itkuk. 
GEN.2.12	(Gol mobä uken nanik gwäki ärowani. Täŋpäŋ ukengän päya kubä umumi käbäŋi säkgämän ikek itkuk, ba mobä kaŋgärip ikek wäpi Kanilian imaka itkuk.) 
GEN.2.13	Täŋpäkaŋ ume kubä wäpi Gihon, unitä Kus komeken kuŋat moreŋkuk. 
GEN.2.14	Täŋ, ume kubä wäpi uwä Taigris. Unitä Asiria kome edap abani käda u kuŋkuk. Täŋ, ume kubä wäpi Yufretis.
GEN.2.15	Täŋpäkaŋ Yawe Anututä äma gatäŋkuko u yäpmäŋpäŋ Iden piä uken piä täkta, ba watäni irekta teŋkuk. 
GEN.2.16	Teŋkaŋ äma u man kehäromi ŋode iwetkuk; Gäk piä ŋo gänaŋ päya mujipi nikek it yäpmäŋ kukaŋ unitäŋo mujipi täga api näŋpen. 
GEN.2.17	Upäŋkaŋ Waki ba Täga täŋo Mebäri Nadäwani päya unitäŋo mujipi nämoinik näŋpen! U naŋpäŋä kumäkinik api täŋpen. U jop nämo gäwetat yäŋ iwetkuk.
GEN.2.18	Täŋpäkaŋ Yawe Anututä yäŋkuk; Äma u inigän irirän nämo tägatak. Ini bumikgän not täŋkentäki kubä gatäwa!
GEN.2.19	Eruk, Yawe Anutu u tom mebäri mebäri, barak punin nanik komepäŋ täŋkuko u kudup äma unitä wäp yämikta iŋamiken yäpmäŋ äbuk. Yäpmäŋ äbäŋirän äma unitä yabäŋpäŋ wäp ini-ini yämiŋkuk. Wäpi yämiŋkuko uwä wäpi ubayäŋ. 
GEN.2.20	Äma unitä ude täŋkuko uwä tom yepmäŋ towikta yäwani, barak ba tom ägwäri u kuduptagänta wäpi yämiŋkuk.
GEN.2.20	Ude täŋkuko upäŋkaŋ täŋkentäki ini bumik kubä nämo kaŋ-ahäŋkuk. 
GEN.2.21	Unita Yawe Anututä äma u täŋpewän däpmon patguŋ taŋirän äma unitäŋo järapi kujat kubä dätpäŋ toharipäŋ äneŋi täŋpipiŋkuk. 
GEN.2.22	Ude täŋkaŋ Yawe Anututä järapi kujat yäpuko upäŋ webe kubä täŋpäŋ äma uken imagut yäpmäŋ kuŋkuk. 
GEN.2.23	Imagut yäpmäŋ kuŋirän äma unitä kaŋpäŋ yäŋkuk;
GEN.2.23	Wisik! Ŋowä kujatnek kubägän, tohatnek kubägän.
GEN.2.23	Ŋowä ämaken nanik yäpani unita wäpi webe yäŋ api iwetneŋ.
GEN.2.25	Täŋpäkaŋ yanäpi yarä u moräŋ bok itpäŋ mäyäkkät nämo itkumän.
GEN.3.2	Yäŋirän webetä gämok u iwetkuk; Nek piä gänaŋ päya kuduptagän täŋo mujipi täga nädeŋ yäŋ niwetkuk yäk. 
GEN.3.3	Täŋ, päya kubä piä bämopiken itak unitäŋo mujipi uwä Anututä iŋitta ba nakta yäjiwätkuk. Ude täŋpäŋä kumäkinik api tädeŋ yäŋ niwetkuk yäk. 
GEN.3.4	Yäwänä gämoktä webe iwetkuk; Ude nämo! Nämo api kumdeŋ! 
GEN.3.5	U Imata, Anututä ŋode nadäŋpäŋ täwetkuk; Ek mujipi u naŋirän dapunjek ijiwän kwäpäŋ ek Anutu ini bumik täŋpäŋ kädet täga ba waki unitäŋo mebäri api nadäwän täreneŋ yäŋ nadäŋkuk yäk.
