GEN.1.1	Er pen kenta Doue a grouaz an env hag an douar.
GEN.1.2	Hogen an douar a oa goullo ha noaz, hag an devalijen a oa var-c’horre an dounder, ha Spered Doue a chournije a-uz an doureier.
GEN.1.3	Ha Doue a lavaraz: Ra vezo ar sclerijen; hag e savaz ar sclerijen.
GEN.1.4	Ha Doue a velaz e oa mad ar sclerijen; ha Doue a zispartiaz ar sclerijen diouz an deva-lijen.
GEN.1.5	Ha Doue a hanvaz ar sclerijen, deiz; hag e c’hanvaz an devalijen, noz. Hag e oe eun abardaez, hag e oe eur mintin; hennes a oe an dervez kenta.
GEN.1.6	Neuze Doue a lavaraz: Ra vezo eun oabl etre an doureier, ha ra vezo dispartiet an doureier diouz an doureier.
GEN.1.7	Ha Doue a reaz an oabl, hag a zispartiaz an doureier a zo dindan an oabl diouz ar re a zo a-uz an oabl; hag e oe great evel-se.
GEN.1.8	Ha Doue a hanvaz an oabl, env. Hag e oe eun abardaez, hag e oe eur mintin; hennes a oe an eil dervez.
GEN.1.9	Neuze Doue a lavaraz: Ra zeuio an doureier a zo dindan an env d’en em zastum en eul leac’h hepken, ha ra zeuio an douar seac’h d’en em ziskouez; hag e oe great evel-se.
GEN.1.10	Ha Doue a hanvaz al leae’hiou seac’h, douar, hag a roaz d’an doureier dastumet an hano a vor; ha Doue a velaz e oa mad kement-se.
GEN.1.11	Neuze Doue a lavaraz: Ra zeuio an douar da rei yeot glaz, louzou hag had enhe, gwez-frouez ha frouez enhe hervez ho wenn, hag a vezo ho had enhe ho-unan var an douar; hag e oe great evel-se.
GEN.1.12	Hag an douar a daolaz yeot glaz, louzou hag ho had enhe hervez ho wenn, ha gwez-frouez ha frouez enhe, pep frouezen o tougen had hervez he wenn; ha Doue a velaz e oa mad kement-se.
GEN.1.13	Hag e oe eun abardaez, hag e oe eur mintin; hennes a oe an trede dervez.
GEN.1.14	Neuze Doue a lavaraz: Ra vezo goulaou e bolz an envou, evit dispartia an deiz diouz an noz, evit beza siniou hag evit 
GEN.1.15	ha ra zervichint da choulou e bolz an envou evit sclerijenna an douar; hag e oe great evel-se.
GEN.1.16	Ha Doue a reaz an daou choulaouer braz; ar goulaouer braz evit rên var an deiz, hag ar goulaouer bihan evit rên var an noz; 
GEN.1.17	Ha Doue a lakeaz anezlie e bolz an env evit sclerijenna an douar;
GEN.1.18	hag evit rên var an deiz ha var an noz, hag evit dispartia ar sclerijen diouz an devalijen; ha Doue a velaz e oa mad kement-se.
GEN.1.19	Hag e oe eun abardaez, hag e oe eur mintin; hennes a oe ar bevare dervez.
GEN.1.20	Neuze Doue a lavaraz: Ra zeuio an doureier da rei en abondans loened beo; ha ra zeui lapoused da nijal a-uz d’an donar dindan bolz an env.
GEN.1.21	Ha Doue a grouaz ar pesked braz hag an holl anevaled beo ho deuz galloud da finval, peb hini anezhe hervez he wenn, leiz an doureier, ha peb lapous askellec, hervez he wenn; ha Doue a velaz e oa mad kement-se.
GEN.1.22	Ha Doue a vennigaz anezhe, en eur lavaret: Creskit, ha dalc’hit da greski an niver ac’hanoc’h ha cargit doureier ar mor, ha ra zeuio al lapou-sed da greski meurbed an niver anezhe var an douar.
GEN.1.23	Hag e oe eun abardaez, hag e oe eur mintin; liennes a oe ar bempved dervez.
GEN.1.24	Neuze Doue a lavaraz: Ra zeuio an douar da rei loened beo, hervez ho wenn, loened-craon, amprevaned hag anevaled gwez an douar, peb hini anezhe hervez he wenn; hag e oe great evel-se.
GEN.1.25	Ha Doue a reaz an anevaled euz an douar hervez ho wenn, al loened-craou peb hini anezhe hervez he wenn, hag holl amprevaned an donar peb hini hervez he wenn; ha Doue a velaz e oa mad kement-se.
GEN.1.26	Neuze Doue a lavaraz: Greomp an den diouz hon imach, henvel ouzomp, ha ra vezo mestr var pesked ar mor ha var lapoused an env, var al loened, ha var an douar holl, ha var an amprevaned a zo o ruza var an douar.
GEN.1.27	Ha Doue a grouaz an den diouz he imach; hen croui a reaz diouz imach Doue; croui a reaz anezhe goaz ha maouez.
