GEN.1.1	Mu ntangiriro Imana yaremye ijuru n'isi. 
GEN.1.2	Isi nta shusho yari ifite kandi nta cyari kiyiriho: yari imeze nk'inyanja kandi icuze umwijima. Umwuka w'Imana wari ubundikiye amazi.
GEN.1.3	Nuko Imana iravuga iti: “Nihabeho umucyo.” Umucyo ubaho. 
GEN.1.4	Imana ibona ko umucyo ari mwiza, maze iwutandukanya n'umwijima: 
GEN.1.5	umucyo iwita amanywa, umwijima iwita ijoro. Burira buracya, uba umunsi wa mbere.
GEN.1.6	Imana iravuga iti: “Nihabeho igisenge
GEN.1.7	Biba bityo. Imana irema icyo gisenge, gitandukanya amazi yo munsi yacyo n'ayo hejuru yacyo. 
GEN.1.8	Igisenge Imana icyita ijuru. Burira buracya, uba umunsi wa kabiri.
GEN.1.9	Imana iravuga iti: “Amazi ari munsi y'ijuru niyihindire hamwe kugira ngo ubutaka buboneke.” Biba bityo. 
GEN.1.10	Ahatari amazi Imana ihita ubutaka, ya mazi iyita inyanja. Imana ibona ari byiza.
GEN.1.11	Imana iravuga iti: “Ubutaka nibumeze ibyatsi n'ibimera byera imbuto, nihamere n'ibiti bitari bimwe byera imbuto.” Biba bityo. 
GEN.1.12	Ubutaka bumeza ibyatsi n'ibimera bitari bimwe byera imbuto, n'ibiti bitari bimwe byera imbuto. Imana ibona ari byiza. 
GEN.1.13	Burira buracya, uba umunsi wa gatatu.
GEN.1.14	Imana iravuga iti: “Nihabeho ibinyarumuri ku gisenge cy'ijuru kugira ngo bitandukanye amanywa n'ijoro, bibe ibimenyetso biranga iminsi n'ibihe n'imyaka, 
GEN.1.15	byakire ku gisenge cy'ijuru kugira ngo bimurikire isi.” Biba bityo. 
GEN.1.16	Imana irema ibinyarumuri bibiri binini: izuba ryo kugenga amanywa n'ukwezi ko kugenga ijoro, irema n'inyenyeri. 
GEN.1.17	Imana ibishyira ku gisenge cy'ijuru kugira ngo bimurikire isi, 
GEN.1.18	bigenge amanywa n'ijoro kandi bitandukanye umucyo n'umwijima. Imana ibona ari byiza. 
GEN.1.19	Burira buracya, uba umunsi wa kane.
GEN.1.20	Imana iravuga iti: “Udusimba two mu mazi nituyajagatemo, inyoni n'ibisiga biguruke mu kirere.” 
GEN.1.21	Imana irema ibikōko binini byo mu nyanja n'ibinyabuzima by'amoko yose byinyagambura bikajagata mu mazi, irema n'inyoni n'ibisiga by'amoko yose. Imana ibona ari byiza. 
GEN.1.22	Byose ibiha umugisha, itegeka ibyo mu mazi iti: “Nimwororoke mugwire mwuzure mu nyanja.” Itegeka n'ibiguruka iti: “Nimugwire ku isi.” 
GEN.1.23	Burira buracya, uba umunsi wa gatanu.
GEN.1.24	Imana iravuga iti: “Inyamaswa z'amoko yose nizibe ku butaka: amatungo n'ibikurura inda hasi n'izindi nyamaswa zose nk'uko amoko yazo ari.” Biba bityo. 
GEN.1.25	Imana irema inyamaswa z'amoko yose n'amatungo n'ibikurura inda hasi byose. Imana ibona ari byiza.
GEN.1.26	Imana iravuga iti: “Tureme abantu basa natwe, bameze nkatwe maze bategeke isi yose: amafi n'inyoni n'ibisiga, n'amatungo n'ibikurura inda hasi.”
GEN.1.27	Imana yaremye umuntu usa na yo,
GEN.1.27	yamuremye asa n'Imana,
GEN.1.27	umugabo n'umugore ni ko yabaremye.
GEN.1.28	Imana ibaha umugisha, irababwira iti: “Nimubyare mugwire, mwuzure isi yose muyitegeke. Mugenge amafi n'inyoni n'ibisiga, n'ibikurura inda hasi! 
GEN.1.29	Dore mbahaye ibimera byose byera imbuto n'ibiti byose byera imbuto, bizabatunga. 
GEN.1.30	Inyamaswa zose n'inyoni n'ibisiga n'ibikurura inda hasi byose, mbese ibihumeka byose, mbihaye ibimera byo kubitunga!” Biba bityo.
GEN.1.31	Imana ireba ibyo yari imaze kurema ibona ari byiza cyane. Burira buracya, uba umunsi wa gatandatu.
GEN.2.1	Ijuru n'isi n'ibibirimo byose bisozwa bityo. 
GEN.2.2	Ku munsi wa karindwi Imana yari yashoje uwo murimo, uwo munsi iruhuka imirimo yose yari yakoze. 
GEN.2.3	Imana iha umugisha umunsi wa karindwi, irawiyegurira kuko ari wo yaruhutseho umurimo yari yakoze wo kurema.
GEN.2.4	Dore amavu n'amavuko y'iremwa ry'ijuru n'isi.
GEN.2.4	Ubwo Uhoraho Imana yaremaga ijuru n'isi, 
GEN.2.5	nta bihuru cyangwa ibindi bimera byari byabaho, kuko Uhoraho Imana yari ataragusha imvura, nta n'umuntu wariho ngo ahinge ubutaka. 
GEN.2.6	Ahubwo amasōko ni yo yadudubizaga akabobeza ubutaka.
GEN.2.7	Nuko Uhoraho Imana akura umukungugu mu gitaka awubumbabumbamo umuntu, amuhumekera umwuka w'ubugingo mu mazuru, umuntu aba muzima. 
GEN.2.8	Uhoraho Imana ategura ubusitani iburasirazuba, ahitwa Edeni, ahashyira uwo muntu yari amaze kubumbabumba. 
GEN.2.9	Uhoraho Imana ameza mu butaka ibiti by'amoko yose binogeye amaso n'ibyera imbuto ziribwa, kandi hagati muri ubwo busitani amezamo igiti cy'ubugingo n'icy'ubumenyi bwo gutandukanya icyiza n'ikibi.
GEN.2.10	Muri Edeni haturukaga uruzi rukabobeza ubusitani, rukahava rwigabanyamo inzuzi enye. 
