GEN.1.1	Mbere na mbere Imana yaremye ijuru n'isi. 
GEN.1.2	Isi yari itagira ishusho, yariho ubusa busa, umwijima wari hejuru y'imuhengeri, maze Umwuka w'Imana yagendagendaga hejuru y'amazi. 
GEN.1.3	 Imana iravuga iti “Habeho umucyo”, umucyo ubaho. 
GEN.1.4	Imana ibona umucyo ko ari mwiza, Imana itandukanya umucyo n'umwijima. 
GEN.1.5	Imana yita umucyo amanywa, umwijima iwita ijoro. Buragoroba buracya, uwo ni umunsi wa mbere.
GEN.1.7	Imana irema iryo sanzure, igabanya amazi yo munsi y'isanzure n'ayo hejuru yaryo, biba bityo. 
GEN.1.8	Imana yita iryo sanzure Ijuru. Buragoroba buracya, uwo ni umunsi wa kabiri.
GEN.1.9	Imana iravuga iti “Amazi yo munsi y'ijuru ateranire hamwe, ahumutse haboneke.” Biba bityo. 
GEN.1.10	Imana yita ahumutse Ubutaka, iteraniro ry'amazi iryita Inyanja. Imana ibona ko ari byiza. 
GEN.1.11	Imana iravuga iti “Ubutaka bumeze ubwatsi n'ibimera byose byerere imbuto ku butaka, n'ibiti byerere imbuto ku butaka zirimo utubuto twabyo, igiti cyose cyere imbuto zikwiriye ubwoko bwacyo.” Biba bityo. 
GEN.1.12	Ubutaka bumeza ubwatsi, ibimera byose byera imbuto zikwiriye amoko yabyo, n'ibiti byera imbuto zirimo utubuto twabyo, zikwiriye amoko yabyo. Imana ibona ko ari byiza. 
GEN.1.13	Buragoroba buracya, uwo ni umunsi wa gatatu.
GEN.1.14	Imana iravuga iti “Mu isanzure ry'ijuru habeho ibiva bitandukanya amanywa n'ijoro, bibereho kuba ibimenyetso no kwerekana ibihe n'iminsi n'imyaka, 
GEN.1.15	bibereho kuvira mu isanzure ry'ijuru kugira ngo bivire isi.” Biba bityo. 
GEN.1.16	Imana irema ibiva bibiri binini, ikiva kinini cyo gutegeka amanywa, n'igito cyo gutegeka ijoro, irema n'inyenyeri. 
GEN.1.17	Imana ibishyirira mu isanzure ry'ijuru kugira ngo bivire isi, 
GEN.1.18	kandi bitegeke amanywa n'ijoro, bitandukanye umucyo n'umwijima, Imana ibona ko ari byiza. 
GEN.1.19	Buragoroba buracya, uwo ni umunsi wa kane.
GEN.1.20	Imana iravuga iti “Amazi yuzuremo ibyigenza byinshi cyane bifite ubugingo, kandi inyoni n'ibisiga biguruke mu isanzure ry'ijuru.” 
GEN.1.21	Imana irema ibifi binini byo mu nyanja, n'ibintu byose byigenza bifite ubugingo, amazi biyuzuramo nk'uko amoko yabyo ari. Irema n'inyoni n'ibisiga byose nk'uko amoko yabyo ari, Imana ibona ko ari byiza. 
GEN.1.22	Imana ibiha umugisha, iti “Mwororoke, mugwire, mwuzure amazi yo mu nyanja, inyoni n'ibisiga byororoke mu isi.” 
GEN.1.23	Buragoroba buracya, uwo ni umunsi wa gatanu.
GEN.1.24	Imana iravuga iti “Isi izane ibifite ubugingo, amatungo n'ibikururuka, nk'uko amoko yabyo ari, n'inyamaswa zo mu isi, nk'uko amoko yazo ari.” Biba bityo. 
GEN.1.25	Imana irema inyamaswa zo mu isi nk'uko amoko yazo ari, n'amatungo nk'uko amoko yayo ari, n'ibintu byose bikururuka hasi nk'uko amoko yabyo ari, Imana ibona ko ari byiza.
GEN.1.27	 Imana irema umuntu ngo agire ishusho yayo, afite ishusho y'Imana ni ko yamuremye, umugabo n'umugore ni ko yabaremye. 
GEN.1.28	Imana ibaha umugisha, Imana irababwira iti “Mwororoke mugwire, mwuzure isi, mwimenyereze ibiyirimo, mutware amafi yo mu nyanja, n'inyoni n'ibisiga byo mu kirere, n'ibintu byose bifite ubugingo byigenza ku isi.” 
GEN.1.29	Kandi Imana irababwira iti “Dore mbahaye ibimera byose byera imbuto biri mu isi yose, n'igiti cyose gifite imbuto zirimo utubuto twacyo, bizabe ibyokurya byanyu. 
GEN.1.30	Kandi inyamaswa yose yo mu isi, n'inyoni n'ibisiga byo mu kirere, n'ikintu cyose gikururuka ku isi gifite ubugingo, mbihaye ibimera bibisi byose ngo bibe ibyokurya byabyo.” Biba bityo. 
GEN.1.31	Imana ireba ibyo yaremye byose, n'uko byari byiza cyane. Buragoroba buracya, uwo ni umunsi wa gatandatu.
GEN.2.1	Ijuru n'isi n'ibirimo byinshi byose birangira kuremwa. 
GEN.2.2	 Ku munsi wa karindwi Imana irangiza imirimo yakoze, iruhuka ku munsi wa karindwi imirimo yayo yose yakoze. 
GEN.2.3	Imana iha umugisha umunsi wa karindwi iraweza, kuko ari wo Imana yaruhukiyemo imirimo yakoze yose.
GEN.2.4	Uku ni ko kuremwa kw'ijuru n'isi, ubwo byaremwaga, ku munsi Uwiteka Imana yaremeyemo isi n'ijuru. 
GEN.2.5	Kandi akatsi kose ko mu gasozi kari kataraba ku isi, n'ikimera cyose cyo mu gasozi cyari kitarāruka, kuko Uwiteka Imana yari itaravuba imvura ku isi kandi nta muntu wariho wo guhinga ubutaka, 
GEN.2.6	ariko igihu cyavaga mu isi kigatosa ubutaka bwose.
GEN.2.8	Uwiteka Imana ikeba ingobyi muri Edeni mu ruhande rw'iburasirazuba, iyishyiramo umuntu yaremye. 
GEN.2.9	 Uwiteka Imana imezamo igiti cyose cy'igikundiro cyera imbuto ziribwa, imeza n'igiti cy'ubugingo hagati muri iyo ngobyi, imezamo n'igiti cy'ubwenge bumenyesha icyiza n'ikibi.
GEN.2.10	Umugezi uturuka muri Edeni unetesha iyo ngobyi, uwo mugezi uvamo wigabanyamo ine. 
GEN.2.11	Umwe witwa Pishoni, ari wo ugose igihugu cyose cy'i Havila kirimo izahabu, 
GEN.2.12	kandi izahabu yo muri icyo gihugu ni nziza. Iyo ni ho hari ubushishi buva ku giti bwitwa budola, n'amabuye yitwa shohamu. 
GEN.2.13	Undi witwa Gihoni, ari wo ugose igihugu cyose cy'i Kushi. 
GEN.2.14	Undi witwa Hidekelu, ni wo uca imbere y'igihugu cyitwa Ashuri. Uwa kane witwa Ufurate.
GEN.2.15	Uwiteka Imana ijyana wa muntu, imushyira muri iyo ngobyi yo muri Edeni, ngo ahingire ibirimo, ayirinde. 
GEN.2.16	Uwiteka Imana iramutegeka iti “Ku giti cyose cyo muri iyo ngobyi ujye urya imbuto zacyo uko ushaka, 
GEN.2.17	ariko igiti cy'ubwenge bumenyesha icyiza n'ikibi ntuzakiryeho, kuko umunsi wakiriyeho no gupfa uzapfa.”
GEN.2.18	Kandi Uwiteka Imana iravuga iti “Si byiza ko uyu muntu aba wenyine, reka muremere umufasha umukwiriye.” 
GEN.2.19	Uwiteka Imana irema mu butaka amatungo yose n'inyamaswa zo mu ishyamba zose, n'inyoni n'ibisiga byo mu kirere byose, ibizanira uwo muntu ngo imenye uko abyita, kandi uko uwo muntu yise ikintu cyose gifite ubugingo, aba ari ryo riba izina ryacyo. 
GEN.2.20	Uwo muntu yita amatungo yose n'inyoni n'ibisiga byo mu kirere n'inyamaswa zo mu ishyamba zose, ariko umufasha umukwiriye yari ataraboneka.
GEN.2.21	Uwiteka Imana isinziriza uwo muntu ubuticura arasinzira, imukuramo urubavu rumwe ihasubiza inyama, 
GEN.2.22	urwo rubavu Uwiteka Imana yakuye muri uwo muntu, iruhindura umugore imushyīra uwo muntu. 
GEN.2.23	Aravuga ati
GEN.2.23	“Uyu ni igufwa ryo mu magufwa yanjye,
GEN.2.23	Ni akara ko mu mara yanjye,
GEN.2.23	Azitwa Umugore kuko yakuwe mu Mugabo.”
GEN.2.25	Kandi uwo mugabo n'umugore we bombi bari bambaye ubusa, ntibakorwe n'isoni.
GEN.3.2	Uwo mugore arayisubiza ati “Imbuto z'ibiti byo muri iyi ngobyi twemererwa kuzirya, 
GEN.3.3	keretse imbuto z'igiti kiri hagati y'ingobyi ni zo Imana yatubwiye iti ‘Ntimuzazirye, ntimuzazikoreho, mutazapfa.’ ”
GEN.3.4	Iyo nzoka ibwira umugore, iti “Gupfa ntimuzapfa, 
GEN.3.5	kuko Imana izi yuko ku munsi mwaziriyeho, amaso yanyu azahweza mugahindurwa nk'Imana, mukamenya icyiza n'ikibi.”
GEN.3.6	Uwo mugore abonye yuko icyo giti gifite ibyokurya byiza, kandi ko ari icy'igikundiro, kandi ko ari icyo kwifuriza kumenyesha umuntu ubwenge, asoroma ku mbuto zacyo, arazirya, ahaho n'umugabo we wari kumwe na we, arazirya. 
GEN.3.7	Amaso yabo bombi arahweza, bamenya yuko bambaye ubusa, badoda ibibabi by'imitini, biremeramo ibicocero.
GEN.3.8	Bumva imirindi
GEN.3.9	Uwiteka Imana ihamagara uwo mugabo, iramubaza iti “Uri he?”
GEN.3.10	Arayisubiza ati “Numvise imirindi yawe muri iyi ngobyi, ntinyishwa n'uko nambaye ubusa, ndihisha.”
GEN.3.11	Iramubaza iti “Ni nde wakubwiye ko wambaye ubusa? Wariye kuri cya giti nakubujije kuryaho?”
GEN.3.12	Uwo mugabo arayisubiza ati “Umugore wampaye ngo tubane, ni we wampaye ku mbuto z'icyo giti, ndazirya.”
GEN.3.13	Uwo mugore arayisubiza ati “Inzoka yanshukashutse ndazirya.”
GEN.3.14	Uwiteka Imana ibwira iyo nzoka iti “Kuko ukoze ibyo, uri ikivume kirengeje amatungo yose n'inyamaswa zo mu ishyamba zose, uzajya ugenda ukurura inda, uzajya urya umukungugu iminsi yose y'ubugingo bwawe. 
GEN.3.15	 Nzashyira urwango hagati yawe n'uyu mugore, no hagati y'urubyaro rwawe n'urwe, ruzagukomeretsa umutwe nawe uzarukomeretsa agatsinsino.”
GEN.3.16	Kandi Uwiteka Imana ibwira uwo mugore iti “Kugwiza nzagwiza cyane umubabaro wawe ufite inda: uzajya ubyara abana ubabara, kwifuza kwawe kuzaherēra ku mugabo wawe, na we azagutwara.”
GEN.3.18	buzajya bukumereramo imikeri n'ibitovu, nawe uzajya urya imboga zo mu murima. 
GEN.3.19	Gututubikana ko mu maso hawe ni ko kuzaguhesha umutsima, urinde ugeza ubwo uzasubira mu butaka kuko ari mo wakuwe: uri umukungugu, mu mukungugu ni mo uzasubira.”
GEN.3.20	Uwo mugabo yita umugore we Eva,
GEN.3.21	Uwiteka Imana iremera Adamu n'umugore we imyambaro y'impu, irayibambika.
GEN.3.23	Ni cyo cyatumye Uwiteka Imana imwirukana muri ya ngobyi muri Edeni, kugira ngo ahinge ubutaka yavuyemo. 
GEN.3.24	Nuko yirukana uwo muntu, kandi mu ruhande rw'iyo ngobyi yo muri Edeni rwerekeye iburasirazuba, ishyiraho Abakerubi
GEN.4.1	Kandi uwo mugabo atwika Eva umugore we inda, abyara Kayini aravuga ati “Mpeshejwe umuhungu n'Uwiteka.” 
GEN.4.2	Arongera abyara Abeli, murumuna wa Kayini. Abeli aba umwungeri w'intama, Kayini aba umuhinzi. 
GEN.4.3	Bukeye Kayini azana ituro ku mbuto z'ubutaka, ngo ariture Uwiteka. 
GEN.4.4	 Na Abeli azana ku buriza bw'umukumbi we no ku rugimbu rwawo. Uwiteka yita kuri Abeli no ku ituro rye, 
GEN.4.5	maze ntiyita kuri Kayini n'ituro rye. Kayini ararakara cyane, agaragaza umubabaro. 
GEN.4.6	Uwiteka abaza Kayini ati “Ni iki kikurakaje, kandi ni iki gitumye ugaragaza umubabaro? 
GEN.4.7	Nukora ibyiza ntuzemerwa? Ariko nudakora ibyiza, ibyaha byitugatugira ku rugi, kandi ni wowe byifuza ariko ukwiriye kubitegeka.”
GEN.4.9	Uwiteka abaza Kayini ati “Abeli murumuna wawe ari he?”
GEN.4.9	Aramusubiza ati “Ndabizi se? Ndi umurinzi wa murumuna wanjye?”
GEN.4.11	Noneho uri ikivume ubutaka bwanga, bwasamuye akanwa kabwo kwakira amaraso ya murumuna wawe, ukuboko kwawe kwavushije. 
GEN.4.12	Nuhinga ubutaka, uhereye none ntibuzakwerera umwero wabwo, uzaba igicamuke n'inzererezi mu isi.”
GEN.4.13	Kayini abwira Uwiteka ati “Igihano umpannye kiruta icyo nakwihanganira. 
GEN.4.14	Dore unyirukanye uyu munsi ku butaka, no mu maso hawe nzahahishwa, nzaba igicamuke n'inzererezi mu isi kandi uzambona wese azanyica.”
GEN.4.15	Uwiteka abwira Kayini ati “Ni cyo gituma uwica Kayini azabihorerwa karindwi.” Kandi Uwiteka ashyira kuri Kayini ikimenyetso, kugira ngo hatagira umubona, akamwica.
GEN.4.16	Nuko Kayini ava mu maso y'Uwiteka atura mu gihugu cy'i Nodi, mu ruhande rw'iburasirazuba rwa Edeni.
GEN.4.17	Kandi Kayini atwika umugore we inda abyara Henoki, yubaka umudugudu awitirira umwana we Henoki. 
GEN.4.18	Henoki abyara Iradi, Iradi abyara Mehuyayeli, Mehuyayeli abyara Metushayeli, Metushayeli abyara Lameki. 
GEN.4.19	Lameki arongora abagore babiri, umwe yitwa Ada, undi yitwa Zila. 
GEN.4.20	Ada abyara Yabalu, aba sekuruza w'abanyamahema baragira inka. 
GEN.4.21	Murumuna we yitwa Yubalu, aba sekuruza w'abacuranzi n'abavuza imyironge. 
GEN.4.22	Na Zila abyara Tubalukayini, umucuzi w'ikintu cyose gikebeshwa cy'umuringa n'icyuma. Mushiki wa Tubalukayini yitwa Nāma.
GEN.4.23	Lameki abwira abagore be ati
GEN.4.23	“Ada na Zila nimwumve ijwi ryanjye,
GEN.4.23	Baka Lameki, nimutegere amatwi amagambo yanjye.
GEN.4.23	Nishe umugabo muhora kunkomeretsa,
GEN.4.23	Nishe umusore muhora kuntera imibyimba.
GEN.4.24	Ni ukuri Lameki azahorerwa incuro mirongo irindwi n'indwi.”
