MAT.1.1	Aganay sləm aŋa azla­baba madzi­dziga aŋa Yesu Kristu, bəzi aŋa David, bəzi aŋa Abəraham. 
MAT.1.2	Abəraham ayyà Isak; Isak ayyà Yakuba; Yakuba ayyà Yahuda la azla­deda aŋha; 
MAT.1.3	Yahuda ayyà Farəs atà la Zara, (Sləm aŋa iyà aŋatà Tamar); Farəs ayyà Esərom; Esərom ayyà Aram; 
MAT.1.4	Aram ayyà Ami­nadab; Ami­nadab ayyà Naheson; Naheson ayyà Salmon; 
MAT.1.5	Salmon ayyà Bowas, (Iyà aŋha kà Rahab); Bowas ayyà Obed, (Iyà aŋha kà Rut); Obed ayyà Isay; 
MAT.1.6	Isay ayyà sufəl David.
MAT.1.6	David ayyà Salomon, (Iyà aŋha kà mis aŋa Uriya); 
MAT.1.7	Salomon ayyà Re­ha­beham; Re­ha­beham ayyà Abiya; Abiya ayyà Asa; 
MAT.1.8	Asa ayyà Yosafat; Yosafat ayyà Yoram; Yoram ayyà Ozəya; 
MAT.1.9	Ozəya ayyà Yotam; Yotam ayyà Ahaz; Ahaz ayyà He­səkiya; 
MAT.1.10	He­səkiya ayyà Manase; Manase ayyà Amon; Amon ayyà Yosəya; 
MAT.1.11	Yosəya ayyà Ye­ko­niya atà la azla­deda aŋha, la mok uwana tahəl azlabəza Isərayel à Babila.
MAT.1.12	Mok uwana tadàla atà bokuba azla­mayà à Babila kà, Ye­ko­niya ayyà Sala­tiyel; Sala­tiyel ayyà Zoro­babel; 
MAT.1.13	Zoro­babel ayyà Abiyud; Abiyud ayyà Eli­yakim; Eli­yakim ayyà Azor; 
MAT.1.14	Azor ayyà Sadok; Sadok ayyà Akim; Akim ayyà Eliyud; 
MAT.1.15	Eliyud ayyà Ele­yazar; Ele­yazar ayyà Matan; Matan ayyà Yakuba; 
MAT.1.16	Yakuba ayyà Yusufu, zil aŋa Mari­yama uwana ayyà Yesu, uwana Kristu tagoɗal.
MAT.1.17	Kiya uwaga kà dagay Abəraham tsəràh à David mayyi à tsəh ala kulo gəl aŋha ufaɗ, ŋgaha kulo gəl aŋha ufaɗ dagay David tsəràh à uwana tadàla atà à Babila, ŋgaha aya kulo gəl aŋha ufaɗ tsəràh à mayyi Yesu uwana Kristu.
MAT.1.18	Kiya uwaga apakà vok aŋa mayyi Yesu Kristu. Iyà aŋha, Mari­yama agà mawɗa aŋa Yusufu, ama dagay uwana taga­gamay dadàŋ aw kà, Mari­yama agà la bəzi la huɗ, uwaga kà Masasəɗok Zəzagəla la uwana adàllà à huɗ. 
MAT.1.19	Ama Yusufu mawɗa aŋha kà dza dziriga, asal masəla à uda la dazu­waya la huma à azladza aw, adzùgw masak à mawɗa aŋha la səbàh. 
MAT.1.20	Mok uwana adzùgw uwaga kà masakal kà, malika aŋa Zəzagəla apə̀halla vok la mase­siŋay agòɗal: “Yusufu, mayyi à tsəh ala aŋa David, guba akəs ka kà mazəɓ Mari­yama mawɗa aŋak aw, kà uwana la ndzəɗa aŋa Masasəɗok Zəzagəla la uwana akùd bəzi uwaga la huɗ aŋha. 
MAT.1.21	Masla adàyyi bəzi zilga, uwana kadàvàl sləm Yesu, uwana adàɓəl tsəhay aŋha la tsakana aŋatà la abà gesina.”
MAT.1.22	Tatak uwaga gesina apakà vok kà magəɗ à afik bokuba uwana Sufəl Zəzagəla apə̀h à ahàl aŋa azlaməna mapəh à atà gay à ahàl kà mapàh à azladza:
MAT.1.23	ˈDa­halay uwana asəl zil aw, adàzəɓ bəzi à huɗ, adàyyi bəzi zilga, tadàvàl sləm Ema­nuyel.ˈ (Uwana asal magoɗay: Zəzagəla la ahəŋ la anu) 
MAT.1.24	Mok uwana Yusufu adatsən ala kà, aɗahàŋ bokuba uwana malika aŋa Sufəl Zəzagəla apə̀hal la mase­siŋay, ŋgaha azə̀ɓ Mari­yama mawɗa aŋha kà mis. 
MAT.1.25	Ama Yusufu ahənà à ahəŋ la masla tsəràh à mayyi kona aŋha, uwana Yusufu avàl sləm Yesu, aw.
MAT.2.1	Kiya uwaga tayyà Yesu la gudəŋ Be­te­lehem, la kutso aŋa Yahu­diya la abà la zamana aŋa sufəl Herod. Uwana tayyay kà, azlaməna masəl tatak uwana tanərə̀zàh azla­tse­tsiliŋ tasà à afik la mas à afik afats, tasà à Uru­sa­lima. 
MAT.2.2	Tanàv: “Aŋala bəzi uwanay tayyà la ahàl à ahàl à uwana adàgay Sufəl aŋa azla Yahu­diya la? Mənəŋàŋ tse­tsiliŋ aŋha apə̀hla vok ala la mas à afik afats, maslà gà la uwaga məsa à afik kà makədeɗal à ahəŋ.”
MAT.2.3	Kay, mok uwana sufəl Herod atsə̀n uwaga, guba akəs, gəl akàɗal à vok la azlaməna madz à ahəŋ la Uru­sa­lima gesina. 
MAT.2.4	Ahamà gay azlaməŋga aŋa azlaməna mav tatak à Zəzagəla à vok la azlaməna matapla wakità aŋa Musa à azladza, anav à atà gay ala naka tayyi Kristu ma à uwala asla tak la? 
MAT.2.5	Tagoɗal: “La Be­te­lehem, la kutso Yahu­diya la abà.” Kà uwana aganay azlaməna mapəh à atà gay à ahàl tatsetsèr:
MAT.2.6	ˈKak Be­te­lehem la kutso Yahu­diya la abà,
MAT.2.6	Katsəh azla­gu­dəŋ aŋa Yahu­diya à tsəh aw,
MAT.2.6	Kà uwana la kak la abà
MAT.2.6	La uwana masla humà uwana adàguw tsəhay gulo Isərayel à huma adàs à uda.ˈ 
MAT.2.6	Zəzagəla agoɗ. 
MAT.2.7	Kiya uwaga Herod azàl azlaməna masəl tatak uwaga la gəl à gəl, ŋgaha anàvà à atà kaslà mapəhla vok ala aŋa tse­tsiliŋ uwatà la gay ala. 
MAT.2.8	La lig la ahəŋ aslə̀lla atà à Be­te­lehem: “Dàw, kayahaw bəzi uwatà, baŋa kada­ɓəzawwal kà, kadàpəhaw à gi ala babay, kà gi aŋa maday aŋa makədeɗal à ahəŋ suwaŋ”, agòɗ à atà.
MAT.2.9	Mok uwana tatsə̀ɓ sləm à mapəhay aŋa sufəl uwaga kà, tahàd, tanəŋà tse­tsiliŋ uwana tanəŋàŋ la mas à afik afats, aga la huma aŋatà, ama mok uwana adabə̀z à slaka uwana bəzi la ahəŋ kà, tse­tsiliŋ atsìzl à ahəŋ. 
MAT.2.10	Uwana tanəŋàŋ kiya uwaga kà, tahə̀n ala la marabay məŋga. 
MAT.2.11	Tadà à gày, tanəŋàŋ bəzi vərna la iyà aŋha Mari­yama. Takədèɗàh à ahəŋ, tazlə̀ɓà bəzi, tapàlla kazlaŋa aŋatà ala, ŋgaha tavàhal azla­tatak: Luwà­luwà, matərsin, ŋgaha la mir. 
MAT.2.12	La lig la ahəŋ Zəzagəla apə̀h à atà vok à abà la mase­siŋay kà atà aŋa maguway la slaka sufəl Herod aya aw. Kiya uwaga tanəfà tetəvi anik kà mawul à gudəŋ aŋatà.
MAT.2.13	Mok uwana azlaməna masəl tatak tadìy aŋatà, malika aŋa Sufəl Zəzagəla apə̀hla vok à Yusufu la mase­siŋay, agòɗal: “Sà à afik, zə̀ɓ bəzi la iyà aŋha, ŋgaha hòy à gudəŋ Misəra, kadàdz à ahəŋ la abatà tsəràh à uwana: ‘Wùlla à waŋ’, gədàgoɗ à ka, kà uwana Herod adàyah makəɗ bəzi.”
MAT.2.14	Hadzak, Yusufu atsìzlla ala, azə̀ɓ bəzi la iyà aŋha, ŋgaha ahòy la atà la vəɗ à kutso Misəra. 
MAT.2.15	Adzà à ahəŋ la abatà tsəràh à mamətsay aŋa Herod, uwaga apakà vok kà magəɗ uwana à afik Sufəl Zəzagəla apə̀h la paŋaw aŋa azlaməna mapəh à atà gay à ahàl kà mapàh à azladza:
MAT.2.15	ˈGəzàl à bəzi gulo à uda la kutso Misəra.ˈ 
MAT.2.16	Mok uwana Herod asə̀l kà azlaməna masəl tatak tava­vàràŋ kà, apàk ləv kaykay, avà tetəvi kà makaɗ azla­beza zilga la gudəŋ Be­te­lehem gesina dagay la azla­vərnaga tsəràh à mavay səla. Dagay la matsən gay mapəhla vok ala aŋa tse­tsiliŋ, uwana atsənàŋ la slaka azla­ma­səl tatak uwaga. 
MAT.2.17	Kiya uwaga agə̀ɗ à afik, uwana masla mapəhal gay à ahàl Ye­re­miya agòɗ:
MAT.2.18	ˈHulolo atsə̀n la Rama, matuway la mawiyay məŋga.
MAT.2.18	Uwaga kà Rahilu la uwana atùw azlabəza aŋha,
MAT.2.18	Asal matasla ala gay à ahəŋ aw, kà uwana tamatsay.ˈ 
MAT.2.19	Mok uwana Herod adamətsay, malika aŋa Sufəl Zəzagəla apə̀hla vok à Yusufu la mase­siŋay la Misəra. 
MAT.2.20	Agòɗal: “Lagwa kà, sà à afik, zə̀ɓ bəzi la iyà aŋha, wùlàw à kutso Isərayel, kà uwana azladza uwana tayàh makəɗ bəzi kà tadamətsay.”
MAT.2.21	Kiya uwaga Yusufu atsìzlla ala, azə̀ɓ bəzi la iyà aŋha, ŋgaha tawùl à Isərayel. 
MAT.2.22	Ama atsənàŋ kà Arke­lawus la uwana, azùw sufəl aŋa baba aŋha la Yahu­diya kà, guba akə̀s kà mawul à kutso uwatà à abà. Ama uwana adatsən Zəzagəla apə̀hal la mase­siŋay la abà aya kà, ahàd, aɓə̀k vok à makoray aŋa Galili à abà, 
MAT.2.23	ŋgaha aŋàl gày aŋha à bəzi gudəŋ uwana à abà, sləm aŋha Nazaret. Aɗahàŋ kiya uwanay kà, kà magəɗ à afik gay uwana azlaməna mapəh à atà gay à ahàl tapàh, tagòɗ kà:
MAT.2.23	ˈTa­dà­zalalla zil Nazaret.ˈ
MAT.3.1	La zamana uwatà kà, Yuhana masla maɗàh batem apə̀hla vok ala la fəta aŋa Yahu­diya la abà, ŋgaha adzəkà mazàh sayda. 
MAT.3.2	“Pə̀hàw gay la ləv ala, kà uwana makoray Sufəl Zəzagəla kà nekwa atsa à waŋ”, agòɗ à atà. 
MAT.3.3	Yuhana kà dza uwana masla mapəhal gay à ahàl Yesayya apə̀h lakəl aŋha agòɗ:
MAT.3.3	ˈUwaga kuda aŋa dza la uwana awiyay la fəta la abà:
MAT.3.3	‘Slàɗàw tetəvi aŋa Sufəl Zəzagəla,
MAT.3.3	Tsìzllàw azla­tetəvi mana­la­ba­hayga ala gesina’ˈ, 
MAT.3.3	agòɗ. 
MAT.3.4	Lukut aŋa Yuhana kà maɗehəŋga la aŋidz aŋa zlugumi, ŋgaha awàɗ para­para aŋa zlap à tsəh, tatak may aŋha kà hayyaw, la zuway mazuway la fəta. 
MAT.3.5	Azlaməna madz à ahəŋ la Uru­sa­lima, la azla­uwana la kutso Yahu­diya ŋgaha la azla­uwana la makəla aŋa mukwà Urdun gesina tasà à waŋ à slaka aŋha. 
MAT.3.6	Tapàh tsakana aŋatà à uda la dazu­waya, ŋgaha aɗahà à atà batem la mukwà Urdun la abà.
