MAT.1.1	Hehakaho Jesu Keriso oni amuhija vejajina. Jesuho Teviti 'ee Eparahami puni amuja.
MAT.1.2	Eparahamiho Aisiki oni oma. Aisikiho Jekapi oni oma. Jekapiho Jutaho 'ee 'u'uhwaha 'aho'ijihipuni oma.
MAT.1.3	Jutaho Jera upuni oma kaivo puni ohijaho Tema. 'Enakaivo Peresiho Hesarani oni oma kaivo Hesaraniho Rama oni oma.
MAT.1.4	'Enakaivo Ramaho Amenatapu oni oma. Amenatapuho Nasioni oni oma. Nasioniho Saramani oni oma.
MAT.1.5	Saramaniho Poasi oni ome 'ee Rehapiho Poasi oni oha. Poasiho Opeti oni oma. 'Ene Rutiho huni oha Opetiho Jesi oni oma.
MAT.1.6	Jesiho Kini Teviti oni oma. Tevitiho Saramani oni oma. Huni oha marako'a Uraia oni napara.
MAT.1.7	'Enakaivo Saramaniho Rehapoami oni oma. 'Ene Rehapoamiho Apaija oni oma. 'Ene Apaijaho Aisa oni oma.
MAT.1.8	'Ene Aisaho Jihosapati oni oma. 'Ene Jihosapatiho Jorami oni oma. 'Ene Joramiho Usaia oni oma.
MAT.1.9	Usaiaho Jotami oni oma. 'Ene Jotamiho Ehasi oni oma. 'Ene Ehasiho Hesakaia oni oma.
MAT.1.10	'Ene Hesakaiaho Manase oni oma. 'Ene Manaseho Emani oni oma. 'Ene Emaniho Josaia oni oma.
MAT.1.11	'Ene Josaiaho Jekanaiane 'ee 'u'uhwaha puni oma. Ijihuni vea kaji aneja rene pu 'eke Paparania tipurai va'ara.
MAT.1.12	'Ene ijí Paparania pu tipurai 'eka va'ari túna'ijaho Jekanaiaho Sieritieri oni oma renana. 'Ejume Sieritieriho Jerupaparu oni oma.
MAT.1.13	Jerupaparuho Apaiuti oni oma. Apaiutiho Iraiakimi oni oma. 'Ene Iraiakimiho Aisori oni oma.
MAT.1.14	'Ene Aisoriho Setaka oni oma. 'Ene Setakaho Ekimi oni oma. 'Ene Ekimiho Eriuti oni oma.
MAT.1.15	'Ene Eriutiho Eriesa oni oma. 'Ene Eriesaho Mateni oni oma. 'Ene Mateniho Jekapi oni oma.
MAT.1.16	'Ene Jekapiho Josapi ka'ene Meri oni paruijihuni oma. 'Ena'omo Merira Jesu ka'ene Kerisona 'wavujaho nahenana.
MAT.1.17	'Enakaivo ea ka'ene Eparahami oniji rena roe Teviti oniji 'e'unajaho amuja iropu ropu no'ona no'ona ijá hijara. 'Ejumakame Teviti oniji rena roe Juapo aneja vene Paparani tipurai hijaji 'e'unajaho amuja kú'o ija iropu ropu no'ona no'ona ijá hijara. 'Ene vukú'o ijí Juapo Paparania aneja vene tipurai hijaji rena roe Jesu Kerisora roani veiji 'e'unaji 'u'o amuja iropu ropu no'ona no'ona ijá hijara.
MAT.1.18	Ikaho Jesu Keriso 'unama ichá'ina ka'ene nahejajina. Meri ka'ene Jesuni ohijaho Josapira mwamuna kaivo pu mai'o pa'wa'ara'eme Godoni 'Aveni vejume hu hari'i nenana. 
MAT.1.19	'Enakaivo hu mwavi'inijaho Josapina kaivo Josapiho hu niho'o 'unama arira 'uraha onuna'omo Meri juhunijihuna'e masuani ranama va'iro vwihanana. 
MAT.1.20	Hu hine ijí vwihanani vea kajino Natohwi jihuni ona oji'ini roe navahi ijá 'wama Josapi ka'ene Teviti oni harihakera a Meri aheve oni napara rehunijaho paju'amana. Ijí hu hari'i nena kajaho Godoni 'Aveni vejume hari'i nenana. 
MAT.1.21	'Ena'omo hu naheja kamareje ara Huni ihijaho 'imareje Jesuna 'wa'amana kaivo Hura ehwahaka mapokijihi puni siseijaho ni'ajihe pa'arehuna 'wamana. 
MAT.1.22	Ike iviamaa raka ka'ene renukaho nitama Natohwi jihuni poropetijara 'waramajara rene ika'ina 'waramana.
MAT.1.23	Heha! 'Asúri hari'i nenareje hariha nahe'amajaho Huni iha 'imareje Imanueruna 'wahuna. Ijihuni maijaho Godi nú pu'úmo hinu 'wa'avara 'iamana.
MAT.1.24	'Ejume Josapi tatama 'urine Natohwi jihuni ona oji'ini 'waramaja venarena napara kajaho ahemana. 
MAT.1.25	'Enakaivo hu napara kaji'i pa'uraha o'eme hu hina apena va'o va'o huni hariha amura kajaho nahejumakavi'i hu iha 'ime Jesuna 'wamana.
MAT.2.1	Vea ka'ene Jesu Petirihemi Juta vaji nahejari veijaho Herotiho Kinia rena hinana. 'E'eme ea hami hami vwihaji'ina vea ajimuja'i hijurepo Jerusaremi roara. 
MAT.2.2	Pu aporama ijá 'iava Jua puni Kinia ichí nahejare? Nú Huni china kama'i vea ajimuja'i kamareja ijihuna'e nú Hu oja mahare'e ka'i rou. 
MAT.2.3	Vea ka'ene Kinia Heroti ijí henajaho oja hwa'usunahana. 'Ejume Jerusaremi ora ka'ene hu hu'úmo hijajija 'u'o oja hwa'usunahara. 
MAT.2.4	'Ejumakame Herotira 'waravume pirisitia mama'ina 'ee Sikuraipi pu'úmo ahuma roume hu pu aporama ijá 'iama 'Ú ichihi Keriso nahehune? 'iamana. 
MAT.2.5	'Ejume pu hu ijá 'wava Poropetijara heha 'ahi venajaho Petirihemi Jutia vajina 'wavara.
MAT.2.6	Ja Petirihemi ora ka'ene Jutia puni kwaa vaji hijujija ja niho'o túchamaa parehuna kaivo joni ei pini mai'o 'ajohi'ina ni'ima'ura renareje Isureri ora 'ajohahuna 'iamana.
MAT.2.7	Heroti ea ka'ene hami hami vwihaji'iniji nesi aporame ijá 'iama Vea rakijiano ike chinakaho ajimane? 'iamana. 
MAT.2.8	'Enarena hu pu irechamie ijá 'iama Ja va'e Petirihemi ike Harihakaho samu va'o kamare ona ranave nuni roe na 'u'o vu'e Hu oja mahuma 'iamana. 
MAT.2.9	'Ejume pu kini huni vu'a hejume parajume va'eme china ka'ene vea ajimuja'i ajima roajaho ajima roe asitaha ruva'e ijí Hariha 'u'ua kajara hinani huriji naminana. 
MAT.2.10	'Ejumakame pu ijí china kaji kamareja pu niho'o mari'uma paravara. 
MAT.2.11	'Ene pu va'e ijí ni'úha kaji aruvi'i kavajaho Hariha 'u'ua kajaho oaha Meri'i hinana. 'Ejumakame pu nitupari same oja Hu mahara. 'Ene pu puni tuja usee swara korutia 'ee senisia 'ee 'werua vajahara. 
MAT.2.12	'Ejume Godira navahi 'waravume pu kú'o pa'uname Herotira hinujaho va'i kaivo pu 'unama ani va'e puni ari va'ara.
