GEN.1.1	太初，上帝创造了天地。 
GEN.1.2	那时，大地空虚混沌，还没有成形，黑暗笼罩着深渊，上帝的灵运行在水面上。 
GEN.1.3	上帝说：“要有光！”就有了光。 
GEN.1.4	上帝看光是好的，就把光和暗分开， 
GEN.1.5	称光为昼，称暗为夜。晚上过去，早晨到来，这是第一天
GEN.1.6	上帝说：“水与水之间要有穹苍，把水分开。” 
GEN.1.7	果然如此。上帝开辟了穹苍，用穹苍将水上下分开。 
GEN.1.8	上帝称穹苍为天空。晚上过去，早晨到来，这是第二天。
GEN.1.9	上帝说：“天空下面的水要聚在一处，使干地露出来。”果然如此。 
GEN.1.10	上帝称干地为陆地，称水汇聚的地方为海洋。上帝看了，感到满意。 
GEN.1.11	上帝说：“陆地要长出植物——各类结种子的菜蔬和结果子的树木，果子内都有籽。”果然如此， 
GEN.1.12	陆地长出了植物——各类结种子的菜蔬和结果子的树木，果子内都有籽。上帝看了，感到满意。 
GEN.1.13	晚上过去，早晨到来，这是第三天。
GEN.1.14	上帝说：“天空要有光体，以区分昼夜，作记号，定节令，计算年日， 
GEN.1.15	发光普照大地。”果然如此。 
GEN.1.16	上帝造了两个大光体，较大的管白昼，较小的管黑夜，又造了星辰。 
GEN.1.17	上帝把这些光体摆列在天空，让它们发光普照大地， 
GEN.1.18	管理昼夜，分开明暗。上帝看了，感到满意。 
GEN.1.19	晚上过去，早晨到来，这是第四天。
GEN.1.20	上帝说：“水中要充满各种动物，空中要有禽鸟飞翔。” 
GEN.1.21	上帝就造了海中的大鱼等各类水族和各类禽鸟。上帝看了，感到满意。 
GEN.1.22	上帝赐福给这一切生物，说：“水族要生养繁殖，充满海洋，禽鸟也要在地上多多地繁殖。” 
GEN.1.23	晚上过去，早晨到来，这是第五天。 
GEN.1.24	上帝说：“大地要繁衍各类动物——各类的牲畜、爬虫和野兽。”果然如此。 
GEN.1.25	上帝造了各类的野兽、牲畜和爬虫。上帝看了，感到满意。
GEN.1.26	上帝说：“我们要照着我们的形象，按着我们的样子造人，让他们管理海里的鱼、空中的鸟和地上的牲畜及一切爬虫。” 
GEN.1.27	上帝就照着自己的形象造了人，祂照着自己的形象造了男人和女人。 
GEN.1.28	上帝赐福给他们，对他们说：“你们要生养众多，遍布地面，治理大地，管理海里的鱼、空中的鸟以及地上的各种动物。” 
GEN.1.29	上帝对人说：“看啊，我把地上所有结种子的菜蔬和所有树上有籽的果子都赐给你们作食物。 
GEN.1.30	我把植物赐给所有地上的走兽、空中的飞鸟及地上的爬虫作食物。”果然如此。 
GEN.1.31	上帝看了，感到非常满意。晚上过去，早晨到来，这是第六天。
GEN.2.1	天地万物都造好了。 
GEN.2.2	第七天，上帝完成了祂的创造之工，就在第七天歇了一切的工。 
GEN.2.3	上帝赐福给第七天，将其定为圣日，因为祂在这一天歇了祂一切的创造之工。 
GEN.2.4	这是有关创造天地的记载。
GEN.2.4	耶和华上帝创造天地的时候， 
GEN.2.5	地上还没有草木菜蔬，因为耶和华上帝还没有降雨在地上，土地也没有人耕作， 
GEN.2.6	但有水从地里涌出，浇灌大地。 
GEN.2.7	耶和华上帝用地上的尘土造了人，把生命的气息吹进他的鼻孔里，他就成了有生命的人。 
GEN.2.8	耶和华上帝在东方的
GEN.2.9	耶和华上帝使地面长出各种树木，它们既好看又能结出可吃的果子。在园子的中间有生命树和分别善恶的树。
GEN.2.10	有一条河从
GEN.2.11	第一条支流叫
GEN.2.12	且是上好的金子，还有珍珠和红玛瑙。 
GEN.2.13	第二条支流是
GEN.2.14	第三条支流名叫
GEN.2.15	耶和华上帝把那人安置在
GEN.2.16	耶和华上帝吩咐那人说：“你可以随意吃园中所有树上的果子， 
GEN.2.17	只是不可吃那棵分别善恶树的果子，因为你若吃了，当天必死。”
GEN.2.18	耶和华上帝说：“那人独自一人不好，我要为他造一个相配的帮手。” 
GEN.2.19	耶和华上帝用尘土造了各种田野的走兽和空中的飞鸟，把它们带到那人跟前，看他怎么称呼这些动物。他叫这些动物什么，它们的名字就是什么。 
GEN.2.20	那人给所有的牲畜及田野的走兽和空中的飞鸟都起了名字。可是他找不到一个跟自己相配的帮手。 
GEN.2.21	耶和华上帝使那人沉睡，然后从他身上取出一根肋骨，再把肉合起来。 
GEN.2.22	耶和华上帝用那根肋骨造成一个女人，带到那人跟前。 
GEN.2.23	那人说：
GEN.2.23	“这才是我的同类，
GEN.2.23	我骨中的骨，肉中的肉，
GEN.2.23	要称她为女人，
GEN.2.23	因为她是从男人身上取出来的。”
GEN.2.24	因此，人要离开父母，与妻子结合，二人成为一体。 
GEN.2.25	当时，他们夫妇二人都赤身露体，并不觉得羞耻。
GEN.3.1	在耶和华上帝所造的田野的各种动物中，蛇最狡猾。蛇对女人说：“上帝真的说过不许你们吃园中所有树上的果子吗？” 
GEN.3.2	女人回答说：“我们可以吃园中树上的果子， 
GEN.3.3	只是不可以吃园子中间那棵树的果子。上帝曾经吩咐说，‘你们不可吃那果子，也不可摸，否则你们就会死。’” 
GEN.3.4	蛇对女人说：“你们一定不会死！ 
GEN.3.5	上帝那样说是因为祂知道你们吃了那树的果子以后，眼睛就会明亮，像上帝一样懂得分辨善恶。” 
GEN.3.6	女人见那棵树上的果子可口，赏心悦目，可以使人有智慧，就摘下来吃了。她也把果子给跟她在一起的丈夫，他也吃了。 
GEN.3.7	二人的眼睛果然明亮起来，这才发觉自己原来赤身露体，便把无花果树的叶子编起来遮体。
GEN.3.8	傍晚天凉时，夫妇二人听见耶和华上帝在园中行走的声音，就藏在园子的树丛中，想躲开耶和华上帝。 
GEN.3.9	耶和华上帝呼唤那人说：“你在哪里？” 
GEN.3.10	那人说：“我听见你在园中行走的声音，就害怕得躲了起来，因为我赤身露体！” 
GEN.3.11	耶和华上帝问：“谁说你赤身露体？难道你吃了我吩咐你不可吃的果子吗？” 
GEN.3.12	那人说：“你赐给我作伴的女人摘了那树上的果子给我，我就吃了。” 
GEN.3.13	耶和华上帝对女人说：“你这做的是什么事？”女人说：“是蛇诱骗我，我才吃的。”
GEN.3.14	耶和华上帝对蛇说：
GEN.3.14	“你既然做了这事，
GEN.3.14	你要比一切的牲畜和野兽受更重的咒诅，
GEN.3.14	你要用肚子爬行，
GEN.3.14	一生都要吃尘土。
GEN.3.15	我要使你和女人结仇，
GEN.3.15	你的后代和女人的后代也要彼此为仇，
GEN.3.15	女人的后代必伤你的头，
GEN.3.15	你必伤他的脚跟。”
GEN.3.16	耶和华上帝对女人说：
GEN.3.16	“我必大大加重你怀孕的痛苦，
GEN.3.16	你分娩时必受痛苦。
GEN.3.16	你必恋慕
GEN.3.16	你的丈夫必管辖你。”
GEN.3.17	耶和华上帝又对
GEN.3.17	“因为你听从妻子的话，
GEN.3.17	吃了我吩咐你不可吃的果子，
GEN.3.17	地必因你而受咒诅。
GEN.3.17	你必终生艰辛劳苦，
GEN.3.17	才能吃到地里出产的食物。
GEN.3.18	地必给你长出荆棘和蒺藜，
GEN.3.18	你要吃田间长出来的菜蔬。
GEN.3.19	你必汗流满面，才有饭吃，
GEN.3.19	一直到你归回尘土。
GEN.3.19	因为你是尘土造的，
GEN.3.19	也必归回尘土。”
GEN.3.21	耶和华上帝做了皮衣给他们夫妇穿。 
GEN.3.22	耶和华上帝说：“看啊，那人已经与我们相似，能分辨善恶。现在，恐怕他会伸手去摘生命树的果子吃，那样他就会永远活着。” 
GEN.3.23	因此，耶和华上帝就把
GEN.3.24	上帝赶走了
GEN.4.2	后来，
GEN.4.3	到了收成的时候，
GEN.4.4	也把羊群中头生的羊及其最肥美的部分献给耶和华。耶和华悦纳
GEN.4.5	却不悦纳
GEN.4.6	耶和华问
GEN.4.7	如果你做得对，难道不会蒙悦纳吗？如果你做得不对，罪就蹲在你的门口要控制你，但你必须制服罪。”
GEN.4.9	后来，耶和华问
GEN.4.10	耶和华说：“你做了什么事？你弟弟的血从地里向我哭诉。 
GEN.4.11	地张开口从你手上接受了你弟弟的血，你在地上必受咒诅。 
GEN.4.12	你种地，地却不会再为你长出任何东西，你必在地上四处漂泊。” 
GEN.4.13	对耶和华说：“这惩罚太重！我承受不了。 
GEN.4.14	今天你把我赶出去，使我不能再见你的面。我在地上四处漂泊，见到我的人都会杀我。” 
GEN.4.15	耶和华对他说：“不会的，因为凡杀你的，必遭受七倍的报应。”于是，耶和华在
GEN.4.16	离开耶和华，来到
GEN.4.18	生
GEN.4.19	娶了两个妻子，一个叫
GEN.4.20	生了
GEN.4.21	的弟弟
GEN.4.22	生了
GEN.4.23	一天，
GEN.4.23	“
GEN.4.23	有人伤我，我杀了他，
GEN.4.23	青年打我，我宰了他。
GEN.4.24	杀
GEN.4.24	杀
GEN.4.26	生了一个儿子，给他取名叫
GEN.5.1	以下是关于
GEN.5.1	上帝造人的时候，是照祂自己的形象造的。 
GEN.5.2	祂造了男人和女人，又赐福给他们，在创造他们的那日称他们为“人”。 
GEN.5.3	一百三十岁生了一子，长相酷似自己，给他取名叫
