GEN.1.1	Uniotabakin ka Nukën 'Ibu Diosan uniokëxa, naíkamë 'ëo 'imainun me. 
GEN.1.2	Me uniokëxbi mëníokëmapan 'ain ka kamabi parúmpapa manámi bëánbëankibukë 'iakëxa. Usa ''ain ka Nukën 'Ibu Diosan bëru ñunshin baka manámiax shaíkibëkiankëxa.
GEN.1.3	Usa 'ain ka Nukën 'Ibu Dios kiakëxa: Ka pë́kiti 'ikën. Kiaxa kikëbë ka pë́kiakëxa. 
GEN.1.4	Usai kikëbëa pë́kia ka Nukën 'Ibu Diosan pë́kikë a upí isakëxa, upí iskin ka bëánkibukë axa amo 'imainun axa pë́kikë aribi amo 'imiakëxa, 
GEN.1.5	usai 'ia ka pë́kikë a nëtë kakin anëakëxa, anëanan ka bëánkibukë a imë́ kakin anëakëxa, usakin 'akëbë bëánkionxa pë́karakë ax ka achúshi nëtë 'iakëxa.
GEN.1.6	Usakin 'atankëx ka Nukën 'Ibu Dios kiakëxa: Ka achúshi xabá chaiiracha an 'umpaxkama ënananmiti 'iti 'ikën.
GEN.1.6	Kikëbëshi ka usai 'iakëxa. 
GEN.1.7	Usa 'ain ka Diosan achúshi xabá chaiira an bakakama bëarati 'akëxa: 'akëx ka xabá chaiira meu panaitsi tikimainun panaitsi axribi manámi bërúakëxa. 
GEN.1.8	Xabá chaiira a ka naí kakin anëakëxa. Usakin 'akë 'ain ka bëánkionxa pë́karakë ax rabë́ nëtë 'iakëxa.
GEN.1.9	Usa 'ain ka Nukën 'Ibu Dios kiakëxa: Naí meu 'ikë baka ax ka anubia rakátinu timë́ti 'ikën, me ëski mëratanun.
GEN.1.9	Kikëbë ka usai 'iakëxa. 
GEN.1.10	Axa ëskikë a ka Nukën 'Ibu Diosan me kakin anëakëxa, anëanan ka axa timë́ax 'ianëmë 'ëosa 'aish rakákë a parúmpapa kakin anëakëxa.
GEN.1.10	Usai 'iá ka kamabi Nukën 'Ibu Diosan upí 'ikë isakëxa, 
GEN.1.11	isi ka kiakëxa: Me mëuküax ka bëtsi bëtsi chuku kóti 'ikën: axa ënxëñu 'iti 'imainun ikama axa bimiñu 'i tuati akamax.
GEN.1.11	Kikëbë ka usai 'iakëxa. 
GEN.1.12	Usa 'ain ka menuax bëtsi bëtsi xubi 'iruakëxa: 'irui ka xubikama axa ënxëñu 'iti 'imainun ikama axa bimiñu 'i tuati akama. Usai 'iá ka kamabi Nukën 'Ibu Diosan upí isakëxa. 
GEN.1.13	Usakin 'akë 'ain bë́ankionx pë́karatëkënkë ax ka rabë́ 'imainun achúshi nëtë 'iakëxa.
GEN.1.14+GEN.1.15	Usa 'ain ka Nukën 'Ibu Dios kiakëxa: Naí xabá chaiira kuman batsisa anu ka an me pë́katikama 'iti 'ikën, an imë́ 'ikëbi xabá 'inun nëtë 'imikë, ax ka anun nëtëkama 'unánti 'ianan, baritiakama 'unánan uisa nëtëkama kara 'ia kixun 'unánti 'ikën.
GEN.1.14+GEN.1.15	Kikëbë ka usai 'iakëxa. 
GEN.1.16	Nukën 'Ibu Diosan ka an pë́kati rabë́ 'akëxa: 'akin ka chaiira an nëtën pë́kati 'anan an imë́ pë́kati chukúma 'akëxa. 'Anan ka an imë́ pë́kati okin 'ispakamaribi 'akëxa. 
GEN.1.17	Nukën 'Ibu Diosan ka naí xabáchaiira kuman batsisa anu an me pë́katikama 'akëxa, 
GEN.1.18	an nëtën 'imainun imë́ pë́kati a ka nëtë xabábëa imë́ biranantima okin 'akëxa, usa 'ain ka akamabi Nukën 'Ibu Diosan upí isakëxa. 
GEN.1.19	Usakin 'akë 'ain bë́ankionx pë́karatëkënkë ax ka, rabë́ 'imainun rabë́ nëtë 'iakëxa.
GEN.1.20	Usakin 'atankëx ka Nukën 'Ibu Dios kiakëxa: Baka 'ukëmëu ka bëtsi bëtsi ñuina 'aisamaira 'uakamë 'ëoti 'ikën, 'imainun ka me manánmi nuanti pëchiñu ñuinakama uniti 'ikën.
GEN.1.20	Kikëbë ka usai 'iakëxa. 
GEN.1.21	Nukën 'Ibu Diosan ka parúmpapanu 'iti ñuina chaiirabukama uniokëxa, 'imainun ka baka 'ukëmëuküax kaiti 'anubi 'iti 'anan ka ñuina pëchiñukamaribi 'akëxa. Usakin 'atankëxun ka Nukën 'Ibu Diosan upí isakëxa, 
GEN.1.22	usakin 'akëxa upí 'ikë iskin ka Diosan an 'akë ñukama upíokin sinánxunkin kakëxa: Parúmpapanu 'ikë ñuinakama tuapati ka 'uakamë 'ëoi ka kait, ñuina pëchiñukamaribi ka tuapati 'itsaira menu 'iti 'ikën.
GEN.1.23	Usakin 'akë 'ain bë́ankionx pë́karatëkënkë ax ka mapai achúshi nëtë 'iakëxa.
GEN.1.24	Usa 'ain ka Nukën 'Ibu Dios kiakëxa: Menu ka bëtsi bëtsi ñuina kaiti 'ikën: a rabukuti 'imainun ka a piti ñuinakama 'imainun a pitima raëkëma ñuinakama, 'imainun men niríkë ñuinakamaribi.
GEN.1.24	Kikëbë ka usai 'iakëxa.
GEN.1.25	Nukën 'Ibu Diosan ka ënë ñuinakama uniotankëx kamabi upí 'ikë isakëxa.
GEN.1.26	Usa 'ain ka kamabi ñu 'atankëx Nukën 'Ibu Dios ësai kiakëxa: Bërí kananuna nu iskësabi 'itánun uni unioti 'ain. Ax ka bakanu 'ikë ñuinakama 'imainun pëchiñu ñuina 'imainun a piti pitima ñuinakama 'ianan, ñuina raëkëma 'imainun men niríkë ñuinakamax ka an bërúankë 'iti 'ikën.
GEN.1.27	Usa 'ain ka uni uniokin Nukën 'Ibu Diosan asábi 'itánun nukëbënë 'imainun xanu uniokëxa,
