MAT.1.1	Naunaekhimayun Jesus Christim hivullingita atingit, tamna Davidim kingullia, Abrahamlu kingullia. 
MAT.1.2	Abraham engnigiyaa Issac, Isaamlu engnigiyaa Jacob, Jacobimlu engnigiyain Judah katangutaillu tapfuma. 
MAT.1.3	Judam engnigiyaik Perez Zerahlu Tamarmin, Pereziplu engnigiyaa Hezron, Hezruplu engnigiyaa Ram. 
MAT.1.4	Ramlu engnigiyaa Amminadab. Amminadamlu engnigiyaa Nahshon, Nahshomlu engnigiyaa Salman. 
MAT.1.5	Salmamlu engnigiyaa Boaz Rahabmin. Boazimlu engnigiyaa Obed Ruthmin, Obemlu engnigiyaa Jesse. 
MAT.1.6	Jessemlu engnigiyaa David Atanek, Davidimlu engnigiyaa Solomon, Uriam nuliyagaluangaanin. 
MAT.1.7	Solomonimlu engnigiyaa Rehoboam, Rehoboaplu engnigiyaa Abijah, Abijamlu engnigiyaa Asa 
MAT.1.8	Asamlu engnigiyaa Jehosaphat, Jehosaphamlu engnigiyaa Joram. Joramlu engnigiyaa Uzziah, 
MAT.1.9	Uzziamlu engnigiyaa Jotham, Jothamlu engnigiyaa Ahaz, Ahazimlu engnigiyaa Hezekiah. 
MAT.1.10	Hezekiamlu engnigiyaa Mannaseh, Mannasemlu engnigiyaa Amos, Amosimlu engnigiyaa Josiah. 
MAT.1.11	Josiamlu engnigiyain Jeconiah katangutaillu tapfuma Jewmiun aullaktitautillugit nunamun Babylonmik atilingmun. 
MAT.1.12	Talva Babylonmun Jewmiun aullaktitaulgakhutik Jeconiam engnigiyaa Shealtiel, Shealtielgumlu engnigiyaa Zerubbabel. 
MAT.1.13	Zerubabbelimlu engnigiyaa Abiud, Abiudimlu engnigiyaa Eliakim, Eliakimlu engnigiyaa Azor. 
MAT.1.14	Azorm engnigiyaa Zadok, Zadokimlu engnigiyaa Achim, Achimlu engnigiyaa Eliud. 
MAT.1.15	Eliudimlu engnigiyaa Eleazar, Eleazamlu engnigiyaa Matthan, Matthanimlu engnigiyaa Jacob. 
MAT.1.16	Jacobimlu engnigiyaa Joseph, Marym uinga, tapfuma engnigiyaa Jesus Christmik taiyauyuk. 
MAT.1.17	Engnigit tamangmik Abrahamin David naallugu 14guyun. Aahin Davidmin Jewmiun Babylonmun aullaktitautinagit 14guyun. Jewmiun aullaktitauningingnin Christ naallugu 14guyun.
MAT.1.18	Ilaa Jesus Christim engniaguniga imaatun-ituk. Angnanga Mary ukagiaktautillugu Jospehmun kattitinagik hingailektuk Anengnimin Naguyumin. 
MAT.1.19	Uikhangatali Josephim ilumukami kanguhuktitumangnginamiuk angnam ukagiyautaa puiguktaunahugiyaa kattitinagik. 
MAT.1.20	Talva taimaitumik ihumalektillugu Atangum ihalgulingata hagyaegvigiyaa hinnektuningani ukakhuni, “Joseph, Davidim engniga, nuliagigungni Mary kamahuktailutin hingaiyaa piman Anengnimin Naguyumin; 
MAT.1.21	angutinuamik nutakkiniaktuk tamna attingniaktan Jesusmik, tapfuma inungni annautihungumagit huinekutainin.” 
MAT.1.22	Hapkua pivaktun Atangum ukauhiit, ukaktauyun nalautaiyikun, ilumukuvlugit, 
MAT.1.23	“Uilgahuk angutituyuituk hingaihunguyuk engninikuvlugu, tapfuma atikaktukhak Emmanuelmik” (atip itkumayutaa imaatun-ituk, God uvaptingniituk) 
MAT.1.24	Talva Joseph tupagami, ihalgulgum ukauhiit tuhaagamigit, nuliakhani aiyaa 
MAT.1.25	atugngitagaluanga engniniktinagu; tamna attiktaa Jesusmik.
MAT.2.1	Jesus inuman Bethlehemi Judeami, Atanek Herod ataniutillugu, talva ihumatuyun kaivlutik kivataanin Jerusalemun tikittun ukakhutik, 
MAT.2.2	“Tamna anihimayuk ataninguktukhak Jewmiunun nanitpa? uvlugianga kivatiptingni takugaptigu kaiyugut angayyuvigiyumavlugu. 
MAT.2.3	Atangum Herodim tamna tuhaagamiuk ihumaluktuk Jerusalemiullu ihumalukatauvlutik. 
MAT.2.4	Tapfuma angayyuvikpagyuakut ataningita inuin tiitigaktingillu kaitkugamigit tapkuninga apekhuiyuk Christim aniniagutaanik. 
MAT.2.5	Tapkua ukallautiyaat, “Bethlehemiguk Judeam nunaani, nalautaiyikun tiitigakhimangman,
MAT.2.6	Ilipfi Bethlehemiuyuhi Judeam nunaani, Judam ataningingnin mikikiyaungitgaluaktuhi ilipfingnin atanekhak kaihunguman atannektukuvlugit inutka Israelmiun.’ ”
MAT.2.7	Talva Herodim kihimgiukhuni ihumatuyun kaitkuyain tapkunangalu tuhaayuk uvlugiam nuivikhanga kanuitilanganik. 
MAT.2.8	Tapfuma Bethlehemun tiliyain ukakhuni, “Aullagitti nutagagmik kenigiaktugluhi akhun, katkakupfiuk utegitti uniutikuvlunga uvangatauk angayyuvigiyumagapku”. 
MAT.2.9	Tapkua atanek tuhaagamitku aullangmiyun tayyainaktauk uvlugiak kivataani tautukpagaat hivulliumiyain nutkaktinani nutagam iningata kulaanun. 
MAT.2.10	Tapkualu takukikamitku uvlugiak kuviatakpiaktun, 
MAT.2.11	iglumunlu itekhutik nutagak angnangalu Mary tautuktain, hitkuvlutiglu angayyuvigiyaat, aahin pikutitik angmagamitigik tapfumunga aituktun Goldmik, Tipigiktumiglu, Nanunmiglu. 
MAT.2.12	Talva ihumatuyun hinnektunekun pitkuyaugamik Herodmun utekunagit nunamingnun utektun aahiagun.
MAT.2.13	Aullangmatalu Atangum ihalgulingata hagyaegvigiyaa Joseph hinnektunekun ukakhuni, “Makittin nutagak angnangalu aullautilugik Egyptmun: talvani naiyuinakpagluhi tuhaakiktinatin uvamnin, Herodim nutagak kenigiaktugnialegmagu tukutumavlugu.” 
MAT.2.14	Makiktuglu unuktillugu pigamigik nutagak angnangalu aullaktuk Egyptmun 
MAT.2.15	talvanitpaktuglu Herold umatillugu. Taimaliyun Atangum ukauhiit ukaktauyun nalautaiyikun ilumukuvlugit, “Engnigaguk Egyptmin kaitkuvaktaga.”
MAT.2.16	Talva Herod ilihimagami ihumatuyun utekfaayunaegmata, mamiatakpiaktuk pitkuivluni angutinuit tamangmik Bethlehemiitun ukiukakhimayun malgunik nukakhillu tukutaukuvlugit kanuitakhaanik tuhaavagami ihumatuyunin. 
MAT.2.17	Taima nalautaiyim Jeremiam ukauhiit ilumukpaktun ukangman,
MAT.2.18	“Ramahmiguk nipi tuhaanakpaktuk kiavakhuni nipikuktuyumik, Rachel kialengman nutakaminun anuahuktitauyumangngitkivluni tapkua tamangmata.”
MAT.2.19	Ilaani Herod tukuman ilaa Atangum ihalgulingata hagyaegvigimiyaa Joseph hinnektugningagun Egyptmiitillugu ukakhuni, 
MAT.2.20	“Makittinguk nutagak angnangalu pilugik aullagitti nunamun Israelmun tapkua nutagak tukutumainaktagaluangat tukumata.” 
MAT.2.21	Makiktuglu pigamigik nutagak angnangalu aullaktuk nunamun Israelmun. 
MAT.2.22	Tuhaagamili Archelaus ataniulegman Judaemi himmautigivagmagu anguni Herod, Joseph talvunga piyumangngituk. Aahin hinnektugnimigunlu pitkuyaugami Galileem nunaanungaktuk. 
MAT.2.23	Tikinamilu iglukagvingmun Nazarethmun naiyugahualektun nalautaiyit ukauhiit ilumukuvlugit, “Tamnaguk taiyauhunguyuk Nazarethmiutagmik.”
MAT.3.1	Tapfumani John Baptaiekti tikittainaktuk ilithauyyivluni Judaemi inuilgulmi, 
