PRO.1.1	Давудила оьждис, Израиллиъ ханлъилаъ зукъова Сулайбанис, аᵸкъилабла йаьжбо гей вагьаддо̄л.
PRO.1.2	Гьоддо̄л ча̄хна гей аьдамла̄л аᵸкъло мокъанна,
PRO.1.2	цӀодорлъилаъна адло-тадбирлиъна гьолло̄л муьхо-маьханна,
PRO.1.2	аᵸкъилабла йаьжла̄ш гьоллол маьъна бикъанна.
PRO.1.3	Вагьаддо̄л ча̄хна гей аьдамла̄ъ адло-тадбир телилъанна,
PRO.1.3	къацӀцӀо гьаькъабна, ритӀухъабна, бацӀадабна гьоллола йакӀкьа йеᵸцанна.
PRO.1.4	Аᵸкъло гаьчча̄л аᵸкъло мокъанна,
PRO.1.4	оьлохъаллил илмо-лъайна бичӀна михъанна.
PRO.1.5	Вагьаддо̄л йаьжбо аьᵸдалаъ йеᵸйагьда,
PRO.1.5	аᵸкъиллис лъайна телилъас,
PRO.1.5	цӀодораблис цӀодорлъи-аᵸкъиллъи кӀетӀлъас.
PRO.1.6	Кици-бицеллис маьънана каламна бикъанна,
PRO.1.6	аᵸкъилабла̄ла йаьжла̄ъ гаьгьийо балъголъи йикъанна
PRO.1.6	ча̄хна гей вагьаддо̄л аᵸкълова.
PRO.1.7	БетӀергьан Аллагьлихъа гьичӀейолъи – вагьли гей илмо-лъайлис бигъа.
PRO.1.7	Аᵸкълована насигьатлана йа̄тӀаъцаса ба̄хъца аьбдалла.
PRO.1.8	Ми энекзи ахъ, дие оьжо, абола малъилахъа,
PRO.1.8	ийос нисойона йугъола̄къа.
PRO.1.9	Дибола къаьмил къиматаб матӀайиᵸцо йахъца гьули,
PRO.1.9	билъалъил кӀетӀо тетенана йахъца гьули.
PRO.1.10	Йе дие оьжо, мунагь-гьаькълила агьлола гьидедой кьисада,
PRO.1.10	эᵸкьа̄къа муьгъалӀ.
PRO.1.11	Гьолло дӯхъа нисас:
PRO.1.11	«Тос илогъой, гьинона йохна гьоᵸс пуланаб сукӀо икьал.
PRO.1.11	Аьйиб гаьччо сукӀо икьал гьаьй йохал тос.
PRO.1.12	Боваханна бовахна вагьаллийа̄ аьдамла иле,
PRO.1.12	журжагьлицой, къацӀцӀа̄ мийаълал,
PRO.1.12	шуналицой къацӀца̄ мизаъ мийахъолал.
PRO.1.13	Илол михъас батӀ-батӀаяб хазина,
PRO.1.13	илосзу билӀована бечедабли давлалис йилӀа йовацӀлал.
PRO.1.14	Мина илогъой къацӀо цӀула йагъос,
PRO.1.14	окколас кисана илос къацӀос бахъца!»
PRO.1.15	Вере, дие оьжо, ми гьоллола гьид эᵸкьа̄къа,
PRO.1.15	гьоллола гьиддойс ми ата̄ боха дибо хаьба.
PRO.1.16	Гьоллос хаьба̄ кешлъилал чӀанабагъос,
PRO.1.16	гьеᵸ къе̄ мейал бохойбалъечӀе гей гьолло̄л.
PRO.1.17	Пайда гаьъа къӣ тӀутӀийас,
PRO.1.17	йогбаццала мигьна̄нна йеганна.
PRO.1.18	Гьидесзу гьеᵸ къе̄ мейал гьолло̄л гьинона йохна бечена гей,
PRO.1.18	гьидесзу руьгь бугъолцас гей гьолло̄л.
PRO.1.19	Гьаьрамаб давла батӀийас гей вагьаллийо гьино,
PRO.1.19	вагьло давла ко̄ъ михъо̄йо сукӀона угъолца гьолълъо.
PRO.1.20	Аᵸкъиллъила къатӀлиъкьа̄ аьгьи богьцас гей,
PRO.1.20	будакӀаллиъкьа̄ гьокӀ йагъона илӀеш гьолълъо,
PRO.1.21	Хъуй-гьай тели гаьгьийа мицаъ илӀелацас гей,
PRO.1.21	шагьарбала кавлидой йечена,
PRO.1.21	аᵸкъиллъила вагьаддийа̄ йаьжбо нийасоцас гей:
PRO.1.22	«Йа, кьолла̄ аьдамла, нитокцалди мизол вагьли аьнтлъи хира йахъца?
PRO.1.22	Йа, йаьгь-ламус гаьчча̄ аьдаьмла, нитокцалди миже кеп йокчиш кӀетӀосинабликьа лъоᵸвабана?
PRO.1.22	Йа, аьбдалла, нитокцалди мизол илмо-лъай цӀодоло бегас?
PRO.1.23	Дие йаьжбо аьᵸдалаъна йеᵸйагьна, миже кантӀизи ба̄хъда,
PRO.1.23	до мизокьа гуъал диела йакӀиъ гаьгьийосинаб жо,
PRO.1.23	дие йаьжбона йеᵸйагьал мизол.
PRO.1.24	До илӀела̄йо – миже энекзи ба̄хъеэш,
PRO.1.24	до ко̄ гуцӀолло – лъона гьули йохеэш.
PRO.1.25	Миже йовахеэш къацӀцӀа̄ дие аᵸкълова,
PRO.1.25	дие малъийана мизола йакӀил оьвалеэш.
PRO.1.26	Вагьалълъобза дона лъоᵸва̄л мизокьа балагь мокъа̄лъо,
PRO.1.26	дона кеп йокчал мизокьа йукъо гьинкъи кьодо йоᵸкъа̄лъо.
PRO.1.27	Мизокьа гьасаъас гьолошиги-болоцой йукъо гьинкъи кьодо йоᵸкъа̄лъо,
PRO.1.27	йилӀа йукъо залӀоцой балагь кьодо мокъа̄лъо,
PRO.1.27	акъуба-къарилъила билӀабакъонна боваха̄лъо,
PRO.1.28	миже дӣхъа илӀелаба̄л муьхобалъдана, до энекзи йахъаъас,
PRO.1.28	до йиᵸзал муьхобалъдана, мизол до йиᵸхъаъас,
PRO.1.29	илмо-лъайна мизол батӀаъалъ,
PRO.1.29	БетӀергьаллиъкьа̄ мокъоцас гьинкъина къабул боваъалъ,
PRO.1.30	Дие аᵸкъло-насигьатлана аьᵸдалаъ йеᵸйагьаъалъ,
PRO.1.30	дие малъна бохаъалъ.
PRO.1.31	Гьидела лъаькъейа̄ ишла̄ла хоьхкьа гуцӀойо чикейо пихъ йуьᵸхъча гьолло,
PRO.1.31	гьидела чикейа̄ пикрова̄ оᵸхана йовацӀилца гьолло,
PRO.1.32	кьолла̄ аьдамла̄ла гьинода̄ гьолло̄л бувагъоллъо,
PRO.1.32	аьбдалла̄слъийо пикро гаьччолъила гьолло̄л пасад бовагьлъо.
PRO.1.33	Амма дӣхъа энекзи ахъцас сукӀо сагъ-саламатлъилаъ гьихлъас,
PRO.1.33	балагьлихъа гьичӀечӀе гьули раьгьатлъилаъ ахъас».
PRO.2.1	Йе дие оьжо, дие йаьжбо аьᵸдалаъ йеᵸйагьда,
