GEN.1.1	Pada mulanya, ketika Allah mula menciptakan alam semesta,
GEN.1.2	bumi belum berbentuk dan masih kacau-bilau. Samudera yang bergelora, yang menutupi segala sesuatu, diliputi oleh kegelapan yang pekat, tetapi kuasa Allah
GEN.1.3	 Allah berfirman, “Hendaklah ada cahaya,” lalu cahaya pun ada. 
GEN.1.4	Allah berpuas hati melihat hal itu. Kemudian Dia mengasingkan cahaya daripada kegelapan. 
GEN.1.5	Dia menamakan cahaya itu “Siang” dan kegelapan itu “Malam”. Setelah malam dan pagi berlalu, itulah hari yang pertama.
GEN.1.6+GEN.1.7	Kemudian Allah berfirman, “Hendaklah ada kubah untuk membahagikan air menjadi dua bahagian, dan membendungnya dalam dua tempat yang terpisah.” Lalu hal itu berlaku. Demikianlah Allah menjadikan kubah yang memisahkan air yang ada di bawah kubah itu daripada air yang ada di atasnya. 
GEN.1.8	 Allah menamakan kubah itu “Langit”. Setelah malam dan pagi berlalu, itulah hari yang kedua.
GEN.1.9	Kemudian Allah berfirman, “Hendaklah air yang ada di bawah langit mengalir ke satu tempat agar tanah kelihatan.” Lalu hal itu berlaku. 
GEN.1.10	Allah menamakan tanah itu “Darat” dan kumpulan air itu “Laut”. Allah berpuas hati melihat hal itu. 
GEN.1.11	Allah berfirman lagi, “Hendaklah tanah mengeluarkan segala jenis tumbuh-tumbuhan, iaitu jenis yang menghasilkan biji-bijian dan jenis yang menghasilkan buah.” Lalu hal itu berlaku. 
GEN.1.12	Demikianlah tanah mengeluarkan segala jenis tumbuh-tumbuhan. Allah berpuas hati melihat hal itu. 
GEN.1.13	Setelah malam dan pagi berlalu, itulah hari yang ketiga.
GEN.1.14	Kemudian Allah berfirman, “Hendaklah ada benda-benda terang di langit untuk memisahkan siang daripada malam, dan untuk menunjukkan permulaan hari, tahun, serta perayaan agama.
GEN.1.15	Benda-benda terang itu akan bersinar di langit untuk menerangi bumi.” Lalu hal itu berlaku. 
GEN.1.16	Demikianlah Allah menjadikan dua benda terang yang besar, iaitu matahari untuk menguasai siang dan bulan untuk menguasai malam; selain itu Dia juga menjadikan bintang-bintang. 
GEN.1.17	Allah menempatkan benda-benda terang itu di langit untuk menerangi bumi, 
GEN.1.18	untuk menguasai siang serta malam, dan untuk mengasingkan cahaya daripada kegelapan. Allah berpuas hati melihat hal itu. 
GEN.1.19	Setelah malam dan pagi berlalu, itulah hari yang keempat.
GEN.1.20	Kemudian Allah berfirman, “Hendaklah air dipenuhi berjenis-jenis makhluk hidup, dan udara dipenuhi berjenis-jenis burung.” 
GEN.1.21	Demikianlah Allah menciptakan binatang raksasa laut, dan semua jenis makhluk yang hidup di dalam air, serta semua jenis burung. Allah berpuas hati melihat hal itu. 
GEN.1.22	Allah memberkati semuanya dan memberikan perintah kepada makhluk yang hidup di dalam air supaya membiak serta memenuhi laut, dan juga kepada semua jenis burung supaya bertambah banyak. 
GEN.1.23	Setelah malam dan pagi berlalu, itulah hari yang kelima.
GEN.1.24	Kemudian Allah berfirman, “Hendaklah bumi mengeluarkan semua jenis binatang darat: binatang jinak, dan binatang liar yang besar mahupun yang kecil.” Lalu hal itu berlaku. 
GEN.1.25	Demikianlah Allah menjadikan semuanya dan Dia berpuas hati melihat hal itu.
GEN.1.27	 Demikianlah Allah menciptakan manusia dan menjadikan mereka seperti diri-Nya sendiri. Dia menciptakan mereka lelaki dan perempuan. 
GEN.1.28	 Kemudian Dia memberkati mereka dan berfirman, “Hendaklah kamu mempunyai anak cucu yang banyak, supaya keturunan kamu menduduki seluruh muka bumi dan menguasainya. Hendaklah kamu menguasai semua ikan, burung, dan binatang liar. 
GEN.1.29	Aku memberi kamu segala jenis tumbuh-tumbuhan yang menghasilkan biji-bijian dan buah-buahan, sebagai makanan kamu. 
GEN.1.30	Aku memberikan rumput dan tanaman berdaun sebagai makanan kepada semua burung dan binatang liar yang lain.” Lalu hal itu berlaku. 
GEN.1.31	Allah memandang semua yang sudah dijadikan-Nya dan Dia sangat berpuas hati. Setelah malam dan pagi berlalu, itulah hari yang keenam.
GEN.2.1	Dengan demikian selesailah penciptaan seluruh alam semesta. 
GEN.2.2	 Pada hari yang ketujuh, Allah menyelesaikan pekerjaan-Nya, lalu Dia berehat. 
GEN.2.3	 Allah memberkati hari yang ketujuh dan menjadikan hari itu sebagai hari istimewa, kerana pada hari itu Allah berehat setelah menyelesaikan pekerjaan-Nya. 
