MAT.1.1	Ekitabu kyesyondengo sya Yesu Kristo, mugala wa Dawidi, mugala wa Abrahamu.
MAT.1.2	Abrahamu abya ise wa Isaka, na Isaka abya ise wa Yakobo, na Yakobo abya ise wa Yuda na bagala babo, 
MAT.1.3	na Yuda abya ise wa Parezi na Zera uku Tamari, na Parezi abya ise wa Hesironi, na Hesironi abya ise wa Ramu, 
MAT.1.4	Ramu abya ise wa Aminadabu, na Aminadabu abya ise wa Nasoni, Nasoni abya ise wa Salmoni, 
MAT.1.5	Salmoni abya ise wa Boazi uku Rahaba, Boazi abya ise wa Obedi uku Ruta, Obedi abya ise wa Yese, 
MAT.1.6	Yese abya ise womwami Dawidi. Dawidi abya ise wa Solomono okwoyo wabya mukali wa Uria, 
MAT.1.7	Solomono abya ise wa Reheboamu, Reheboamu abya ise wa Abiya, 
MAT.1.8	Abiya abya ise wa Asa, Asa abya ise wa Yosafati, Yosafati abya ise wa Yoramu, Yoramu abya ise wa Uzia, 
MAT.1.9	Uzia abya ise wa Yotamu, Yotamu abya ise wa Ahazi, Ahazi abya ise wa Hezekia, 
MAT.1.10	Hezekia abya ise wa Manase, Manase abya ise wa Amoni, Amoni abya ise wa Yosia, 
MAT.1.11	Yosia abya ise wa Yekonia na bagala babo, oko mugulu werihumiribwa eBabeli.
MAT.1.12	Nenyuma werihumiribwa eBabeli: Yekonia abya ise wa Saltieli, Saltieli abya ise wa Zerubali, 
MAT.1.13	Zerubali abya ise wa Abihudi, Abihudi abya ise wa Eliakimu, Eliakimu abya ise wa Azoro, 
MAT.1.14	Azoro abya ise waSadoki, Sadoki abya ise wa Akimu, Akimu abya ise wa Elihudi, 
MAT.1.15	Elihudi abya ise wa Eleazari, Eleazari abya ise wa Matani, Matani abya ise wa Yakobo, 
MAT.1.16	Yakobo abya ise wa Yosefu iba wa Maria oyo wabuta Yesu, oyu kahulawa mo Kristo.
MAT.1.17	Ritya esyondengo syosi eritsuka ku Abrahamu erihika uku Dawidi ni ndengo ikumi nini, neritsuka uku Dawidi erihika okwihumiribwa eBabeli ni ndengo ikumi nini neritsuka okwihumiribwa eBabeli erihika uku Kristo ni ndengo ikumi nini.
MAT.1.18	Eributwa rya Yesu Kristo ko ryabya ritya. Koyo wuwe ye Maria iniamabisimolibwa na Yosefu, isiariamuherukya mwaminyikala kwobukule bweKirimu Kibuyirire; 
MAT.1.19	Yosefu iba wuwe, kusangwa abya mundu atunganene isianzire erimwita esisoni, mwaminya kwakandimuhiga bubi-sobiso. 
