MAT.1.1	Mɛkana maka kɛ lɛpɔ kasi Yesus Krist nɛ̀ mɛɗinɔ mɛ ɓesaŋmbambɔ ɓenɛ. Nyɛ nday Davit, nday Abaraham. 
MAT.1.2	Abaraham jama Isak, ɛ Isak ja Yakɔp, ɛ Yakɔp ja Yuda ɓenɛ ɓemaŋ. 
MAT.1.3	Yuda jama Farɛs nɛ̀ Jara kɛ mɔy nyaŋgwɛ te wan Tamar. Farɛs jama Ɛsrom, ɛ Ɛsrom ja Aram. 
MAT.1.4	Aram jama Aminadap, Aminadap jama Nasɔn, ɛ Nasɔn ja Salmɔn. 
MAT.1.5	Salmɔn jama Bowas kɛ mɔy nyaŋgwɛ te wenɛ Rahab, ɛ Bowas ja Yobɛd kɛ mɔy nyaŋgwɛ te wenɛ Rut. Yobɛd jama Isay, 
MAT.1.6	Isay jama Davit, ɛ kumande Davit ɓu̧ nya Uri ja nɛ Salomɔŋ. 
MAT.1.7	Salomɔŋ jama Robowam, Robowam jama Abiya, ɛ Abiya ja Asa. 
MAT.1.8	Asa jama Yosafat, ɛ Yosafat ja Yoram, ɛ Yoram ja Osiyas. 
MAT.1.9	Osiyas jama Yoyatam, Yoyatam jama Akas, ɛ Akas ja Esekiyas. 
MAT.1.10	Esekiyas jama Manase, Manase jama Amɔn, ɛ Amɔn ja Yosiyas. 
MAT.1.11	Yosiyas jama Yekoniyas ɓenɛ ɓemaŋ kɛ ŋgimɔ te yi ɓo ɓiyma nɛ Ɓɔnɔ ɓe Isarayɛl kɛ̀ nɔ kɛ ɗiyɔ bala kɛ Babilɔn kɛ́. 
MAT.1.12	Kɛ yɔkwa̧ ɗiyɔ bala kɛ Babilɔn, ɛ Yekoniyas ja Salatiyɛl, ɛ Salatiyɛl ja Sorobabɛl. 
MAT.1.13	Sorobabɛl nja̧ ja Abiyud, Abiyud jama Eliyakim, ɛ Eliyakim ja Asɔr. 
MAT.1.14	Asɔr jama Sadɔk, Sadɔk jama Akim, ɛ Akim ja Eliyud. 
MAT.1.15	Eliyud jama Eliyasar, Eliyasar jama Matan, ɛ Matan ja Yakɔp. 
MAT.1.16	Yakɔp nja̧ ja Yosɛp te njoŋɔ nɛ Mariya. Yo Mariya te ja Yesus te yi ɓo jeɓa nde *Krist kɔ. 
MAT.1.17	Ɗete, kandɛ Abaraham kumɔ Davit ɓomɔ jaɗya nɛ ndɛndi te kumɔ kamɔ jɔ yini. Kandɛ Davit kumɔ kɛ ŋgimɔ te yi ɓo ɓiyma nɛ Ɓɔnɔ ɓe Isarayɛl kɛ̀ nɔ kɛ ɗiyɔ bala kɛ Babilɔn kɛ́, ɓomɔ jaɗya nɛ ndɛndi te kumɔ kamɔ jɔ yini. Kandɛ kɛ ŋgimɔ kɛna ɗiyɔ bala kumɔ kɛ ŋgimɔ jariki Krist ɓomɔ jaɗya nɛ ndɛndi te kumɔ kamɔ jɔ yini sendi.
MAT.1.18	Jariki Yesus Krist kwaŋnama ɗekɛ: Yo ɓa̧ kponate nde, nyaŋgwɛ wenɛ Mariya ta kelɔ gwaki ɓenɛ Yosɛp. Ma piŋɔ te yi ɓenɛ nyɛ tì pa ɓokwɛ to, ɛ Mariya semɛ nde, a mɛ nɛ mɔy nɛ ɗeti te yi Kimɔ Sisiŋ. 
MAT.1.19	Njoŋɔ wenɛ Yosɛp ɓa̧ nɛ ŋgbeŋ. A tì kwaɗyɛ wuŋgwɛ nyɛ kɛ mbɔmbu ɓomɔ na. Ɛ nyɛ pɛsɛ nde, a ta tikɔ nyɛ kinɛ nde, ɓomɔ dûkwɛ na. 
MAT.1.20	Piŋɔ te yi nyɛ ɓa̧ ndi kɛ takina ɗete kɛ́, ɛ wɛtɛ jaki Baba Mbokɔ ɗya̧ kɛ yenɛ nɛ nje te yi nyɛnɔ lɛpɔ nyɛ nyɛ nde: «Yosɛp te mɔnɔ Davit, wɛ tî gwaki wɔ̧ te yi ɓu̧ nyari wɔ Mariya nɛ mɛgwaki na, kɛto mɔy te yi nyɛ nɔ kɛ́, a ɓóŋ nɛ ɗeti te yi Kimɔ Sisiŋ. 
MAT.1.21	A ta ja mɔnɔ mbam, wɛ ta lo nyɛ nde Yesus, kɛto yo nyɛ ta joŋgwɛ ɓotu ɓe kandɔ ɗyenɛ kɛ mɛɓeyɔ man.»
MAT.1.22	Mɛyasi mɛte hɛnɛ kwaŋnama ɗete, nɛ́ lɛpi te yi Baba Mbokɔ kwaŋɗya kɛ numbu mɔ punja mɛlɛpi mɛnɛ kɛ́ si tôndu. 
MAT.1.23	A lɛpima nde: ‹Nɛ ɓɛ̂ŋa, ɓindi ŋgɔndu ta tɔkɛ mɔy ja mɔnɔ mbam. Ɓo ta lo nyɛ nde Emanuwɛl.› Yite nde: Njambiyɛ mɛ sinɛ ɓo. 
MAT.1.24	Kɛ Yosɛp ma jemiyɛ kɛ́, ɛ nyɛ kelɛ nda yi jaki Baba Mbokɔ lɛpima nyɛ nyɛ kɛ́. Ɛ nyɛ ɓu̧ nyari wenɛ Mariya. 
MAT.1.25	Ko a tì kpokɛ nyɛ na kumɔ kɛ ŋgimɔ te yi Mariya jama nɛ bosa mɔnɔ wenɛ, mɔnɔ mbam. Ɛ Yosɛp lo nyɛ nde Yesus.
MAT.2.1	Yesus jaɗya kɛ Betɛlɛhɛm kɛ mɛnɛti mɛ Yuda kɛ ŋgimɔ te yi Herod ɓa̧ kumande kɛ́. Yo ɓa̧ nɛ ɓotu ɓe duwa̧ mɛyasi kɛ kasi ɓesisɔ̧. Ɛ ɓo tɛmɛ wulɛ pulɔ komɛ yesɔ pundɛ kɛ́ ɗya̧ kɛ Yerusalɛm 
MAT.2.2	diyɛ nde: «Kumande Ɓeyudɛn te ɛ jaɗya kɔkɔ te tì pa kikɔ kɔ ɓa we? Kɛto wusɛ semma sisɔ̧ wenɛ kɛ pulɔ komɛ yesɔ pundɛ kɛ́, ɛ wusɛ nje yí nje kanɔ nyɛ.» 
MAT.2.3	Kɛ kumande Herod ma wokɔ ɗete kɛ́, ɛ lɛpi ɓanɛ nyɛ ɓenɛ ɓotu ɓe Yerusalɛm hɛnɛ. 
MAT.2.4	Ɛ nyɛ wesiɗye ɓekum ɓe ɓotu ɓe nyɛna sadaka nyɛ Njambiyɛ hɛnɛ nɛ̀ ɓotu ɓe kɛtina mɛyasi ɓe kandɔ Isarayɛl yí diyɛ ɓo mbɛy te yi *Krist yâkaŋgwɛ jaɗyɛ kɛte kɛ́. 
