MAT.1.1	Tone nüri bama pünanaquiti Jesucristo tücañe, bama ipiarientetorrti David y arrti Abraham.
MAT.1.2	Arrti Abraham tonenti yaütoti Isaac. Arrti Isaac tonenti yaütoti Jacob. Arrti Jacob tonenti yaütoti Judá, y arrübama yaruquitorrti. 
MAT.1.3	Arrti Judá tonenti yaütoti Fares ichepeti Zara. Nipiacütorrüma nürirri Tamar. Arrti Fares tonenti yaütoti Esrom, naqui yaütoti Aram. 
MAT.1.4	Arrti Aram tonenti yaütoti Aminadab, naqui yaütoti Naasón. Arrti Naasón tonenti yaütoti Salmón. 
MAT.1.5	Arrti Salmón tonenti yaütoti Booz. Nipiacütoti nürirri Rahab. Arrti Booz tonenti yaütoti Obed. Nipiacütoti Obed nürirri Rut. Arrti Obed tonenti yaütoti Isaí. 
MAT.1.6	Arrti Isaí tonenti yaütoti yüriaburrü David. Arrti yüriaburrü David posoti aübu nicüpostoti Urías y anati aütorrüma nürirrti Salomón.
MAT.1.7	Arrti Salomón tonenti yaütoti Roboam. Arrti Roboam tonenti yaütoti Abías naqui yaütoti Asa. 
MAT.1.8	Arrti Asa tonenti yaütoti Josafat. Arrti Josafat tonenti yaütoti Joram naqui yaütoti Uzías. 
MAT.1.9	Arrti Uzías tonenti yaütoti Jotam. Arrti Jotam tonenti yaütoti Acaz. Arrti Acaz tonenti yaütoti Esequías. 
MAT.1.10	Arrti Esequías tonenti yaütoti Manasés. Arrti Manasés tonenti yaütoti Amón. Arrti Amón tonenti yaütoti Josías. 
MAT.1.11	Arrti Josías tonenti yaütoti Jeconías ichepe bama yaruquitorrti au manu tiemporrü nauquiche süromatü bama israelitarrü au Babilonia presoma ui masortaboca babiloniorrü.
MAT.1.12	Auqui arrti Jeconías tonenti yaütoti Salatiel, naqui yaütoti Zorobabel. 
MAT.1.13	Arrti Zorobabel tonenti yaütoti Abiud. Arrti Abiud tonenti yaütoti Eliaquim, naqui yaütoti Azor. 
MAT.1.14	Arrti Azor tonenti yaütoti Sadoc. Arrti Sadoc tonenti yaütoti Aquim. Arrti Aquim tonenti yaütoti Eliud. 
MAT.1.15	Arrti Eliud tonenti yaütoti Eleazar. Arrti Eleazar tonenti yaütoti Matán. Arrti Matán tonenti yaütoti Jacob. 
MAT.1.16	Arrti Jacob tonenti yaütoti José iquiana Mariarrü, nipiacütoti Jesús, naqui Cristo.
MAT.1.17	Abe catorce familiarrü auquiti Abraham hasta arrti yüriaburrü David. Auquiti David hasta numo süromatü au Babilonia abe ito catorce familiarrü. Auqui manu tiemporrü hasta numo anati icu cürrü Cristo abe ito catorce familiarrü.
MAT.1.18	Sane numo aübo anati icu cürrü Jesucristo: Arrüna nipiacütoti nürirri Mariarrü. Comprometebo apo aübuti taman ñoñünrrü nürirrti José. Chüposopümainqui, pero tanancati ipiaümacarrü icütüpü ui noñemarrti Espíritu Santo. 
MAT.1.19	Arrti José champü causane au nisüboriquirrti. Chirranrrtipü uraboiti isucarü genterrü arrüna nipünate au ñaquioncorrti. Sane nauquiche rrantipü aiñocoti Mariarrü anecanatai, tapü cuaso ui macrirrtianuca. 
MAT.1.20	Numo anancati ñapensatioti arrüna sane, tamanti ángel auqui napese itusiancanatiyü isucarüti au niposiquirrti, nanti ümoti:
MAT.1.20	—José, arrücü auqui nesarrti familiarrü David, tapü airruca asuriu Mariarrü acüposübocü, itopiqui arrti maniqui aürrü anati icütüpü, ta ui noñemarrti Espíritu Santo. 
MAT.1.21	Arrtü tanati icu cürrü aiña üriboti Jesús. Itopiqui uiti ñana taesüburuma macrirrtianuca eanaqui nomünantü.
