GEN.1.1	Yn y dechreuad creodd Duw y nefoedd a'r ddaear. 
GEN.1.2	Yr oedd y ddaear yn afluniaidd a gwag, ac yr oedd tywyllwch ar wyneb y dyfnder, ac ysbryd Duw
GEN.1.3	A dywedodd Duw, “Bydded goleuni.” A bu goleuni. 
GEN.1.4	Gwelodd Duw fod y goleuni yn dda; a gwahanodd Duw y goleuni oddi wrth y tywyllwch. 
GEN.1.5	Galwodd Duw y goleuni yn ddydd a'r tywyllwch yn nos. A bu hwyr a bu bore, y dydd cyntaf.
GEN.1.6	Yna dywedodd Duw, “Bydded ffurfafen yng nghanol y dyfroedd yn gwahanu dyfroedd oddi wrth ddyfroedd.” 
GEN.1.7	A gwnaeth Duw y ffurfafen, a gwahanodd y dyfroedd odani oddi wrth y dyfroedd uwchlaw iddi. A bu felly. 
GEN.1.8	Galwodd Duw y ffurfafen yn nefoedd. A bu hwyr a bu bore, yr ail ddydd.
GEN.1.9	Yna dywedodd Duw, “Casgler ynghyd y dyfroedd dan y nefoedd i un lle, ac ymddangosed tir sych.” A bu felly. 
GEN.1.10	Galwodd Duw y tir sych yn ddaear, a chronfa'r dyfroedd yn foroedd. A gwelodd Duw fod hyn yn dda. 
GEN.1.11	Dywedodd Duw, “Dyged y ddaear dyfiant, llysiau yn dwyn had, a choed ir ar y ddaear yn dwyn ffrwyth â had ynddo, yn ôl eu rhywogaeth.” A bu felly. 
GEN.1.12	Dygodd y ddaear dyfiant, llysiau yn dwyn had yn ôl eu rhywogaeth, a choed yn dwyn ffrwyth â had ynddo, yn ôl eu rhywogaeth. A gwelodd Duw fod hyn yn dda. 
GEN.1.13	A bu hwyr a bu bore, y trydydd dydd.
GEN.1.14	Yna dywedodd Duw, “Bydded goleuadau yn ffurfafen y nefoedd i wahanu'r dydd oddi wrth y nos, ac i fod yn arwyddion i'r tymhorau, a hefyd i'r dyddiau a'r blynyddoedd. 
GEN.1.15	Bydded iddynt fod yn oleuadau yn ffurfafen y nefoedd i oleuo ar y ddaear.” A bu felly. 
GEN.1.16	Gwnaeth Duw y ddau olau mawr, y golau mwyaf i reoli'r dydd, a'r golau lleiaf y nos; a gwnaeth y sêr hefyd. 
GEN.1.17	A gosododd Duw hwy yn ffurfafen y nefoedd i oleuo ar y ddaear, 
GEN.1.18	i reoli'r dydd a'r nos ac i wahanu'r goleuni oddi wrth y tywyllwch. A gwelodd Duw fod hyn yn dda. 
GEN.1.19	A bu hwyr a bu bore, y pedwerydd dydd.
GEN.1.20	Yna dywedodd Duw, “Heigied y dyfroedd o greaduriaid byw, ac uwchlaw'r ddaear eheded adar ar draws ffurfafen y nefoedd.” 
GEN.1.21	A chreodd Duw y morfilod mawr, a'r holl greaduriaid byw sy'n heigio yn y dyfroedd yn ôl eu rhywogaeth, a phob aderyn asgellog yn ôl ei rywogaeth. A gwelodd Duw fod hyn yn dda. 
GEN.1.22	Bendithiodd Duw hwy a dweud, “Byddwch ffrwythlon ac amlhewch a llanwch ddyfroedd y moroedd, a lluosoged yr adar ar y ddaear.” 
GEN.1.23	A bu hwyr a bu bore, y pumed dydd.
GEN.1.24	Yna dywedodd Duw, “Dyged y ddaear greaduriaid byw yn ôl eu rhywogaeth: anifeiliaid, ymlusgiaid a bwystfilod gwyllt yn ôl eu rhywogaeth.” A bu felly. 
GEN.1.25	Gwnaeth Duw y bwystfilod gwyllt yn ôl eu rhywogaeth, a'r anifeiliaid yn ôl eu rhywogaeth, a holl ymlusgiaid y tir yn ôl eu rhywogaeth. A gwelodd Duw fod hyn yn dda.
GEN.1.26	Dywedodd Duw, “Gwnawn ddyn ar ein delw, yn ôl ein llun ni, i lywodraethu ar bysgod y môr, ar adar yr awyr, ar yr anifeiliaid gwyllt, ar yr holl ddaear, ac ar bopeth sy'n ymlusgo ar y ddaear.” 
GEN.1.27	Felly creodd Duw ddyn ar ei ddelw ei hun; ar ddelw Duw y creodd ef; yn wryw ac yn fenyw y creodd hwy. 
GEN.1.28	Bendithiodd Duw hwy a dweud, “Byddwch ffrwythlon ac amlhewch, llanwch y ddaear a darostyngwch hi; llywodraethwch ar bysgod y môr, ar adar yr awyr, ac ar bopeth byw sy'n ymlusgo ar y ddaear.”
GEN.1.29	A dywedodd Duw, “Yr wyf yn rhoi i chwi bob llysieuyn sy'n dwyn had ar wyneb y ddaear, a phob coeden â had yn ei ffrwyth; byddant yn fwyd i chwi. 
GEN.1.30	Ac i bob bwystfil gwyllt, i holl adar yr awyr, ac i bopeth sy'n ymlusgo ar y ddaear, popeth ag anadl einioes ynddo, bydd pob llysieuyn glas yn fwyd.” A bu felly. 
GEN.1.31	Gwelodd Duw y cwbl a wnaeth, ac yr oedd yn dda iawn. A bu hwyr a bu bore, y chweched dydd.
GEN.2.1	Felly gorffennwyd y nefoedd a'r ddaear a'u holl luoedd. 
GEN.2.2	Ac erbyn y seithfed dydd yr oedd Duw wedi gorffen y gwaith a wnaeth, a gorffwysodd ar y seithfed dydd oddi wrth ei holl waith. 
GEN.2.3	Am hynny bendithiodd Duw y seithfed dydd a'i sancteiddio, am mai ar hwnnw y gorffwysodd Duw oddi wrth ei holl waith yn creu.
GEN.2.4	Dyma hanes cenhedlu'r nefoedd a'r ddaear pan grewyd hwy.
GEN.2.4	Yn y dydd y gwnaeth yr 
GEN.2.5	nid oedd un o blanhigion y maes wedi dod ar y tir, nac un o lysiau'r maes wedi blaguro, am nad oedd yr 
GEN.2.6	ond yr oedd tarth yn esgyn o'r ddaear ac yn dyfrhau holl wyneb y tir. 
GEN.2.7	Yna lluniodd yr 
GEN.2.8	A phlannodd yr 
GEN.2.9	A gwnaeth yr 
GEN.2.10	Yr oedd afon yn llifo allan o Eden i ddyfrhau'r ardd, ac oddi yno yr oedd yn ymrannu'n bedair. 
GEN.2.11	Enw'r afon gyntaf yw Pison; hon sy'n amgylchu holl wlad Hafila, lle y ceir aur; 
GEN.2.12	y mae aur y wlad honno'n dda, ac yno ceir bdeliwm a'r maen onyx. 
GEN.2.13	Enw'r ail yw Gihon; hon sy'n amgylchu holl wlad Ethiopia. 
GEN.2.14	Ac enw'r drydedd yw Tigris; hon sy'n llifo o'r tu dwyrain i Asyria. A'r bedwaredd afon yw Ewffrates.
