MAT.1.1	Iga nyigo marina ga waku wa Yesu Kristo awei o kyishari kya Dawidi na Abrahamu.
MAT.1.2	Abrahamu nalefee Isakyi, Isakyi kafee Yakobo; Yakobo kafee Yuda na wana wa wamae. 
MAT.1.3	Yuda kafee Peresi na Sera ipfo ko Tamari; Peresi kafee Esiromu; Esiromu kafee Aramu. 
MAT.1.4	Aramu kafee Aminadabu; Aminadabu kafee Nashon, Nashon kafee Salyimone. 
MAT.1.5	Salyimone kafee Boasi ko Rahabu; Boasi kafee Obedi ko Ruti, Obedi kafee Yese. 
MAT.1.6	Yese kafee Mangyi Dawidi.
MAT.1.6	Dawidi kafee Solomon ko mka ulya o Uria. 
MAT.1.7	Solomon kafee Rehoboamu; Rehoboamu kafee Abiya; Abiya kafee Asa. 
MAT.1.8	Asa kafee Yoshafati; Yoshafati kafee Yoramu; Yoramu kafee Usia. 
MAT.1.9	Usia kafee Yotamu; Yotamu kafee Ahasi; Ahasi kafee Esekyia. 
MAT.1.10	Esekyia kafee Manase; Manase kafee Amon; Amon kafee Yosia. 
MAT.1.11	Yosia kafee Yekonia na wana wa wamae, kyiyeri kya wana wa Isiraelyi waleṙoo wusingyenyi kulya Babelyi.
MAT.1.12	Na numa ya wusamiṟo wulya wo Babelyi, Yekonia kafee Shealyitielyi; Shealyitielyi kafee Serubabelyi. 
MAT.1.13	Serubabelyi kafee Abihudi; Abihudi kafee Elyiakyimu; Elyiakyimu kafee Asori. 
MAT.1.14	Asori kafee Sadokyi; Sadokyi kafee Akyimu; Akyimu kafee Elyiudi. 
MAT.1.15	Elyiudi kafee Elyieseri; Elyieseri kafee Matani; Matani kafee Yakobo. 
MAT.1.16	Yakobo kafee Yosefu mii o Maria alefee Yesu elago Kristo.
MAT.1.17	Koikyo marika goose wookyia Abrahamu mṟasa Dawidi nyi ikumi na gaana. Na wookyia Dawidi mṟasa kyiyeri wana wa Isiraelyi waleṙoo wusingyenyi kulya Babelyi nyi marika ikumi na gaana. Na wookyia wusamiṟo wo Babelyi mṟasa Kristo nyi marika ikumi na gaana.
MAT.1.18	Yesu Kristo nalefeo kuṙi. Maria wamae kyiyeri aweṙuṙo nyi Yosefu, walandekooyane kyimmbiu nalewono ai mlemo kui wuiṙimi wo Mumuyo Mweele. 
MAT.1.19	Na Yosefu, mii okye, kyipfa kya ilyi-indi awekyeri mndu msumganyi alakunde imsutsa, kaṙumbuo imṙa kui kyiṟika. 
MAT.1.20	Kyasia-ng'u kyiyeri awekusaṟa isho, malaika o Mndumii kamchia ndoṙonyi, echigamba, “Yosefu, mana o Dawidi, ulaowuoe iṙuo Maria mka opfo, kyipfa ikyo kyikyimooge kokye nyi kui wuiṙimi wo Mumuyo Mweele. 
MAT.1.21	Na oe nechienengo mana o womi, na iyoe nochimlaga Yesu, kyipfa, nyi oe echiwuta wandu wakye ngyuunyamaṟi tsawo. 
MAT.1.22	Isho shoose shaṟundika kundu kyiafukyie kyindo kyileṙeṙo nyi Mndumii kui ndumo ya moonguo shisuku echigamba,
MAT.1.23	‘Ambuya, mana mkyega nechiira mana,
MAT.1.23	na oe nechienengo mana o womi;
MAT.1.23	nawo wechimlaga Imanuelyi;
MAT.1.23	ikyo nyi kyimwi na igamba, Ruwa hamwi na soe.’ ”
MAT.1.24	Na Yosefu lyilya aleamka iwuka maṙoenyi, nalewuta chandu malaika o Mndumii alemmbia. Kaṙuo mka okye; 
MAT.1.25	alakooyane na oe kyimmbiu maa lyimwi, mṟasa kyiyeri aleenengo mana okye; kamlaga Yesu.
MAT.2.1	Lyilya Yesu alefeo Betilehemu ya Uyuda, kacha kyiyeri kya mangyi Herode, wandu wawewoṙe wuṟango wo mbonyi tsa nyenyeri wa ura lo ngamenyi waleshika Yerusalemu, wechigamba, 
MAT.2.2	“Nyi kwi ai ulya alefeo mangyi o Wayuda? Kyipfa lulewona nyenyeri yakye ura lo ngamenyi, na soe locha luchemuolokyia.” 
MAT.2.3	Kyasia mangyi Herode amuicho isho, nalewoṙo nyi fowa mrimenyi, na wandu wa Yerusalemu taa hamwi na oe. 
MAT.2.4	Kasania wang'anyi wa makohanyi woose na walosha wa mawawaso, kapfula mbonyi kowo, Kristo nafeo kwi? 
MAT.2.5	Nawo wakammbia, “Kyiiṙi kya Betilehemu ya Uyuda; kyipfa nyi wuṙo kyiwekyiṟeie nyi moonguo shisuku:
MAT.2.6	‘Na iyoe Betilehemu, urukyenyi lo Yuda,
MAT.2.6	ukyeri mtutu wachilyinyi wa Yuda maa ale-pfo;
MAT.2.6	kyipfa kopfo nechiwuka mochilyia uruka,
MAT.2.6	echilyisa wandu wako Isiraelyi.’ ”
MAT.2.7	Numa Herode kalaga wandu walya wawoṙe wuṟango wo mbonyi tsa nyenyeri kawaṙa nawo kyisanzionyi kyiṟika kawawesa nyi indi nyenyeri-yo ilewoneka. 
MAT.2.8	Kawaṙuo Betilehemu, kagamba, “Yendenyi mundewesa mnu mbonyi tsa mana; na mukommbona, ngyiendienyi mbonyi, kundu na inyi ngyindemwindia.” 
MAT.2.9	Nawo waicho maṙeṙo ga mangyi, walewooka kyaro; na nyenyeri iya waleiwona ura lo ngamenyi ikawasongoya, mṟasa ikayenda ikagoṟoka wuye ya handu mana awekyeri. 
MAT.2.10	Na lyilya walewona nyenyeri iya walewoṙo nyi sia ing'anyi mnu. 
MAT.2.11	Wakaiṙa na numba, wakawona mana hamwi na Maria wamae, wakapfiria ndi wakamwindia; nawo wampfunguo mkunja yawo wakamwenengyia shindo sha woguru wung'anyi; sahapu na uvumba na manemane. 
MAT.2.12	Nawo wammbawaso nyi Ruwa ndoṙonyi walawiyilyie Herode, wakayenda urukyenyi kowo kui njia ingyi.
MAT.2.13	Na iwo wamuyende, malaika o Mndumii nalecha na ko Yosefu ndoṙonyi kagamba, “Yenda, uṙuo mana na wamae, uṙiche na Misiri, ukae pfo mṟasa ngyikuwie; kyipfa Herode nakundi ipfula mana namrumatse.” 
MAT.2.14	Kayenda kaṙuo mana na wamae kyio, kayenda Misiri, 
MAT.2.15	kakaa pfo mṟasa Herode kapfa; kundu kyiafukyie kyindo kyileṙeṙo nyi Mndumii kui ndumo ya moonguo shisuku, echigamba,
MAT.2.15	“Iwuka Misiri ngyilelaga mono-ko.”
