MAT.1.1	Jesucristo Abrahampaj Davidpajpiwan mirayninmanta carkan. Cayka Jesucristopaj abueloncuna: 
MAT.1.2	Abraham Isaacpaj tatan carkan, Isaactaj Jacobpaj tatan, Jacobtaj Judapaj waukencunapajpiwan tatan. 
MAT.1.3	Judataj Farespaj tatan carkan, Zarapajpiwan. Tamartaj mamancu carkan. Fares Esrompaj tatan carkan, Esromtaj Arampaj tatan, 
MAT.1.4	Aramtaj Aminadabpaj tatan, Aminadabtaj Naasonpaj tatan, Naasontaj Salmonpaj tatan. 
MAT.1.5	Salmón Boozpaj tatan carkan, mamantaj Rahab. Booz Obedpaj tatan carkan, Ruttaj Obedpaj maman, Obedtaj Isaipaj tatan, 
MAT.1.6	Isaitaj gobernaj rey Davidpaj tatan, rey Davidtaj Salomonpaj tatan, Salomonpaj mamantaj Uriaspaj warmin carkan.
MAT.1.7	Salomón Roboampaj tatan carkan, Roboamtaj Abiaspaj tatan, Abiastaj Asapaj tatan, 
MAT.1.8	Asataj Josafatpaj tatan, Josafattaj Jorampaj tatan, Joramtaj Uziaspaj tatan, 
MAT.1.9	Uziastaj Jotampaj tatan, Jotamtaj Acazpaj tatan, Acaztaj Ezequiaspaj tatan, 
MAT.1.10	Ezequiastaj Manasespaj tatan, Manasestaj Amonpaj tatan, Amontaj Josiaspaj tatan, 
MAT.1.11	Josiastaj Jeconiaspaj waukencunapajpiwan tatan carkan, Babiloniaman Israel runacunata preso apaskancu tiempopi.
MAT.1.12	Chaymantataj Jeconías Salatielpaj tatan carkan, Salatieltaj Zorobabelpaj tatan, 
MAT.1.13	Zorobabeltaj Abiudpaj tatan, Abiudtaj Eliaquimpaj tatan, Eliaquimtaj Azorpaj tatan, 
MAT.1.14	Azortaj Sadocpaj tatan, Sadoctaj Aquimpaj tatan, Aquimtaj Eliudpaj tatan. 
MAT.1.15	Eliud Eleazarpaj tatan carkan, Eleazartaj Matanpaj tatan, Matantaj Jacobpaj tatan, 
MAT.1.16	Jacobtaj Josepaj tatan, Josetaj Mariapaj kosan. Mariataj Jesuspaj maman carkan, churin Jesucristotaj Mesías.
MAT.1.17	Chay jinamanta Abrahammanta Davidcama chunca tawayoj abuelocuna carkancu. Davidmanta Israel runacuna Babiloniaman preso apaska caskancucama chunca tawayoj abuelocuna carkancu. Israel runacunata preso apaskancumanta Cristopaj naciskancama waj chunca tawayoj abuelocuna carkancu.
MAT.1.18	Jesucristopaj naciskan cay jina carkan: Maman María Josewan parlaska carkancu casaracunancupaj. Manaraj cusca tiyachcajtincu, Mariaka onkojña carkan Santo Espiritupaj atiyninwan. 
MAT.1.19	Kosan José sumaj justo runa caspa, mana munarkanchu Mariata sut'inta wijch'uyta. Chayraycu pacallamanta sakerpayayta pensarkan, María onkojña caskanraycu. 
MAT.1.20	Ajinataña pensajtintaj, Señorpaj angelnin Joseman moskoyninpi riqhurerkan, nerkantaj: “José, Davidpaj miraynin, ama manchachicuychu Mariawan casaracuyta, imaraycuchus chay wawaka Santo Espiritumanta. 
MAT.1.21	María churinta onkocojtin, sutichanqui Jesusta, imaraycuchus pay llajtanta juchancunamanta salvanka.”
MAT.1.22	Tucuy caycuna pasarkan, Señor Diospaj profetanpaj niskan junt'acunanpaj:
MAT.1.23	“Manaraj kharita rejsej sipas onkojyanka,
MAT.1.23	churiyoj canka, sutichankacutaj Emanuelta.”
MAT.1.23	(Niyta munan: “Dios nokanchiswan.”)
MAT.1.24	Puñuskanmanta rijch'arispataj, José angelpaj niskanman jina ruwarkan, Mariawantaj casaracaporkan. 
MAT.1.25	Chaywanpas mana esposocuna jina juntochu puñorkancu María churinta onkocunancama. Josetaj suticharkan Jesusta.
MAT.2.1	Judea provinciapi caj Belenpi Jesús nacerkan, gobernaj Herodes chaypi gobernachcajtin. Koyllurcunamanta yachajcuna inti llojsimuy ladomanta Jerusalenman chayamorkancu. 
MAT.2.2	Tapucorkancutaj:
MAT.2.2	—¿Maypitaj judiocunapaj reynin nacin? Inti llojsimuynejpi paypaj koyllurninta ricuycu, chayraycu payta adoraj jamuycu.
MAT.2.3	Gobernaj Herodestaj tucuy Jerusalenpi cajcunapiwan chayta uyarispa, ni imanayta aterkancuchu. 
MAT.2.4	Sacerdotecunapaj tucuy jefencunata leymanta yachachejcunatawan wajachispa, taporkan:
MAT.2.4	—¿Maypitaj Cristo nacinan carkan?
MAT.2.5	Paycunataj contestarkancu:
MAT.2.5	—Judea provinciapi caj Belenpi. Ajinata Diospaj profetan escriberkan:
MAT.2.6	‘Kan, Judeapi caj Belén, manami sinchi mana
MAT.2.6	casurana jinachu canqui Judeapaj athun
MAT.2.6	llajtancuna chaupinpi, imaraycuchus uj
MAT.2.6	curaj gobernaj kanmanta llojsenka.
MAT.2.6	Pay Israel llajtayta sumajta michenka.’
MAT.2.7	Herodestaj pacallamanta koyllurcunamanta yachajcunata wajaspa, allinta taporkan ima rato chay koyllur paycunaman riqhuriskanta. 
