LUK.1.1	Kän mange käsäkädä dackä ngakä wexeki kasogäning na kä'desesäning tä warogkang tä räbäne kä'day, 
LUK.1.2	winy kaꞌdas luguki känggi wexe ngakä Kaläg na koxtu nga na aga ndä lugung tä kogkang. 
LUK.1.3	Nenyang agänang na ngasang karäbtä ngakä weg käꞌday appoyo tä debic ndä oxowa apo ka agä mändey anggärekärejey bandagä räbäne tägi käxa ngondey Tiyafilus, 
LUK.1.4	ndey ka gi bäle zänggä ngakä wegki kaläpesäning tä giningang.
LUK.1.5	Tä butugku Xirudus buguningzä Yaxudiya, me tämed tä Kalägkandäng age ka Zakariya näs wayagkä menggä tämed tä Kaläg tä udsa säbangäs Abija. Ndä uxumandäng age ka Alizapad näs caxsä Xarunag. 
LUK.1.6	Pädaxkäsa sälelexiny tagä Kaläg ndä sämene ngakä täsediccä Kaläg käꞌday na akäsogi Kaläg payis känang appoyo. 
LUK.1.7	Ndä pipindäng täsa säxong xa uxuma Alizapad pixing, ndä sa pädaxkäsa saboxso.
LUK.1.8	Xongonendäng Zakariya na udsä menggä wexeki kamen wexetang, kamen wexekä tämed tä Kaläg. 
LUK.1.9	Na 'dodony
LUK.1.10	Ani mägäꞌdoccus tä lägoygä mäxäsang, kulung känggi tängang kapasäning tunyu palacca.
LUK.1.11	Na kala malayikanä Kalägkandäng kawayasa täma dokolo tandä abanic täwang tumunu lägoygä mäxäs. 
LUK.1.12	Na todi Zakariya kox malayika na nyigatäg kamen ma mädätägä.
LUK.1.13	Na malayika ngade täma ka, “Zakariya, wanga nyigatäg xa Kaläg kädäng paleygägi. Uxugi Alizapad ꞌdo yedäng päxä apang tägi ndä gi nꞌdoco dogada age ka Yoxana. 
LUK.1.14	Ma mäsogo wanägi laye tidi, ndä kän mange lededäning xa sägäyäng ma, 
LUK.1.15	ndä ma mälayis käxa tädäx na apo tagä Bazuwec. Ndä mäwuxi bux säxong, na mändey wuxiki ꞌdazic tängang mäwuxi säxong. Ma mälayis käxa päsewa na Ligidä Kaläg cawu cukuma tä bälegkä bosa. 
LUK.1.16	Ma mämelede menggä Israyil mange ta Bazuwec Kaläg. 
LUK.1.17	Ma mälayis käxa päccada tagä Bazuwec na panggu kala panggudugku me logey Iliya ndey mäwex mäganygä menggäsa ndey laley enggengga, na menggä koꞌdo mäwexe mäganyga ndey nyangädä lelertägkä däppic ndey mäbolasa kän tä benggä Bazuwec.”
LUK.1.18	Na Zakariya kamänze ka, “Agä asogowa key ndey abäle ka ngakong layecänäs tireneng? Xa agä kaboxsu ndä uxang kaboxsu mändey.”
LUK.1.19	Malayika kabuc ka, “Agänang anäs Jiprayil. Agä awede tä cuku Kaläg ndä Kaläg kayaxsä agä ka agä awung alegeyze tägi agoying yaxsäweccong apong tägi. 
LUK.1.20	Ndä gang nyäpäladas gi legecce säxong, basa xongondi ngakong sogoduning tängang, xa gi kämen ngakang säxong, ndä käcag wunosuno layeccänäs tire tä xongondi tängang.”
LUK.1.21	Ndä känatäng bene Zakariya tunyu mänedäning ka oxadi siye Zakariya kalaygädä taxä tämeki tedelang mänang. 
LUK.1.22	Na kala mawetä tunyu ndä ikäma kaxsäwa mäyex legey täsa säxong, na todi sabäle ka mägox nimic tä cukuma taxä tedeläccä Kaläg, malewa na läläbey yä mäyex legey säxong. 
LUK.1.23	Kala wexekäma käpeläning na mägämele tä pa.
LUK.1.24	Na kala todi uxuma Alizapad koxsonga käcatäng asämeny mädäg ꞌdaꞌdanyewa. 
LUK.1.25	Cängade ka, “Kalägkang kawex ngakong tagä, tä sänggong nyaläpäng paygänya ndä nyägäcay zänggä motakang tä warä kän.”
LUK.1.26	Tä asämexsi aran layis näkä oxsongdugku Alizapatang, Kaläg kayaxsä malayika Jiprayil tä cabärä Calil tä kaxsä pana säbangäs Nasra, 
LUK.1.27	ta kedenweccandäng säbangäs Mariyom sader ta apangandäng säbängäs Yusif tä caxsä Dawud. 
LUK.1.28	Na malayika kawung täce, kämodey ce ngade täce ka, “Gingang nuxundugkägi käbaxändey tä känang, Kalägkang nagi!”
LUK.1.29	Na Mariyom käbabangwa tä ngaki malayika kangatang, ndä cägäre bangä modeygi mänangang. 
LUK.1.30	Na kala malayika ngade täce ka, “Wanga nyigatäg Mariyom, xa Kaläg kadong baxändäg tägi! 
LUK.1.31	Dänge! Gining no noxsongada ndä niyedäng päxä apang ndä dogada age ka Yasuwa. 
LUK.1.32	Ma mälayis käxa ngake tädäxiny ndä säbangäs ma päxä pe Kalägi tiyating, ndä Bazuwec Kaläg togada butugku wawanäma Dawud täma. 
LUK.1.33	Ma mämene butug tä känggä Yaxup ndä sanydenendäng säxong, ndä butugkuma 'desetäsäno säxong.”
LUK.1.34	Mariyom ngade ta malayika ka, “Ngakong layeccä key, yä taxä nuxu kasäng na apang songang?”
LUK.1.35	Na malayika kämeley ngade ka, “Ligidä Kaläg coccolacca tägi na panggugu Kalägi tiyating wunodung wayedäng tä bälegkägi na asämexsägi lada, nenyang päxä pipini niyedängang näka tedelang, ndä säbangäs ma päxä Kaläg. 
LUK.1.36	Ndä za, wayigo Alizapad na boxuske mändey oxsong tä päxä apang yä kän bangäs ce pixi, gang satäng täce asämeny aran! 
LUK.1.37	Ndä 'doga bede tä Kalägkandäng song.”
LUK.1.38	Na Mariyom kagixi ngade ka, “E, bi, anäs me wexiccä Kaläg. Wanga ngaki sogoduning tagäng layis wega tä bangä ngakigigong.” Na malayika kä'doc kawangasa ce.
LUK.1.39	Na tä sänggi Mariyom kangäsa tetex kä'doc tä kaxsä pa tä cabärä Yaxudiya, 
LUK.1.40	na caläs pang Zakariya na cägämodey Alizapad. 
LUK.1.41	Na Alizapad kädäng modeygä Mariyom, na pipini tä bälegkäce Alizapatang käpäräwa, na Ligidä Kaläg käligä Alizapad. 
LUK.1.42	Na Alizapad kasan kädawa ka, “Kaläg kadä wanägi tä warä uxu kä'day na päxägini tä bälegkäging! 
LUK.1.43	Agänang anäs xäng kädäppa ka bo Bazuweccang wung copu agäng? 
LUK.1.44	Ani kandängäs modeygägi na wundangang, päxä pipinong tä bälegkangang käpäräwa na wadäkä tididäg. 
LUK.1.45	Gi käbaxändey xa gi kämen ngaki Kaläg kalegey tägi ka 'desetäsäningang.”
LUK.1.46	Na Mariyom ngade ka,
LUK.1.46	“Mägaxsang dädäxti Kaläg,
LUK.1.47	na ligidang kadeb led tä Kaläg me nayiccang,
LUK.1.48	xa nyägox cuku molgang, agä me wexiccänya.
LUK.1.48	Ndä ganang menggä zädong, kä'day bangäs agä käxa kabaxändey.
LUK.1.49	Xa nyang nyäs Bazuwecca pädägkang kawex wexeka ngoniny tagäng ndä agänya tedeliny.
LUK.1.50	Tä menggä zong na banga, agänya watasa tä känggi nyaye nyang.
LUK.1.51	Nya nyawex wexeki tädäxinyang na andänya.
LUK.1.51	Ndä nyawasa känggi logoduning na wexe degejey tä mäganyganang.
LUK.1.52	Nyägäcoccoley menggä butug
LUK.1.52	yä nyägäpoka känggi butug wundung tängang tiyati,
LUK.1.53	ndä nyägämas menggä xas na weka apoccu,
LUK.1.53	yä nyamatä känggi näs tanganuwang na asängga päloccu.
LUK.1.54	Nyaxony menggä wexekänya Israyil xa nyanimäng agäwaydakänya,
LUK.1.55	kala täseki nyadästäs wawanakogki mägaccängang, na ta Apraxim na atuge näs ur'dug.”
LUK.1.56	Kala Mariyom kuccu na Alizapad ta asämenyga kodos na cägämel tä panäce.
LUK.1.57	Xongondi Alizapad kiye tängang, cägiyäng päxä apang. 
LUK.1.58	Na menggä sogalinygäce na wayakäsa kädäng ka Kaläg kädädäxti agäwaydad täce na sägäledäno nace.
LUK.1.59	Tä sänggi tespedespeng sawuno tä luwuku päxä pipi, ndä sägäpay ka sädogas agäma ka Zakariya täbangä mesa. 
LUK.1.60	Neng bosa kämele täsa ka, “A'a! Basa sädoga agäma ka Yoxana.”
LUK.1.61	Na sängadeccä täce ka, “Nuxu kigkandäng tä caxsägo age mänang song.” 
LUK.1.62	Na sägertäcce ta mesa Zakariya ndey ka sä'dox aga mäpaye mädogas ta penäma.
LUK.1.63	Na mamän owdu badaxiccä gärekärejey na mägärekärejeysa ka, “Age ka Yoxana.” Na sägädongasa käꞌdaygäsa. 
LUK.1.64	Na käccogos ikä Zakariya kalengesäwa na nyipäräma kä'dakasäwa na malegeyze, malog Kaläg.
LUK.1.65	Na menggä sogalinygäsa kä'day nyigatäg kamen, na ngaki kasogänong kalaye legeydäno tä kaxsä cabärä Yaxudiya kä'day. 
LUK.1.66	Na känggi kä'day kädäng ngakiyang kameskädä tä mäganyga ndä ngadeccä ka, “Päxä pipinong wunodung layis wi?” Xa andä Kalägkang nang seley.
LUK.1.67	Na Ligidä Kaläg käligä Zakariya me Yoxananag na malogeza ka,
LUK.1.68	“Andädäxti Bazuwec Kalägä Israyil,
LUK.1.68	xa nyawung tä posakä kän na 'dakakä kän.
LUK.1.69	Ndä nyägängusey yaxticcä xonyad tä kog tä känggä me wexiccänya Dawud,
LUK.1.70	kaꞌdas ani nyalegeyzenäs na ikänggä menggä logeygänyagi mägaccäng tedelinyang,
LUK.1.71	ndey ka nyäxony kog tä menggä kurog,
LUK.1.71	na mändey ta asänggä känggi kä'day saxe kogkang.
LUK.1.72	Nyasog ngakong ndey nyälapa agäwaydad ta wawanagkog,
LUK.1.72	na ndey nyäniming axäskänyagi tedelinyang,
LUK.1.73	na täsedicci nyägäloguwa nang ta wawanog Apraximang.
LUK.1.73	Täsedicci lapedäng ka
LUK.1.74	kogki nyaxony kog ta asänggä menggä kurogkang
LUK.1.74	ndakä wexedig nya na nyigatäg song,
LUK.1.75	tä tedeldäg na lelextäg tagänya tä loydugkä aygog.
LUK.1.76	Ndä gi päxä penangong säbandäs gi me logeygä Kalägi tiyating,
LUK.1.76	xa gi piccadas tagä Bazuwec ndey bolasa sota tänya,
LUK.1.77	ndey doga ligiccä xonyad tä känggä Kaläg na wangakä ngaka tasiny tä känggänya.
LUK.1.78	Xa agäwaydakä Kalägog
LUK.1.78	wunodung xonyo kog paratasawa ka'das keyzic
LUK.1.79	ndey bowdic wung tä känggi käcasäng tä lätäng na tä ligidä xäsang,
LUK.1.79	ndey meskede exenggog ta akäsogä modey.”
LUK.1.80	Ndä päxä pipi wedede na kiniy tä wane na yexkä nga. Ndä mäguccu tä pumpung basa xongondi mawesawa na wexed tä Israyil tängang.
LUK.2.1	Tä enggä sänggi Axustus Kaysar kabokung asiriye tunyu ka kän kä'day 'docco gärekärejeysa aga tä cabär kä'day tä wexekä tuluba. 
LUK.2.2	Ndä gärekärejeyga täzälägkang, tä cuku Kuruniyos tä butug tä Suriya. 
LUK.2.3	Kän kä'day kä'docco tä cabärtaga ndey gärekärejey aga täng.
LUK.2.4	Na kala Yusif kawetä mändey tä cabärä Nasra tä Calil kä'doc tiyati tä Petlaxam cabärä Dawud, tä Yaxudiya, xa ma mäs me cabäri ndä mäs wayäwan tä caxsä Dawudag. 
LUK.2.5	Mägä'doc ndey sägärekarejeysa agäsa na Mariyomzi sader tämang ndä cägä'dosuwa.
LUK.2.6	Na tä cuku sa todi, pipi kagasäng ce. 
LUK.2.7	Na cägiyäng päxäcenä zäläg näs päxä apang na camulungi na tandä ndä cäzänggasa tä kuburicci säziye male tängang, xa axa säzänggasa täng undung.
LUK.2.8	Ndä tänya owdi menggä megäsatäng cuccu käsac tä korongo meske sagunuga ongud. 
LUK.2.9	Na malayikanä Kaläg kaweyesawa täsa na tädäxticcä Kaläg käbanyeza tä waräsa na nyigatäg kadele sa nano.
LUK.2.10	Na malayika kangada täsa ka, “Wanga nyigatäg! Ndänge ngakong, agä anduwale yaxsäwecca apo tanggo aki kodung wadäkä tididäg tä kän kä'dayang. 
LUK.2.11	Xongondong sägiyäng me nayic tanggo tä cabärä Dawud. Mang mäs Almasiyang ani näs Bazuweccang. 
LUK.2.12	Ndä boliccongang lapedäng tanggo ka, anggo 'doxadang päxä pipi kamulungiwa na tandä ndä sängo tä kuburicci säziye male tängang.”
LUK.2.13	Na kälilic malayikadagi tiyating kaweyesäno mange na malayikani dädäxti Kaläg ngadeccä ka,
LUK.2.14	“Dädäxtic tä Kaläg tiyati,
LUK.2.14	na modey täzäg tä känggi nyäpayeng!”
LUK.2.15	Na kala malayikada kawangasa sa kä'docco tiyati, na menggä megäs ngadeccä tä ngastängga ka, “Nycugo tä Petlaxam ndey laleyig ngaki kasogäno todiyang, aki Kaläg kaläpäng täkogkang.”
