MAT.1.1	SIN AK'SIN Jesus Christ David okkuai' Abraham okkuai' un'ix o sĭnaks' oaiĕxĕsts. 
MAT.1.2	Abraham ikuyiu' Isaac; ki Isaac ikuyiu' Jacob; ki Jacob ikuyiau' Judas ki omu' pappiipix; 
MAT.1.3	Ki Judas ikuyiu' Phares ki Zara, Thamar ipau'kaiĭmmiuax; ki Phares ikuyiu' Esrom; ki Esrom ikuyiu' Aram; 
MAT.1.4	Ki Aram ikuyiu' Aminadab; ki Aminadab ikuyiu' Naasson; ki Naasson ikuyiu' Salmon; 
MAT.1.5	Ki Salmon ikuyiu' Booz, Rachab ipau'kaiĭmmiuaie; ki Booz ikuyiu' Obed, Ruth ipau'kaiĭmmiuaie; ki Obed ikuyiu' Jesse; 
MAT.1.6	Ki Jesse ikuyiu' David omŭx'nin'a; ki David omŭx'ina ikuyiu' Solomon, annŏk' ake'uŏk itom'itomiuŏk Urias man'itotsipokaiĭmmiuaie; 
MAT.1.7	Ki Solomon ikuyiu'. Roboam; ki Roboam ikuyiu' Abia; ki Abia ikuyiu' Asa; 
MAT.1.8	Ki Asa ikuyiu' Josaphat; ki Josaphat ikuyiu' Joram; ki Joram ikuyiu' Ozias; 
MAT.1.9	Ki Ozias ikuyiu' Joatham; ki Joatham ikuyiu' Achaz; ki Achaz ikuyiu' Ezekias; 
MAT.1.10	Ki Ezekias ikuyiu' Manasses; ki Manasses ikuyiu' Amon; ki Amon ikuyiu' Josias; 
MAT.1.11	Ki Josias ikuyiu' Jechonias ki o mu' pap piipix, annik' ito'toŏpikau Babylon; 
MAT.1.12	Ki ot'sitotos au Babylon, Jechonias ikuyiu' Salathiel; ki Salathiel ikuyiu' Zorobabel; 
MAT.1.13	Ki Zorobabel ikuyiu' Abiud; ki Abiud ikuyiu' Eliakim; ki Eliakim ikuyiu' Azor; 
MAT.1.14	Ki Azor ikuyiu' Sadoc; ki Sadoc ikuyiu' Achim; ki Achim ikuyiu' Eliud; 
MAT.1.15	Ki Eliud ikuyi u' Eleazar; ki Eleazar ikuyiu' Matthan; ki Matthan ikuyiu' Jacob; 
MAT.1.16	Ki Jacob ikuyiu' Joseph, Mary om'i, annok ipau'kaiĭmmiuŏk Jesus, anĭstau Christ. 
MAT.1.17	David otsĭs'tsits'unoauai Abraham itsipuk' sŭpokosĭnimotseiiau ke'pitappiiau nĭssekoputtsi; ki ot'sitotosau Babylon omats'ĭstsits'unoauai David mats'itsipuksŭpokosĭmmotseiiau, matsĭsse'koputtsi; Christ omats'ĭstsits'unoauai ot'sitotosau Babylon mats'itsipuksŭpkosĭmmotseiiau matsĭsse'koputtsi. 
MAT.1.18	Jesus Christ, otsipokai'isĭnni ŭn'niniitsiu: Annik' Mary, Jesus oksĭs'tsi, Joseph otak'okemattŏsaie itop itappi'inai, otse'kosatsok Atsĭm'istaaw. 
MAT.1.19	Joseph om'i mokŏm'motsitappiu, ki matsitsitau'ats mŏk'aiitsĭnnikŏttŏsaie; osĭme'tsitan mŏksisĭm'ianĭstŭpskoŏsaie. 
MAT.1.20	Ki otai'ksĭmstatosaie, Satsit, Ap'ĭstotokiuăoto'tokatatsĭs otsipopŏk'toakaie ki otan'ikaie, Joseph, David okku'i, pinstŭnnos Mary kŏk'okemattosi, otse'kosatsok Atsĭm'iStaaw. 
MAT.1.21	Ki ai'aksipokaiĭmmiuaie okku'yi, ki kitak'anĭstsĭnnikŏttau Jesus: tŭkkă, otsitappim'ix otsauum'itsitappi'isuauĕsts aiakitaikŏmotse'piuax. 
MAT.1.22	Itŭn'nitsiuaie mŏk'itsenŭpanĭstŏsi Ap'ĭstotokiuă otse'poawsĭsts, otsipropheti itotse'poawsĭnĕsts, ki an'ĭmai, 
MAT.1.23	Satsik, mokŏk'iake ai'akopitappiiu, ki ai'aksipokaiĭmmiuaie okku'yi, ki ak'anĭstsĭnnikŏttsiauaie Emmanuel, ito'kĭsasattop Ap'ĭstotokiuă ipokai'tappiĭmmau. 
MAT.1.24	Joseph otsipuawk'si otso'kani, ŭn'niitsitappiiu Ap'ĭstotokiuă oto'tokatatsĭs otan'iipiaie, ki ito'tuyiuaie otokem'an: 
MAT.1.25	Ki ototom'okkuyi otsauomai'pokaiĭsaie matpoksokamiu'atsaie: kinitsĭn'nikŏttsiuaie JESUS.
MAT.2.1	JESUS otai'pokaiisi Bethlehem, auŏsĭn'ĭm Judæa, annists'ĭsk ksĭstsiku'ĭstsk, Herod otsĭtsĭnaiipi, Satsik, mokŏk'ietappix umut'autstsipi apinŏk'kuyi itsipuk'sipuiau Jerusalem, 
MAT.2.2	An'iau, ŭnan'ŏk manipok'auŏk Jews otsĭn'aimoaiauaie? Tŭkkă, annim' apinŏk'kuyi stai'tappiosi nitsĭno'ŭnan okŏkatosim, ki nimut'otopĭnan nŏk'itauatsĭmmimmŏsĭnan. 
MAT.2.3	Herod omŭx'ina otokh'tsĭsaie, otap'itsi-tanaie, ki Jerusalem ĭstokŏnai'tappix ikŏno-nokap'aitsitamiuax. 
MAT.2.4	Ikŏnaumoi'piŭsax omŭk'atoiapiekuax ki ai'sĭnakix, sŭppoŏttsesattsiuax Christ mŏk'itsipokaiipiaie. 
MAT.2.5	Ki an'ĭstsiauaie, Bethlehem, Judæa ĭstauŏsĭn'im, ŭn'nimaie; ŭn'anĭstappi prophet osĭn'aksĭn; 
MAT.2.6	Ki ksĕsto'a Bethlehem, Judæa ĭstauŏsĭn'im, kimats'inŭkstsipuaua, Judah ĭstsĭn'ax; Nin'auŏk, ksesto'a ak'itsĭstauasiu ki osto'i ai'akaukŏkitsĭmau nitsitappim'ĭx Israel. 
MAT.2.7	Herod, sĭmi'nikŏtŭssax mokŏk'ietappix, sokap'sŭppoŏtsesattsiuax otsokap'ĭnŏkuyisaie kŏkatosi. 
MAT.2.8	Ki itŭpŭt'okŏttsiuax Bethlehem; kian'iu, kŭkko' sokap'apsŭmmok pokau'ŏk; ki ikonoainoeniki, itŭm'ŭtskĭtsĭnikokĭk nŏk'itsitotosi nŏk'it a tsĭm mĭm mosi. 
MAT.2.9	Otokh'tsĭsau omŭxina otan'iipiaie, itsĭs'tapuiau; ki satĭsk, anni'isk kŏk'atosiĭsk otsitsinoauaiĭsk umut'autstsipi apinŏk'uyi otsitom'akoaiauaie, ki otai'totosi inŭk'sipokai ot'sitaupipiaie itots'iketsipuyiuaie. 
MAT.2.10	Otsĭnno'ŏssauaie kŏk'atosi, eks'kamŭk otse'tametŭksuaii. 
