GEN.1.1	Kezdetben 
GEN.1.2	A föld pedig kietlen és puszta vala, és setétség vala a mélység színén, és az Isten Lelke lebeg vala a vizek felett. 
GEN.1.3	És 
GEN.1.4	És látá Isten, hogy jó a világosság; és 
GEN.1.5	És nevezé Isten a világosságot nappalnak, és a setétséget nevezé éjszakának: és lőn este és lőn reggel, első nap. 
GEN.1.6	És monda Isten: 
GEN.1.7	Teremté tehát Isten a mennyezetet, és elválasztá a mennyezet 
GEN.1.8	És nevezé Isten a mennyezetet égnek: és lőn este, és lőn reggel, második nap. 
GEN.1.9	És monda Isten: 
GEN.1.10	És nevezé Isten a szárazat földnek; az egybegyűlt vizeket 
GEN.1.11	Azután monda Isten: Hajtson a föld gyenge fűvet, maghozó fűvet, gyümölcsfát, a mely gyümölcsöt hozzon az ő neme szerint, a melyben legyen néki magva e földön. És úgy lőn. 
GEN.1.12	Hajta tehát a föld gyenge fűvet, maghozó fűvet az ő neme szerint, és gyümölcstermő fát, a melynek gyümölcsében mag van az ő neme szerint. És látá Isten, hogy jó. 
GEN.1.13	És lőn este és lőn reggel, harmadik nap. 
GEN.1.14	És monda Isten: Legyenek világító 
GEN.1.15	És legyenek 
GEN.1.16	Teremté tehát Isten a két nagy világító testet: 
GEN.1.17	És helyezteté Isten azokat az ég mennyezetére, hogy világítsanak a földre; 
GEN.1.18	És hogy uralkodjanak a nappalon és az éjszakán, és elválaszszák a világosságot a setétségtől. És látá Isten, hogy jó. 
GEN.1.19	És lőn este és lőn reggel, negyedik nap. 
GEN.1.20	És monda Isten: Pezsdűljenek a vizek élő állatok nyüzsgésétől; és madarak repdessenek a föld felett, az ég mennyezetének színén. 
GEN.1.21	És teremté Isten a nagy vízi állatokat, és mindazokat a csúszó-mászó állatokat, a melyek nyüzsögnek a vizekben az ő nemök szerint, és mindenféle szárnyas repdesőt az ő neme szerint. És látá Isten, hogy jó. 
GEN.1.22	És megáldá azokat Isten, mondván: 
GEN.1.23	És lőn este és lőn reggel, ötödik nap. 
GEN.1.24	Azután monda az Isten: Hozzon a föld élő állatokat nemök szerint: barmokat, csúszó-mászó állatokat és szárazföldi vadakat nemök szerint. És úgy lőn. 
GEN.1.25	Teremté tehát Isten a szárazföldi vadakat nemök szerint, a barmokat nemök szerint, és a földön csúszó-mászó mindenféle állatokat nemök szerint. És látá Isten, hogy jó.
GEN.1.26	És monda Isten: Teremtsünk embert a mi képünkre és 
GEN.1.27	Teremté tehát az Isten az embert az ő képére, Isten képére teremté őt: férfiúvá 
GEN.1.28	És megáldá Isten őket, és monda nékik Isten: Szaporodjatok és sokasodjatok, és töltsétek be a földet és hajtsátok birodalmatok alá; és uralkodjatok a tenger halain, az ég madarain, és a földön csúszó-mászó mindenféle állatokon. 
GEN.1.29	És monda Isten: Ímé néktek adok minden maghozó 
GEN.1.30	A föld minden 
GEN.1.31	És látá Isten, hogy minden a mit teremtett vala, ímé igen jó. És lőn este és lőn reggel, hatodik nap.
GEN.2.1	És 
GEN.2.2	Mikor pedig elvégezé Isten hetednapon az ő munkáját, a melyet 
GEN.2.3	És megáldá Isten a hetedik napot, és megszentelé azt; mivelhogy azon szűnt vala meg minden munkájától, melyet teremtve szerzett vala Isten.
GEN.2.4	Ez az égnek és a földnek eredete, a mikor teremtettek. Mikor az Úr Isten a földet és az eget teremté, 
GEN.2.5	Még semmiféle mezei növény sem vala a földön, s még semmiféle mezei fű sem hajtott ki, mert az Úr Isten 
GEN.2.6	Azonban pára szállott vala fel a földről, és megnedvesíté a föld egész színét. 
GEN.2.7	És formálta vala az Úr Isten az embert 
GEN.2.8	És ültete az Úr Isten egy kertet Édenben, napkelet felől, és abba helyezteté az embert, a kit formált vala. 
GEN.2.9	És nevele az Úr Isten a földből mindenféle fát, tekintetre kedvest és eledelre jót, az 
GEN.2.10	Folyóvíz jő vala pedig ki Édenből a kert megöntözésére; és onnét elágazik és négy főágra szakad vala. 
GEN.2.11	Az elsőnek neve Pison, ez az, a mely megkerüli Havilah egész földét, a hol az arany 
GEN.2.12	És annak a földnek aranya igen jó; ott van a Bdelliom és az Onix-kő. 
GEN.2.13	A második folyóvíz neve pedig Gihon; ez az, a mely megkerüli az egész Khús földét. 
GEN.2.14	És a harmadik folyóvíz 
GEN.2.15	És vevé az Úr Isten az embert, és helyezteté őt az Éden kertjébe, hogy mívelje és őrizze azt.
GEN.2.16	És parancsola az Úr Isten az embernek, mondván: A kert minden fájáról bátran egyél. 
GEN.2.17	De a jó és gonosz tudásának fájáról, arról ne egyél; mert a mely napon ejéndel arról, 
GEN.2.18	És monda az Úr Isten: Nem jó az embernek egyedül 
GEN.2.19	És formált vala az Úr Isten a földből mindenféle mezei vadat, és mindenféle égi madarat, és elvivé az emberhez, hogy lássa, minek nevezze azokat; mert a mely nevet adott az ember az élő állatnak, az annak neve. 
GEN.2.20	És nevet ada az ember minden baromnak, az ég madarainak, és minden mezei vadnak; de az embernek hozzá illő segítő társat nem talált vala. 
GEN.2.21	Bocsáta tehát az Úr Isten mély álmot az emberre, és ez elaluvék. Akkor kivőn egyet annak oldalbordái közűl, és hússal tölté be annak helyét. 
GEN.2.22	És 
GEN.2.23	És monda az ember: Ez már csontomból való csont, és testemből való test: ez asszonyembernek neveztessék, mert emberből vétetett. 
GEN.2.24	Annakokáért 
GEN.2.25	Valának pedig mindketten 
GEN.3.1	A kígyó pedig ravaszabb vala minden mezei vadnál, melyet az Úr Isten teremtett vala, és monda az asszonynak: Csakugyan azt mondta az Isten, hogy a kertnek egy fájáról se egyetek? 
GEN.3.2	És monda az asszony a kígyónak: A kert fáinak gyümölcséből ehetünk; 
GEN.3.3	De annak a fának gyümölcséből, mely a kertnek közepette van, azt mondá Isten: abból ne egyetek, azt meg se illessétek, hogy meg ne haljatok. 
GEN.3.4	És monda 
GEN.3.5	Hanem tudja az Isten, hogy 
GEN.3.6	És látá az asszony, hogy jó az a fa eledelre s hogy kedves a szemnek, és kivánatos az a fa a bölcseségért: szakaszta azért annak gyümölcséből, és evék, és ada 
GEN.3.7	És megnyilatkozának mindkettőjöknek szemei s észrevevék, 
GEN.3.8	És meghallák az Úr Isten szavát, a ki hűvös alkonyatkor a kertben jár vala; és elrejtőzék az ember és az ő felesége az Úr Isten elől a kert fái között. 
GEN.3.9	Szólítá ugyanis az Úr Isten az embert és monda néki: Hol vagy? 
GEN.3.10	És monda: Szavadat hallám a kertben, és megfélemlém, mivelhogy mezítelen vagyok, és elrejtezém. 
GEN.3.11	És monda Ő: Ki mondá néked, hogy mezítelen vagy? Avagy talán ettél a fáról, melytől tiltottalak, hogy arról ne egyél? 
