MAT.1.1	Taariika iwdi Iisaa *Almasiihu mo Daawuuda mo Ibraahiima.
MAT.1.2	Ko Ibraahiima jibini Issaaqa, Issaaqa jibini Yaaquuba, Yaaquuba jibini Yahuuda e musiɓɓe mun ɓen, 
MAT.1.3	Yahuuda kadi jibini Faarisa e Zaaraha, tawi yumma ɓen no wi'ee Tamaaru. Faarisa jibini Hasruunu, Hasruunu jibini Araama, 
MAT.1.4	Araama jibini Ammiina-Daaba, Ammiina-Daaba jibini Nahasuuna, Nahasuuna jibini Salmaana, 
MAT.1.5	Raabi* jibinani Salmaana Bo'aaza, Rugiyata jibinani Bo'aaza Obiida, Obiida jibini Yassaa'u, 
MAT.1.6	Yassaa'u jibini Daawuuda lanɗo on, oo wonnooɗo ɓeyngu Uriyaa jibinani mo kanko Daawuuda Sulaymaana.
MAT.1.7	Sulaymaana jibini Rahabaama, Rahabaama jibini Abiiya. Abiiya jibini Asaa, 
MAT.1.8	Asaa jibini Yuhusaafata, Yuhusaafata jibini Yuuraama, Yuuraama jibini Uziiya, 
MAT.1.9	Uziiya jibini Yotaana, Yotaana jibini Ahaaza, Ahaaza jibini Hazikiiya, 
MAT.1.10	Hazikiiya jibini Manase, Manase jibini Amuunu, Amuunu jibini Yuusiya, 
MAT.1.11	Yuusiya jibini Yeekoniya e musiɓɓe mun ɓen fewndo egginegol naɓee *Baabiila.
MAT.1.12	Ɓawto egginegol naɓee Baabiila ngol, Yeekoniya jibini Sa'alti'iila, Sa'alti'iila jibini Zarubaabila, 
MAT.1.13	Zarubaabila jibini Abiyuuda, Abiyuuda jibini Alyaqiima, Alyaqiima jibini Aazuru, 
MAT.1.14	Aazuru jibini Saduuqa, Saduuqa jibini Akiima, Akiima jibini Eliyuuda. 
MAT.1.15	Eliyuuda jibini Eliyaasaru, Eliyaasaru jibini Mataana, Mataana jibini Yaaquuba. 
MAT.1.16	Yaaquuba jibini Yuusufu moodibbo Mariyama on, on jibinnooɗo Iisaa wi'aaɗo Almasiihu on.
MAT.1.17	Gila e Ibraahiima haa e Daawuuda, fow mun hawri jamaanuuji sappoo e nay. Gila e Daawuuda kadi haa e egginegol naɓee Baabiila hawri jamaanuuji sappoo e nay. Gila egginegol naɓee Baabiila kadi haa e Almasiihu on ko jamaanuuji sappoo e nay.
MAT.1.18	E hino no Iisaa Almasiihu on jibiniraa. Tawi ko Yuusufu ƴami Mariyama yumma makko. Ado ɓe yiidude, tawi kanko jiwo on ko o sowiiɗo e dow bawgal *Ruuhu Seniiɗo on. 
MAT.1.19	Tawi Yuusufu, on ƴamuɗo mo, ko gorko feewuɗo, hari o faalaaka mo wirtude, o miijii accitugol mo e nder gundoo.
MAT.1.20	Nde tawnoo himo miijii ɗun, malaa'ikaajo Joomiraaɗo on feeɲani mo e koyɗol, wi'i mo: «Yuusufu mo Daawuuda, wota a hulu ƴettugol Mariyama, o wona ɓeyngu maa, ko fii ɓiɗɗo mo o saawi on ko immorde e Ruuhu Seniiɗo on. 
MAT.1.21	O heɓoyay ɓiɗɗo, innoyaa mo Iisaa, ko fii ko kanko dandoyta jamaa makko on lette junuubaaji maɓɓe ɗin.» 
MAT.1.22	Ɗun fow waɗiri fii ko Joomiraaɗo on daalirnoo annabaajo on kon no laatora, wonde: 
MAT.1.23	«Awa, jiwo mo andaali gorko on reeday, o firtoo boobo gorko, o innee Imanu'iila.» Ko woni firo ɗun ko: ‹Alla no wondi e men.›
MAT.1.24	Ɓay kanko Yuusufu o finii, o waɗi ko malaa'ikaajo Joomiraaɗo on yamiri mo kon, o ƴetti ɓeyngu makko, o addi ka makko. 
MAT.1.25	Kono laatii o yiidaali e debbo on haa nde o firtinoo on ɓiɗɗo gorko, o inni mo Iisaa.
MAT.2.1	Ɓay wonii Iisaa jibinaama Bayti-Lahiimi, ɗun ko e nder diiwal *Yahuuda fewndo laamu *Heroodu, onsay gandiɗuɓe iwri funnaange ari *Yerusalaam, 
MAT.2.2	ɓe wi'i: «Ko honto oo lanɗo *Yahuudiyankeeɓe arɗo e jibineede woni? Ko fii men yi'ii hoodere makko nden ka funnaange, men arii sujjangol mo.» 
MAT.2.3	Ɓay kanko Heroodu lanɗo on o nanii ɗun, o jiiɓii, o jiiɓodi e ɓe Yerusalaam ɓen fow. 
MAT.2.4	Onsay o mottindiri hooreeɓe *yottinooɓe sadaka ɓen fow e jannooɓe fii Sariya on fii landagol ɓe ko honto *Almasiihu on haanaa jibinireede. 
MAT.2.5	Ɓen wi'i mo: «Ko Bayti-Lahiimi e nder ngal diiwal Yahuuda. Ko fii e hino ko annabaajo on windi kon:
