MAT.1.1	Leꞌe naŋ titinge loumwah tikin Jisas Krais. Loumwah kin kiŋ Dewit hindi Abraham.
MAT.1.2	Abraham kin yai tikin Aisak pe, Aisak kin yai tikin Jekop pe,
MAT.1.2	Jekop kin yai tikin Juta topoꞌe lenge toꞌ yuwon kin.
MAT.1.3	Juta kin yai tikin Peres hindi Sera. Mam tinge hindi Tamar.
MAT.1.3	Peres kin yai tikin Hesron, Hesron kin yai tikin Ram,
MAT.1.4	Ram kin yai tikin Aminadap, Aminadap kin yai tikin Nason, Nason kin yai tikin Salmon,
MAT.1.5	Salmon kin yai tikin Boas, mam kin Rahap. Boas kin yai tikin Obet, mam kin Rut.
MAT.1.5	Obet kin yai tikin Jesi,
MAT.1.6	Mam tikin Solomon pe, somohon ti windiꞌe Uria.
MAT.1.7	Solomon kin yai tikin Rehoboam, Rehoboam kin yai tikin Abiya.
MAT.1.7	Abiya kin yai tikin Asa.
MAT.1.8	Asa kin yai tikin Jehosafat, Jehosafat kin yai tikin Jehoram, Jehoram kin yai tikin Usia.
MAT.1.9	Usia kin yai tikin Jotam, Jotam kin yai tikin Ahas, Ahas kin yai tikin Hesekia.
MAT.1.10	Hesekia kin yai tikin Manase, Manase kin yai tikin Emon, Emon kin yai tikin Josaia.
MAT.1.11	Josaia kin yai tikin Jehoiakin topoꞌe lenge toꞌ tatai kin. Dindiꞌ ŋup uku pe, lenge miyeꞌ tuweinge Israel yasme kantri tinge. Detale, lenge Babilon yambaꞌe lenge yal moi tinge.
MAT.1.12	Ŋupe ŋaiye lenge Israel miyeꞌ tuweinge si yal yarp tuwihme lenge Babilon pe, Jehoiakin kin yai tikin Sealtiel, Sealtiel kin yai tikin Serubabel.
MAT.1.13	Serubabel kin yai tikin Abiut, Abiut kin yai tikin Eliakim, Eliakim kin yai tikin Asor.
MAT.1.14	Asor kin yai tikin Sadok, Sadok kin yai tikin Akim, Akim kin yai tikin Eliut.
MAT.1.15	Eliut kin yai tikin Eleasar, Eleasar kin yai tikin Matan, Matan kin yai tikin Jekop.
MAT.1.16	Jekop kin yai tikin Josep, Josep kin miyeꞌ titi Maria ŋaiye ti waraꞌe Jisas no, tinge jalme kin Krais.
MAT.1.17	Taꞌe luku pe, lenge loumwah ŋaiye tahar Abraham nate gere Dewit pe, tinge loumwah syepumbur umbur hoye hoye. Topoꞌe loumwah ŋaiye tahar Dewit nate gere ŋupe ŋaiye tinge yal yarp tuwihme lenge Babilon pe, plihe loumwah syepumbur umbur hoye hoye. Topoꞌe lenge loumwah ŋaiye tahar ŋupe ŋaiye lenge Israel miyeꞌ tuweinge yal yarp Babilon nate gere ŋaiye Maria waraꞌe Jisas pe, ki plihe loumwah syepumbur umbur hoye hoye.
MAT.1.19	Josep kin miyeꞌ ŋaiye kin ŋende ŋaiꞌe ŋaiꞌe ŋaiye bwore bwarme. Kom kin ŋasande ŋaiye Maria talahe pe, kin garnge ŋaiye ka ende ti ta hiꞌe guh ŋembep lenge mitiŋ lalme. Taꞌe luku pe, kin narp ŋoiheryembe yaŋah ŋaiye ka osme ti ŋumwaiye. 
MAT.1.20	Teter kin ŋoiheryembe ŋai uku narp pe, walip hlaꞌ ende tikin Lahmborenge nate ŋetekeꞌe kin ŋaiye kin nate tange. Kin ŋaname na, “Josep, loumwah tikin Dewit, yukur na hiꞌgirnge ŋaiye na ambaꞌe Maria tuꞌe ŋaiye tuwei nin. Yohe Yirise kitikin gahanahme ti ŋaiye ti talahe. 
MAT.1.21	Ti ta waraꞌe talah miyeꞌ ende pe, na gilme naŋ kin Jisas.
MAT.1.22	Ŋaiꞌe ŋaiꞌe lalme luku kin nate tas gande wusyep Got ŋaiye tas mut lenge profet na,
MAT.1.23	Talah uku ka jilme naŋ kin Emanuel.
MAT.1.23	Tehei ŋaiye naŋ uku pe, ki taꞌe leꞌe, Got kin narp topoꞌe poi.
MAT.1.24	Ŋupe ŋaiye Josep tahar posoh pe, kin ŋende gande wusyep ŋaiye walip hlaꞌ si ŋaname nange ka ende. Kin nambaꞌe Maria taꞌe tuwei kin. 
MAT.1.25	Kom yukur kin si nate narp topoꞌe ti nal tatame ŋaiye ti waraꞌe lahmiyeꞌ uku. Pe Josep galme naŋ kin Jisas.
MAT.2.1	Maria waraꞌe Jisas wanar moi embere Betlehem nato provins Judia. Ŋup uku pe, Herot kin narp miyeꞌ ondoh. Ti waraꞌe Jisas miꞌe pe, lenge miyeꞌ sande tekeꞌe syeꞌ yase yal ŋau anah yat yale yil Jerusalem pe, tinge yanange na, 
MAT.2.2	“Talah ambaran ŋaiye tinge jalme miyeꞌ ondoh tititinge lenge Juta pe, kin narp a? Poi metekeꞌ wutukun kin sai nal ŋaiye ŋau anah pe, poi mat ŋaiye ya mirisukwarme kin.” 
MAT.2.3	Ŋupe ŋaiye miyeꞌ ondoh, kiŋ Herot ŋasande wusyep uku pe, kin ŋoihmane embere sekete, topoꞌe lenge mitiŋ wula wula ŋaiye yarp Jerusalem ŋoiheryembe wula wula.
