GEN.1.1	IN die 
GEN.1.2	En die aarde was 
GEN.1.3	En God het gesê: 
GEN.1.4	Toe sien God dat die lig goed was. En God het skeiding gemaak tussen die lig en die duisternis;
GEN.1.5	en God het die lig dag genoem, en die duisternis het Hy nag genoem. En dit was aand en dit was môre, die eerste dag.
GEN.1.6	En God het gesê: Laat daar 'n uitspansel wees tussen die waters, en laat dit skeiding maak tussen waters en waters.
GEN.1.7	God het toe die uitspansel gemaak en die waters wat onder die uitspansel is, geskei van die waters wat bo die uitspansel is. En dit was so.
GEN.1.8	En God het die uitspansel hemel genoem. En dit was aand en dit was môre, die tweede dag.
GEN.1.9	En God het gesê: 
GEN.1.10	En God het die droë grond aarde genoem, en die versameling van die waters het Hy see genoem. Toe sien God dat dit goed was.
GEN.1.11	En God het gesê: Laat die aarde voortbring grasspruitjies, plante wat saad gee 
GEN.1.12	Die aarde het voortgebring grasspruitjies, plante wat saad gee volgens hulle soorte en bome wat vrugte dra, waarin hulle saad is, volgens hulle soorte. Toe sien God dat dit goed was.
GEN.1.13	En dit was aand en dit was môre, die derde dag.
GEN.1.14	En God het gesê: Laat daar ligte wees aan die uitspansel van die hemel, om skeiding te maak tussen die dag en die nag; en laat hulle dien as tekens sowel vir vaste tye, asook vir dae sowel as jare.
GEN.1.15	Laat hulle ook dien as ligte aan die uitspansel van die hemel om lig te gee op die aarde. En dit was so.
GEN.1.16	God het toe 
GEN.1.17	En God het hulle aan die uitspansel van die hemel gestel om lig te gee op die aarde
GEN.1.18	en om te 
GEN.1.19	En dit was aand en dit was môre, die vierde dag.
GEN.1.20	En God het gesê: Laat die waters wemel met 'n gewemel van lewende wesens, en laat die voëls oor die aarde vlieg langs die uitspansel van die hemel.
GEN.1.21	En God het die groot seediere geskape en al die lewende wesens wat beweeg, waar die waters van wemel, volgens hulle soorte; en al die gevleuelde voëls volgens hulle soorte. Toe sien God dat dit goed was.
GEN.1.23	En dit was aand en dit was môre, die vyfde dag.
GEN.1.24	En God het gesê: Laat die aarde lewende wesens voortbring volgens hulle soorte: vee, kruipende diere en wilde diere van die aarde volgens hulle soorte. En dit was so.
GEN.1.25	En God het die wilde diere van die aarde gemaak volgens hulle soorte en die vee volgens hulle soorte en al die diere wat op die grond kruip, volgens hulle soorte. Toe sien God dat dit goed was.
GEN.1.26	En God het gesê: 
GEN.1.27	En God het die mens geskape na sy beeld; na die beeld van God het Hy hom geskape; 
GEN.1.28	En God het hulle geseën, en God het vir hulle gesê: 
GEN.1.29	Verder het God gesê: Ek gee nou aan julle al die plante wat saad gee, wat op die hele aarde is, en al die bome waar boomvrugte aan is, wat saad dra. Dit sal julle 
GEN.1.30	Maar aan al die diere van die aarde en al die voëls van die hemel en al die kruipende diere op die aarde, waarin 'n lewende siel is, 
GEN.1.31	Toe sien 
GEN.2.1	SO is dan voltooi die hemel en die aarde met hulle 
GEN.2.2	En God het 
GEN.2.3	En God het die sewende dag geseën en dit geheilig, omdat Hy daarop gerus het van al sy werk wat God geskape het deur dit te maak.
GEN.2.4	DIT is die geskiedenis van die hemel en die aarde toe hulle geskape is. Die dag toe die 
GEN.2.5	was daar nog geen struike in die veld op die aarde nie, en geen plante van die veld het nog uitgespruit nie; want die 
GEN.2.6	Maar 'n mis het opgetrek uit die aarde en die hele aardbodem bevogtig.
GEN.2.7	En die 
GEN.2.8	Ook het die 
GEN.2.9	En die 
GEN.2.10	En daar het 'n rivier uit Eden uitgegaan om die tuin nat te maak; en daarvandaan is dit verdeel en het vier lope geword.
GEN.2.11	Die naam van die eerste is die 
GEN.2.12	En die goud van dié land is goed. Daar is 
GEN.2.13	En die naam van die tweede rivier is die Gihon. Dit is hy wat om die hele land Kus loop.
GEN.2.14	En die naam van die derde rivier is die Hiddékel. Dit is hy wat oos van Assur loop. En die vierde rivier is die Frat.
GEN.2.15	Toe het die 
GEN.2.16	En die 
GEN.2.17	maar van die boom van die kennis van goed en kwaad, daarvan mag jy nie eet nie; want die dag as jy daarvan eet, sal jy sekerlik sterwe.
GEN.2.18	Ook het die 
GEN.2.19	En die 
GEN.2.20	So het die mens dan name gegee aan al die vee en aan die voëls van die hemel en aan al die wilde diere van die veld, maar vir die mens het hy geen hulp gevind wat by hom pas nie.
GEN.2.21	Toe het die 
GEN.2.22	En die 
GEN.2.23	Toe sê die mens: Dit is nou eindelik been van my gebeente en vlees van my vlees. Sy sal mannin genoem word, want sy is uit die man geneem.
GEN.2.24	Daarom sal die man sy vader en moeder verlaat en sy vrou aankleef. En hulle sal een vlees wees.
GEN.2.25	En hulle was altwee naak, die mens en sy vrou, maar hulle het hul nie geskaam nie.
GEN.3.1	MAAR die 
GEN.3.2	En die vrou antwoord die slang: Van die vrugte van die bome in die tuin mag ons eet,
GEN.3.4	Toe sê die slang vir die vrou: Julle sal gewis nie sterwe nie;
GEN.3.5	maar God weet dat as julle daarvan eet, julle oë sal oopgaan, sodat julle soos God sal wees deur goed en kwaad te ken.
GEN.3.6	Toe sien die vrou dat die boom goed was om van te eet en dat hy 'n lus was vir die oë, ja, 'n boom wat 'n mens kan begeer om verstand te verkry; en sy neem van sy vrugte en 
GEN.3.7	Toe gaan altwee se oë 
GEN.3.8	En hulle het die stem van die 
GEN.3.9	Toe roep die 
GEN.3.10	En hy antwoord: Ek het u geruis gehoor in die tuin en gevrees, want ek is naak; daarom het ek my verberg.
GEN.3.11	En Hy sê: Wie het jou te kenne gegee dat jy naak is? Het jy geëet van die boom waarvan Ek jou beveel het om nie te eet nie?
GEN.3.12	En die mens antwoord: 
GEN.3.13	Daarop sê die 
GEN.3.14	Toe sê die 
GEN.3.15	En 
GEN.3.16	Aan die vrou het Hy gesê: Ek sal grootliks vermeerder jou moeite en jou swangerskap; met smart sal jy kinders baar; en na jou man sal jou begeerte wees, en hý sal oor jou 
GEN.3.17	En aan die mens het Hy gesê: Omdat jy geluister het na die stem van jou vrou en van die boom geëet het 
GEN.3.18	Ook sal dit vir jou dorings en distels voortbring; en jy sal die plante van die veld eet.
GEN.3.19	In die sweet van jou aangesig sal jy brood eet totdat jy terugkeer na die aarde, want daaruit is jy geneem. 
GEN.3.20	En die mens het sy vrou Eva genoem, omdat sy moeder geword het van alles wat lewe.
GEN.3.21	En die 
GEN.3.22	Toe sê die 
GEN.3.23	Toe stuur die 
GEN.3.24	So het Hy dan die mens weggedrywe en gérubs aan die oostekant van die tuin van Eden laat woon, met die swaard wat vlam en flikker, om die toegang tot die boom van die lewe te bewaak.
GEN.4.1	EN die mens het sy vrou Eva beken, en sy het swanger geword en Kain gebaar en gesê: Ek het 'n man verkry met die hulp van die 
GEN.4.2	Daarna het sy ook sy broer Abel gebaar. En Abel het 'n skaapherder geword, en Kain 'n landbouer.
GEN.4.3	En ná verloop van tyd het Kain van die vrugte van die land aan die 
GEN.4.4	En Abel het ook van die 
GEN.4.5	maar Kain en sy offer nie aangesien nie. Toe word Kain baie kwaad, en hy het sy hoof laat hang.
GEN.4.6	En die 
GEN.4.7	Is daar nie verheffing as jy goed doen nie? En as jy nie goed doen nie — die sonde lê en loer voor die deur, en sy begeerte is na jou; maar jy moet daaroor heers.
GEN.4.8	En Kain het met sy broer Abel gepraat; en toe hulle in die veld was, het Kain teen sy broer Abel opgestaan en hom 
GEN.4.9	Toe sê die 
GEN.4.10	En Hy sê: Wat het jy gedoen? Die stem van die bloed van jou broer roep na My van die aarde af.
GEN.4.11	Daarom sal jy vervloek wees, ver van die grond wat sy mond oopgemaak het om die bloed van jou broer uit jou hand te ontvang.
GEN.4.12	As jy die grond bewerk, sal dit sy vermoë aan jou nie meer gee nie; 'n swerwer en vlugteling sal jy wees op die aarde.
GEN.4.13	Daarop sê Kain vir die 
GEN.4.14	Kyk, U verdryf my nou uit die land uit, 
GEN.4.15	Maar die 
GEN.4.16	Toe gaan Kain weg van die aangesig van die 
GEN.4.17	En Kain het sy vrou beken, en sy het swanger geword en Henog gebaar. Daarna bou hy 'n stad en noem die stad na die naam van sy seun Henog.
GEN.4.18	En vir Henog is Irad gebore; en Irad was die vader van Mehújael; en Mehújael was die vader van Metúsael; en Metúsael die vader van Lameg.
GEN.4.19	En Lameg het vir hom twee vroue geneem. Die naam van die eerste was Ada, en die naam van die tweede Silla.
GEN.4.20	En Ada het Jabal gebaar. Hy was die vader van die tentbewoners en die veeboere.
GEN.4.21	Die naam van sy broer was Jubal. Hy was die vader van almal wat op siters en fluite speel.
GEN.4.22	En Silla het ook gebaar, naamlik Tubal-Kain, 'n smid wat allerhande koper- en ysterinstrumente gemaak het. En die suster van Tubal-Kain was Naéma.
GEN.4.23	En Lameg het aan sy vroue gesê: Ada en Silla, hoor na my stem! Vroue van Lameg, luister na my woord! Voorwaar, ek slaan 'n man dood wat my wond en 'n seun wat my kwes.
GEN.4.25	En Adam het sy vrou weer beken, en sy het 'n seun gebaar en hom Set genoem. Want, 
GEN.4.26	En ook vir Set is 'n seun gebore, wat hy Enos genoem het. Toe het hulle die Naam van die 
GEN.5.1	DIT is die stamboom van Adam. Die dag toe God Adam geskape het, 
GEN.5.2	Man en vrou het Hy hulle geskape en hulle geseën en hulle mens genoem, die dag toe hulle geskape is.
GEN.5.3	Toe Adam honderd-en-dertig jaar oud was, het hy 
GEN.5.5	So was dan al die dae van Adam wat hy geleef het, negehonderd-en-dertig jaar, en hy het gesterwe.
GEN.5.6	Toe Set honderd-en-vyf jaar oud was, het hy die vader van Enos geword.
GEN.5.7	En Set het ná die geboorte van Enos nog agthonderd-en-sewe jaar gelewe. En hy het seuns en dogters gehad.
GEN.5.8	So was dan al die dae van Set negehonderd-en-twaalf jaar, en hy het gesterwe.
GEN.5.9	Toe Enos negentig jaar oud was, het hy die vader van Kenan geword.
GEN.5.10	En Enos het ná die geboorte van Kenan nog agthonderd-en-vyftien jaar gelewe. En hy het seuns en dogters gehad.
GEN.5.11	So was dan al die dae van Enos negehonderd-en-vyf jaar, en hy het gesterwe.
GEN.5.12	Toe Kenan sewentig jaar oud was, het hy die vader van Mahalálel geword.
GEN.5.13	En Kenan het ná die geboorte van Mahalálel nog agthonderd-en-veertig jaar gelewe. En hy het seuns en dogters gehad.
GEN.5.14	So was dan al die dae van Kenan negehonderd-en-tien jaar, en hy het gesterwe.
GEN.5.15	Toe Mahalálel vyf-en-sestig jaar oud was, het hy die vader van Jered geword.
GEN.5.16	En Mahalálel het ná die geboorte van Jered nog agthonderd-en-dertig jaar gelewe. En hy het seuns en dogters gehad.
GEN.5.17	So was dan al die dae van Mahalálel agthonderd-vyf-en-negentig jaar, en hy het gesterwe.
GEN.5.18	Toe Jered honderd-twee-en-sestig jaar oud was, het hy die vader van 
GEN.5.19	En Jered het ná die geboorte van Henog nog agthonderd jaar gelewe. En hy het seuns en dogters gehad.
GEN.5.20	So was dan al die dae van Jered negehonderd-twee-en-sestig jaar, en hy het gesterwe.
GEN.5.21	Toe Henog vyf-en-sestig jaar oud was, het hy die vader van Metúsalag geword.
GEN.5.22	En Henog het ná die geboorte van Metúsalag nog driehonderd jaar met God 
GEN.5.23	So was dan al die dae van Henog driehonderd-vyf-en-sestig jaar.
GEN.5.24	En 
GEN.5.25	Toe Metúsalag honderd-sewen-en-tagtig jaar oud was, het hy die vader van Lameg geword.
GEN.5.26	En Metúsalag het ná die geboorte van Lameg nog sewehonderd-twee-en-tagtig jaar gelewe. En hy het seuns en dogters gehad.
GEN.5.27	So was dan al die dae van Metúsalag negehonderd-nege-en-sestig jaar, en hy het gesterwe.
GEN.5.28	Toe Lameg honderd-twee-en-tagtig jaar oud was, het hy 'n seun verwek
GEN.5.29	en hom Noag genoem, want hy het gesê: Dit is hy wat ons sal troos oor ons werk en oor die moeitevolle 
GEN.5.30	En Lameg het ná die geboorte van Noag nog vyfhonderd-vyf-en-negentig jaar gelewe. En hy het seuns en dogters gehad.
