GEN.1.1	Na počiatku stvoril Boh nebo a zem.
GEN.1.2	"Zem však bola beztvárna a pustá; tma bola nad prahlbinou a Duch Boží sa vznášal nad vodami.
GEN.1.2	"
GEN.1.3	Vtedy riekol Boh: Buď svetlo! A bolo svetlo.
GEN.1.4	"Boh videl, že svetlo je dobré; vtedy Boh oddelil svetlo od tmy."
GEN.1.5	Boh pomenoval svetlo dňom a tmu pomenoval nocou. A bol večer a bolo ráno: prvý deň.
GEN.1.6	Potom riekol Boh: Buď obloha uprostred vôd a oddeľuj vody od vôd.
GEN.1.7	Tak učinil Boh oblohu a oddelil vody pod oblohou od vôd nad oblohou. A stalo sa tak.
GEN.1.8	Boh pomenoval oblohu nebom. A bol večer a bolo ráno: druhý deň.
GEN.1.9	Potom riekol Boh: Nech sa vody nahromadia na jedno miesto pod nebom a nech sa ukáže súš! I stalo sa tak.
GEN.1.10	Boh pomenoval súš zemou a nahromadené vody pomenoval morom. Boh videl, že to bolo dobré.
GEN.1.11	Potom riekol: Nech zem vydá sviežu zeleň, semenoplodné byliny a ovocné stromy rozličného druhu, čo rodia na zemi ovocie, v ktorom je ich semeno! I stalo sa tak.
GEN.1.12	Zem vydala sviežu zeleň, semenoplodné byliny rozličného druhu a stromy rodiace ovocie, v ktorom je semeno rozličného druhu. I videl Boh, že to bolo dobré.
GEN.1.13	A bol večer a bolo ráno: tretí deň.
GEN.1.14	Potom riekol Boh: Nech sú svetlá na nebeskej oblohe na oddeľovanie dňa od noci a nech budú znameniami na určovanie období, dní a rokov.
GEN.1.15	Nech budú svetlami na nebeskej oblohe, aby osvetľovali zem! I stalo sa tak.
GEN.1.16	"Boh učinil dve veľké svetlá: väčšie svetlo, aby vládlo nad dňom, a menšie svetlo, aby vládlo nad nocou; a aj hviezdy."
GEN.1.17	Boh ich umiestnil na nebeskú oblohu, aby osvetľovali zem,
GEN.1.18	aby vládli nad dňom aj nocou a aby oddeľovali svetlo od tmy. A Boh videl, že to bolo dobré.
GEN.1.19	A bol večer a bolo ráno: štvrtý deň.
GEN.1.20	Potom riekol Boh: Nech sa vody víria pohybom živých tvorov a vtáctvo nech poletuje ponad zem na nebeskej oblohe.
GEN.1.21	"Vtedy stvoril Boh veľké morské zvieratá a všetky živé tvory rozličného druhu, čo sa hýbu a ktorými sa víria vody; aj všetko okrídlené vtáctvo podľa jeho druhov. A Boh videl, že to bolo dobré."
GEN.1.22	I požehnal ich Boh hovoriac: Ploďte a množte sa a naplňte morské vody. I vtáctvo nech sa rozmnoží na zemi.
GEN.1.23	A bol večer a bolo ráno: piaty deň.
GEN.1.24	Potom riekol Boh: Nech zem vydá živé tvory rozličného druhu: dobytok, plazy a poľnú zver rozličného druhu! I stalo sa tak.
GEN.1.25	Boh učinil rozličné druhy poľnej zveri, rozličné druhy dobytka a všetky plazy rozličných druhov. A Boh videl, že to bolo dobré.
GEN.1.26	Potom riekol Boh: Učiňme človeka na svoj obraz, podľa našej podoby, aby panoval nad morskými rybami, nad nebeským vtáctvom, nad dobytkom, nad všetkou poľnou zverou a nad všetkými plazmi, čo sa plazia po zemi.
GEN.1.27	"Tak stvoril Boh človeka na svoj obraz; na Boží obraz ho stvoril; ako muža a ženu ich stvoril."
GEN.1.28	"Potom ich Boh požehnal a riekol im: Ploďte a množte sa a naplňte zem; podmaňte si ju a panujte nad morskými rybami, nad nebeským vtáctvom a nad každým živočíchom, čo sa hýbe na zemi!"
GEN.1.29	"Potom riekol Boh: Ajhľa, dal som vám všetky semenoplodné byliny, ktoré sú na celej zemi, a všetky stromy, na ktorých je ovocie s ich semenom; to vám bude za pokrm."
GEN.1.30	No všetkým zvieratám zeme, všetkému nebeskému vtáctvu, a vôbec všetkému, čo sa hýbe na zemi a má v sebe dych života, budú potravou všetky zelené byliny! I stalo sa tak.
GEN.1.31	A Boh videl všetko, čo učinil, a hľa, bolo to veľmi dobré. A bol večer a bolo ráno: šiesty deň.
GEN.2.1	Tak boli dokončené nebesá i zem a všetky ich voje.
GEN.2.2	"Na siedmy deň Boh dokončil svoje dielo, ktoré konal; na siedmy deň si odpočinul od všetkého diela, ktoré vykonal."
GEN.2.3	Nato Boh požehnal siedmy deň a posvätil ho, lebo v ňom si odpočinul od všetkého diela, ktoré stvorením začal konať.
GEN.2.4	Tak vznikli nebesá a zem, keď boli stvorené.
GEN.2.4	Toho času, keď Hospodin Boh učinil zem a nebo -
GEN.2.5	a nebolo ešte nijakého poľného krovia na zemi a nijaká poľná bylina nerástla, pretože Hospodin Boh nedal dažďa na zem, a nebolo ani človeka, aby obrábal pôdu,
GEN.2.6	len spodná voda vystupovala zo zeme a zavlažovala celý povrch pôdy,
GEN.2.7	"vtedy Hospodin Boh stvárnil človeka z prachu zeme
GEN.2.7	"
GEN.2.8	Potom Hospodin Boh vysadil na východe záhradu v Édene a postavil tam človeka, ktorého utvoril.
GEN.2.9	Hospodin Boh dal zo zeme vyrásť všelijakým stromom, lákavým na pohľad a dobrým na jedenie, aj stromu života uprostred záhrady, aj stromu poznania dobra a zla.
GEN.2.10	Z Édenu vytekala rieka, aby zavlažovala záhradu, a odtiaľ sa rozdeľovala na štyri ramená.
GEN.2.11	"Meno jedného je Píšón; ono tečie okolo celej krajiny Chavíla, kde sa nachádza zlato."
