GEN.1_1.1	I. 
GEN.1_1.2	II. 
GEN.1_1.3	Ba imane Lowalangi: Jamohaga! Ba mohaga. 
GEN.1_1.4	Ba iʼila Lowalangi, wa no si sõchi haga andrõ, ba ifõfõʼõ ira haga andrõ sogõmigõmi Lowalangi. 
GEN.1_1.5	Ba ibeʼe tõi haga andrõ zi maʼṍchõ Lowalangi ba tõi zogõmigõmi andrõ ba si bongi ibeʼe. Ba bongi ba moloeo, ba loeo si fõfõna.
GEN.1_1.6	III. 
GEN.1_1.7	Ba ifazõchi waʼebolo mbanoea andrõ Lowalangi, famabali nidanõ tooe mbanoea ba nidanõ jaw̃a mbanoea. 
GEN.1_1.8	Ba ibeʼe tõi waʼebolo andrõ mbanoea Lowalangi. Ba bongi ba moloeo, ba loeo si doea.
GEN.1_1.9	IV. 
GEN.1_1.10	Ba itõrõ. Ba ibeʼe tõi zabeʼe andrõ danõ Lowalangi, ba si tonia idanõ, ba asi ifotõi. Ba iʼila Lowalangi, wa no si sõchi. 
GEN.1_1.11	Ba imane Lowalangi: Jatoemboe ba danõ ndroeʼoe, awõ goelegoele sowoea, tanõmõ dania, ba eoe sowoea ngawalõ mboea ba danõ, sohoenõ, tanõmõnia. 
GEN.1_1.12	Ba itõrõ. Ba toemboe ba danõ ndroeʼoe ba goelegoele sowoea dania, tanõmõ, ngawangawalõ, ba eoe sowoea si so hoenõ, tanõmõ dania, ngawangawalõ. Ba iʼila Lowalangi, wa no si sõchi. 
GEN.1_1.13	Ba bongi, ba moloeo, ba loeo si tõloe.
GEN.1_1.14	V. 
GEN.1_1.15	tobali sihaga ba waʼebolo mbanoea andrõ, ba wohagaini oeli danõ. Ba itõrõ. 
GEN.1_1.16	Ba ifazõchi zihaga andrõ Lowalangi, si domboea: sihaga seboea andrõ, famatõrõ zi maʼṍchõ ba sihaga sideʼide andrõ, famatõrõ zi bongi, ba awõnia ndrõfi andrõ. 
GEN.1_1.17	Ba ifataro ira ba waʼebolo mbanoea andrõ Lowalangi, enaʼõ lahagaini goeli danõ, 
GEN.1_1.18	ba wamatõrõ si maʼṍchõ ba si bongi ba ba wamõfõʼõ si moloeo ba si bongi. Ba iʼila Lowalangi wa no si sõchi. 
GEN.1_1.19	Ba bongi ba moloeo, ba loeo si õfa.
GEN.1_1.20	VI. 
GEN.1_1.21	Ba ifazõchi Lowalangi zaliw̃aliw̃a ba nasi andrõ, segeboea, ba sonoso andrõ fefoe, saliw̃aliw̃a, solihaliha ba nidanõ, ngawangawalõ, awõ ngawalõ zihombo. Ba iʼila Lowalangi wa no si sõchi. 
GEN.1_1.22	Ba ifahowoeʼõ ira Lowalangi, imane: Miʼoʼono ba miʼojaʼõ ami ba mifoʼõsi nasi; ba fofo andrõ, ba jaʼoja sibai ba goeli danõ. 
GEN.1_1.23	Ba bongi ba moloeo, ba loeo si lima. 
GEN.1_1.24	Ba imane Lowalangi: Jamoeloea ba danõ zonoso, ngawangawalõ, oerifõ niha ba koeõkoeõ ba oetoe ndroeʼoe, ngawangawalõ. Ba itõrõ.
