MAT.1.1	Ăṭṭarex n-
MAT.1.2	Ikrăš Ibrahim Isxaqq,
MAT.1.2	Isxaqq ikrăš Yaqub,
MAT.1.2	Yaqub ikrăš Yăhuda d-ayətma-s wi iyyăḍnen.
MAT.1.3	Yăhuda ənta, təkrăš-as hănne-s Tamar, Faris d-Zira.
MAT.1.3	Ikrăš Faris Xăšrun,
MAT.1.3	ikrăš Xăšrun Aram,
MAT.1.4	ikrăš Aram Aminădab,
MAT.1.4	ikrăš Aminădab Nasun,
MAT.1.4	ikrăš Nasun Sălmun.
MAT.1.5	Ikrăš Sălmun d-hănne-s Rahab Boɣaz,
MAT.1.5	ikrăš Boɣaz d-hănne-s Rutt Ɣubăyd,
MAT.1.5	Ɣubăyd ənta, ikrăš Yasa.
MAT.1.6	Yasa ənta a orăwăn ămănokal Dawəd.
MAT.1.6	Dawəd ənta, ikrăš d-hănne-s n-Urya Sulăyman,
MAT.1.7	Sulăyman ənta ikrăš Raxăbyăm,
MAT.1.7	Raxăbyăm ikrăš Abya,
MAT.1.7	Abya ikrăš Asaf,
MAT.1.8	Asaf, ikrăš Yăhušăffat,
MAT.1.8	Yăhušăffat ikrăš Yoram,
MAT.1.8	Yoram ikrăš Uzya,
MAT.1.9	Uzya ikrăš Yotam,
MAT.1.9	Yotam ikrăš Axaz,
MAT.1.9	Axaz ikrăš Ezekya,
MAT.1.10	Ezekya, ikrăš Mănase,
MAT.1.10	Mănase ikrăš Amon,
MAT.1.10	Amon ikrăš Yozya,
MAT.1.11	Yozya ikrăš Yăxunya d-ayətma-s wi iyyăḍnen.
MAT.1.11	Ăzzăman-wen-dăɣ a dăɣ-əttəkfălăn kăl-Iṣrayil
MAT.1.11	s-ăkall wa n-Babilun.
MAT.1.12	Ḍarăt atəkfəl-wen-dăɣ ad-ikrăš Yakonya Ăṣṣălat,
MAT.1.12	Ăṣṣălat ikrăš Zurubabil,
MAT.1.13	Zurubabil ikrăš Abihud,
MAT.1.13	Abihud, ikrăš Ilyakim,
MAT.1.13	Ilyakim ikrăš Yazur,
MAT.1.14	Yazur ikrăš Ăssăddiq,
MAT.1.14	Ăssăddiq, ikrăš Yahim,
MAT.1.14	Yahim ikrăš Ɣəlihud,
MAT.1.15	Ɣəlihud ikrăš Ɣəlyazăr,
MAT.1.15	Ɣəlyazăr, ikrăš Mittăn,
MAT.1.15	Mittăn, ikrăš Yaqub.
MAT.1.16	Yaqub-en-dăɣ a ăshăyăwăn Yusəf wa n-ăhaləs n-Măryăma
MAT.1.16	ta torăwăt Ɣisa wa s-itawănna 
MAT.1.17	Ɣur-ăzzăman wa n-Ibrahim təkkəd ăzzăman wa n-Dawəd, okăynăt mărawăt əzzurəyaten d-əkkoẓăt; ɣur-ăzzăman wa n-Dawəd təkkəd ăzzăman wa n-atəkfəl n-kăl-Iṣrayil s-ăkall wa n-Băbilun, okăynăt mărawăt əzzurəyaten d-əkkoẓăt; ɣur-ăzzăman daɣ wa n-atəkfəl n-kăl-Iṣrayil s-ăkall wa n-Babilun təkkəd ăzzăman wa n-tiwit n-
MAT.1.18	Ǝnta da əmmək wa s-iwa 
