GEN.1.1	Bunso zaa piiligu, Naawunni n daa n maalini saazu ni tiŋŋa. 
GEN.1.2	Tiŋŋa maa daa n niŋini binyoo, ka ligu ni koom paali u, Naawunni sii poli n jinna koom maa.
GEN.1.3	Niŋi n na, Naawun yeli, “Cheli paaligu ta.” Lala mi niŋi. 
GEN.1.4	O nye paaligu maa, ka o veela. O barigi paaligu maa yi ligu la niŋi. 
GEN.1.5	O booli paaligu maa bee, ka booli ligu la mi yiiŋu. Zaanoori ni boguuniŋi n daa n niŋi o dapiiligu.
GEN.1.6	Ka Naawunni lee n yeli, “Cheli bobiri barigi koom maa buyi. 
GEN.1.7	Bobiri maa ti seesi du saa, ka seesi ba tiŋŋa.” 
GEN.1.8	Ka Naawunni booli bobiri maa sagbaŋŋu. O zaanoori ni boguuniŋi n daa n niŋi daba ayi daari.
GEN.1.9	Ka Naawunni lee n yeli, “Cheli koseesi n ba tiŋŋa laŋsi ziluŋko, ka tiŋgbaŋŋu kuuŋu o ta.” Lala mi niŋi. 
GEN.1.10	O booli tiŋgbaŋŋu kuuŋu la tiŋŋa, ka kolaŋsira la mini teeku. O nyaasi a, ka a veela.
GEN.1.11	Ka Naawunni lee n yeli, “Cheli tiŋgbaŋŋu buli bumbula, seesi a niŋi chi baligu, ka seesi a niŋi tiisi baligu, ka a wanna.” A mi niŋi. 
GEN.1.12	Lala n na tiŋgbaŋŋu maa buli bumbula balisi. Naawunni nyaasi a, ka a veela. 
GEN.1.13	O zaanoori ni boguuniŋi n daa n niŋi daba ata daari.
GEN.1.14	Ka Naawunni lee n yeli, “Cheli paaligusi ta sagbana niŋi, a barigi bee ni yiiŋu, jemani, daasi, a ni yuma. 
GEN.1.15	A zaa ni ba sagbana niŋi, a tira tiŋgbaŋŋu maa paaligu.” A mi niŋi. 
GEN.1.16	Lala n na, Naawunni maali paaligu karigu ni paaligu bila, ŋa la o tira bee paaligu, ŋa la o tira yiiŋu paaligu. Ka o maali ŋmeribiisi gba. 
GEN.1.17	A zaa ba sagbana niŋi tira tiŋgbaŋŋu maa paaligu, 
GEN.1.18	a nyaasira bee ni yiiŋu, ka barigi paaligu yi ligu niŋi. Naawunni nyaasi a, ka a veela. 
GEN.1.19	O zaanoori ni boguuniŋi n daa n niŋi daba anaasi daari.
GEN.1.20	Ka Naawunni lee n yeli, “Cheli koom puu bunvuusira baligu zaa, a zoo n ba niŋi chaŋina. Ka cheli binyigira zaa, a ba niŋi yigira sagbana zu.” 
GEN.1.21	Naawunni daa n maali binnyaara kara niŋi koom puwa, a ni koom puu binnyaara zaa, a zoo n chaŋina, a ni niinsi balisi zaa. Naawunni nyaasi a, ka a veela. 
GEN.1.22	Naawunni nafa a, ka yeli, “Ya wasi n paali koom maa niŋi. Ka niinsi gba, a wasi.” 
GEN.1.23	O zaanoori ni boguuniŋi n daa n niŋi daba anu daari.
GEN.1.24	Ka Naawunni lee n yeli, “Cheli tiŋgbaŋŋu binnyaara ni a balisi zaa ba niŋi, yiri buŋkobiri, moo puwa buŋkobiri, a ni binnyaara zaa.” A mi niŋi. 
GEN.1.25	Naawunni maali a zaa, ka nyaasi a, ka a veela.
GEN.1.26	Ka Naawunni lee n yeli, “Cheli ti maali nisaaladima, ba ŋmaani ti, ka mari daama, a yi koom puu koroto niŋi, niinsi, a ni tiŋgbaŋŋu buŋkobiri zaa niŋi.” 
GEN.1.27	Naawunni maali nisaaladima, ba ŋmaani u. O maali ba daba ni poga. 
GEN.1.28	Naawunni nafa ba, ka yeli, “Ya dogira biisi, a paali tiŋgbaŋŋu maa, ka nyaasira u, a mari daama, a yi koom puu koroto niŋi, saazu niinsi, a ni bini zaa n chaŋina tiŋgbaŋŋu maa niŋi. 
GEN.1.29	Ya nyaasi, m ti ya ni chi baligu, a ni tiisi wala, a niŋi ya bindira. 
GEN.1.30	M naani moori ni vaari ti buŋkobiri, niinsi a ni tiŋvuurigusi, a niŋi a bindira.” Lala mi niŋi. 
GEN.1.31	Ka Naawunni nyaasi bunso zaa o n maali maa, ka a veela ga. O zaanoori ni boguuniŋi n daa n niŋi daba ayoobu daari.
GEN.2.1	N ŋa n na saazu ni tiŋŋa ni bunso zaa n ba a niŋi daa n maali. 
GEN.2.2	Daba ayapoin daari Naawunni tuma maa baasi, ka o naa dindaari maa vuusi. 
GEN.2.3	Naawunni nafa daba ayapoin daari maa, ka loobi u vuusim daa, a kpali bo, o tuma maa zaa baasiya. 
GEN.2.4	Seema Naawunni n daa n maali saazu ni tiŋŋa n na la.
GEN.2.4	Duuma Naawunni n daa maali saazu ni tiŋŋa zaa la, 
GEN.2.5	vatuya ni bumbula daa na ka niŋi, a kpali Duuma Naawunni na bi ti saa ta, ka nira zaa daa n na ka, o ko tiŋgbaŋŋu maa niŋi. 
GEN.2.6	Ama koom daa n bulisini yi tiŋŋa, a du n maagira tiŋgbaŋŋu maa zaa.
GEN.2.7	A jemani maa Duuma Naawunni naa tanni me daba, ka vuusi nyevuri vuusim niŋi o ŋoya niŋi, o loobi nyevuri daana. 
GEN.2.8	Ka ti Duuma Naawunni digili pu, a yi Idin paaligu n ba wuluŋu pusigu, ka naa daba maa niŋi nisaaniŋi. 
GEN.2.9	Niŋi n na, Duuma Naawunni ti tisuma zaa baligu buli, seesi wala n veela buli. Tiisi ayi za pu maa sunsuuniŋi, ŋala tira nyevuri, ka ŋala mi tira yasuma ni yabeeri baŋinisim.
GEN.2.10	Mogiri mi daa n bani Idin paaligu, a zo n ti maagira pu maa, ka barigi bunaasi. 
GEN.2.11	Piiligu mogiri maa ba boona Pison, o zo n wara Havila paaligu zaa. 
GEN.2.12	Sugasuma mi ba niŋi, a ni tulalesuma, a ni kuguso n mari tono. 
GEN.2.13	Moga ayi daana maa n niŋi Gihon, o mi zo n wara Kusi paaligu zaa. 
GEN.2.14	Moga atadaana maa n niŋi Tigirisi, a zo n yiira Asiriya paaligu n ba wuluŋu pusigu. Moga anaasidaana maa n niŋi Yufireeti.
GEN.2.15	Duuma Naawunni n naa daba maa niŋi pu la n ba Idin paaligu la o doosira, ka nyaasira u. 
GEN.2.16	Ka ti u zaaligu yeli, “E ni tee n di pu maa tiisi zaa wala, 
GEN.2.17	ama, da pa ti di tiso n tira yasuma ni yabeeri baŋinisim la wala. A kpali bo, dindaso zaa e n di u, e ni kpi.”
GEN.2.18	Niŋi n na, Duuma Naawunni yeli, “O bi daga daba ko n ba niŋi, m ni maali suŋina, o niŋi o todaana.” 
GEN.2.19	A jemani maa o naa tanni me buŋkobiri ni niinsi zaa, ka naag a ta daba maa saani, o digili a yuya. 
GEN.2.20	Daba maa n digili a yuya maa baasi, o bi nye o suŋina zaa yi a puwa.
GEN.2.21	Niŋi n na, Duuma Naawunni ti daba maa gbisi ga. O n gbisira maa, Duuma Naawunni nyisi o nyekobiri, ka ti nisaaniŋi ti yo. 
GEN.2.22	O naa nyekobiri maa maali poga, a ti daba maa. 
GEN.2.23	A nyaaŋa daba maa yeli, “Pimparaŋa wune m pa nye m gbagba ŋmaani, m koba niŋi kobiri, m valiga niŋi valiga. O n yi daba niŋi zu, o yuuri n niŋi poga.” 
GEN.2.24	Lala zu, daba yi cheli o ba ni o ma, ka naa poga, ba loobi luŋko.
GEN.2.25	Daba maa ni poga maa daa n marini alibana, ka vi bi mari ba.
GEN.3.1	A jemani maa, waafu n daa n baŋŋi yomsigu gaari buŋkobiri zaa Naawunni n daa n maali la.
GEN.3.1	Dindaso o daa n ta poga maa saani, a ti boosi u, “Yamonsi n na Naawunni yeli ya da dira tii zaa wala pu ŋa niŋi?”
GEN.3.2	Poga maa yeli u, “Ti n tee n di tii zaa wala n ba pu ŋa niŋi. 
GEN.3.3	Ama tiso n za sunsuuniŋi la, Naawunni yeli ti da pa ti di o wala, koo a siisi u gba, ka pa lala, ti ni kpi.”
GEN.3.4	Waafu maa yeli, “Akai, ya ki kpi. 
GEN.3.5	Naawunni baŋiya maa, ka ya di u, ya nufu ni yoo, ya ba maa Naawunni, a baŋŋi yasuma ni yabeeri.”
GEN.3.6	Niŋi n na, poga maa nyaasi, ka tii maa wala veela diibu, a niŋi u naŋgbaŋkuubu maa o n di n di u, ka mari yam.
GEN.3.6	A zu, o po u di, ka naa n ti o sira gba o di. 
GEN.3.7	Noba maa niŋi, ba nufu yoo, ba nye maa ba bi so sen, a zu ba naa tii vayelima se n tomi taaba, a so.
GEN.3.8	Dindaari maa zaanomaasiri, ba wumi Duuma Naawunni n chaŋina pu maa niŋi, ba zo n sogira tiisi maa puwa.
GEN.3.9	Niŋi n na, Duuma Naawunni booli daba maa, “Ya n na e be?”
GEN.3.10	Daba maa yeli, “M wumini e n chaŋina pu la niŋi, dabeem gbaa ma, a kpali ni mari alibana zu, ma sogi.”
GEN.3.11	Naawunni boosi u, “Ŋani n yeli i ni e marini alibana? E dini tiso ni yeli e da di la wala la?”
