GEN.1.1	Na počátku Bůh stvořil nebe a zemi. 
GEN.1.2	Země pak byla pustá a prázdná, nad propastí byla tma a nad vodami se vznášel Boží Duch. 
GEN.1.3	Bůh řekl: „Ať je světlo!“ – a bylo světlo. 
GEN.1.4	Bůh viděl, že světlo je dobré, a Bůh oddělil světlo od tmy. 
GEN.1.5	Bůh nazval světlo „den“ a tmu nazval „noc“. Byl večer a bylo ráno, den první. 
GEN.1.6	Bůh řekl: „Ať je uprostřed vod obloha, aby oddělovala vody od vod!“ 
GEN.1.7	Bůh učinil oblohu a oddělil vody pod oblohou od vod nad oblohou – a stalo se. 
GEN.1.8	Bůh nazval oblohu „nebe“ a byl večer a bylo ráno, den druhý. 
GEN.1.9	Bůh řekl: „Ať se vody pod nebem shromáždí na jedno místo a ať se ukáže souš!“ – a stalo se. 
GEN.1.10	Bůh nazval souš „země“ a shromáždění vod nazval „moře“. A Bůh viděl, že je to dobré. 
GEN.1.11	Tehdy Bůh řekl: „Ať země zplodí zeleň: byliny nesoucí semeno a různé druhy plodných stromů nesoucích ovoce, v němž je jejich semeno na zemi!“ – a stalo se. 
GEN.1.12	Země vydala zeleň: různé druhy bylin nesoucích semeno a různé druhy stromů nesoucích ovoce, v němž je jejich semeno. A Bůh viděl, že je to dobré. 
GEN.1.13	Byl večer a bylo ráno, den třetí. 
GEN.1.14	Bůh řekl: „Ať jsou na nebeské obloze svítilny, aby oddělovaly den od noci; budou znameními k určování období, dnů a let; 
GEN.1.15	budou na nebeské obloze svítilnami k osvětlování země!“ – a stalo se. 
GEN.1.16	Bůh učinil dvě veliké svítilny: větší, aby vládla dni, a menší, aby vládla noci; učinil rovněž hvězdy. 
GEN.1.17	Bůh je umístil na nebeské obloze, aby osvětlovaly zemi, 
GEN.1.18	aby panovaly nade dnem a nocí a aby oddělovaly světlo od tmy. A Bůh viděl, že je to dobré. 
GEN.1.19	Byl večer a bylo ráno, den čtvrtý. 
GEN.1.20	Bůh řekl: „Ať se vody zahemží množstvím živočichů a nad zemí pod nebeskou oblohou ať létají ptáci!“ 
GEN.1.21	Bůh tedy stvořil velké mořské obludy a všemožné druhy čilých živočichů, jimiž se zahemžily vody, i všemožné druhy okřídlených ptáků. A Bůh viděl, že je to dobré. 
GEN.1.22	Bůh jim požehnal a řekl: „Ploďte a množte se a naplňte vody v mořích; také ptáci ať se rozmnožují na zemi.“ 
GEN.1.23	Byl večer a bylo ráno, den pátý. 
GEN.1.24	Bůh řekl: „Ať země vydá různé druhy živočichů: různé druhy dobytka, drobné havěti i polní zvěře!“ – a stalo se. 
GEN.1.25	Bůh učinil různé druhy polní zvěře a dobytka i všemožné druhy zemské havěti. A Bůh viděl, že je to dobré. 
GEN.1.26	Tehdy Bůh řekl: „Učiňme člověka k našemu obrazu, podle naší podoby! Ať panují nad mořskými rybami, nad nebeským ptactvem, nad dobytkem, nade vší zemí i nad veškerou havětí lezoucí po zemi.“ 
GEN.1.27	Bůh stvořil člověka ke svému obrazu, 
GEN.1.27	k obrazu Božímu stvořil jej: 
GEN.1.27	jako muže a ženu stvořil je. 
GEN.1.28	A Bůh jim požehnal. Bůh jim řekl: „Ploďte a množte se, naplňte zem, podmaňte si ji a panujte nad mořskými rybami, nad nebeským ptactvem i nad každým živočichem lezoucím po zemi.“ 
