GEN.1.1	Na počátku
GEN.1.2	Země
GEN.1.3	I řekl Bůh: Budiž světlo! A bylo světlo. 
GEN.1.4	Bůh viděl, že světlo 
GEN.1.5	Bůh nazval světlo dnem a tmu nazval nocí; a byl večer a bylo ráno,
GEN.1.6	I řekl Bůh: Budiž klenba uprostřed vod a nechť odděluje vody od vod. 
GEN.1.7	Bůh tedy udělal klenbu a oddělil vody, které 
GEN.1.8	Bůh nazval klenbu nebesy; a byl večer a bylo ráno, den druhý.
GEN.1.9	I řekl Bůh: Ať se vody pod nebesy shromáždí na jedno místo a ukáže se souš. A stalo se tak. 
GEN.1.10	Bůh nazval souš zemí a nahromaděné vody nazval moři. Bůh viděl, že 
GEN.1.11	I řekl Bůh: Ať země dá vyrašit trávě, zeleni vysévající semeno, ovocnému stromoví nesoucímu na zemi ovoce podle svého druhu, ve kterém 
GEN.1.12	Země vydala trávu, zeleň vysévající semeno podle svého druhu a stromoví nesoucí ovoce, ve kterém 
GEN.1.13	A byl večer a bylo ráno, den třetí.
GEN.1.14	I řekl Bůh: Ať jsou světla
GEN.1.15	A ať jsou světly na nebeské klenbě, aby svítila na zemi. A stalo se tak. 
GEN.1.16	Bůh udělal dvě veliká světla:
GEN.1.17	Bůh je dal na nebeskou klenbu, aby svítila na zemi, 
GEN.1.18	a aby ovládala den a noc
GEN.1.19	A byl večer a bylo ráno, den čtvrtý.
GEN.1.20	I řekl Bůh: Ať se vody hemží živou havětí
GEN.1.21	Bůh stvořil veliké draky a všechny pohyblivé formy života, jimiž se 
GEN.1.22	A Bůh je požehnal
GEN.1.23	A byl večer a bylo ráno, den pátý.
GEN.1.24	I řekl Bůh: Ať země vydá formy života podle jeho druhu: Dobytek, plazy
GEN.1.25	Bůh učinil zemskou zvěř podle jejího druhu, dobytek podle jeho druhu a každého zemského plaza podle jeho druhu. Bůh viděl, že 
GEN.1.26	I řekl Bůh: Učiňme
GEN.1.27	Bůh stvořil člověka ke svému obrazu, stvořil ho k obrazu Božímu, stvořil je muže a ženu.
GEN.1.28	Bůh je požehnal a řekl jim:
GEN.1.29	A Bůh řekl: Hle, dal jsem vám každou rostlinu mající semena na povrchu celé země a každý strom, na němž 
GEN.1.30	Veškeré zemské zvěři, všemu nebeskému ptactvu a všemu pohybujícímu se na zemi, v čem 
GEN.1.31	Bůh viděl všechno, co učinil, a hle, 
GEN.2.1	Tak byla dokončena nebesa a země i všechny jejich zástupy. 
GEN.2.2	Sedmého dne Bůh dokončil své dílo, které konal, a sedmého dne přestal
GEN.2.3	Bůh sedmý den požehnal a posvětil
GEN.2.4	Toto 
GEN.2.5	na zemi ještě nebylo žádné polní křoví ani ještě nevzcházela žádná polní zeleň, protože Hospodin Bůh nesesílal na zemi déšť a nebyl člověk, aby zemi obdělával, 
GEN.2.6	ale pramen
GEN.2.7	Hospodin Bůh vytvořil
GEN.2.8	A Hospodin Bůh vysadil zahradu
