MAT.1.1	Nkanda ya mbutukulu ya Yesu Klisto, mwana ya Davidi, mwana ya Abalahami. 
MAT.1.2	Abalahami vandaka tata ya Isaki, Isaki tata ya Yakobi, Yakobi tata ya Yuda ye bampangi ya yandi. 
MAT.1.3	Yuda ye Tamali butaka Pelesi ye Sela, Pelesi tata ya Heselone, Heselone tata ya Lami. 
MAT.1.4	Lami tata ya Aminadabi, Aminadabi tata ya Nasoni, Nasoni tata ya Salamoni. 
MAT.1.5	Salamoni ye Lakabi butaka Boasi, Boasi ye Luti butaka Obedi, Obedi tata ya Isai.
MAT.1.6	Isai tata ya Davidi, ntinu, Davidi ye nkento ya vandaka ya Ulia butaka Solomo. 
MAT.1.7	Solomo tata ya Lehabami, Lehabami tata ya Abia, Abia tata ya Asa.
MAT.1.8	Asa tata ya Yosafati, Yosafati tata ya Yolami, Yolami tata ya Usia. 
MAT.1.9	Usia tata ya Yotami, Yotami tata ya Ahasi, Ahasi tata ya Hiskia. 
MAT.1.10	Hiskia tata ya Manase, Manase tata ya Amoni, Amoni tata ya Yosia. 
MAT.1.11	Yosia tata ya Yekonia ye mpangi ya yandi mu ntangu ya bau natwaka ku Babeli. 
MAT.1.12	Kulanda ya bau natwaka ku Babeli, Yekonia tata ya Sealatieli, Sealatieli tata ya Zelubabeli. 
MAT.1.13	Zelubabeli tata ya Abiudi, Abiudi tata ya Eliakimi, Eliakimi tata ya Asoli.
MAT.1.14	Asoli tata ya Sadoki, Sadoki tata ya Akimi, Akimi tata ya Eliudi.
MAT.1.15	Eluidi tata ya Elasali, Elasali tata ya Matani, Matani tata ya Yakobi.
MAT.1.16	Yakobi tata ya Yosefi, bakala ya Malia ya butaka Yesu, ya bingwa Klisto.
MAT.1.17	Mpilayai bambandu yonso tuka Abalahami ti Davidi ikele babandu kumi ye iya; bambandu tuka Davidi ti bau; natwaka ku Babeli ikele kumi ye iya; bambandu tuka bau natwaka ku Babeli ti Klisto ikele kumi ye iya.
MAT.1.18	Lubutuku ya Yesu Klisto vandaka mpilyai: Bu ngudi ya yandi Malia silwaka kwa Yosefi, bu bau imene kwiza sikamosi ve, yandi monwaka na divumu ya katuka na Mpeve Yanlongo. 
MAT.1.19	Kansi Yosefi bakala ya yandi, sambu na yandi vandaka muntu ya lunungu ye zolaka ve kumonisa yandi nsoni nantwala ya bantu, yandi zolaka kubika yandi mu kinsweki. 
MAT.1.20	Bu yandi yindulaka mambu yai, tala, wanjo ya Mfumu monikaka kwa yandi mu ndozi, kutuba: Yosefi, mwana ya Davidi, tita ve kubaka Malia nkento ya nge, kadi yina ya yimitwa mu yandi ikele ya Mpeve Yanlongo.
MAT.1.21	Yandi tabuta mwana bakala, ye nge tabinga nkumbu ya yandi YESU, kadi yandi tavulusa bantu ya yandi na masumu ya bau. 
MAT.1.22	Mambu yai yonso vandaka, na yo lenda maniswa ya Mfumu tubaka mu mbikudi, kutuba:
MAT.1.23	Tala, nkento ya imene kuzaba bakala ve tavanda na divumu ye tabuta mwana bakala; bau tabinga nkumbu ya yandi Emanueli, tendula ya yo ikele yai: Nzambi ikele na beto.
MAT.1.24	Yosefi sikamaka na tulu ye salaka mpilamosi wanjo ya Mfumu sikidikisaka yandi, ye bakaka nkento ya yandi.
MAT.1.25	Kansi yandi zabaka yandi ve ti yandi butaka mwana bakala; yandi bingaka nkumbu ya yandi YESU.
MAT.2.1	Bu Yesu butukaka mu Betelemi ya Yuda mu bilumbu ya Elode ntinu, tala, banduenga ya este kwizaka ku Yelusalemi, kutuba:
MAT.2.2	Ntinu ya baYuda ya butukaka ikele wapi ? Kadi beto monaka mbwetete ya yandi mu este, ye beto kwiza kusambila yandi. 
MAT.2.3	Bu ntinu Elode kuwaka yo, yandi zakamaka ye Yelusalemi yonso sikamosi na yandi.
MAT.2.4	Yandi kutikisaka bambuta banganga yonso ye bansoniki ya bantu ye yuvulaka bau: Klisto tabutuka wapi ?
MAT.2.5	Bau tubaka kwa yandi: Mu Betelemi ya Yuda, kadi mpilayai yo sonamaka mu mbikudi:
