MAT.1.1	ایسّا مَسیه، 
MAT.1.2	اِسْهاکِ اِبراهێم، آکوبِ اِسْهاک، یَهودا و آییئے برات که آکوبئے چُکّ اتنت. 
MAT.1.3	پارِس و زارَهِ یَهودا که آیانی ماتئے نام تامار اَت. هِسْرونِ پارِس، اَرَمِ هِسْرون، 
MAT.1.4	اَمینادابِ اَرَم، نَهْشونِ اَمیناداب، سَلْمونِ نَهْشون، 
MAT.1.5	بوازِ سَلْمون که آییئے ماتئے نام رَهاب اَت، اۆبئیدِ بواز که ماتئے نامی روت اَت، یَسّیِ اۆبئید، 
MAT.1.6	بادشاه 
MAT.1.7	رِهُبامِ سُلئیمان، اَبیایِ رِهُبام، آسایِ اَبیا، 
MAT.1.8	یِهوشاپاتِ آسا، یورامِ یِهوشاپات، اُزّیایِ یورام، 
MAT.1.9	یوتامِ اُزّیا، آهازِ یوتام، هِزِکیایِ آهاز، 
MAT.1.10	مَنَسّیِ هِزِکیا، آمونِ مَنَسّی، یوسیایِ آمون، 
MAT.1.11	یِکونیایِ یوسیا و آییئے سجّهێن برات، که اے وهدا یَهودی بابِلا درانڈێه
MAT.1.12	چه بابِلئے درانڈێهیا رند، شیالتیالِ یِکونیا، زِروبابِلِ شیالتیال، 
MAT.1.13	اَبیهودِ زِروبابِل، اِلیاکیمِ اَبیهود، آزورِ اِلیاکیم، 
MAT.1.14	سَدوکِ آزور، آکیمِ سَدوک، اِلیهودِ آکیم، 
MAT.1.15	اِلیازرِ اِلیهود، مَتّانِ اِلیازر، آکوبِ مَتّان، 
MAT.1.16	ایسُّپِ آکوب که مَریمئے مرد اَت. چه مَریما ایسّا پێدا بوت که 
MAT.1.17	اے ڈئولا، چه اِبراهێما بگر تان 
MAT.1.18	ایسّا مَسیهئے پێدایش اے ڈئولا اَت: ایسّائے مات مَریم، ایسُّپا سانگ کرتگ‌اَت بله چه آیانی سور و آرۆسا پێسر، زانتِش که چه 
MAT.1.19	مَریمئے لۆگواجه ایسُّپ، راست و پهرێزکارێن مردمے اَت، نلۆٹتی مَریما بَنّام بکنت، پمێشکا وتی دلا شئوری کرت: «په بێتئواری اے سانگا بپرۆشان.» 
MAT.1.20	اے بارئوا اَنگت پِگر کنگا اَت که آییئے وابا اَناگت
MAT.1.21	آ، مردێن‌چُکّێئے سرا چِلّگَ بیت و آییئے ناما ایسّا
MAT.1.22	اے سجّهێن کار پمێشکا چُش بوتنت تان هُداوندئے هما هبر راست و پَدّر
MAT.1.23	 که اِشیئے مانا «هُدا گۆن ما» اِنت. 
MAT.1.24	وهدے ایسُّپ چه وابا آگاه بوت، هما ڈئولا که هُداوندئے پرێشتگا هُکم داتگ‌اَت، وتی جنی زرت، 
MAT.1.25	بله تان آ وهدا که چُکّ پێدا نبوتگ‌اَت، گۆن آییا وپت و وابی نکرت و چُکّئے نامی ایسّا پِر بست.
MAT.2.1	بادشاه 
MAT.2.2	جُستِش گپت: «هما نُنُّک که په یَهودیانی بادشاهیا پێدا بوتگ، کجا اِنت؟ ما آییئے اِستار در آیگا دیستگ و په آییئے 
MAT.2.3	چه اے هبرئے اِشکنگا، هیرودیس بادشاه و اورْشَلیمئے سجّهێن مردم باز پرێشان و دِلتپرکه
MAT.2.4	هیرودیسا کئومئے سجّهێن دینی پێشوا و 
MAT.2.5	آیان پَسّئو
MAT.2.7	گڑا 
MAT.2.8	رندا آییا نجومی په هما نُنُّکئے شۆهاز و در گێجگا بئیت‌لَهِما راه داتنت و گوَشتی: «برئوێت و اے چُکّئے بارئوا شَرّ پَٹّ و پۆل بکنێت، وهدے شما در گێتک، منا سهیگ بکنێت تان من هم په آییئے 
MAT.2.9	بادشاهئے هبرانی اِشکنگا رند، نجومی سر گپتنت. راها رئوان، هما اِستار که آیان در آیگا دیستگ‌اَت، آیانی دێما پێش کپان، هما جاگهئے سَربُرا اۆشتات، که نُنُّک اۆدا اَت. 
MAT.2.10	چه اے اِستارئے گِندگا سکّ باز وشدِل بوتنت. 
MAT.2.11	لۆگا شتنت و نُنُّکِش آییئے مات مَریمئے گوَران دیست. گڑا کۆنڈان کپتنت و چُکِّش پرستش کرت، وتی تُهپه و ٹێکیانی هُکّه
MAT.2.12	رندا، هُدایا وابا آ هُژّار کرتنت که هیرودیسئے کِرّا پِر مترّنت. گڑا چه دگه راهے، وتی مُلکا شتنت.
MAT.2.13	نجومیانی پِر ترّگا رند، 
MAT.2.14	گڑا، ایسُّپ انچُش که چه وابا آگاه بوت، چُکّ و چُکّئے ماتی زرت و شپی شپ دێم په مِسرا شت. 
MAT.2.15	تان هیرودیسئے مَرکا همۆدا منتنت تان هُداوندئے هما هبر راست و پَدّر ببیت که چه نبیئے کئولا گوَشگ بوتگ‌اَت: 
MAT.2.16	وهدے 
MAT.2.17	اے ڈئولا 
