MAT.1.1	Igioroni jio abuk ana afureta hohonyiok Yesu Kristo to woyo ba Dafide, lonyi Abramo.
MAT.1.2	Ara Abramo monye Isako, Isako monye Yakobo, Yakobo monye Yuda iko illarak honyi; 
MAT.1.3	ara Yuda monye Peres iko Sera (huttolo ŋoruoi honyi Tamar), Peres monye Heseron, Heseron monye Ram, 
MAT.1.4	Ram monye Aminadab, Aminadab monye Nason, Nason monye Salmon, 
MAT.1.5	Salmon monye Bowas, (jio ŋoruoi honyi Rahab), Boas monye Obed (huttolo ŋoruoi honyi Rus), Obed monye Yese, 
MAT.1.6	Yese monye hobu Dafide.
MAT.1.6	Ara nyia Dafide monye Solomon tottolo ŋoruoi honyi ninyia ara 'to aŋoruoi Uriya; 
MAT.1.7	Solomon monye Rehobuwam, Rehobuwam monye Abiya, Abiya monye Asa, 
MAT.1.8	Asa monye Yehosafat, Yehosafat monye Yoram, Yoram monye Usiya, 
MAT.1.9	Usiya monye Yotam, Yotam monye Ahas, Ahas monye Hesekiya, 
MAT.1.10	Hesekiya monye Manase, Manase monye Amon, Amon monye Josiya, 
MAT.1.11	Josiya monye Yekoniya iko illarak honyi to ninyia anyarik isi ifau Babilonia.
MAT.1.12	Ihalu anyaru hosi Babilonia, Yehoyakin monye Salatiel, Salatiel monye Serubabel, 
MAT.1.13	Serubabel monye Abiud, Abiud monye Elayakim, Elayakim monye Asor, 
MAT.1.14	Asor monye Sadok, Sadok monye Akim monye Eliud, 
MAT.1.15	Eliud monye Eliasar, Elasar monye Mattan, Mattan monye Yakobo, 
MAT.1.16	Yakobo monye Yosefu, Yosefu habi Maria, honye Yesu, Yesu elle iloŋoi 
MAT.1.17	Tania itterio jio Abramo many jio Dafide, arai nyia asik 'tomon haŋuan, buo fe jio Dafide many iholoŋ ninyia anyarik isi Babilonia arai nyia buo fe asik 'tomon haŋuan. Attati teya many jio oloŋ ninyia isiorik 
MAT.1.19	Attati habi honyi Yosefu, jiaran apiaharu jihonyi dee nyio, ara nyia inyi atulo ollo obis 'to buo fe obeŋ awak itanyahina inyi ariri ihosiere waati. 
MAT.1.20	Ati ninyia hègigilo Yosefu erre hunia, oleyehino nyia ajilo olo Lamonye jihonyi ta arigia, ette jiaran, “Yosefu, otto woyo Dafide, hèbaŋ ayemuna Maria aŋoruoi hoi, nyio oyedu inyi ta aduaran ono Loholio Olibo. 
MAT.1.21	Isiu adi inyi leto, buo ifurak adi iyye inyi Yesu, nyio italahu adi inyi aati honyi te iyyata hosi.”
MAT.1.22	Iduoŋi nyia erre huna 'daŋ, itasiruniere ekiana ono Lamonye ninyia ikianari inyi te etuk ekianani honyi jio, 
MAT.1.23	“Oyedu adi obo oduoti onno hobeŋ ottironie iko obo alle. Ottu adi inyi isiuna eto 'le. Ifurani adi inyi Imanuele,” (onno ojio 'to, “Owon Hollum ikohoi”).
MAT.1.24	Ninyia ahenyu Yosefu, ette inyi ihanio ihuo ifak ajilo olo Lamonye inyi, ette iyemuna Maria. 
MAT.1.25	Isiu nyia Maria lonyi honyi hobeŋ Yosefu ottironie ikonyi; buo Yosefu ette ifurana leto alia Yesu.
MAT.2.1	Isiuni nyia Yesu ibore gala Betelehem atta fau Yudea, to oŋitek hunyia arari Erode Ahobu. Teya, ofuonni nyia omuk alofiorojok tetteduoŋi holoŋ many Yerusalem, ette ifiyo jiojio, 
MAT.2.2	“Tali olodole elle isiuni ahobu Yudei? Nyio, egonyu nyia hohoi elelef honyi ottu teduoŋi holoŋ; ania, efuanari hohoi itahabuyere inyi.”
MAT.2.3	Ninyia itaniŋu hobu Erode erre hunia, ette inyi iko aati 'daŋ hutto Yerusalem ihawwa. 
MAT.2.4	Illilloŋu nyia inyi ehumak elettaha arabotie 'daŋ iko ettiyanak Ifahita, ette ifiyo isi jiojio, “Isioi adi 
MAT.2.5	Itarraŋi nyia isi jiojio, “Ibore gala Betelehem ifau Yudea; ihuo ninyia igioroniere ekianani Hollum jio,
MAT.2.6	‘Iyye Betelehem, atta fau Yuda,
MAT.2.6	obiaŋara iyye emuta jio aborejin gala Yuda hunne ettaha 'to;
MAT.2.6	nyio, tehiji hoi odetuno adi elettok
MAT.2.6	ollo ottu 'to iyyahatio aati hoŋ, Israele.’ ”
MAT.2.7	Attati Erode iloŋuna alofiorojok hia jio ewwaha onno obeŋ tulo omijak, ette ihum ittittifuna jihosi jio, nyia baya oleyo elelef ania. 
MAT.2.8	Attati inyi ifahina isi Betelehem, buo ihum iramana isi jiojio, “Ifuatta, ihumata ittittifuna leto lia. Elle inyurana itai inyi, ifuanna iramana nani, oŋida buo fe nani alo itahabuyere inyi.”
MAT.2.9+MAT.2.10	Ninyia itaniŋuni isi ekiana hobu, ette isi ifuatan. Ojio ihiji ikoi, igonyuni nyia isi ahuan elelef ninyia igonyuni isi teduoŋi holoŋ, ette isi imuno bebe. Olo nyia elelef ania to osiere hosi duurr, many owotiari totto hide maji ninyia awanari olodole lia. 
MAT.2.11	Ninyia ajiŋani isi attua haji, ette isi igonyuna leto iko honyonyi Maria; ania, ette isi irigoŋi ifau itahabuyere inyi. Attati isi iŋanyuna esiorita hosi, ette isiarana jihonyi ayyel, ottogoŋ iko obo aŋallai onno oŋuo gir gir.
MAT.2.12	Attati isi icaharu ifau hosi to obo ekoi hama; nyio, iramak nyia Hollum jihosi ta arigiai jio, hèlaha isi acaharai jio Erode.
MAT.2.13	Ninyia afuoi isi, oleyehino nyia ajilo olo Lamonye jio Yosefu, ette jiaran, “Odiotoi, ofuhorori leto alia iko honyonyi ifau Masir. Itoŋoi diya many eramaniere ni iyye; nyio, ottifia adi Erode leto alia ittohori inyi.”
MAT.2.14	Attati Yosefu idioto nyia 'tari, ette iyaru leto alia iko honyonyi ifau Masir, 
MAT.2.15	ette itoŋo diya many oyeri Erode. Ara nyia eram ania ihuo nyia, itasiruniere ekiana ono Lamonye ninyia ikiana inyi te etuk ekianani honyi jio, “To Masir, eloŋ ni Lonyi hoŋ.”
MAT.2.16	Ninyia amijak Erode jio, inyobi alofiorojok hia inyi, ette ataji honyi isuaharu, ette inyi ifahina eram oŋida ottohori aduri liawa hulla arai aŋasi hosi arrihai iko hullo homutari 'to 'daŋ, hutto Betelehem iko hutto onyihari honyi 'daŋ. Ihani nyia ihuo nyia, nyio, itaniŋu nyia inyi jio alofiorojok jio, aremehini aŋasi ihuo arrihai many to ninyia igonyunierek isi elelef.
MAT.2.17	Ania, itasiruno ekiana ninyia ikiana Yeremia ekianani Hollum jio,
MAT.2.18	“Itaniŋuno aturuk to Rama,
MAT.2.18	aturuk ono atuari onno omi 'to bebe.
MAT.2.18	Oyyoo Rakele aduri honyi;
MAT.2.18	iha ikoddaŋ etadua,
MAT.2.18	nyio, atuhoroi isi.”
MAT.2.19	Ninyia aye Erode, oleyehino nyia ajilo olo Lamonye jio Yosefu ta arigia ninyia howon inyi ifau Masir, ette jiaran, 
MAT.2.20	“Odiotoi, iyaru leto alia iko honyonyi; acahatti ifau Israele nyio, ayei aati hinyia awahi 'to ittohoro inyi.” 
MAT.2.21	Ania, odiotori Yosefu, ette inyiaharu leto alia iko honyonyi many Israele.
MAT.2.22	Ati abaŋ nyia Yosefu icahari Yudea nyio, itaniŋu nyia inyi jio arutak Arkelos ahobu olo Yudea imaji monyonyi. Ania, ette inyi leten ifau Galilea ihuo inyiahi nyia iramana jihonyi ta arigiai; 
MAT.2.23	ette imanya ibore gala anna anya 'to Nasaret. Ania, itasirunierek erre hunyia ojiori ekianak Hollum jio, “Iloŋoi adi inyi a Nasaretanani.”
MAT.3.1	Ihalu oŋitek hua, ottu nyia Yoane Etifuotoni Batisimo ihidiofo Yudea, ette ittittoyo jio, 
MAT.3.2	“Idehina eyyata hatai; nyio, iliaha Olobie ettedou.” 
MAT.3.3	Yoane nyia linyia ojio Isaya ekianani Hollum jio,
MAT.3.3	“Obo latulo elle iwuwoŋita ihidiofo jio,
MAT.3.3	‘Ihuhumana ekoi ono Lamonye,
MAT.3.3	itabisana alori honyi!’ ”
MAT.3.5	Ofuonni nyia aati jihonyi to Yerusalem, ta fau Yudea, iko jio aŋacio 'daŋ hutteger owore Yordano. 
MAT.3.6	Opuloni nyia isi eyyata hosi, buo inyi ette itifuotonia isi batisimo itua owore Yordano.
MAT.3.8	Ihuo ayyani onno oŋijak 'to eŋijiti, ihaniete egemita hunne itahutani 'to jio ibusana itai eyyata hatai. 
MAT.3.9	Hègigiloti jio irisata adi itai ettigemio ta ajiaran jio ara Abramo ahohonyi hatai, nyio, eramak ni itai, oremik Hollum iduhuna amoruoi huna, ette iyyeuna aduri hutto woyo Abramo. 
MAT.3.10	Ihuania accio atolu ihadde 'yani. Ayyani onno obeŋ 'to oŋijak eŋija hunno oyiji 'to, olloŋori adi inyi addi, ette ibironia ihima. 
MAT.3.11	Etifuocio ni itai batisimo ta aari itahutaniere jio ibusana itai eyyata hatai. Ati obo alla agalik ani ollo ottu te ehalu hoŋ, abeŋ ni luŋa aremik iŋok amuha honyi. Itifuocio adi inyi itai batisimo to Loholio Olibo iko te eema. 
MAT.3.12	Awon egilli honyi ihani, igilliyere emma hunne igis inyi. Ififieu adi inyi emma 'daŋ ette ihanana imugu honyi, buo ette isuahina acono 'daŋ ihima onno obeŋ 'to odunya.”
MAT.3.13	To ninyia tonyia, ottu nyia Yesu to Galilea, ette leten jio Yoane itua owore Yordano ifuotuniere batisimo jihonyi. 
MAT.3.14	Ati awak nyia Yoane itik inyi, ette jiaran, “Awak duo ni ifuotuna batisimo jihoi, inyiak buo fe iyye ittuna jihoŋ!”
MAT.3.15	Ati itarraŋ nyia Yesu inyi ojio, “Ijiara do hétera ihuo nyia, oŋida itasiru awahan Hollum.” Ette Yoane iruk ihaniere ihuo nyia.
MAT.3.16	Teya teya, ninyia ifuotu Yesu batisimo, ette ittuna addi to tua hari; aŋa nyia edou, attati inyi igonyuna Oloholio Hollum osuu ihuo awolo, ette isuronia jihonyi. 
MAT.3.17	Attati ekiana ittuna tedou onno ojio, “Lonyi hoŋ olo luŋa, ollo obuor ataji hoŋ bebe.”
MAT.4.2	Oferu nyia Yesu oloŋi atomuana aŋuan iko aruejin atomuana aŋuan, teya, ette inyi iniama. 
MAT.4.3	Attati Sittan ittuna, ette jiaran jihonyi, “Elle ira iyye Lonyi Hollum, iramak amoruoi huna ijiara oyitoi emunio.”
MAT.4.5	Attati Sittan iyaru Yesu Yerusalem, Abore Gala Elibo, ette itawojihina inyi isihidi Haji Emojit enne ittokon, 
