MAT.1.1	Jiꞌi sen kuachrjenixin ndo Jesucristo. Jeꞌe ndo kuachrjenixin ndo, ndo David ko ndo Abraham.
MAT.1.2	Ndo Abraham ikjui ndotée ndo Isaac
MAT.1.2	ko ndo Isaac ikjui ndotée ndo Jacob
MAT.1.2	ko jeꞌe ndo ikjui ndotée ndo Judá
MAT.1.2	ko sen kichuu ndo.
MAT.1.3	Ko ndo Judá ikjui ndotée ndo Fares
MAT.1.3	ko ndo Zara ko janée sen ikjui jan Tamar.
MAT.1.3	Ndo Fares ikjui ndotée ndo Esrom
MAT.1.3	ko jeꞌe ndo Esrom ndotée ndo Aram.
MAT.1.4	Ndo Aram ikjui ndotée ndo Aminadab
MAT.1.4	ko jeꞌe ndo ndotée ndo Naasón
MAT.1.4	ko ndo Naasón ikjui ndotée ndo Salmón.
MAT.1.5	Ndo Salmón ikjui ndo ndotée ndo Booz ko janée ndo jan Rahab.
MAT.1.5	Ndo Booz ikjui ndotée ndo Obed ko janée ndo Obed jan Rut.
MAT.1.5	Ndo Obed ikjui ndo ndotée ndo Isaí.
MAT.1.6	Ko ndo Rey David, chjenꞌen ndo Isaí,
MAT.1.6	ko jan Betsabé, jan ikjui janchriꞌe ndo Urías, ko ndo Rey David, meꞌe sen ikjui ndotée ko janée ndo Salomón.
MAT.1.7	Ko ndo Salomón ikjui ndotée ndo Roboam
MAT.1.7	ko jeꞌe ndo ndotée ndo Abías
MAT.1.7	ko jeꞌe ndo Abías ikjui ndotée ndo Asa.
MAT.1.8	Ndo Asa ikjui ndotée ndo Josafat
MAT.1.8	ko ndo Josafat ikjui ndotée ndo Joram
MAT.1.8	ko ndo Joram ikjui ndotée ndo Uzías.
MAT.1.9	Ko ndo Uzías ikjui ndotée ndo Jotam
MAT.1.9	ko ndo Jotam ikjui ndotée ndo Acaz
MAT.1.9	ko ndo Acaz ndotée ndo Ezequías.
MAT.1.10	Ndo Ezequías ikjui ndotée ndo Manasés
MAT.1.10	ko ndo Manasés ikjui ndotée ndo Amón
MAT.1.10	ko ndo Amón ikjui ndotée ndo Josías.
MAT.1.11	Ko ndo Josías ikjui ndotée ndo Jeconías ko kain xjan kichuu ndo.
