MAT.1.1	Níilii caasamuncii Yéesu 
MAT.1.2	Abaraham límmba 
MAT.1.3	Yúdaa límmba Farees na Sara, eewɓa teeksee Tamaꞌ. Farees límmba Esarom. Esarom límmba Aram. 
MAT.1.4	Aram límmba Amínadap. Amínadap límmba Naason. Naason límmba Salmoon. 
MAT.1.5	Salmoon laakka na Rahap Boos. Boos laakka na Rut Yobet. Yobet límmba Yesee. 
MAT.1.6	Yesee límmba buuꞌ Dëwít. Dëwít laakka na ɓeti Úríꞌ Salmoon. 
MAT.1.7	Salmoon límmba Robowaan. Robowaan límmba 
MAT.1.8	Asaf límmba Yosafat. Yosafat límmba Yoraam. Yoraam límmba Osiyaas. 
MAT.1.9	Osiyaas límmba Yotaam. Yotaam límmba Akaas. Akaas límmba Esekíyaas. 
MAT.1.10	Esekíyaas límmba Manasee. Manasee límmba Amoos. Amoos límmba Yosiyaas. 
MAT.1.11	Yosiyaas límmba Yekoñaas na ɓikëmëeŋkíci ga jamaanaa 
MAT.1.12	Ga waa ɓu-Isarayeel toolu Babíloonɗa, Yekoñaas límmba Salaceel. Salaceel límmba Sorobabeel. 
MAT.1.13	Sorobabeel límmba Abíyút. Abíyút límmba Elíyakím. Elíyakím límmba Aasooꞌ. 
MAT.1.14	Aasooꞌ límmba Sadok. Sadok límmba Akím. Akím límmba Elíyút. 
MAT.1.15	Elíyút límmba Eleyasaaꞌ. Eleyasaaꞌ límmba Matan. Matan límmba Yakoop. 
MAT.1.16	Yakoop límmba Yoseef, ƴaal Mariyaama, yaa en eew Yéesu yii ɓaysi Kiristaaniiɗa.
MAT.1.17	Iñaa aboh ga Abaraham bi ga buuꞌ Dëwít, laakin kon jamaanu-ɓoꞌ cidaaŋkaah na cinikiis; lëehíꞌta iñaa aboh ga buuꞌ Dëwít bi ga daa ɓu-Isarayeel toolohu na dooli ga kúlkaa Babíloonɗa laakin jamaanu-ɓoꞌ cidaaŋkaah na cinikiis, ee ɓaawaagaɓa ga kúlkaa Babíloon bi ga kilímukkaa Kiristaanii, laakin jamaanu-ɓoꞌ cidaaŋkaah na cinikiis.
MAT.1.18	Kilímukkaa Yéesu 
MAT.1.19	Yoseef fiilaagari enee ɓoꞌ yijúwíꞌ, ee iñaama tah ya waaréeríiri kiwíiñ ga fíkíi ɓuwaa, ya nammbari kiheel kifoñ ee ken yéegoo. 
MAT.1.20	Lak ya yaa lís kihalaat ga iñaama, dalla kilaak 
MAT.1.20	- Yoseef, kucaasamunkii 
MAT.1.21	Ya hay kilaak kowu kiƴaal, ee fu teekanka Yéesu, ndaga yërí ƴah kimúsal ɓuwiigari ga baakaaꞌciigaɓa.
MAT.1.22	Tóoh iñcaama laakka doonaa iñaa Haꞌmudii, woꞌee kooroh ga kúuwkaa 
MAT.1.23	Ya woꞌee an:
MAT.1.23	«Oomaa-jowaa ínohoo ƴaal hay kiꞌen na look,
MAT.1.23	ya laak kowu kiƴaal
MAT.1.23	kaa ƴah kiteeku Emanuweel.»
MAT.1.23	Teekaama wërí en “Kooh yii naruu.”
MAT.1.24	Ga waa Yoseef yúudukɗa, ya tummba fodaa daa malaakaa Haꞌmudii nakeerikaɗa: ya haydohha ɓetici Mariyaama kaanci. 
MAT.1.25	Wayee ya ínohhiiri bi ga daa Mariyaama laak kowu kiƴaalɗa, ya teekkaka Yéesu
MAT.2.1	Ga waa Yéesu límu ga teeraa 
MAT.2.2	ɓa meekisohha an:
MAT.2.2	- Yada buurii yaawúuꞌcii han kilímuɗa? Ɗí hotin kuꞌolkaagari ga Peŋku ee ɗí hay kijaamukki.
MAT.2.3	Ga waa Eroot buuraa kelohkaɗa, ya jaahliꞌꞌa lool, ya na ɓu-Yéerúsaleem ɓéeɓɓa. 
MAT.2.4	Ya hídírohha sarahohcaa ɓiyaakɓaa na jëgíroh-waascaa ɓu-dëkaa. Ya meekissaɓa ɗekataa 
MAT.2.5	Ɓa taassari an:
MAT.2.5	- Ya jom kilímohu Betleeꞌem ga kúlkaa Yúudée, ndaga iñii yii yërí 
MAT.2.6	«Ee fu, Betleeꞌem, ga kúlkii Yúudée,
MAT.2.6	enndii an kay fu wëñ kijutuut ga dëkcii Yúudée,
MAT.2.6	ndaga haꞌ-kúlkii ƴah kiníiꞌ 
MAT.2.7	Waa ennda ɗa, Eroot ɓayya haꞌ-hamhamcaa ga pet, meekissaɓa wahtaa olaa meƴ siiƴɗa. 
MAT.2.8	Lëehíꞌta, ya wossaɓa Betleeꞌem, woꞌꞌaɓa an:
MAT.2.8	- Karat, ɗú meekisoh dijófíꞌ ga loo kuꞌoomaakaa. Ɗú hotjanaa, yéegalattoo doonaa mi ɓan mi kaꞌja kijaamuknee.
