GEN.1.1	A kipatcilin Pasian in van le lei piangsak hi. 
GEN.1.2	 Tu-in lei in lim le mel nei loin a hawmpi hi a
GEN.1.3	 Tua ciangin Pasian in "Khuavak om hen," ci-a khuavak ompah hi. 
GEN.1.4	 Pasian in tua khuavak hoihsa a, khuamial panin khuavak khenkhia hi. 
GEN.1.5	 Pasian in tua khuavak "sun" ci a, tua khuamial "zan" ci hi. Nitak omin zingsang om a - ni khatna ahi hi.
GEN.1.6	 Tua ciangin Pasian in, "Tui le tui kikhensak dingin tuite kikal ah vansin om hen," ci hi. 
GEN.1.7	 Tua ciangin Pasian in vansin bawla vansin tung le vansin nuai-ah tuite kikhensak hi. A cih bangin ompah hi. 
GEN.1.8	 Pasian in tua vansin "huihkhua" a ci hi. Nitak omin zingsang om a - ni nihna ahi hi.
GEN.1.9	 Tua khit ciangin Pasian in, "Van nuai-a tuite mun khatah kikhawmin leikeu kidawk hen," ci hi. A cih bangin ompah hi. 
GEN.1.10	 Pasian in leikeu pen "leitung" ci a, tui vung khawm pen "tuipi" ci hi. Pasian in hoih sa hi.
GEN.1.11	 Tua ciangin Pasian in leitangh in singkung lopa: amau nam ciat tawh kizui-in khaici a nei lopate le a gah sungah tang a nei singkungte piangsak hen," ci hi. A cih bangin ompah hi. 
GEN.1.12	 Leitangh in singkung lopa amau nam ciat tawh kizui-in khaici a nei lopate le amau nam ciat tawh kizui in a sungah tang a nei a gah singkungte piangsak hi. Pasian in hoih sa hi. 
GEN.1.13	 Nitak omin zingsang om a - ni thumna ahi hi.
GEN.1.14	 Tua ciangin Pasian in, "Zan pan sun a khenkhia dingin vansin a huihkhua ah khuavakte omin, tuate pen khuahunte, nite le kumte ciamteh nading limte hi henla, 
GEN.1.15	 leitunga khuavak dingin vansin huihkhua-a khuavakte hi ta hen," ci hi. A cih bangin ompah hi. 
GEN.1.16	 Pasian in khuavakpi nih - a lianzaw sun uk ding le a neuzaw zan uk dingin a bawl hi. Aksite zong a bawl hi. 
GEN.1.17	 Pasian in leitung a taan ding 
GEN.1.18	 sun le zan a uk ding khuamial pan khuavak a khenkhia dingin vansin huihkhua ah tuate koih hi. Pasian in hoih sa hi. 
GEN.1.19	 Nitak omin zingsang om a - ni lina ahi hi.
GEN.1.20	 Tua ciangin Pasian in, "Tua pen a nungta ganhingte tawh kidim henla lei tung vansin huihkhua ah vasate leng kawikawi ta hen," ci hi. 
