GEN.1.1	In the beginning God created the heavens and the earth. 
GEN.3.14	Cursed are you more than all cattle,
GEN.3.14	And more than every beast of the field;
GEN.3.14	On your belly you will go,
GEN.3.14	And dust you will eat
GEN.3.14	All the days of your life;
GEN.3.15	And I will put enmity
GEN.3.15	Between you and the woman,
GEN.3.15	And between your seed and her seed;
GEN.3.15	He shall bruise you on the head,
GEN.3.15	And you shall bruise him on the heel.”
GEN.3.16	To the woman He said,
GEN.3.16	“I will greatly multiply
GEN.3.16	Your pain in childbirth,
GEN.3.16	In pain you will bring forth children;
GEN.3.16	Yet your desire will be for your husband,
GEN.3.16	And he will rule over you.”
GEN.3.17	Then to Adam He said, “Because you have listened to the voice of your wife, and have eaten from the tree about which I commanded you, saying, ‘You shall not eat from it’;
GEN.3.17	Cursed is the ground because of you;
GEN.3.17	In toil you will eat of it
GEN.3.17	All the days of your life.
GEN.3.18	Both thorns and thistles it shall grow for you;
GEN.3.18	And you will eat the plants of the field;
GEN.3.19	By the sweat of your face
GEN.3.19	You will eat bread,
GEN.3.19	Till you return to the ground,
GEN.3.19	Because from it you were taken;
GEN.3.19	For you are dust,
GEN.3.19	And to dust you shall return.”
GEN.3.20	Now the man called his wife’s name 
GEN.3.21	The L
GEN.3.22	Then the L
GEN.3.23	therefore the L
GEN.3.24	So He drove the man out; and at the east of the garden of Eden He stationed the cherubim and the flaming sword which turned every direction to guard the way to the tree of life.
GEN.4.1	Now the man had relations with his wife Eve, and she conceived and gave birth to Cain, and she said, “I have gotten a manchild with 
GEN.4.2	Again, she gave birth to his brother Abel. And Abel was a keeper of flocks, but Cain was a tiller of the ground. 
GEN.4.3	So it came about in the course of time that Cain brought an offering to the L
GEN.4.4	Abel, on his part also brought of the firstlings of his flock and of their fat portions. And the L
GEN.4.5	but for Cain and for his offering He had no regard. So Cain became very angry and his countenance fell. 
GEN.4.6	Then the L
GEN.4.7	If you do well, will not 
GEN.4.8	Cain told Abel his brother. And it came about when they were in the field, that Cain rose up against Abel his brother and killed him.
GEN.4.9	Then the L
GEN.4.10	He said, “What have you done? The voice of your brother’s blood is crying to Me from the ground. 
GEN.4.11	Now you are cursed from the ground, which has opened its mouth to receive your brother’s blood from your hand. 
GEN.4.12	When you cultivate the ground, it will no longer yield its strength to you; you will be a vagrant and a wanderer on the earth.” 
GEN.4.13	Cain said to the L
GEN.4.14	Behold, You have driven me this day from the face of the ground; and from Your face I will be hidden, and I will be a vagrant and a wanderer on the earth, and whoever finds me will kill me.” 
GEN.4.15	So the L
GEN.4.16	Then Cain went out from the presence of the L
GEN.4.17	Cain had relations with his wife and she conceived, and gave birth to Enoch; and he built a city, and called the name of the city Enoch, after the name of his son. 
GEN.4.18	Now to Enoch was born Irad, and Irad became the father of Mehujael, and Mehujael became the father of Methushael, and Methushael became the father of Lamech. 
GEN.4.19	Lamech took to himself two wives: the name of the one was Adah, and the name of the other, Zillah. 
GEN.4.20	Adah gave birth to Jabal; he was the father of those who dwell in tents and 
GEN.4.21	His brother’s name was Jubal; he was the father of all those who play the lyre and pipe. 
GEN.4.22	As for Zillah, she also gave birth to Tubal-cain, the forger of all implements of bronze and iron; and the sister of Tubal-cain was Naamah.
GEN.4.23	Lamech said to his wives,
GEN.4.23	“Adah and Zillah,
GEN.4.23	Listen to my voice,
GEN.4.23	You wives of Lamech,
GEN.4.23	Give heed to my speech,
GEN.4.23	For I have killed a man for wounding me;
GEN.4.23	And a boy for striking me;
GEN.4.24	If Cain is avenged sevenfold,
GEN.4.24	Then Lamech seventy-sevenfold.”
GEN.4.25	Adam had relations with his wife again; and she gave birth to a son, and named him Seth, for, 
GEN.4.26	To Seth, to him also a son was born; and he called his name Enosh. Then 
GEN.5.1	This is the book of the generations of Adam. In the day when God created man, He made him in the likeness of God. 
GEN.5.2	He created them male and female, and He blessed them and named them 
GEN.5.3	When Adam had lived one hundred and thirty years, he 
GEN.5.4	Then the days of Adam after he became the father of Seth were eight hundred years, and he had 
GEN.5.5	So all the days that Adam lived were nine hundred and thirty years, and he died.
GEN.5.6	Seth lived one hundred and five years, and became the father of Enosh. 
GEN.5.7	Then Seth lived eight hundred and seven years after he became the father of Enosh, and he had 
GEN.5.8	So all the days of Seth were nine hundred and twelve years, and he died.
GEN.5.9	Enosh lived ninety years, and became the father of Kenan. 
GEN.5.10	Then Enosh lived eight hundred and fifteen years after he became the father of Kenan, and he had 
GEN.5.11	So all the days of Enosh were nine hundred and five years, and he died.
GEN.5.12	Kenan lived seventy years, and became the father of Mahalalel. 
GEN.5.13	Then Kenan lived eight hundred and forty years after he became the father of Mahalalel, and he had 
GEN.5.14	So all the days of Kenan were nine hundred and ten years, and he died.
GEN.5.15	Mahalalel lived sixty-five years, and became the father of Jared. 
GEN.5.16	Then Mahalalel lived eight hundred and thirty years after he became the father of Jared, and he had 
GEN.5.17	So all the days of Mahalalel were eight hundred and ninety-five years, and he died.
GEN.5.18	Jared lived one hundred and sixty-two years, and became the father of Enoch. 
GEN.5.19	Then Jared lived eight hundred years after he became the father of Enoch, and he had 
GEN.5.20	So all the days of Jared were nine hundred and sixty-two years, and he died.
GEN.5.21	Enoch lived sixty-five years, and became the father of Methuselah. 
GEN.5.22	Then Enoch walked with God three hundred years after he became the father of Methuselah, and he had 
GEN.5.23	So all the days of Enoch were three hundred and sixty-five years. 
GEN.5.24	Enoch walked with God; and he was not, for God took him.
GEN.5.25	Methuselah lived one hundred and eighty-seven years, and became the father of Lamech. 
GEN.5.26	Then Methuselah lived seven hundred and eighty-two years after he became the father of Lamech, and he had 
GEN.5.27	So all the days of Methuselah were nine hundred and sixty-nine years, and he died.
GEN.5.28	Lamech lived one hundred and eighty-two years, and became the father of a son. 
GEN.5.29	Now he called his name Noah, saying, “This one will give us rest from our work and from the toil of our hands 
GEN.5.30	Then Lamech lived five hundred and ninety-five years after he became the father of Noah, and he had 
GEN.5.31	So all the days of Lamech were seven hundred and seventy-seven years, and he died.
GEN.5.32	Noah was five hundred years old, and Noah became the father of Shem, Ham, and Japheth.
GEN.6.1	Now it came about, when men began to multiply on the face of the land, and daughters were born to them, 
GEN.6.2	that the sons of God saw that the daughters of men were beautiful; and they took wives for themselves, whomever they chose. 
GEN.6.3	Then the L
GEN.6.4	The Nephilim were on the earth in those days, and also afterward, when the sons of God came in to the daughters of men, and they bore 
GEN.6.5	Then the L
GEN.6.6	The L
GEN.6.7	The L
GEN.6.8	But Noah found favor in the eyes of the L
GEN.6.9	These are 
GEN.6.10	Noah became the father of three sons: Shem, Ham, and Japheth.
GEN.6.11	Now the earth was corrupt in the sight of God, and the earth was filled with violence. 
GEN.6.12	God looked on the earth, and behold, it was corrupt; for all flesh had corrupted their way upon the earth.
GEN.6.13	Then God said to Noah, “The end of all flesh has come before Me; for the earth is filled with violence because of them; and behold, I am about to destroy them with the earth. 
GEN.6.14	Make for yourself an ark of gopher wood; you shall make the ark with rooms, and shall cover it inside and out with pitch. 
GEN.6.15	This is how you shall make it: the length of the ark three hundred 
GEN.6.16	You shall make a window for the ark, and finish it to a cubit from the top; and set the door of the ark in the side of it; you shall make it with lower, second, and third decks. 
GEN.6.17	Behold, I, even I am bringing the flood of water upon the earth, to destroy all flesh in which is the breath of life, from under heaven; everything that is on the earth shall perish. 
GEN.6.18	But I will establish My covenant with you; and you shall enter the ark—you and your sons and your wife, and your sons’ wives with you. 
GEN.6.19	And of every living thing of all flesh, you shall bring two of every 
GEN.6.20	Of the birds after their kind, and of the animals after their kind, of every creeping thing of the ground after its kind, two of every 
GEN.6.21	As for you, take for yourself some of all food which is edible, and gather 
GEN.6.22	Thus Noah did; according to all that God had commanded him, so he did.
GEN.7.1	Then the L
GEN.7.2	You shall take with you of every clean animal by sevens, a male and his female; and of the animals that are not clean two, a male and his female; 
GEN.7.3	also of the birds of the sky, by sevens, male and female, to keep offspring alive on the face of all the earth. 
GEN.7.4	For after seven more days, I will send rain on the earth forty days and forty nights; and I will blot out from the face of the land every living thing that I have made.” 
GEN.7.5	Noah did according to all that the L
GEN.7.6	Now Noah was six hundred years old when the flood of water came upon the earth. 
GEN.7.7	Then Noah and his sons and his wife and his sons’ wives with him entered the ark because of the water of the flood. 
GEN.7.8	Of clean animals and animals that are not clean and birds and everything that creeps on the ground, 
GEN.7.9	there went into the ark to Noah by twos, male and female, as God had commanded Noah. 
GEN.7.10	It came about after the seven days, that the water of the flood came upon the earth. 
GEN.7.11	In the six hundredth year of Noah’s life, in the second month, on the seventeenth day of the month, on the same day all the fountains of the great deep burst open, and the floodgates of the sky were opened. 
GEN.7.12	The rain fell upon the earth for forty days and forty nights.
GEN.7.13	On the very same day Noah and Shem and Ham and Japheth, the sons of Noah, and Noah’s wife and the three wives of his sons with them, entered the ark, 
GEN.7.14	they and every beast after its kind, and all the cattle after their kind, and every creeping thing that creeps on the earth after its kind, and every bird after its kind, all sorts of birds. 
GEN.7.15	So they went into the ark to Noah, by twos of all flesh in which was the breath of life. 
GEN.7.16	Those that entered, male and female of all flesh, entered as God had commanded him; and the L
GEN.7.17	Then the flood came upon the earth for forty days, and the water increased and lifted up the ark, so that it rose above the earth. 
GEN.7.18	The water prevailed and increased greatly upon the earth, and the ark floated on the surface of the water. 
GEN.7.19	The water prevailed more and more upon the earth, so that all the high mountains everywhere under the heavens were covered. 
GEN.7.20	The water prevailed fifteen cubits higher, and the mountains were covered. 
GEN.7.21	All flesh that moved on the earth perished, birds and cattle and beasts and every swarming thing that swarms upon the earth, and all mankind; 
GEN.7.22	of all that was on the dry land, all in whose nostrils was the breath of the spirit of life, died. 
GEN.7.23	Thus He blotted out every living thing that was upon the face of the land, from man to animals to creeping things and to birds of the sky, and they were blotted out from the earth; and only Noah was left, together with those that were with him in the ark. 
GEN.7.24	The water prevailed upon the earth one hundred and fifty days.
GEN.8.1	But God remembered Noah and all the beasts and all the cattle that were with him in the ark; and God caused a wind to pass over the earth, and the water subsided. 
GEN.8.2	Also the fountains of the deep and the floodgates of the sky were closed, and the rain from the sky was restrained; 
GEN.8.3	and the water receded steadily from the earth, and at the end of one hundred and fifty days the water decreased. 
GEN.8.4	In the seventh month, on the seventeenth day of the month, the ark rested upon the mountains of Ararat. 
GEN.8.5	The water decreased steadily until the tenth month; in the tenth month, on the first day of the month, the tops of the mountains became visible.
GEN.8.6	Then it came about at the end of forty days, that Noah opened the window of the ark which he had made; 
GEN.8.7	and he sent out a raven, and it flew here and there until the water was dried up from the earth. 
GEN.8.8	Then he sent out a dove from him, to see if the water was abated from the face of the land; 
GEN.8.9	but the dove found no resting place for the sole of her foot, so she returned to him into the ark, for the water was on the surface of all the earth. Then he put out his hand and took her, and brought her into the ark to himself. 
GEN.8.10	So he waited yet another seven days; and again he sent out the dove from the ark. 
GEN.8.11	The dove came to him toward evening, and behold, in her beak was a freshly picked olive leaf. So Noah knew that the water was abated from the earth. 
GEN.8.12	Then he waited yet another seven days, and sent out the dove; but she did not return to him again.
GEN.8.13	Now it came about in the six hundred and first year, in the first 
GEN.8.14	In the second month, on the twenty-seventh day of the month, the earth was dry. 
GEN.8.15	Then God spoke to Noah, saying, 
GEN.8.16	“Go out of the ark, you and your wife and your sons and your sons’ wives with you. 
GEN.8.17	Bring out with you every living thing of all flesh that is with you, birds and animals and every creeping thing that creeps on the earth, that they may breed abundantly on the earth, and be fruitful and multiply on the earth.” 
GEN.8.18	So Noah went out, and his sons and his wife and his sons’ wives with him. 
GEN.8.19	Every beast, every creeping thing, and every bird, everything that moves on the earth, went out by their families from the ark.
GEN.8.20	Then Noah built an altar to the L
GEN.8.21	The L
GEN.8.22	While the earth remains,
GEN.8.22	Seedtime and harvest,
GEN.8.22	And cold and heat,
GEN.8.22	And summer and winter,
GEN.8.22	And day and night
GEN.8.22	Shall not cease.”
GEN.9.1	And God blessed Noah and his sons and said to them, “Be fruitful and multiply, and fill the earth. 
GEN.9.2	The fear of you and the terror of you will be on every beast of the earth and on every bird of the sky; with everything that creeps on the ground, and all the fish of the sea, into your hand they are given. 
GEN.9.3	Every moving thing that is alive shall be food for you; I give all to you, as 
GEN.9.4	Only you shall not eat flesh with its life, 
GEN.9.5	Surely I will require your lifeblood; from every beast I will require it. And from 
GEN.9.6	Whoever sheds man’s blood,
GEN.9.6	By man his blood shall be shed,
GEN.9.6	For in the image of God
GEN.9.6	He made man.
GEN.9.7	As for you, be fruitful and multiply;
GEN.9.7	Populate the earth abundantly and multiply in it.”
GEN.9.8	Then God spoke to Noah and to his sons with him, saying, 
GEN.9.9	“Now behold, I Myself do establish My covenant with you, and with your descendants after you; 
GEN.9.10	and with every living creature that is with you, the birds, the cattle, and every beast of the earth with you; of all that comes out of the ark, even every beast of the earth. 
GEN.9.11	I establish My covenant with you; and all flesh shall never again be cut off by the water of the flood, neither shall there again be a flood to destroy the earth.” 
GEN.9.12	God said, “This is the sign of the covenant which I am making between Me and you and every living creature that is with you, for all successive generations; 
GEN.9.13	I set My bow in the cloud, and it shall be for a sign of a covenant between Me and the earth. 
GEN.9.14	It shall come about, when I bring a cloud over the earth, that the bow will be seen in the cloud, 
GEN.9.15	and I will remember My covenant, which is between Me and you and every living creature of all flesh; and never again shall the water become a flood to destroy all flesh. 
GEN.9.16	When the bow is in the cloud, then I will look upon it, to remember the everlasting covenant between God and every living creature of all flesh that is on the earth.” 
GEN.9.17	And God said to Noah, “This is the sign of the covenant which I have established between Me and all flesh that is on the earth.”
GEN.9.18	Now the sons of Noah who came out of the ark were Shem and Ham and Japheth; and Ham was the father of Canaan. 
GEN.9.19	These three 
GEN.9.20	Then Noah began farming and planted a vineyard. 
GEN.9.21	He drank of the wine and became drunk, and uncovered himself inside his tent. 
GEN.9.22	Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside. 
GEN.9.23	But Shem and Japheth took a garment and laid it upon both their shoulders and walked backward and covered the nakedness of their father; and their faces were turned away, so that they did not see their father’s nakedness. 
GEN.9.24	When Noah awoke from his wine, he knew what his youngest son had done to him. 
GEN.9.25	So he said,
GEN.9.25	“Cursed be Canaan;
GEN.9.25	He shall be to his brothers.”
GEN.9.26	He also said,
GEN.9.26	“Blessed be the L
GEN.9.26	The God of Shem;
GEN.9.26	And let Canaan be his servant.
GEN.9.27	May God enlarge Japheth,
GEN.9.27	And let him dwell in the tents of Shem;
GEN.9.27	And let Canaan be his servant.”
GEN.9.28	Noah lived three hundred and fifty years after the flood. 
GEN.9.29	So all the days of Noah were nine hundred and fifty years, and he died.
GEN.10.1	Now these are 
GEN.10.2	The sons of Japheth 
GEN.10.3	The sons of Gomer 
GEN.10.4	The sons of Javan 
GEN.10.5	From these the coastlands of the nations were separated into their lands, every one according to his language, according to their families, into their nations.
GEN.10.6	The sons of Ham 
GEN.10.7	The sons of Cush 
GEN.10.8	Now Cush became the father of Nimrod; he became a mighty one on the earth. 
GEN.10.9	He was a mighty hunter before the L
GEN.10.10	The beginning of his kingdom was 
GEN.10.11	From that land he went forth into Assyria, and built Nineveh and Rehoboth-Ir and Calah, 
GEN.10.12	and Resen between Nineveh and Calah; that is the great city. 
GEN.10.13	Mizraim became the father of Ludim and Anamim and Lehabim and Naphtuhim 
GEN.10.14	and Pathrusim and Casluhim (from which came the Philistines) and Caphtorim.
GEN.10.15	Canaan became the father of Sidon, his firstborn, and Heth 
GEN.10.16	and the Jebusite and the Amorite and the Girgashite 
GEN.10.17	and the Hivite and the Arkite and the Sinite 
GEN.10.18	and the Arvadite and the Zemarite and the Hamathite; and afterward the families of the Canaanite were spread abroad. 
GEN.10.19	The territory of the Canaanite extended from Sidon as you go toward Gerar, as far as Gaza; as you go toward Sodom and Gomorrah and Admah and Zeboiim, as far as Lasha. 
GEN.10.20	These are the sons of Ham, according to their families, according to their languages, by their lands, by their nations.
GEN.10.21	Also to Shem, the father of all the children of Eber, 
GEN.10.22	The sons of Shem 
GEN.10.23	The sons of Aram 
GEN.10.24	Arpachshad became the father of Shelah; and Shelah became the father of Eber. 
GEN.10.25	Two sons were born to Eber; the name of the one 
GEN.10.26	Joktan became the father of Almodad and Sheleph and Hazarmaveth and Jerah 
GEN.10.27	and Hadoram and Uzal and Diklah 
GEN.10.28	and Obal and Abimael and Sheba 
GEN.10.29	and Ophir and Havilah and Jobab; all these were the sons of Joktan. 
GEN.10.30	Now their settlement extended from Mesha as you go toward Sephar, the hill country of the east. 
GEN.10.31	These are the sons of Shem, according to their families, according to their languages, by their lands, according to their nations.
GEN.10.32	These are the families of the sons of Noah, according to their genealogies, by their nations; and out of these the nations were separated on the earth after the flood.
GEN.11.1	Now the whole earth used the same language and the same words. 
GEN.11.2	It came about as they journeyed east, that they found a plain in the land of Shinar and settled there. 
GEN.11.3	They said to one another, “Come, let us make bricks and burn 
GEN.11.4	They said, “Come, let us build for ourselves a city, and a tower whose top 
GEN.11.5	The L
GEN.11.6	The L
GEN.11.7	Come, let Us go down and there confuse their language, so that they will not understand one another’s speech.” 
GEN.11.8	So the L
GEN.11.9	Therefore its name was called 
GEN.11.10	These are 
GEN.11.11	and Shem lived five hundred years after he became the father of Arpachshad, and he had 
GEN.11.12	Arpachshad lived thirty-five years, and became the father of Shelah; 
GEN.11.13	and Arpachshad lived four hundred and three years after he became the father of Shelah, and he had 
GEN.11.14	Shelah lived thirty years, and became the father of Eber; 
GEN.11.15	and Shelah lived four hundred and three years after he became the father of Eber, and he had 
GEN.11.16	Eber lived thirty-four years, and became the father of Peleg; 
GEN.11.17	and Eber lived four hundred and thirty years after he became the father of Peleg, and he had 
GEN.11.18	Peleg lived thirty years, and became the father of Reu; 
GEN.11.19	and Peleg lived two hundred and nine years after he became the father of Reu, and he had 
GEN.11.20	Reu lived thirty-two years, and became the father of Serug; 
GEN.11.21	and Reu lived two hundred and seven years after he became the father of Serug, and he had 
GEN.11.22	Serug lived thirty years, and became the father of Nahor; 
GEN.11.23	and Serug lived two hundred years after he became the father of Nahor, and he had 
GEN.11.24	Nahor lived twenty-nine years, and became the father of Terah; 
GEN.11.25	and Nahor lived one hundred and nineteen years after he became the father of Terah, and he had 
GEN.11.26	Terah lived seventy years, and became the father of Abram, Nahor and Haran.
GEN.11.27	Now these are 
GEN.11.28	Haran died in the presence of his father Terah in the land of his birth, in Ur of the Chaldeans. 
GEN.11.29	Abram and Nahor took wives for themselves. The name of Abram’s wife was Sarai; and the name of Nahor’s wife was Milcah, the daughter of Haran, the father of Milcah and Iscah. 
GEN.11.30	Sarai was barren; she had no child.
GEN.11.31	Terah took Abram his son, and Lot the son of Haran, his grandson, and Sarai his daughter-in-law, his son Abram’s wife; and they went out together from Ur of the Chaldeans in order to enter the land of Canaan; and they went as far as Haran, and settled there. 
GEN.11.32	The days of Terah were two hundred and five years; and Terah died in Haran.
GEN.12.1	Now the L
GEN.12.1	“Go forth from your country,
GEN.12.1	And from your relatives
GEN.12.1	And from your father’s house,
GEN.12.1	To the land which I will show you;
GEN.12.2	And I will make you a great nation,
GEN.12.2	And I will bless you,
GEN.12.2	And make your name great;
GEN.12.2	And so you shall be a blessing;
GEN.12.3	And I will bless those who bless you,
GEN.12.3	And the one who curses you I will curse.
GEN.12.3	And in you all the families of the earth will be blessed.”
GEN.12.4	So Abram went forth as the L
GEN.12.5	Abram took Sarai his wife and Lot his nephew, and all their possessions which they had accumulated, and the persons which they had acquired in Haran, and they set out for the land of Canaan; thus they came to the land of Canaan. 
GEN.12.6	Abram passed through the land as far as the site of Shechem, to the oak of Moreh. Now the Canaanite 
GEN.12.7	The L
GEN.12.8	Then he proceeded from there to the mountain on the east of Bethel, and pitched his tent, with Bethel on the west and Ai on the east; and there he built an altar to the L
GEN.12.9	Abram journeyed on, continuing toward the 
GEN.12.10	Now there was a famine in the land; so Abram went down to Egypt to sojourn there, for the famine was severe in the land. 
GEN.12.11	It came about when he came near to Egypt, that he said to Sarai his wife, “See now, I know that you are a beautiful woman; 
GEN.12.12	and when the Egyptians see you, they will say, ‘This is his wife’; and they will kill me, but they will let you live. 
GEN.12.13	Please say that you are my sister so that it may go well with me because of you, and that I may live on account of you.” 
GEN.12.14	It came about when Abram came into Egypt, the Egyptians saw that the woman was very beautiful. 
GEN.12.15	Pharaoh’s officials saw her and praised her to Pharaoh; and the woman was taken into Pharaoh’s house. 
GEN.12.16	Therefore he treated Abram well for her sake; and gave him sheep and oxen and donkeys and male and female servants and female donkeys and camels.
GEN.12.17	But the L
GEN.12.18	Then Pharaoh called Abram and said, “What is this you have done to me? Why did you not tell me that she was your wife? 
GEN.12.19	Why did you say, ‘She is my sister,’ so that I took her for my wife? Now then, here is your wife, take her and go.” 
GEN.12.20	Pharaoh commanded 
GEN.13.1	So Abram went up from Egypt to the 
GEN.13.2	Now Abram was very rich in livestock, in silver and in gold. 
GEN.13.3	He went on his journeys from the 
GEN.13.4	to the place of the altar which he had made there formerly; and there Abram called on the name of the L
GEN.13.5	Now Lot, who went with Abram, also had flocks and herds and tents. 
GEN.13.6	And the land could not sustain them while dwelling together, for their possessions were so great that they were not able to remain together. 
GEN.13.7	And there was strife between the herdsmen of Abram’s livestock and the herdsmen of Lot’s livestock. Now the Canaanite and the Perizzite were dwelling then in the land.
GEN.13.8	So Abram said to Lot, “Please let there be no strife between you and me, nor between my herdsmen and your herdsmen, for we are brothers. 
GEN.13.9	Is not the whole land before you? Please separate from me; if 
GEN.13.10	Lot lifted up his eyes and saw all the valley of the Jordan, that it was well watered everywhere—
GEN.13.11	So Lot chose for himself all the valley of the Jordan, and Lot journeyed eastward. Thus they separated from each other. 
GEN.13.12	Abram settled in the land of Canaan, while Lot settled in the cities of the valley, and moved his tents as far as Sodom. 
GEN.13.13	Now the men of Sodom were wicked exceedingly and sinners against the L
GEN.13.14	The L
GEN.13.15	for all the land which you see, I will give it to you and to your descendants forever. 
GEN.13.16	I will make your descendants as the dust of the earth, so that if anyone can number the dust of the earth, then your descendants can also be numbered. 
GEN.13.17	Arise, walk about the land through its length and breadth; for I will give it to you.” 
GEN.13.18	Then Abram moved his tent and came and dwelt by the oaks of Mamre, which are in Hebron, and there he built an altar to the L
GEN.14.1	And it came about in the days of Amraphel king of Shinar, Arioch king of Ellasar, Chedorlaomer king of Elam, and Tidal king of Goiim, 
GEN.14.2	 they made war with Bera king of Sodom, and with Birsha king of Gomorrah, Shinab king of Admah, and Shemeber king of Zeboiim, and the king of Bela (that is, Zoar). 
GEN.14.3	All these came as allies to the valley of Siddim (that is, the Salt Sea). 
GEN.14.4	Twelve years they had served Chedorlaomer, but the thirteenth year they rebelled. 
