GEN.1.1	In the beginning God (
GEN.2.3	So God blessed the seventh day and sanctified it [as His own, that is, set it apart as holy from other days], because in it He rested from all His work which He had created and done.
GEN.2.4	This is the history of [the origin of] the heavens and of the earth when they were created, in the day [that is, days of creation] that the 
GEN.2.5	no shrub 
GEN.2.6	but a 
GEN.2.7	then the L
GEN.2.8	And the L
GEN.2.9	And [in that garden] the L
GEN.2.10	Now a river flowed out of Eden to water the garden; and from there it divided and became four [branching] rivers. 
GEN.2.11	The first [river] is named Pishon; it flows around the entire land of Havilah, where there is gold. 
GEN.2.12	The gold of that land is good; bdellium (a fragrant, valuable resin) and the 
GEN.2.13	The name of the second river is Gihon; it flows around the entire land of Cush [in Mesopotamia]. 
GEN.2.14	The third river is named Hiddekel (Tigris); it flows east of Assyria. And the fourth river is the Euphrates.
GEN.2.15	So the L
GEN.2.16	And the L
GEN.2.17	but [only] from the tree of the knowledge (recognition) of good and evil you shall not eat, otherwise on the day that you eat from it, you shall most certainly 
GEN.2.18	Now the L
GEN.2.19	So the L
GEN.2.20	And the man gave names to all the livestock, and to the birds of the air, and to every animal of the field; but for Adam there was not found a helper [that was] suitable (a companion) for him. 
GEN.2.21	So the L
GEN.2.22	And the rib which the L
GEN.2.23	Then Adam said,
GEN.2.23	“This is now bone of my bones,
GEN.2.23	And flesh of my flesh;
GEN.2.23	She shall be called Woman,
GEN.2.23	Because she was taken out of Man.”
GEN.2.24	For this reason a man shall leave his father and his mother, and shall be joined to his wife; and they shall become one flesh. 
GEN.2.25	And the man and his wife were both naked and were not ashamed 
GEN.3.1	Now the serpent was more crafty (subtle, skilled in deceit) than any living creature of the field which the L
GEN.3.2	And the woman said to the serpent, “We may eat fruit from the trees of the garden, 
GEN.3.3	except the fruit from the tree which is in the middle of the garden. God said, ‘You shall not eat from it nor touch it, otherwise you will die.’ ” 
GEN.3.4	But the serpent said to the woman, “You certainly will not die! 
GEN.3.5	For God knows that on the day you eat from it your eyes will be opened [that is, you will have greater awareness], and you will be like God, knowing [the difference between] good and evil.” 
GEN.3.6	And when the woman saw that the tree was good for food, and that it was delightful to look at, and a tree to be desired in order to make one wise 
GEN.3.7	Then the eyes of the two of them were opened [that is, their awareness increased], and they knew that they were naked; and they fastened fig leaves together and made themselves coverings.
GEN.3.8	And they heard the sound of the L
GEN.3.9	But the L
GEN.3.10	He said, “I heard the sound of You [walking] in the garden, and I was afraid because I was naked; so I hid myself.” 
GEN.3.11	God said, “Who told you that you were naked? Have you eaten [fruit] from the tree of which I commanded you not to eat?” 
GEN.3.12	And the man said, “The woman whom You gave to be with me—she gave me [fruit] from the tree, and I ate it.” 
GEN.3.13	Then the L
GEN.3.14	The L
GEN.3.14	“Because you have done this,
GEN.3.14	You are cursed more than all the cattle,
GEN.3.14	And more than any animal of the field;
GEN.3.14	On your belly you shall go,
GEN.3.14	And dust you shall eat
GEN.3.14	All the days of your life.
GEN.3.15	And I will put enmity (open hostility)
GEN.3.15	Between you and the woman,
GEN.3.15	And between your seed (offspring) and her 
GEN.3.15	He shall [fatally] bruise your head,
GEN.3.15	And you shall [only] bruise His heel.”
GEN.3.16	To the woman He said,
GEN.3.16	“I will greatly multiply
GEN.3.16	Your pain in childbirth;
GEN.3.16	In pain you will give birth to children;
GEN.3.16	Yet your desire 
GEN.3.16	And he will rule [with authority] over you 
GEN.3.17	Then to Adam the L
GEN.3.17	The ground is [now] under a curse because of you;
GEN.3.17	In sorrow 
GEN.3.17	All the days of your life.
GEN.3.18	Both thorns and thistles it shall grow for you;
GEN.3.18	And you shall eat the plants of the field.
GEN.3.19	By the sweat of your face
GEN.3.19	You will eat bread
GEN.3.19	Until you return to the ground,
GEN.3.19	For from it you were taken;
GEN.3.19	For you are dust,
GEN.3.19	And to dust you shall return.”
GEN.3.20	The man named his wife Eve (life spring, life giver), because she was the mother of all the living. 
GEN.3.21	The L
GEN.3.22	And the L
GEN.3.23	therefore the L
GEN.3.24	So God drove the man out; and at the east of the Garden of Eden He [permanently] stationed the 
GEN.4.1	Now the man 
GEN.4.2	And [later] she gave birth to his brother Abel. Now Abel kept the flocks [of sheep and goats], but Cain cultivated the ground. 
GEN.4.3	And in the course of time Cain brought to the L
GEN.4.4	But Abel brought [an offering of] the [finest] firstborn of his flock and the 
GEN.4.5	but for Cain and his offering He had no respect. So Cain became extremely angry (indignant), and 
GEN.4.6	And the L
GEN.4.7	If you do well [believing Me and doing what is acceptable and pleasing to Me], will you not be accepted? And if you do not do well [but ignore My instruction], sin crouches at your door; its desire is for you [to overpower you], but you must master it.” 
GEN.4.8	Cain talked with Abel his brother [about what God had said]. And when they were [alone, working] in the field, Cain 
GEN.4.9	Then the L
GEN.4.10	The L
GEN.4.11	And now you are cursed from the ground, which has opened its mouth to receive your brother’s [shed] blood from your hand. 
GEN.4.12	When you cultivate the ground, it shall no longer yield its strength [it will resist producing good crops] for you; you shall be a fugitive and a vagabond [roaming aimlessly] on the earth [in perpetual exile without a home, a degraded outcast].” 
GEN.4.13	Cain said to the L
GEN.4.14	Behold, You have driven me out this day from the face of the land; and from Your face (presence) I will be hidden, and I will be a fugitive and an [aimless] vagabond on the earth, and whoever finds me will kill me.” 
GEN.4.15	And the L
GEN.4.16	So Cain went away from the [manifested] presence of the L
GEN.4.17	Cain knew his 
GEN.4.18	Now to Enoch was born Irad, and Irad became the father of Mehujael, and Mehujael became the father of Methushael, and Methushael became the father of Lamech. 
GEN.4.19	And Lamech took for himself two wives; the name of the one was Adah, and the name of the other, Zillah. 
GEN.4.20	Adah gave birth to Jabal; he became the father of those [nomadic herdsmen] who live in tents and have cattle 
GEN.4.21	His brother’s name was Jubal; he became the father of all those [musicians] who play the lyre and flute. 
GEN.4.22	Zillah gave birth to Tubal-cain, the smith (craftsman) 
GEN.4.23	Lamech said to his wives,
GEN.4.23	“Adah and Zillah,
GEN.4.23	Hear my voice;
GEN.4.23	You wives of Lamech,
GEN.4.23	Listen to what I say;
GEN.4.23	For I have killed a man [merely] for wounding me,
GEN.4.23	And a boy [only] for striking (bruising) me.
GEN.4.24	If Cain is avenged sevenfold [as the L
GEN.4.24	Then Lamech [will be avenged] 
GEN.4.25	Adam knew [Eve as] his wife again; and she gave birth to a son, and named him Seth, for [she said], “God has granted another child for me in place of Abel, because Cain killed him.” 
GEN.4.26	To Seth, also, a son was born, whom he named Enosh (mortal man, mankind). At that [same] time men began to call on the name of the L
GEN.5.1	This is the book (the written record, the history) of the generations of [the descendants of] Adam. When God created man, He made him in the likeness of God [not physical, but a spiritual personality and moral likeness]. 
GEN.5.2	He created them male and female, and blessed them and named them 
GEN.5.3	When Adam had lived a hundred and thirty years, he 
GEN.5.4	After he became the father of Seth, Adam lived eight hundred years and had 
GEN.5.5	So Adam lived nine hundred and thirty years in all, and he died.
GEN.5.6	When Seth was a hundred and five years old, he became the father of Enosh. 
GEN.5.7	Seth lived eight hundred and seven years after the birth of Enosh, and he had 
GEN.5.8	So Seth lived nine hundred and twelve years, and he died.
GEN.5.9	When Enosh was ninety years old, he became the father of Kenan. 
GEN.5.10	Enosh lived eight hundred and fifteen years after the birth of Kenan and had 
GEN.5.11	So Enosh lived nine hundred and five years, and he died.
GEN.5.12	When Kenan was seventy years old, he became the father of Mahalalel. 
GEN.5.13	Kenan lived eight hundred and forty years after the birth of Mahalalel and had 
GEN.5.14	So Kenan lived nine hundred and ten years, and he died.
GEN.5.15	When Mahalalel was sixty-five years old, he became the father of Jared. 
GEN.5.16	Mahalalel lived eight hundred and thirty years after the birth of Jared and had 
GEN.5.17	So Mahalalel lived eight hundred and ninety-five years, and he died.
GEN.5.18	When Jared was a hundred and sixty-two years old, he became the father of Enoch. 
GEN.5.19	Jared lived eight hundred years after the birth of Enoch and had 
GEN.5.20	So Jared lived nine hundred and sixty-two years, and he died.
GEN.5.21	When Enoch was sixty-five years old, he became the father of Methuselah. 
GEN.5.22	Enoch walked [in habitual fellowship] with God three hundred years after the birth of Methuselah and had 
GEN.5.23	So all the days of Enoch were three hundred and sixty-five years. 
GEN.5.24	And [in reverent fear and obedience] Enoch walked with God; and he was not [found among men], because God took him [away to be home with Him].
GEN.5.25	When Methuselah was a hundred and eighty-seven years old, he became the father of Lamech. 
GEN.5.26	Methuselah lived seven hundred and eighty-two years after the birth of Lamech and had 
GEN.5.27	So Methuselah lived nine hundred and sixty-nine years, and he died.
GEN.5.28	When Lamech was a hundred and eighty-two years old, he became the father of a son. 
GEN.5.29	He named him Noah, saying, “This one shall bring us rest 
GEN.5.30	Lamech lived five hundred and ninety-five years after the birth of Noah and had 
GEN.5.31	So all the days of Lamech were seven hundred and seventy-seven years, and he died.
GEN.5.32	After Noah was five hundred years old, he became the father of Shem, Ham, and Japheth.
GEN.6.1	Now it happened, when men began to multiply on the face of the land, and daughters were born to them, 
GEN.6.2	that the 
GEN.6.3	Then the L
GEN.6.4	There were Nephilim (men of stature, notorious men) on the earth in those days—and also afterward—when the sons of God lived with the daughters of men, and they gave birth to their 
GEN.6.5	The L
GEN.6.6	The L
GEN.6.7	So the L
GEN.6.8	But Noah found favor 
GEN.6.9	These are 
GEN.6.10	Now Noah became the father of three sons: Shem, Ham, and Japheth.
GEN.6.11	The [population of the] earth was corrupt [absolutely depraved—spiritually and morally putrid] in God’s sight, and the land was filled with violence [desecration, infringement, outrage, assault, and lust for power]. 
GEN.6.12	God looked on the earth and saw how debased 
GEN.6.13	God said to Noah, “I intend to make an end of all that lives, for through men the land is filled with violence; and behold, I am about to 
GEN.6.14	Make yourself an 
GEN.6.15	This is the way you are to make it: the length of the ark shall be three hundred cubits, its width fifty cubits, and its height thirty cubits (450’ x 75’ x 45’). 
GEN.6.16	You shall make a 
GEN.6.17	For behold, I, even I, will bring a flood of waters on the earth, to destroy all life under the heavens in which there is the breath 
GEN.6.18	But I will establish My covenant (solemn promise, formal agreement) with you; and you shall come into the ark—you and your [three] sons and your wife, and your sons’ wives with you. 
GEN.6.19	And of every living thing [found on land], you shall bring two of every kind into the ark, to keep them alive with you; they shall be male and female. 
GEN.6.20	Of fowls 
GEN.6.21	Also take with you every kind of food that is edible, and you shall collect 
GEN.6.22	So Noah did this; according to all that God commanded him, that is what he did.
GEN.7.1	Then the L
GEN.7.2	Of every 
GEN.7.3	also of the birds of the air, seven pair, the male and the female, to keep the offspring alive on the surface of the earth. 
GEN.7.4	For in seven days I am going to cause it to rain on the earth for forty days and forty nights; and I will destroy (blot out, wipe away) every living thing that I have made from the surface of the earth.” 
GEN.7.5	So Noah did all that the L
GEN.7.6	Noah was six hundred years old when the flood (deluge) of water came on the earth [covering all of the land]. 
GEN.7.7	Then Noah and his sons and his wife and his sons’ wives with him entered the ark to escape the flood waters. 
GEN.7.8	Of 
GEN.7.9	they came [motivated by God] into the ark with Noah two by two, the male and the female, just as God had commanded Noah. 
GEN.7.10	And after the seven days [God released the rain and] the floodwaters came on the earth. 
GEN.7.11	In the six hundredth year of Noah’s life, on the seventeenth day of the second month, on that same day all the fountains of the great deep [subterranean waters] burst open, and the windows 
GEN.7.12	It rained on the earth for forty days and forty nights.
GEN.7.13	On the very same day Noah and Shem and Ham and Japheth, the sons of Noah, and Noah’s wife and the three wives of his sons with them, entered the ark, 
GEN.7.14	they and every animal according to its kind, all the livestock according to their kinds, every moving thing that crawls on the earth according to its kind, and every bird according to its kind, every winged thing of every sort. 
GEN.7.15	So they went into the ark with Noah, two by two of all living beings in which there was the breath 
GEN.7.16	Those which entered, male and female of all flesh (creatures), entered as God had commanded Noah; and the L
GEN.7.17	The flood [the great downpour of rain] was forty days 
GEN.7.18	The waters became mighty and increased greatly on the earth, and the ark floated on the surface of the waters. 
GEN.7.19	The waters prevailed so greatly 
GEN.7.20	[In fact] the waters became 
GEN.7.21	All living beings that moved on the earth perished—birds and cattle (domestic animals), [wild] animals, all things that swarm 
GEN.7.22	Everything on the dry land, all in whose nostrils was the breath 
GEN.7.23	God destroyed (blotted out, wiped away) every living thing that was on the surface of the earth; man and animals and the crawling things and the birds of the heavens were destroyed from the land. Only Noah and those who were with him in the ark remained alive. 
GEN.7.24	The waters covered [all of] the earth for a hundred and fifty days (five months).
GEN.8.1	And God remembered 
GEN.8.2	Also the fountains of the deep [subterranean waters] and the windows of the heavens were closed, the [pouring] rain from the sky was restrained, 
GEN.8.3	and the waters receded steadily from the earth. At the end of a hundred and fifty days the waters had diminished. 
GEN.8.4	On the seventeenth day of the seventh month [five months after the rain began], the ark came to rest on the mountains of Ararat [in 
GEN.8.5	The waters continued to decrease until the tenth month; on the first day of the tenth month the tops of the mountains were seen.
GEN.8.6	At the end of [another] forty days Noah opened the window of the ark which he had made; 
GEN.8.7	and he sent out a raven, which flew here and there until the waters were dried up from the earth. 
GEN.8.8	Then Noah sent out a dove to see if the water level had fallen below the surface of the land. 
GEN.8.9	But the dove found no place on which to rest the sole of her foot, and she returned to him to the ark, for the waters were [still] on the face of the entire earth. So he reached out his hand and took the dove, and brought her into the ark. 
GEN.8.10	He waited another seven days and again sent the dove out from the ark. 
GEN.8.11	The dove came back to him in the evening, and there, in her beak, was a fresh olive leaf. So Noah knew that the water level had subsided from the earth. 
GEN.8.12	Then he waited another seven days and sent out the dove, but she did not return to him again.
GEN.8.13	Now in the six hundred and first year [of Noah’s life], on the first day of the first month, the waters were drying up from the earth. Then Noah removed the covering of the ark and looked, and the surface of the ground was drying. 
GEN.8.14	On the twenty-seventh day of the second month the land was [entirely] dry. 
GEN.8.15	And God spoke to Noah, saying, 
GEN.8.16	“Go out of the ark, you and your wife and your sons and their wives with you. 
GEN.8.17	Bring out with you every living thing from all flesh—birds and animals and every crawling thing that crawls on the earth—that they may breed abundantly on the earth, and be fruitful and multiply on the earth.” 
GEN.8.18	So Noah went out, and his wife and his sons and their wives with him [after being in the ark one year and ten days]. 
GEN.8.19	Every animal, every crawling thing, every bird—and whatever moves on the land—went out by families (types, groupings) from the ark.
GEN.8.20	And Noah built an altar to the L
GEN.8.21	The L
GEN.8.22	While the earth remains,
GEN.8.22	Seedtime and harvest,
GEN.8.22	Cold and heat,
GEN.8.22	Winter and summer,
GEN.8.22	And day and night
GEN.8.22	Shall not cease.”
GEN.9.1	And God blessed Noah and his sons and said to them, “Be fruitful and multiply, and fill the earth. 
GEN.9.2	The fear and the terror of you shall be [instinctive] in every animal of the land and in every bird of the air; and together with everything that moves on the ground, and with all the fish of the sea; they are given into your hand. 
GEN.9.3	Every moving thing that lives shall be food for you; I give you everything, as 
GEN.9.4	But you shall not eat meat along with its life, 
GEN.9.5	For your lifeblood I will most certainly require an accounting; from every animal [that kills a person] I will require it. And from man, from every man’s brother [that is, anyone who murders] I will require the life of man.
GEN.9.6	Whoever sheds man’s blood [unlawfully],
GEN.9.6	By man (judicial government) shall his blood be shed,
GEN.9.6	For in the image of God
GEN.9.6	He made man.
GEN.9.7	As for you, be fruitful and multiply;
GEN.9.7	Populate the earth abundantly and multiply in it.”
GEN.9.8	Then God spoke to Noah and to his sons with him, saying, 
GEN.9.9	“Now behold, I am establishing My covenant (binding agreement, solemn promise) with you and with your descendants after you 
GEN.9.10	and with every living creature that is with you—the birds, the livestock, and the wild animals of the earth along with you, of everything that comes out of the ark—every living creature of the earth. 
GEN.9.11	I will establish My covenant with you: Never again shall all flesh be cut off by the water of a flood, nor shall there ever again be a flood to destroy 
GEN.9.12	And God said, “This is the token (visible symbol, memorial) of the [solemn] covenant which I am making between Me and you and every living creature that is with you, for all future generations; 
GEN.9.13	I set My rainbow in the clouds, and it shall be a sign of a covenant between Me and the earth. 
GEN.9.14	It shall come about, when I bring clouds over the earth, that the rainbow shall be seen in the clouds, 
GEN.9.15	and I will [compassionately] remember My covenant, which is between Me and you and every living creature of all flesh; and never again will the water become a flood to destroy all flesh. 
GEN.9.16	When the rainbow is in the clouds and I look at it, I will [solemnly] remember the everlasting covenant between God and every living creature of all flesh that is on the earth.” 
GEN.9.17	And God said to Noah, “This [rainbow] is the sign of the covenant (solemn pledge, binding agreement) which I have established between Me and all living things on the earth.”
GEN.9.18	The sons of Noah who came out of the ark were Shem and Ham and Japheth. Ham would become the father of Canaan. 
GEN.9.19	These are the three sons of Noah, and from these [men] the whole earth was populated 
GEN.9.20	And Noah began to farm 
GEN.9.21	He drank some of the wine and became drunk, and he was uncovered 
GEN.9.22	Ham, the father of Canaan, saw [by accident] the nakedness of his father, and [to his father’s shame] told his two brothers outside. 
GEN.9.23	So Shem and Japheth took a robe and put it on both their shoulders, and walked backwards and covered the nakedness of their father; their faces were turned away so that they did not see their father’s nakedness. 
GEN.9.24	When Noah awoke from his wine [induced stupor], he knew what his younger son [Ham] had done to him. 
GEN.9.25	So he said,
GEN.9.25	“Cursed be Canaan [the son of Ham];
GEN.9.25	He shall be to his brothers.”
GEN.9.26	He also said,
GEN.9.26	“Blessed be the L
GEN.9.26	The God of 
GEN.9.26	And let Canaan be his servant.
GEN.9.27	May God enlarge [the land of] Japheth,
GEN.9.27	And 
GEN.9.27	And let Canaan be his servant.”
GEN.9.28	Noah lived three hundred and fifty years after the flood. 
GEN.9.29	So all the days of Noah were nine hundred and fifty years, and he died.
GEN.10.1	These are 
GEN.10.2	the sons of Japheth: Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras; 
GEN.10.3	the sons of Gomer: Ashkenaz, Riphath, and Togarmah; 
GEN.10.4	the sons of Javan: Elishah, Tarshish, Kittim, and Dodanim. 
GEN.10.5	From these, [the people of] the coastlands of the nations were separated 
GEN.10.6	the sons of Ham: Cush, Mizraim [from whom descended the Egyptians], Put, and Canaan; 
GEN.10.7	the sons of Cush: Seba, Havilah, Sabtah, Raamah, and Sabteca; and the sons of Raamah; Sheba and Dedan. 
GEN.10.8	Cush became the father of Nimrod; he became a mighty one on the earth. 
GEN.10.9	He was a mighty hunter before the L
GEN.10.10	The beginning of his kingdom was 
GEN.10.11	From that land Nimrod went to Assyria, and built Nineveh, and Rehoboth-Ir, and Calah, 
GEN.10.12	and [Nimrod built] Resen, which is between Nineveh and Calah; all these [combined to form] the great city [Nineveh]. 
GEN.10.13	Mizraim [the ancestor of the Egyptians] became the father of Ludim, Anamim, Lehabim, Naphtuhim 
GEN.10.14	and Pathrusim and Casluhim—from whom came the Philistines—and Caphtorim.
GEN.10.15	Canaan became the father of Sidon, his firstborn, and Heth 
GEN.10.16	and the Jebusite and the Amorite and the Girgashite 
GEN.10.17	and the Hivite and the Arkite and the Sinite 
GEN.10.18	and the Arvadite and the Zemarite and the Hamathite. Afterward the families of the Canaanite were spread abroad. 
GEN.10.19	The territory of the Canaanite extended from Sidon as one goes to Gerar, as far as Gaza; and as one goes to 
GEN.10.20	These are the descendants of Ham according to their constituent groups, according to their languages, by their lands, and by their nations.
GEN.10.21	Also to Shem, the father of all the children of Eber [including the Hebrews], the 
GEN.10.22	The sons of Shem: Elam, Asshur, Arpachshad, Lud and Aram; 
GEN.10.23	the sons of Aram [ancestor of the Syrians]: Uz, Hul, Gether and 
GEN.10.24	Arpachshad became the father of Shelah; and Shelah became the father of Eber. 
GEN.10.25	Two sons were born to Eber; the name of one was Peleg (division), for [the inhabitants of] the earth were divided in his days; and his brother’s name was Joktan. 
GEN.10.26	Joktan became the father of Almodad, Sheleph, Hazarmaveth, Jerah, 
GEN.10.27	and Hadoram, Uzal, Diklah, 
GEN.10.28	and 
GEN.10.29	and Ophir, Havilah, and Jobab; all these were the sons of Joktan. 
GEN.10.30	Now their territory extended from Mesha as one goes toward Sephar, to the hill country of the east. 
GEN.10.31	These are Shem’s descendants according to their constituent groups (families), according to their languages, by their lands, according to their nations.
GEN.10.32	These are the families of the sons of Noah, according to their descendants, by their nations; and from these [people] the nations were separated 
GEN.11.1	Now the whole earth 
GEN.11.2	And as people journeyed eastward, they found a plain in the land of Shinar and they settled there. 
GEN.11.3	They said one to another, “Come, let us make bricks and fire them thoroughly [in a kiln, to harden and strengthen them].” So they used brick for stone [as building material], and they used tar (bitumen, asphalt) for mortar. 
GEN.11.4	They said, “Come, let us build a city for ourselves, and a tower whose top 
GEN.11.5	Now the L
GEN.11.6	And the L
GEN.11.7	Come, let Us (Father, Son, Holy Spirit) go down and there confuse 
GEN.11.8	So the L
GEN.11.9	Therefore the name of the city was 
GEN.11.10	These are 
GEN.11.11	And Shem lived five hundred years after Arpachshad was born, and he had 
GEN.11.12	When Arpachshad had lived thirty-five years, he became the father of Shelah. 
GEN.11.13	Arpachshad lived four hundred and three years after Shelah was born, and he had 
GEN.11.14	When Shelah had lived thirty years, he became the father of Eber. 
GEN.11.15	Shelah lived four hundred and three years after Eber was born, and he had 
GEN.11.16	When Eber had lived thirty-four years, he became the father of Peleg. 
GEN.11.17	And Eber lived four hundred and thirty years after Peleg was born, and he had 
GEN.11.18	When Peleg had lived thirty years, he became the father of Reu. 
GEN.11.19	And Peleg lived two hundred and nine years after Reu was born, and he had 
GEN.11.20	When Reu had lived thirty-two years, he became the father of Serug. 
GEN.11.21	And Reu lived two hundred and seven years after Serug was born, and he had 
GEN.11.22	When Serug had lived thirty years, he became the father of Nahor. 
GEN.11.23	And Serug lived two hundred years after Nahor was born, and he had 
GEN.11.24	When Nahor had lived twenty-nine years, he became the father of Terah. 
GEN.11.25	And Nahor lived a hundred and nineteen years after Terah was born, and he had 
GEN.11.26	After Terah had lived seventy years, he became the father of 
GEN.11.27	Now these are 
GEN.11.28	Haran died before his father Terah in the land of his birth, in 
GEN.11.29	Abram and Nahor took wives for themselves. The name of Abram’s wife was Sarai (later called Sarah), and the name of Nahor’s wife was Milcah, the daughter of Haran, the father of Milcah and Iscah. 
GEN.11.30	But Sarai was barren; she did not have a child.
GEN.11.31	Terah took Abram his son, and Lot the son of Haran, his grandson, and Sarai his daughter-in-law, his son Abram’s wife; and they went out together to go from Ur of the Chaldeans into the land of Canaan; but when they came to Haran [about five hundred and fifty miles northwest of Ur], they settled there. 
GEN.11.32	Terah lived two hundred and five years; and Terah died in Haran.
GEN.12.1	Now [in Haran] the L
GEN.12.1	“Go away from your country,
GEN.12.1	And from your relatives
GEN.12.1	And from your father’s house,
GEN.12.1	To the land which I will show you;
GEN.12.2	And 
GEN.12.2	And I will bless you [abundantly],
GEN.12.2	And make your name great (exalted, distinguished);
GEN.12.2	And you shall be a blessing [a source of great good to others];
GEN.12.3	And I will bless (do good for, benefit) those who bless you,
GEN.12.3	And I will curse [that is, subject to My wrath and judgment] the one who curses (despises, dishonors, has contempt for) you.
GEN.12.3	And in you all the families (nations) of the earth will be blessed.”
GEN.12.4	So Abram departed [in faithful obedience] as the L
GEN.12.5	Abram took Sarai his wife and Lot his nephew, and all their possessions which they had acquired, and the people (servants) which they had acquired in Haran, and they set out to go to the land of Canaan. When they came to the land of Canaan, 
GEN.12.6	Abram passed through the land as far as the site of Shechem, to the [great] terebinth (oak) tree of Moreh. Now the 
GEN.12.7	Then the L
GEN.12.8	Then he moved on from there to the mountain on the east of Bethel, and pitched his tent, with Bethel on the west and Ai on the east; and there he built an altar to the L
GEN.12.9	Then Abram journeyed on, continuing toward the Negev (the South country of Judah).
GEN.12.10	Now there was a famine in the land; and Abram went down into Egypt to live temporarily, for the famine in the land was oppressive 
GEN.12.11	And when he was about to enter Egypt, he said to Sarai his wife, “Listen: I know that you are 
GEN.12.12	so when the Egyptians see you, they will say, ‘This is his wife’; and they will kill me [to acquire you], but they will let you live. 
GEN.12.13	Please tell them that you are 
GEN.12.14	And when Abram entered Egypt, the Egyptians saw that Sarai was very beautiful. 
GEN.12.15	Pharaoh’s princes (officials) also saw her and praised her to Pharaoh; and the woman was taken [for the purpose of marriage] into Pharaoh’s house (harem). 
GEN.12.16	Therefore Pharaoh treated Abram well for her sake; he acquired sheep, oxen, male and female donkeys, male and female servants, and camels.
GEN.12.17	But the L
GEN.12.18	Then Pharaoh called Abram and said, “What is this that you have done to me? Why did you not tell me that she was your wife? 
GEN.12.19	Why did you say, ‘She is my sister,’ so that I took her as my wife? Now then, here is your wife; take her and go!” 
GEN.12.20	So Pharaoh commanded his men concerning him; and they escorted him on his way, with his wife and all that he had.
GEN.13.1	So Abram went up out of Egypt, he and his wife and all that he had, and Lot [his nephew] with him, into the Negev (the South country of Judah).
GEN.13.2	Now Abram was extremely rich in livestock and in silver and in gold. 
GEN.13.3	He journeyed on from the Negev as far as Bethel, to the place where his tent had been at the beginning, between Bethel and Ai, 
GEN.13.4	where he had first built an altar; and there Abram called on the name of the L
GEN.13.5	But Lot, who went with Abram, also had flocks and herds and tents. 
GEN.13.6	Now the land was not able to support them [that is, sustain all their grazing and water needs] while they lived near one another, for their possessions were too great for them to stay together. 
GEN.13.7	And there was strife 
GEN.13.8	So Abram said to Lot, “Please let there be no strife 
GEN.13.9	Is not the entire land before you? Please separate [yourself] from me. If you take the left, then I will go to the right; or if you choose the right, then I will go to the left.” 
GEN.13.10	So Lot looked and saw that the valley of the Jordan was well watered everywhere—this was before the L
GEN.13.11	Then Lot chose for himself all the valley of the Jordan, and he traveled east. So they separated from each other. 
