GEN.1.1	In the beginning God created the heavens and the earth. 
GEN.1.2	Now the earth was chaos and waste, darkness was on the surface of the deep, and the 
GEN.1.3	Then God said, “Let there be light!” and there was light. 
GEN.1.4	God saw that the light was good. So God distinguished the light from the darkness. 
GEN.1.5	God called the light “day,” and the darkness He called “night.” So there was evening and there was morning—one day. 
GEN.1.6	Then God said, “Let there be an expanse in the midst of the water! Let it be for separating water from water.” 
GEN.1.7	So God made the expanse and it separated the water that was below the expanse from the water that was over the expanse. And it happened so. 
GEN.1.8	God called the expanse “sky.” So there was evening and there was morning—a second day. 
GEN.1.9	Then God said, “Let the water below the sky be gathered to one place. Let the dry ground appear.” And it happened so. 
GEN.1.10	God called the dry ground “land,” and the collection of the water He called “seas.” And God saw that it was good. 
GEN.1.11	Then God said, “Let the land sprout grass, green plants yielding seed, fruit trees making fruit, each according to its species with seed in it, upon the land.” And it happened so. 
GEN.1.12	The land brought forth grass, green plants yielding seed, each according to its species, and trees making fruit with the seed in it, each according to its species. And God saw that it was good. 
GEN.1.13	So there was evening and there was morning—a third day. 
GEN.1.14	Then God said, “Let lights in the expanse of the sky be for separating the day from the night. They will be for signs and for seasons and for days and years. 
GEN.1.15	They will be for lights in the expanse of the sky to shine upon the land.” And it happened so. 
GEN.1.16	Then God made the two great lights—the greater light for dominion over the day, and the lesser light as well as the stars for dominion over the night. 
GEN.1.17	God set them in the expanse of the sky to shine on the land 
GEN.1.18	and to have dominion over the day and over the night and to separate the light from the darkness. And God saw that it was good. 
GEN.1.19	So there was evening and there was morning—a fourth day. 
GEN.1.20	Then God said, “Let the waters swarm with swarms of living creatures! Let flying creatures fly above the land across the expanse of the sky.” 
GEN.1.21	Then God created the large sea creatures and every living creature that crawls, with which the water swarms, according to their species, as well as every winged flying creature, according to their species. And God saw that it was good. 
GEN.1.22	Then God blessed them by saying, “Be fruitful and multiply and fill the water in the seas. Let the flying creatures multiply on the land.” 
GEN.1.23	So there was evening and there was morning—a fifth day. 
GEN.1.24	Then God said, “Let the land bring forth living creatures according to their species—livestock, crawling creatures and wild animals, according to their species.” And it happened so. 
GEN.1.25	God made the wild animals according to their species, the livestock according to their species, and everything that crawls on the ground, each according to its species. And God saw that it was good. 
GEN.1.26	Then God said, “Let Us make man in Our image, after Our likeness! Let them rule over the fish of the sea, over the flying creatures of the sky, over the livestock, over the whole earth, and over every crawling creature that crawls on the land.” 
GEN.1.27	God created humankind in His image, in the image of God He created him, male and female He created them. 
