GEN.1.1	In the beginning God created the heavens and the earth. 
GEN.4.23	 “Adah and Zillah, hear my voice,
GEN.4.23	you wives of Lamech, and listen to my speech.
GEN.4.23	For I have killed a man for wounding me,
GEN.4.23	a young man who hurt me.
GEN.4.24	 If Cain will be avenged sevenfold,
GEN.4.24	then truly Lamech seventy-sevenfold.”
GEN.4.25	Adam had relations with his wife again, and she had another son and called his name Seth, for she said, “God has granted me another offspring instead of Abel because Cain killed him.” 
GEN.4.26	To Seth also was born a son, and he called his name Enosh.
GEN.4.26	At that time men began to call on the name of the 
GEN.5.1	This is the book of the generations of Adam.
GEN.5.1	In the day when God created man, He made him in the likeness of God. 
GEN.5.2	He created them male and female. He blessed them and called them Mankind in the day when they were created.
GEN.5.3	Adam lived a hundred and thirty years and became the father of a son in his own likeness, after his own image, and called his name Seth. 
GEN.5.4	The days of Adam after he became the father of Seth were eight hundred years, and he had other sons and daughters. 
GEN.5.5	So all the days that Adam lived were nine hundred and thirty years, and he died.
GEN.5.6	Seth lived one hundred and five years and became the father of Enosh. 
GEN.5.7	Seth lived after the birth of Enosh eight hundred and seven years and had other sons and daughters. 
GEN.5.8	So all the days of Seth were nine hundred and twelve years, and he died.
GEN.5.9	Enosh lived ninety years and became the father of Kenan. 
GEN.5.10	Enosh lived after the birth of Kenan eight hundred and fifteen years and had other sons and daughters. 
GEN.5.11	So all the days of Enosh were nine hundred and five years, and he died.
GEN.5.12	Kenan lived seventy years and became the father of Mahalalel. 
GEN.5.13	Kenan lived after the birth of Mahalalel eight hundred and forty years and had other sons and daughters. 
GEN.5.14	So all the days of Kenan were nine hundred and ten years, and he died.
GEN.5.15	Mahalalel lived sixty-five years and became the father of Jared. 
GEN.5.16	Mahalalel lived after the birth of Jared eight hundred and thirty years and had other sons and daughters. 
GEN.5.17	So all the days of Mahalalel were eight hundred and ninety-five years, and he died.
GEN.5.18	Jared lived one hundred and sixty-two years and became the father of Enoch. 
GEN.5.19	Jared lived after the birth of Enoch eight hundred years and had other sons and daughters. 
GEN.5.20	So all the days of Jared were nine hundred and sixty-two years, and he died.
GEN.5.21	Enoch lived sixty-five years and became the father of Methuselah. 
GEN.5.22	Enoch walked with God after the birth of Methuselah for three hundred years and had other sons and daughters. 
GEN.5.23	So all the days of Enoch were three hundred and sixty-five years. 
GEN.5.24	Enoch walked with God, and then he was no more because God took him.
GEN.5.25	Methuselah lived one hundred and eighty-seven years and became the father of Lamech. 
GEN.5.26	Methuselah lived after the birth of Lamech seven hundred and eighty-two years and had other sons and daughters. 
GEN.5.27	So all the days of Methuselah were nine hundred and sixty-nine years, and he died.
GEN.5.28	Lamech lived one hundred and eighty-two years and had a son. 
GEN.5.29	He named his son Noah, saying, “This one will comfort us concerning our work and the toil of our hands because of the ground which the 
GEN.5.30	Lamech lived after the birth of Noah five hundred and ninety-five years and had other sons and daughters. 
GEN.5.31	So all the days of Lamech were seven hundred and seventy-seven years, and he died.
GEN.5.32	Noah was five hundred years old and became the father of Shem, Ham, and Japheth.
GEN.6.1	When men began to multiply on the face of the earth and daughters were born to them, 
GEN.6.2	the sons of God saw that the daughters of men were fair and took as wives any they chose. 
GEN.6.3	The 
GEN.6.4	The Nephilim were on the earth in those days, and also after that, when the sons of God came in to the daughters of men, and they bore children to them. These were the mighty men who were of old, men of renown.
GEN.6.5	The 
GEN.6.6	The 
GEN.6.7	So the 
GEN.6.8	But Noah found grace in the eyes of the 
GEN.6.9	These are the generations of Noah.
GEN.6.9	Noah was a just man and blameless among his contemporaries. Noah walked with God. 
GEN.6.10	Noah had three sons: Shem, Ham, and Japheth.
GEN.6.11	The earth was corrupt before God and filled with violence. 
GEN.6.12	God looked on the earth and saw it was corrupt, for all flesh had corrupted their way on the earth. 
GEN.6.13	So God said to Noah, “The end of all flesh is come before Me, for the earth is filled with violence because of them. Now I will destroy them with the earth. 
GEN.6.14	Make an ark of cypress wood for yourself. Make rooms in the ark, and cover it inside and out with pitch. 
GEN.6.15	And this is how you must make it: The length of the ark will be three hundred cubits, the width of it fifty cubits, and the height of it thirty cubits.
GEN.6.16	Make an opening
GEN.6.17	I will bring a flood of waters on the earth to destroy all flesh, wherever there is the breath of life under heaven, and everything that is on the earth will die. 
GEN.6.18	But I will establish My covenant with you; you must go into the ark—you, and your sons, and your wife, and your sons’ wives with you. 
GEN.6.19	Bring every living thing of all flesh, two of every kind, into the ark to keep them alive with you. They shall be male and female. 
GEN.6.20	Two of every kind of bird, of every kind of animal, and of every kind of creeping thing of the earth will come to you to be kept alive. 
GEN.6.21	Also, take with you of every kind of food that is eaten and gather it to yourself, and it will be for food for you and for them.”
GEN.6.22	Noah did this; he did all that God commanded him.
GEN.7.1	The 
GEN.7.2	Take with you seven each of every clean animal, the male and its female, and two each of every unclean animal, the male and its female, 
GEN.7.3	and seven each of birds of the air, the male and female, to keep offspring alive on the face of all the earth. 
GEN.7.4	In seven days I will cause it to rain on the earth for forty days and forty nights, and every living thing that I have made I will destroy from the face of the earth.”
GEN.7.5	And Noah did according to all that the 
GEN.7.6	Noah was six hundred years old when the floodwaters came upon the earth. 
GEN.7.7	And Noah went with his sons and his wife and his sons’ wives into the ark because of the floodwaters. 
GEN.7.8	Everything that creeps on the land from clean and unclean animals and birds 
GEN.7.9	came in two by two, male and female, to Noah into the ark, as God had commanded Noah. 
GEN.7.10	After seven days, the waters of the flood were on the earth.
GEN.7.11	In the six hundredth year of Noah’s life, in the second month, on the seventeenth day of the month, the same day, all the fountains of the great deep burst open and the floodgates of the heavens were opened. 
GEN.7.12	The rain fell upon the earth for forty days and forty nights.
GEN.7.13	On the very same day Noah and the sons of Noah, Shem, Ham, and Japheth, and Noah’s wife, and the three wives of his sons with them, entered the ark. 
GEN.7.14	They and every wild animal according to its kind, and all the livestock according to their kind, and every creeping thing that creeps on the earth according to its kind, and every bird according to its kind, every bird of every sort, 
GEN.7.15	went with Noah into the ark, two by two of all flesh in which was the breath of life. 
GEN.7.16	So they went in, male and female of all flesh, just as God had commanded him; then the 
GEN.7.17	The flood was on the earth forty days, and the water increased and lifted up the ark, so that it rose up above the earth. 
GEN.7.18	The water prevailed and increased greatly upon the earth, and the ark floated on the surface of the water. 
GEN.7.19	The water prevailed exceedingly on the earth, and all the high mountains that were under the whole heaven were covered. 
GEN.7.20	The waters prevailed upward and the mountains were covered fifteen cubits deep.
GEN.7.21	All flesh that moved on the earth died: birds and livestock and beasts, and every creeping thing that crept on the earth, and every man. 
GEN.7.22	All in whose nostrils was the breath of life, all that was on the dry land, died. 
GEN.7.23	So He blotted out every living thing which was on the face of the ground, both man and animals and the creeping things and the birds of the heavens. They were blotted out from the earth, and only Noah and those who were with him in the ark remained alive.
GEN.7.24	The waters prevailed on the earth for one hundred and fifty days.
GEN.8.1	God remembered Noah and every living thing and all the livestock that were with him in the ark. So God made a wind to pass over the earth, and the water receded. 
GEN.8.2	Also the fountains of the deep and the floodgates of heaven were closed, and the rain from the heavens was restrained. 
GEN.8.3	The water receded steadily from the earth, and after the end of one hundred and fifty days the waters decreased. 
GEN.8.4	The ark rested in the seventh month, on the seventeenth day of the month, on the mountains of Ararat. 
GEN.8.5	The water continually decreased until the tenth month. In the tenth month, on the first day of the month, the tops of the mountains became visible.
GEN.8.6	Then at the end of forty days, Noah opened the window of the ark which he had made, 
GEN.8.7	and he sent forth a raven, which went to and fro until the waters were dried up on the earth. 
GEN.8.8	Then he sent out a dove to see if the waters had subsided from the face of the ground. 
GEN.8.9	But the dove found no rest for the sole of her foot, so she returned to him into the ark, for the waters were on the surface of all the earth. Then he put forth his hand, and took her, and brought her into the ark to himself. 
GEN.8.10	He waited yet another seven days, and again he sent out the dove from the ark. 
GEN.8.11	The dove came to him in the evening, and in her mouth there was a freshly plucked olive leaf. So Noah knew that the waters had receded from the earth. 
GEN.8.12	He waited another seven days and sent out the dove again, but it did not return to him again.
GEN.8.13	So in the six hundred and first year, in the first month, the first day of the month, the waters were dried up from the earth; and Noah removed the covering of the ark, and looked, and saw the surface of the ground was dry. 
GEN.8.14	In the second month, on the twenty-seventh day of the month, the earth was dry.
GEN.8.15	Then God spoke to Noah, saying, 
GEN.8.16	“Go out of the ark, you and your wife, and your sons and your sons’ wives with you. 
GEN.8.17	Bring out with you every living thing of all flesh that is with you, birds and animals, and every creeping thing that creeps on the earth, so that they may breed abundantly on the earth and be fruitful and multiply on the earth.”
GEN.8.18	So Noah and his sons and his wife and his sons’ wives went out. 
GEN.8.19	Every beast, every creeping thing, every bird, and everything that moves on the earth, according to their families, went out of the ark.
GEN.8.20	Then Noah built an altar to the 
GEN.8.21	The 
GEN.8.22	 While the earth remains,
GEN.8.22	seedtime and harvest,
GEN.8.22	cold and heat,
GEN.8.22	summer and winter,
GEN.8.22	and day and night
GEN.8.22	will not cease.”
GEN.9.1	Then God blessed Noah and his sons and said to them, “Be fruitful and multiply and fill the earth. 
GEN.9.2	Every beast of the earth and every bird of the sky and all that moves on the earth and all the fish of the sea will fear you and be terrified of you. They are given into your hand. 
GEN.9.3	Every moving thing that lives will be food for you. I give you everything, just as I gave you the green plant.
GEN.9.4	“Only you shall not eat flesh with its life, 
GEN.9.5	But for your own lifeblood I will surely require a reckoning; from every animal will I require it; of man, too, will I require a reckoning for human life, of every man for that of his fellow man.
GEN.9.6	 Whoever sheds the blood of man,
GEN.9.6	by man shall his blood be shed;
GEN.9.6	for God made man
GEN.9.6	in His own image.
GEN.9.7	And as for you, be fruitful and multiply; increase abundantly in the earth and multiply in it.”
GEN.9.8	Again God spoke to Noah and to his sons with him, saying, 
GEN.9.9	“As for Me, I establish My covenant with you, and with your descendants after you; 
GEN.9.10	and with every living creature that is with you, the birds, the livestock, and every beast of the earth with you; of all that comes out of the ark, every beast of the earth. 
GEN.9.11	I establish My covenant with you. Never again shall all flesh be cut off by the waters of a flood. Never again shall there be a flood to destroy the earth.”
GEN.9.12	Then God said, “This is the sign of the covenant which I am making between Me and you and every living creature that is with you, for all future generations. 
GEN.9.13	I have set My rainbow in the cloud, and it shall be a sign of a covenant between Me and the earth. 
GEN.9.14	When I bring a cloud over the earth, the rainbow will be seen in the cloud; 
GEN.9.15	then I will remember My covenant, which is between Me and you and every living creature of all flesh, and the waters will never again become a flood to destroy all flesh. 
GEN.9.16	The rainbow will appear in the cloud, and I will see it and remember the everlasting covenant between God and every living creature of all flesh that is on the earth.”
GEN.9.17	So God said to Noah, “This is the sign of the covenant that I have established between Me and all flesh that is on the earth.”
GEN.9.18	The sons of Noah who went forth from the ark were Shem, Ham, and Japheth. Ham was the father of Canaan. 
GEN.9.19	These were the three sons of Noah, and from them the whole earth was populated.
GEN.9.20	Noah began to be a man of the soil, and he planted a vineyard. 
GEN.9.21	Then he drank some of the wine and became drunk, and lay uncovered in his tent. 
GEN.9.22	And Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside. 
GEN.9.23	So Shem and Japheth took a garment, and laid it upon both their shoulders, and went backward, and covered the nakedness of their father. Their faces were turned away, and they did not see their father’s nakedness.
GEN.9.24	When Noah awoke from his wine and knew what his younger son had done to him, 
GEN.9.25	he said,
GEN.9.25	“Canaan be cursed!
GEN.9.25	He will be a servant of servants
GEN.9.25	to his brothers.”
GEN.9.26	He also said,
GEN.9.26	 “Blessed be the 
GEN.9.26	and let Canaan be his servant.
GEN.9.27	May God enlarge Japheth,
GEN.9.27	and may he dwell in the tents of Shem,
GEN.9.27	and may Canaan be his servant.”
GEN.9.28	Noah lived after the flood three hundred and fifty years. 
GEN.9.29	All the days of Noah were nine hundred and fifty years, and then he died.
GEN.10.1	Now these are the generations of Shem, Ham, and Japheth, the sons of Noah. And sons were born to them after the flood.
GEN.10.2	The sons of Japheth were
GEN.10.2	Gomer, Magog, Madai, Javan, Tubal, Meshek, and Tiras.
GEN.10.3	The sons of Gomer were
GEN.10.3	Ashkenaz, Riphath, and Togarmah.
GEN.10.4	The sons of Javan were
GEN.10.4	Elishah, Tarshish, the Kittites, and the Rodanites. 
GEN.10.5	From these the coastlands of the nations were divided
GEN.10.6	The sons of Ham were
GEN.10.6	Cush, Egypt, Put, and Canaan.
GEN.10.7	The sons of Cush were
GEN.10.7	Seba, Havilah, Sabtah, Raamah, and Sabteka;
GEN.10.7	and the sons of Raamah were
GEN.10.7	Sheba and Dedan.
GEN.10.8	Cush was the father of Nimrod. He became a mighty one on the earth. 
GEN.10.9	He was a mighty hunter before the 
GEN.10.10	The beginning of his kingdom was Babel,
GEN.10.11	From that land he went to Assyria and built Nineveh, the city Rehoboth Ir, and Calah, 
GEN.10.12	and Resen between Nineveh and Calah (that is the principal city).
GEN.10.13	Egypt was the father of
GEN.10.13	the Ludites, Anamites, Lehabites, Naphtuhites, 
GEN.10.14	Pathrusites, Kasluhites (from whom came the Philistines), and Caphtorites.
GEN.10.15	Canaan was the father of
GEN.10.15	Sidon his firstborn and Heth, 
GEN.10.16	and the Jebusites, Amorites, Girgashites, 
GEN.10.17	Hivites, Arkites, Sinites, 
GEN.10.18	Arvadites, Zemarites, and the Hamathites.
GEN.10.18	Later the families of the Canaanites spread abroad. 
GEN.10.19	The border of the Canaanites was from Sidon toward Gerar to Gaza, and then to Sodom, Gomorrah, Admah, Zeboyim, as far as Lasha.
GEN.10.20	These are the sons of Ham, according to their families, according to their languages, in their lands and in their nations.
GEN.10.21	To Shem, who was the father of all the children of Eber, whose older brother was Japheth,
GEN.10.22	The sons of Shem were
GEN.10.22	Elam, Ashur, Arphaxad, Lud, and Aram.
GEN.10.23	The sons of Aram were
GEN.10.23	Uz, Hul, Gether, and Meshek.
GEN.10.24	Arphaxad was the father of Shelah,
GEN.10.24	and Shelah was the father of Eber.
GEN.10.25	To Eber were born two sons.
GEN.10.25	The name of one was Peleg, for in his days the earth was divided; his brother’s name was Joktan.
GEN.10.26	Joktan was the father of
GEN.10.26	Almodad, Sheleph, Hazarmaveth, Jerah, 
GEN.10.27	Hadoram, Uzal, Diklah, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ophir, Havilah, and Jobab. All these were the sons of Joktan.
GEN.10.30	Their dwelling place was from Mesha all the way to Sephar, the hill country of the east.
GEN.10.31	These are the sons of Shem, by their families and their language, in their lands and their nations.
GEN.10.32	These are the families of the sons of Noah, according to their generations, in their nations. From these were the nations divided in the earth after the flood.
GEN.11.1	Now the whole earth had one language and the same words. 
GEN.11.2	As the people journeyed from the east, they found a plain in the land of Shinar and settled there.
GEN.11.3	They said to each other, “Let us make bricks and bake them thoroughly.” And they had brick for stone and tar for mortar. 
GEN.11.4	Then they said, “Come, let us build us a city and a tower, whose top will reach to heaven, and let us make a name for ourselves; otherwise we will be scattered abroad over the face of the whole earth.”
GEN.11.5	But the 
GEN.11.6	The 
GEN.11.7	Come, let us go down and there confuse their language, so that they may not understand one another’s speech.”
GEN.11.8	So the 
GEN.11.9	Therefore the name of it was called Babel, because there the 
GEN.11.10	These are the generations of Shem.
GEN.11.10	Shem was a hundred years old, and two years after the flood he became the father of Arphaxad. 
GEN.11.11	Shem lived after the birth of Arphaxad five hundred years, and had other sons and daughters.
GEN.11.12	Arphaxad lived thirty-five years, and became the father of Shelah. 
GEN.11.13	Arphaxad lived after the birth of Shelah four hundred and three years, and had other sons and daughters.
GEN.11.14	Shelah lived thirty years, and became the father of Eber. 
GEN.11.15	Shelah lived after the birth of Eber four hundred and three years, and had other sons and daughters.
GEN.11.16	Eber lived thirty-four years, and became the father of Peleg. 
GEN.11.17	Eber lived after the birth of Peleg four hundred and thirty years, and had other sons and daughters.
GEN.11.18	Peleg lived thirty years, and became the father of Reu. 
GEN.11.19	Peleg lived after the birth of Reu two hundred and nine years, and had other sons and daughters.
GEN.11.20	Reu lived thirty-two years, and became the father of Serug. 
GEN.11.21	Reu lived after the birth of Serug two hundred and seven years, and had other sons and daughters.
GEN.11.22	Serug lived thirty years, and became the father of Nahor. 
GEN.11.23	Serug lived after the birth of Nahor two hundred years, and had other sons and daughters.
GEN.11.24	Nahor lived twenty-nine years, and became the father of Terah. 
GEN.11.25	Nahor lived after the birth of Terah one hundred and nineteen years, and had other sons and daughters.
GEN.11.26	Now Terah lived seventy years, and became the father of Abram, Nahor, and Haran.
GEN.11.27	These are the generations of Terah.
GEN.11.27	Terah became the father of Abram, Nahor, and Haran, and Haran became the father of Lot. 
GEN.11.28	Haran died before his father Terah in the land of his birth, in Ur of the Chaldeans. 
GEN.11.29	Abram and Nahor took wives. The name of Abram’s wife was Sarai, and the name of Nahor’s wife, Milkah, the daughter of Haran, the father of Milkah and the father of Iskah. 
GEN.11.30	But Sarai was barren; she had no child.
GEN.11.31	Terah took his son Abram and his grandson Lot, son of Haran, and his daughter-in-law Sarai, his son Abram’s wife, and they went out together from Ur of the Chaldeans to go into the land of Canaan; but when they came to Harran, they settled there.
GEN.11.32	The days of Terah were two hundred and five years, and Terah died in Harran.
GEN.12.1	Now the 
GEN.12.2	 I will make of you a great nation;
GEN.12.2	I will bless you
GEN.12.2	and make your name great,
GEN.12.2	so that you will be a blessing.
GEN.12.3	 I will bless them who bless you
GEN.12.3	and curse him who curses you,
GEN.12.3	and in you all families of the earth
GEN.12.3	will be blessed.”
GEN.12.4	So Abram departed, as the 
GEN.12.5	Abram took Sarai his wife, Lot his brother’s son, and all their possessions that they had accumulated, and the people that they had acquired in Harran, and they set out for the land of Canaan. They came to the land of Canaan.
GEN.12.6	Then Abram passed through the land to the place of Shechem, to the oak of Moreh. The Canaanites were in the land at that time. 
GEN.12.7	The 
GEN.12.8	From there he continued on to a mountain to the east of Bethel and pitched his tent, having Bethel on the west and Ai on the east. There he built an altar to the 
GEN.12.9	Then Abram continued his journey toward the Negev.
GEN.12.10	Now there was a famine in the land, so Abram went down to Egypt to live there, for the famine was severe in the land. 
GEN.12.11	When he was getting near to Egypt, he said to Sarai his wife, “I know you are a beautiful woman. 
GEN.12.12	Therefore, when the Egyptians see you, they will say, ‘This is his wife.’ They will then kill me, but they will let you live. 
GEN.12.13	Say you are my sister so that I may be treated well for your sake. Then my life will be spared because of you.”
GEN.12.14	So when Abram entered Egypt, the Egyptians saw that Sarai was very beautiful. 
GEN.12.15	The princes of Pharaoh saw her and commended her to Pharaoh, and she was taken into Pharaoh’s house. 
GEN.12.16	He treated Abram well for her sake and he had sheep and livestock, male and female donkeys, male and female servants, and camels.
GEN.12.17	But the 
GEN.12.18	So Pharaoh called Abram, and said, “What have you done to me? Why did you not tell me that she was your wife? 
GEN.12.19	Why did you say, ‘She is my sister’? I might have taken her as my wife. Now here is your wife; take her and leave.” 
GEN.12.20	Pharaoh commanded his men concerning him, and they sent him away with his wife and all that he had.
GEN.13.1	So Abram went up from Egypt to the Negev, he and his wife and all that he had, and Lot with him. 
GEN.13.2	Abram was very wealthy in livestock, in silver and in gold.
GEN.13.3	He continued on his journey from the Negev and came to Bethel, to the place where his tent had been at the beginning, between Bethel and Ai, 
GEN.13.4	to the place where he first made an altar. There Abram called on the name of the 
GEN.13.5	Now Lot, who went with Abram, also had flocks and herds and tents. 
GEN.13.6	But the land was not able to support them both dwelling together because their possessions were so great. 
