GEN.1.1	In the beginning God created the heavens and the earth.
GEN.1.2	The earth was formless and empty, and darkness covered the deep waters. And the Spirit of God was hovering over the surface of the waters.
GEN.1.3	Then God said, “Let there be light,” and there was light. 
GEN.1.4	And God saw that the light was good. Then he separated the light from the darkness. 
GEN.1.5	God called the light “day” and the darkness “night.”
GEN.1.5	And evening passed and morning came, marking the first day.
GEN.1.6	Then God said, “Let there be a space between the waters, to separate the waters of the heavens from the waters of the earth.” 
GEN.1.7	And that is what happened. God made this space to separate the waters of the earth from the waters of the heavens. 
GEN.1.8	God called the space “sky.”
GEN.1.8	And evening passed and morning came, marking the second day.
GEN.1.9	Then God said, “Let the waters beneath the sky flow together into one place, so dry ground may appear.” And that is what happened. 
GEN.1.10	God called the dry ground “land” and the waters “seas.” And God saw that it was good. 
GEN.1.11	Then God said, “Let the land sprout with vegetation—every sort of seed-bearing plant, and trees that grow seed-bearing fruit. These seeds will then produce the kinds of plants and trees from which they came.” And that is what happened. 
GEN.1.12	The land produced vegetation—all sorts of seed-bearing plants, and trees with seed-bearing fruit. Their seeds produced plants and trees of the same kind. And God saw that it was good.
GEN.1.13	And evening passed and morning came, marking the third day.
GEN.1.14	Then God said, “Let lights appear in the sky to separate the day from the night. Let them be signs to mark the seasons, days, and years. 
GEN.1.15	Let these lights in the sky shine down on the earth.” And that is what happened. 
GEN.1.16	God made two great lights—the larger one to govern the day, and the smaller one to govern the night. He also made the stars. 
GEN.1.17	God set these lights in the sky to light the earth, 
GEN.1.18	to govern the day and night, and to separate the light from the darkness. And God saw that it was good.
GEN.1.19	And evening passed and morning came, marking the fourth day.
GEN.1.20	Then God said, “Let the waters swarm with fish and other life. Let the skies be filled with birds of every kind.” 
GEN.1.21	So God created great sea creatures and every living thing that scurries and swarms in the water, and every sort of bird—each producing offspring of the same kind. And God saw that it was good. 
GEN.1.22	Then God blessed them, saying, “Be fruitful and multiply. Let the fish fill the seas, and let the birds multiply on the earth.”
GEN.1.23	And evening passed and morning came, marking the fifth day.
GEN.1.24	Then God said, “Let the earth produce every sort of animal, each producing offspring of the same kind—livestock, small animals that scurry along the ground, and wild animals.” And that is what happened. 
GEN.1.25	God made all sorts of wild animals, livestock, and small animals, each able to produce offspring of the same kind. And God saw that it was good.
GEN.1.26	Then God said, “Let us make human beings
GEN.1.27	So God created human beings
GEN.1.27	In the image of God he created them;
GEN.1.27	male and female he created them.
GEN.1.28	Then God blessed them and said, “Be fruitful and multiply. Fill the earth and govern it. Reign over the fish in the sea, the birds in the sky, and all the animals that scurry along the ground.”
GEN.1.29	Then God said, “Look! I have given you every seed-bearing plant throughout the earth and all the fruit trees for your food. 
GEN.1.30	And I have given every green plant as food for all the wild animals, the birds in the sky, and the small animals that scurry along the ground—everything that has life.” And that is what happened.
GEN.1.31	Then God looked over all he had made, and he saw that it was very good!
GEN.1.31	And evening passed and morning came, marking the sixth day.
GEN.2.1	So the creation of the heavens and the earth and everything in them was completed. 
GEN.2.2	On the seventh day God had finished his work of creation, so he rested
GEN.2.3	And God blessed the seventh day and declared it holy, because it was the day when he rested from all his work of creation.
GEN.2.4	This is the account of the creation of the heavens and the earth.
GEN.2.4	When the 
GEN.2.5	neither wild plants nor grains were growing on the earth. For the 
GEN.2.6	Instead, springs
GEN.2.7	Then the 
GEN.2.8	Then the 
GEN.2.9	The 
GEN.2.10	A river flowed from the land of Eden, watering the garden and then dividing into four branches. 
GEN.2.11	The first branch, called the Pishon, flowed around the entire land of Havilah, where gold is found. 
GEN.2.12	The gold of that land is exceptionally pure; aromatic resin and onyx stone are also found there. 
GEN.2.13	The second branch, called the Gihon, flowed around the entire land of Cush. 
GEN.2.14	The third branch, called the Tigris, flowed east of the land of Asshur. The fourth branch is called the Euphrates.
GEN.2.15	The 
GEN.2.16	But the 
GEN.2.17	except the tree of the knowledge of good and evil. If you eat its fruit, you are sure to die.”
GEN.2.18	Then the 
GEN.2.19	So the 
GEN.2.20	He gave names to all the livestock, all the birds of the sky, and all the wild animals. But still there was no helper just right for him.
GEN.2.21	So the 
GEN.2.22	Then the 
GEN.2.23	“At last!” the man exclaimed.
GEN.2.23	“This one is bone from my bone,
GEN.2.23	and flesh from my flesh!
GEN.2.23	She will be called ‘woman,’
GEN.2.23	because she was taken from ‘man.’”
GEN.2.24	This explains why a man leaves his father and mother and is joined to his wife, and the two are united into one.
GEN.2.25	Now the man and his wife were both naked, but they felt no shame.
GEN.3.1	The serpent was the shrewdest of all the wild animals the 
GEN.3.2	“Of course we may eat fruit from the trees in the garden,” the woman replied. 
