GEN.1.1	In the beginning, God
GEN.1.2	The earth was formless and empty. Darkness was on the surface of the deep and God’s Spirit was hovering over the surface of the waters.
GEN.1.3	God said, “Let there be light,” and there was light. 
GEN.1.4	God saw the light, and saw that it was good. God divided the light from the darkness. 
GEN.1.5	God called the light “day”, and the darkness he called “night”. There was evening and there was morning, the first day.
GEN.1.6	God said, “Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.” 
GEN.1.7	God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so. 
GEN.1.8	God called the expanse “sky”. There was evening and there was morning, a second day.
GEN.1.9	God said, “Let the waters under the sky be gathered together to one place, and let the dry land appear;” and it was so. 
GEN.1.10	God called the dry land “earth”, and the gathering together of the waters he called “seas”. God saw that it was good. 
GEN.1.11	God said, “Let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth;” and it was so. 
GEN.1.12	The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with their seeds in it, after their kind; and God saw that it was good. 
GEN.1.13	There was evening and there was morning, a third day.
GEN.1.14	God said, “Let there be lights in the expanse of the sky to divide the day from the night; and let them be for signs to mark seasons, days, and years; 
GEN.1.15	and let them be for lights in the expanse of the sky to give light on the earth;” and it was so. 
GEN.1.16	God made the two great lights: the greater light to rule the day, and the lesser light to rule the night. He also made the stars. 
GEN.1.17	God set them in the expanse of the sky to give light to the earth, 
GEN.1.18	and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good. 
GEN.1.19	There was evening and there was morning, a fourth day.
GEN.1.20	God said, “Let the waters abound with living creatures, and let birds fly above the earth in the open expanse of the sky.” 
GEN.1.21	God created the large sea creatures and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. God saw that it was good. 
GEN.1.22	God blessed them, saying, “Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.” 
GEN.1.23	There was evening and there was morning, a fifth day.
GEN.1.24	God said, “Let the earth produce living creatures after their kind, livestock, creeping things, and animals of the earth after their kind;” and it was so. 
GEN.1.25	God made the animals of the earth after their kind, and the livestock after their kind, and everything that creeps on the ground after its kind. God saw that it was good.
GEN.1.26	God said, “Let’s make man in our image, after our likeness. Let them have dominion over the fish of the sea, and over the birds of the sky, and over the livestock, and over all the earth, and over every creeping thing that creeps on the earth.” 
GEN.1.27	God created man in his own image. In God’s image he created him; male and female he created them. 
GEN.1.28	God blessed them. God said to them, “Be fruitful, multiply, fill the earth, and subdue it. Have dominion over the fish of the sea, over the birds of the sky, and over every living thing that moves on the earth.” 
GEN.1.29	God said, “Behold,
GEN.1.30	To every animal of the earth, and to every bird of the sky, and to everything that creeps on the earth, in which there is life, I have given every green herb for food;” and it was so.
GEN.1.31	God saw everything that he had made, and, behold, it was very good. There was evening and there was morning, a sixth day.
GEN.2.1	The heavens, the earth, and all their vast array were finished. 
GEN.2.2	On the seventh day God finished his work which he had done; and he rested on the seventh day from all his work which he had done. 
GEN.2.3	God blessed the seventh day, and made it holy, because he rested in it from all his work of creation which he had done.
GEN.2.4	This is the history of the generations of the heavens and of the earth when they were created, in the day that the 
GEN.2.5	No plant of the field was yet in the earth, and no herb of the field had yet sprung up; for the 
