GEN.1.2	The earth was without form and void, and darkness was upon the face of the deep; and the Spirit
GEN.1.3	And God said, “Let there be light”; and there was light. 
GEN.1.4	And God saw that the light was good; and God separated the light from the darkness. 
GEN.1.5	God called the light Day, and the darkness he called Night. And there was evening and there was morning, one day.
GEN.1.6	And God said, “Let there be a firmament in the midst of the waters, and let it separate the waters from the waters.” 
GEN.1.7	And God made the firmament and separated the waters which were under the firmament from the waters which were above the firmament. And it was so. 
GEN.1.8	And God called the firmament Heaven. And there was evening and there was morning, a second day.
GEN.1.9	And God said, “Let the waters under the heavens be gathered together into one place, and let the dry land appear.” And it was so. 
GEN.1.10	God called the dry land Earth, and the waters that were gathered together he called Seas. And God saw that it was good. 
GEN.1.11	And God said, “Let the earth put forth vegetation, plants yielding seed, and fruit trees bearing fruit in which is their seed, each according to its kind, upon the earth.” And it was so. 
GEN.1.12	The earth brought forth vegetation, plants yielding seed according to their own kinds, and trees bearing fruit in which is their seed, each according to its kind. And God saw that it was good. 
GEN.1.13	And there was evening and there was morning, a third day.
GEN.1.14	And God said, “Let there be lights in the firmament of the heavens to separate the day from the night; and let them be for signs and for seasons and for days and years, 
GEN.1.15	and let them be lights in the firmament of the heavens to give light upon the earth.” And it was so. 
GEN.1.16	And God made the two great lights, the greater light to rule the day, and the lesser light to rule the night; he made the stars also. 
GEN.1.17	And God set them in the firmament of the heavens to give light upon the earth, 
GEN.1.18	to rule over the day and over the night, and to separate the light from the darkness. And God saw that it was good. 
GEN.1.19	And there was evening and there was morning, a fourth day.
GEN.1.20	And God said, “Let the waters bring forth swarms of living creatures, and let birds fly above the earth across the firmament of the heavens.” 
GEN.1.21	So God created the great sea monsters and every living creature that moves, with which the waters swarm, according to their kinds, and every winged bird according to its kind. And God saw that it was good. 
GEN.1.22	And God blessed them, saying, “Be fruitful and multiply and fill the waters in the seas, and let birds multiply on the earth.” 
GEN.1.23	And there was evening and there was morning, a fifth day.
GEN.1.24	And God said, “Let the earth bring forth living creatures according to their kinds: cattle and creeping things and beasts of the earth according to their kinds.” And it was so. 
GEN.1.25	And God made the beasts of the earth according to their kinds and the cattle according to their kinds, and everything that creeps upon the ground according to its kind. And God saw that it was good.
GEN.1.27	So God created man in his own image, in the image of God he created him; male and female he created them. 
GEN.1.28	And God blessed them, and God said to them, “Be fruitful and multiply, and fill the earth and subdue it; and have dominion over the fish of the sea and over the birds of the air and over every living thing that moves upon the earth.” 
GEN.1.29	And God said, “Behold, I have given you every plant yielding seed which is upon the face of all the earth, and every tree with seed in its fruit; you shall have them for food. 
GEN.1.30	And to every beast of the earth, and to every bird of the air, and to everything that creeps on the earth, everything that has the breath of life, I have given every green plant for food.” And it was so. 
GEN.1.31	And God saw everything that he had made, and behold, it was very good. And there was evening and there was morning, a sixth day.
GEN.2.2	 And on the seventh day God finished his work which he had done, and he rested on the seventh day from all his work which he had done. 
GEN.2.3	So God blessed the seventh day and hallowed it, because on it God rested from all his work which he had done in creation.
GEN.2.4	These are the generations of the heavens and the earth when they were created.
GEN.2.4	In the day that the 
GEN.2.5	when no plant of the field was yet in the earth and no herb of the field had yet sprung up—for the 
GEN.2.6	but a mist
GEN.2.7	 then the 
GEN.2.8	And the 
GEN.2.9	 And out of the ground the 
GEN.2.10	A river flowed out of Eden to water the garden, and there it divided and became four rivers. 
GEN.2.11	The name of the first is Pishon; it is the one which flows around the whole land of Havilah, where there is gold; 
GEN.2.12	and the gold of that land is good; bdellium and onyx stone are there. 
GEN.2.13	The name of the second river is Gihon; it is the one which flows around the whole land of Cush. 
GEN.2.14	And the name of the third river is Tigris, which flows east of Assyria. And the fourth river is the Euphrates.
GEN.2.15	The 
GEN.2.16	And the 
GEN.2.17	but of the tree of the knowledge of good and evil you shall not eat, for in the day that you eat of it you shall die.”
GEN.2.18	Then the 
GEN.2.19	So out of the ground the 
GEN.2.20	The man gave names to all cattle, and to the birds of the air, and to every beast of the field; but for the man there was not found a helper fit for him. 
GEN.2.21	So the 
GEN.2.22	and the rib which the 
GEN.2.23	Then the man said,
GEN.2.23	“This at last is bone of my bones
GEN.2.23	and flesh of my flesh;
GEN.2.23	she shall be called Woman,
GEN.2.23	because she was taken out of Man.”
GEN.2.25	And the man and his wife were both naked, and were not ashamed.
GEN.3.2	And the woman said to the serpent, “We may eat of the fruit of the trees of the garden; 
GEN.3.3	but God said, ‘You shall not eat of the fruit of the tree which is in the midst of the garden, neither shall you touch it, lest you die.’ ” 
GEN.3.4	 But the serpent said to the woman, “You will not die. 
GEN.3.5	For God knows that when you eat of it your eyes will be opened, and you will be like God, knowing good and evil.” 
GEN.3.6	So when the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took of its fruit and ate; and she also gave some to her husband, and he ate. 
GEN.3.7	Then the eyes of both were opened, and they knew that they were naked; and they sewed fig leaves together and made themselves aprons.
GEN.3.8	And they heard the sound of the 
GEN.3.9	But the 
GEN.3.10	And he said, “I heard the sound of thee in the garden, and I was afraid, because I was naked; and I hid myself.” 
GEN.3.11	He said, “Who told you that you were naked? Have you eaten of the tree of which I commanded you not to eat?” 
GEN.3.12	The man said, “The woman whom thou gavest to be with me, she gave me fruit of the tree, and I ate.” 
GEN.3.13	 Then the 
GEN.3.14	 The 
GEN.3.14	“Because you have done this,
GEN.3.14	cursed are you above all cattle,
GEN.3.14	and above all wild animals;
GEN.3.14	upon your belly you shall go,
GEN.3.14	and dust you shall eat
GEN.3.14	all the days of your life.
GEN.3.15	I will put enmity between you and the woman,
GEN.3.15	and between your seed and her seed;
GEN.3.15	he shall bruise your head,
GEN.3.15	and you shall bruise his heel.”
GEN.3.16	To the woman he said,
GEN.3.16	“I will greatly multiply your pain in childbearing;
GEN.3.16	in pain you shall bring forth children,
GEN.3.16	yet your desire shall be for your husband,
GEN.3.16	and he shall rule over you.”
GEN.3.17	“Because you have listened to the voice of your wife,
GEN.3.17	and have eaten of the tree
GEN.3.17	of which I commanded you,
GEN.3.17	‘You shall not eat of it,’
GEN.3.17	cursed is the ground because of you;
GEN.3.17	in toil you shall eat of it all the days of your life;
GEN.3.18	thorns and thistles it shall bring forth to you;
