GEN.1.1	In the 
GEN.1.2	The earth was 
GEN.1.3	Then God said, 
GEN.1.4	And God saw the light, that 
GEN.1.5	God called the light Day, and the 
GEN.1.6	Then God said, 
GEN.1.7	Thus God made the firmament, 
GEN.1.8	And God called the firmament Heaven. So the evening and the morning were the second day.
GEN.1.9	Then God said, 
GEN.1.10	And God called the dry 
GEN.1.11	Then God said, “Let the earth 
GEN.1.12	And the earth brought forth grass, the herb 
GEN.1.13	So the evening and the morning were the third day.
GEN.1.14	Then God said, “Let there be 
GEN.1.15	and let them be for lights in the firmament of the heavens to give light on the earth”; and it was so. 
GEN.1.16	Then God made two great lights: the 
GEN.1.17	God set them in the firmament of the 
GEN.1.18	and to 
GEN.1.19	So the evening and the morning were the fourth day.
GEN.1.20	Then God said, “Let the waters abound with an abundance of living creatures, and let birds fly above the earth across the face of the firmament of the heavens.” 
GEN.1.21	So 
GEN.1.22	And God blessed them, saying, 
GEN.1.23	So the evening and the morning were the fifth day.
GEN.1.24	Then God said, “Let the earth bring forth the living creature according to its kind: cattle and creeping thing and beast of the earth, 
GEN.1.25	And God made the beast of the earth according to its kind, cattle according to its kind, and everything that creeps on the earth according to its kind. And God saw that 
GEN.1.26	Then God said, 
GEN.1.27	So God created man 
GEN.1.28	Then God blessed them, and God said to them, 
GEN.1.29	And God said, “See, I have given you every herb 
GEN.1.30	Also, to 
GEN.1.31	Then 
GEN.2.1	Thus the heavens and the earth, and 
GEN.2.2	And on the seventh day God ended His work which He had done, and He rested on the seventh day from all His work which He had done. 
GEN.2.3	Then God 
GEN.2.4	This 
GEN.2.5	before any 
GEN.2.6	but a mist went up from the earth and watered the whole face of the ground.
GEN.2.7	And the 
GEN.2.8	The 
GEN.2.9	And out of the ground the 
GEN.2.10	Now a river went out of Eden to water the garden, and from there it parted and became four riverheads. 
GEN.2.11	The name of the first 
GEN.2.12	And the gold of that land 
GEN.2.13	The name of the second river 
GEN.2.14	The name of the third river 
GEN.2.15	Then the 
GEN.2.16	And the 
GEN.2.17	but of the tree of the knowledge of good and evil 
GEN.2.18	And the 
GEN.2.19	Out of the ground the 
GEN.2.20	So Adam gave names to all cattle, to the birds of the air, and to every beast of the field. But for Adam there was not found a helper comparable to him.
GEN.2.21	And the 
GEN.2.22	Then the rib which the 
GEN.2.23	And Adam said:
GEN.2.23	“This 
GEN.2.23	And flesh of my flesh;
GEN.2.23	She shall be called Woman,
GEN.2.23	Because she was 
GEN.2.24	Therefore a man shall leave his father and mother and 
GEN.2.25	And they were both naked, the man and his wife, and were not 
GEN.3.1	Now 
GEN.3.2	And the woman said to the serpent, “We may eat the 
GEN.3.3	but of the fruit of the tree which 
GEN.3.4	Then the serpent said to the woman, “You will not surely die. 
GEN.3.5	For God knows that in the day you eat of it your eyes will be opened, and you will be like God, knowing good and evil.”
GEN.3.6	So when the woman 
GEN.3.7	Then the eyes of both of them were opened, 
GEN.3.8	And they heard 
GEN.3.9	Then the 
GEN.3.10	So he said, “I heard Your voice in the garden, 
GEN.3.11	And He said, “Who told you that you 
GEN.3.12	Then the man said, 
GEN.3.13	And the 
GEN.3.13	The woman said, 
GEN.3.14	So the 
GEN.3.14	“Because you have done this,
GEN.3.14	You 
GEN.3.14	And more than every beast of the field;
GEN.3.14	On your belly you shall go,
GEN.3.14	And 
GEN.3.14	All the days of your life.
GEN.3.15	And I will put enmity
GEN.3.15	Between you and the woman,
GEN.3.15	And between 
GEN.3.15	He shall bruise your head,
GEN.3.15	And you shall bruise His heel.”
GEN.3.16	To the woman He said:
GEN.3.16	“I will greatly multiply your sorrow and your conception;
GEN.3.16	In pain you shall bring forth children;
GEN.3.16	Your desire 
GEN.3.16	And he shall 
GEN.3.17	Then to Adam He said, 
GEN.3.17	“Cursed 
GEN.3.17	In toil you shall eat 
GEN.3.17	All the days of your life.
GEN.3.18	Both thorns and thistles it shall bring forth for you,
GEN.3.18	And 
