GEN.1.1	Tamin’ny fiandohana, fony Andriamanitra nahary ny lanitra sy ny tany
GEN.1.2	dia tsy nisy endriny sady foana ny tany fa ny haizina no nandrakotra ny lalina, ary ny Fanahin’Andriamanitra
GEN.1.3	Ary Andriamanitra niteny hoe: «Misia mazava.» Dia nisy mazava
GEN.1.4	Hitan’Andriamanitra fa tsara ny mazava, koa nosarahiny ny mazava sy ny haizina. 
GEN.1.5	Ny mazava nantsoin’Andriamanitra hoe andro, fa ny haizina kosa nantsoiny hoe alina. Dia nisy hariva ary nisy maraina; izany no andro voalohany.
GEN.1.6	Ary Andriamanitra niteny hoe: «Misia habakabaka mba hampisaraka ny rano ho antonta roa.» 
GEN.1.7	Dia tanteraka izany. Nataon’Andriamanitra ny habakabaka ka nampisaraka ny rano ho antonta roa, dia ny rano ambanin’ny habakabaka sy ny rano ambonin’ny habakabaka. 
GEN.1.8	Ary ny habakabaka nantsoin’Andriamanitra hoe lanitra. Dia nisy hariva ary nisy maraina; izany no andro faharoa.
GEN.1.9	Ary Andriamanitra niteny hoe: «Aoka hihandrona amin’ny toerana iray ny rano etỳ ambanin’ny lanitra ka ho hita ny toerana maina!» Dia tanteraka izany. 
GEN.1.10	Ny toerana maina dia nantsoin’Andriamanitra hoe tany, ary ny rano nihandrona kosa nantsoiny hoe ranomasina; ka hitany fa tsara izany. 
GEN.1.11	Ary Andriamanitra niteny hoe: «Aoka ny tany ho rakotra zava-maitso: zava-maniry misy voa famafy, hazo fihinam-boa isan-karazany eny ambonin’ny tany izay samy manana ny voany avy!» Dia tanteraka izany. 
GEN.1.12	Fa ny tany nampitsimoka zava-maitso: zava-maniry misy voa famafy isan-karazany, hazo vokatra voankazo izay misy voany na taolany isan-karazany; ka hitan’Andriamanitra fa tsara izany. 
GEN.1.13	Dia nisy hariva ary nisy maraina; izany no andro fahatelo.
GEN.1.14	Ary Andriamanitra niteny hoe: «Aoka hisy fanazavana eny amin’ny habakabaky ny lanitra mba hampiavaka ny andro sy ny alina sady ho marika hamantarana ny fety mbamin’ny andro sy ny taona! 
GEN.1.15	Ho fanazavana eny amin’ny habakabaky ny lanitra izy mba hanazava ny etỳ ambonin’ny tany.» Dia tanteraka izany. 
GEN.1.16	Ary Andriamanitra nanao ny loharanom-panazavana roa lehibe: ny lehibe kokoa dia ny masoandro mba hanapaka ny andro, ary ny kely kokoa dia ny volana mba hanapaka ny alina; dia nanao ireo kintana
GEN.1.17	Napetrak’Andriamanitra teny amin’ny habakabaky ny lanitra ireny mba hanazava ny etỳ ambonin’ny tany 
GEN.1.18	sy hanapaka ny andro sy ny alina ary hampisaraka ny mazava sy ny haizina. Ka hitan’Andriamanitra fa tsara izany. 
GEN.1.19	Dia nisy hariva ary nisy maraina; izany no andro fahefatra.
GEN.1.20	Ary Andriamanitra niteny hoe: «Aoka ny rano ho feno zava-miaina mihetsiketsika isan-karazany, ary aoka ny vorona hanidintsidina ambonin’ny tany eny amin’ny habakabaky ny lanitra!» 
GEN.1.21	Dia noarin’Andriamanitra ireo fanano anaty ranomasina sy ireo zava-miaina rehetra isan-karazany mihetsiketsika sady miriaria ao anaty rano, ary koa ireo voro-manidina isan-karazany. Ka hitan’Andriamanitra fa tsara izany. 
GEN.1.22	Dia 
GEN.1.23	Dia nisy hariva ary nisy maraina; izany no andro fahadimy.
GEN.1.24	Ary Andriamanitra niteny hoe: «Aoka ny tany hamoaka zava-miaina isan-karazany: biby fiompy, biby madinika mandady ary bibidia, samy araka ny karazany avy.» Dia tanteraka izany. 
GEN.1.25	Nataon’Andriamanitra avokoa ny bibidia isan-karazany, ny biby fiompy isan-karazany, ary ny biby madinika isan-karazany mandady amin’ny tany; ka hitan’Andriamanitra fa tsara izany. 
GEN.1.26	Ary Andriamanitra niteny hoe: «Aoka isika hanao olombelona mitovy endrika amintsika sy manahaka antsika; ary aoka hanjakany ny trondro any an-dranomasina sy ny voro-manidina eny an-danitra, ny biby fiompy sy bibidia rehetra eto an-tany ary koa ny biby madinika rehetra mandady amin’ny tany!»
GEN.1.27	Dia nahary ny olombelona mitovy endrika aminy tokoa Andriamanitra; lehilahy sy vehivavy
GEN.1.28	Nitsodrano azy Andriamanitra ka nanao taminy hoe: «Miteraha maro sy mihabetsaha ary mamenoa ny tany mba hifehy azy. Anjakao ny trondro any an-dranomasina sy ny voro-manidina eny an-danitra ary ny biby rehetra mihetsiketsika ambonin’ny tany.» 
GEN.1.29	Ary hoy koa Izy hoe: «Indro omeko ho anareo eran’ny tany tontolo ny zava-maniry rehetra mamokatra voa, ary ny hazo rehetra mamokatra voankazo: ireny voanjavatra sy voankazo fihinana ireny no ho sakafonareo. 
GEN.1.30	Ary ny omeko ny ahi-maitso rehetra ho sakafony kosa dia ny biby rehetra eto an-tany sy ny voro-manidina rehetra eny an-danitra ary ny biby madinika rehetra mandady amin’ny tany, izany hoe ny manam-pofonaina rehetra.» Dia tanteraka izany. 
GEN.1.31	Ary hitan’Andriamanitra fa izay rehetra nataony dia indro tena tsara. Dia nisy hariva ary nisy maraina; izany no andro fahenina.
GEN.2.1	Dia vita ny lanitra sy ny tany mbamin’izay rehetra ao aminy. 
GEN.2.2	Rehefa vitan’Andriamanitra ny asany, dia nitsahatra tamin’izay rehetra nataony Izy tamin’ny andro fahafito. 
GEN.2.3	Koa notahîn’Andriamanitra sady natokany ny andro fahafito satria io no nitsaharany tamin’ny asany rehetra maha mpahary Azy
GEN.2.4	Izany no tantaran’ny lanitra sy ny tany tamin’ny naharian’Andriamanitra azy.
GEN.2.4	Fony nanao ny tany sy ny lanitra ny TOMPO Andriamanitra, 
GEN.2.5	dia tsy mbola nisy kirihitra ny tany, ary tsy nisy ahitra nitsimoka akory, satria tsy mbola nampilatsaka orana tamin’ny tany ny TOMPO Andriamanitra ary tsy mbola nisy olombelona hiasa ny tany. 
GEN.2.6	Fa loharano nifantsitsitra avy tao amin’ny tany ihany no nanondraka ny velaran-tany manontolo.
GEN.2.7	Ary vovoka avy amin’ny tany no nalain’ny TOMPO Andriamanitra, ka nanamboarany olombelona anankiray. Nitsofany fofonaina mahavelona tao am-bavorony, dia tonga manana aina raolombelona. 
GEN.2.8	Avy eo dia novolen’ny TOMPO Andriamanitra zaridaina tao Hedena, tany atsinanana, mba hametrahany an-draolombelona izay namboariny. 
GEN.2.9	Nampaniry karazan-kazo tsara tarehy fihinam-boa teo amin’ny tany ny TOMPO Andriamanitra, ka nataony teo afovoan’ny zaridaina ny hazon’aina sy ny hazo fahalalana ny tsara sy ny ratsy
GEN.2.10	Ary nisy ony iray nivoaka avy tao Hedena ka nanondraka ny zaridaina. Hatreo izy no nizara ho sampana efatra. 
GEN.2.11	I Pisôna no anaran’ny sampan-drano voalohany; io no manodidina ny tany Havilà manontolo izay misy ny volamena, 
GEN.2.12	ary tsara ny volamena tamin’io tany io; tao koa ny ditin-kazo mani-pofona sy ny vatosoa. 
GEN.2.13	I Gihôna no anaran’ny sampan-drano faharoa, izay manodidina ny tany Kosy 
GEN.2.14	I Tigra no anaran’ny sampan-drano fahatelo mandalo any atsinanan’i Asiria. Ary i Eofrata no anaran’ny sampan-drano fahefatra. 
GEN.2.15	Ary nalain’ny TOMPO Andriamanitra raolombelona ka napetrany tao amin’ny zaridainan’i Hedena mba hanolokolo sy hitandrina azy. 
GEN.2.16	Ary IZY nandidy an-draolombelona hoe: «Azonao ihinanana avokoa ny voa avy amin’ny hazo rehetra ao amin’ny zaridaina; 
GEN.2.17	afa-tsy ny avy amin’ny hazo fahalalàna ny tsara sy ny ratsy, satria amin’ny andro izay hihinananao azy dia ho faty tokoa ianao.»
GEN.2.18	Dia hoy ny TOMPO Andriamanitra hoe: «Tsy tsara raha irery raolombelona, fa aoka hanaovako mpanampy sahaza azy izy.» 
GEN.2.19	Tany no nanaovan’ny TOMPO Andriamanitra ny karazam-bibidia sy voro-manidina rehetra, ka dia nentiny teo amin-draolombelona ireny hahitany izay anarana hiantsoany azy. Ary dia izay hanononan-dralehilahy azy no ho anarany. 
GEN.2.20	Dia nomen-draolombelona anarana ny biby fiompy rehetra sy ny voro-manidina rehetra ary ny bibidia rehetra, kanefa tsy hitany izay mpanampy sahaza azy. 
GEN.2.21	Ary ny TOMPO Andriamanitra nahatonga an-draolombelona ho sondrian-tory sy ho renoka, dia nalainy ny taolana iray tamin’ny tehezany ka nosoloany nofo. 
GEN.2.22	Izany taolan-tehezana nalainy tamin-draolombelona izany no namboarin’ny TOMPO Andriamanitra ho vehivavy izay nentiny teo amin-draolombelona. 
GEN.2.23	Tamin’izay dia hoy raolombelona hoe: «Ity ahay mba mitovy amiko, fa taolana avy amin’ny taolako ity sady nofo avy amin’ny nofoko; hatao hoe vehivavy ity, satria lehilahy no nanalana azy
GEN.2.24	Izany no handaozan’ny lehilahy ny rainy sy ny reniny ka hifikirany amin’ny vadiny, ary hanjary tena iray ihany izy roa
GEN.2.25	Ary nitanjaka ny lehilahy sy ny vadiny nefa tsy nahalala henatra.
GEN.3.1	Ary ny bibilava no fetsy indrindra, tamin’ny bibidia rehetra nataon’ny TOMPO Andriamanitra. Hoy izy tamin-dravehivavy:
GEN.3.1	–Marina ve fa noraran’Andriamanitra tsy hihinana ny voan’ny hazo rehetra ao an-jaridaina ianareo
GEN.3.2	Dia namaly ny bibilava ravehivavy hoe:
GEN.3.2	–Azonay hanina ihany ireo voankazo ao an-jaridaina, 
GEN.3.3	afa-tsy ny voan’ny hazo eo afovoan’ny zaridaina izay efa nandraran’Andriamanitra anay tsy hohanina na hokasihina akory, fandrao mahafaty anay.
GEN.3.4	Hoy kosa ny bibilava taminy:
GEN.3.4	–Tsy ho faty tsy akory ianareo! 
GEN.3.5	Saingy fantatr’Andriamanitra fa amin’ny andro hihinananareo azy dia hahiratra ny masonareo, ary ho tonga tahaka an’Andriamanitra ianareo ka hahalala ny tsara sy ny ratsy.
GEN.3.6	Ary hitan-dravehivavy fa maha te hihinana ny voan’ilay hazo sady mahasarika ny maso no mampitsiriritra hahazoana fahiratan-tsaina. Dia nitoazany ny voany ka nohaniny; ary nomeny koa ny vadiny izay niaraka taminy ka nihinana. 
GEN.3.7	Dia nahiratra ny mason’izy mivady ka fantany fa mitanjaka izy. Ary nanjaitra ravin’aviavy izy roa ka nataony sikina ho azy.
GEN.3.8	Ary nony hariva, rehefa nitsoka ny rivotra, dia nandre ny feon’ny TOMPO Andriamanitra nitsangantsangana tao an-jaridaina ralehilahy sy ny vadiny ka niery ny tavany tao anaty hazo. 
GEN.3.9	Niantso an-dralehilahy ny TOMPO Andriamanitra ka nanao taminy hoe:
GEN.3.9	–Aiza moa ianao?
GEN.3.10	Dia namaly izy hoe:
GEN.3.10	–Nandre ny feonao tao an-jaridaina aho, dia natahotra fa mitanjaka, koa dia niery.
GEN.3.11	Fa hoy ny TOMPO hoe:
GEN.3.11	–Iza no nampahafantatra anao fa mitanjaka ianao? Moa nihinananao va ny voan’ny hazo izay norarako tsy hohaninao?
GEN.3.12	Dia namaly ralehilahy hoe:
GEN.3.12	–Ny vehivavy izay nomenao ho namako no nanome ahy ny voan’io hazo io, ka dia nihinana aho.
GEN.3.13	Ary hoy ny TOMPO Andriamanitra tamin-dravehivavy:
