GEN.1.1	I begyndelsen skabte Gud himlen og jorden. 
GEN.1.2	Jorden var øde og tom, og urdybet lå hen i totalt mørke, men Guds Ånd svævede over de mørke vande.
GEN.1.3	Så sagde Gud: „Der skal blive lys!” og lyset blev til. 
GEN.1.4	Gud glædede sig over lyset, og han satte skel mellem lyset og mørket. 
GEN.1.5	Lyset kaldte han 
GEN.1.6	Så sagde Gud: „Der skal være en hvælving midt i alt vandet til at dele det.” 
GEN.1.7	Og Gud dannede en hvælving, så vandet ovenfor den blev adskilt fra vandet nedenfor den. 
GEN.1.8	Hvælvingen kaldte han 
GEN.1.9	Dernæst sagde Gud: „Vandet under himmelhvælvingen skal samle sig, så det tørre land kommer til syne.” Og sådan skete det. 
GEN.1.10	Det tørre land kaldte han 
GEN.1.11	Derpå sagde Gud: „Grønne planter, der bærer frø, skal spire frem af jorden, og frugttræer, som bærer frugt med kerner, skal vokse op, så de kan formere sig, hver efter sin art.” Og sådan blev det. 
GEN.1.12	Op af jorden spirede grønne planter, som bar frø, og træer, som bar frugt med kerner, hver efter sin art. Og Gud glædede sig over sit værk. 
GEN.1.13	Så blev det aften og derefter morgen. Det var den tredje dag.
GEN.1.14+GEN.1.15	Så sagde Gud: „Der skal være lys på himmelhvælvingen, som sætter skel mellem dag og nat, og som markerer årstidernes skiften og festdagenes begyndelse.” Og sådan blev det. 
GEN.1.16	Gud frembragte to store lys på himlen til at skinne på jorden, det største lys, solen, til at herske om dagen, og det mindre, månen, til at herske om natten sammen med stjernerne. 
GEN.1.17	Han satte dem på himmelhvælvingen til at lyse på jorden, 
GEN.1.18	til at sætte skel mellem dagen og natten. Og han glædede sig over sit værk. 
GEN.1.19	Så blev det aften og derefter morgen. Det var den fjerde dag.
GEN.1.20	Dernæst sagde Gud: „Vandet skal vrimle med fisk og andet liv, og der skal være et mylder af fugle i luften.” Og sådan blev det. 
GEN.1.21	Gud skabte de store havdyr og en mangfoldighed af fisk og fugle; og han glædede sig over sit værk. 
GEN.1.22	Han velsignede dem og sagde: „Formér jer og bliv mange. Fiskene skal fylde havene, og fuglene skal fylde luften.” 
GEN.1.23	Så blev det aften og derefter morgen. Det var den femte dag.
GEN.1.24	Derpå sagde Gud: „Af jorden skal der fremstå alle slags dyr—kvæg, krybdyr og alle mulige vilde dyr.” Og sådan blev det. 
GEN.1.25	Gud dannede alle slags vilde dyr, krybdyr og husdyr, alle i stand til at formere sig, hver efter sin art; og Gud glædede sig over sit værk.
GEN.1.26	Så sagde Gud: „Lad os frembringe et levende væsen, der ligner os. Det skal herske over alt dyrelivet—fiskene i havet, fuglene i luften og de tamme og vilde dyr på jorden.” 
GEN.1.27	Da skabte Gud to mennesker, som lignede ham. De blev skabt som mand og kvinde. 
