GEN.1.1	Sa kauna-unahan, gingtuga it Dios kag langit ag duta. 
GEN.1.2	It kato, kag kalibutan ay waya it korte ag waya't suyor. Kag marayom nak katubian ay libon it karuymanan ag sa ibabaw it tubi, kag Ispirito it Dios ay raha nak nagbabantay.
GEN.1.3	Ag nagsiling kag Dios, “Magkainggwa't hadag!” ag nagkainggwa matuor it hadag. 
GEN.1.4	Nakita it Dios nak maado kag hadag, ag Ida ingbuyag kag hadag ag ruyom. 
GEN.1.5	Gingtawag it Dios kag hadag nak “adlaw” ag kag ruyom ay “gab-i.” Naglipas kag gab-i ag nag-abot kag aga. Imaw kato kag unang adlaw.
GEN.1.6+GEN.1.7	Ag nagsiling kag Dios, “Magkainggwa it kalawakan sa tunga it katubian agor mabuyag kag tubi sa ibabaw ag kag tubi sa ubos!” Nagbuyag matuor kali, ag nagkainggwa't kalawakan sa tunga it katubian. 
GEN.1.8	Ag kaling kalawakan ay gingtawag it Dios nak “langit.” Naglipas kag gab-i ag nag-abot kag aga. Imaw kato kag pangruhang adlaw.
GEN.1.9	Ag nagsiling kag Dios, “Magtipon kag tubi sa ubos it langit sa usang lugar ag magyuaw kag uga nak lugar!” ag natuman matuor. 
GEN.1.10	Gingtawag it Dios kaling uga nak lugar nak “kadutaan,” ag kag tubi nak nagtipon ay “karagatan.” Ag nakita it Dios nak kali ay maado.
GEN.1.11+GEN.1.12	Masunor, nagsiling kag Dios, “Magtubo sa duta kag mga hilamunon, mga tanom nak nagbubunga it busoy, ag mga kahoy ra nak nagpapamunga it di busoy, kumporme sa inro iba't-ibang klase!” ag natuman matuor. Kinang tanang klase it tanom ay nagtinubo matuor sa duta. Ag nakita it Dios nak kali ay maado. 
GEN.1.13	Naglipas kag gab-i ag nag-abot kag aga. Imaw kato kag pangtatlong adlaw.
GEN.1.14	Ag nagsiling kag Dios, “Magkainggwa it mga iwag sa kalangitan pramas mabuyag kag adlaw sa gab-i, agor parayan sa inra maaayaman kag pag-abot it usang adlaw, usang tuig, ag usang importanting panahon. 
GEN.1.15	Imaw ra kali kag mata-o it hadag sa kalibutan!” ag natuman matuor. 
GEN.1.16	Nagkainggwa it ruhang maragko nak mga iwag. Kag adlaw ay imaw it nagrurumaya sa aga hastang maghapon, ag kag buyan ay imaw ra it nagrurumaya sa gab-i. Nagkainggwa ra it mga bituon. 
GEN.1.17	Gingbutang it Dios kag mga iwag sa langit agor mataw-an it hadag kag kalibutan, 
GEN.1.18	agor magrumaya sa adlaw ag sa gab-i ag agor mabuyag kag hadag sa ruyom. Ag nakita it Dios nak kali ay maado. 
GEN.1.19	Naglipas kag gab-i ag nag-abot kag aga. Imaw kato kag pang-ap-at nak adlaw.
GEN.1.20	Ag nagsiling kag Dios, “Magkainggwa sa tubi it maramong mga di kabuhi nak nagrarangoy-rangoy nak nagpupunsok-punsok. Ag kag ibabaw ay magkainggwa it mga pispis nak nagyiyinupar!” 
