MAT.1.1	Yesu Krɩstʋ weyi ɛ-cɔzɔ lɛ Daaviidi nɛ ɛ́lɛ́ cɔzɔ lɛ Abraham yɔ, ɛ-cɔzɔnaa hɩla yɔ:
MAT.1.2	Abraham lʋlɩ Izaakɩ, Izaakɩ ñalʋlɩ Yakɔɔbʋ, Yakɔɔbʋ ñalʋlɩ Yuda nɛ ɛ-ɖalaa nɛ e-newaa. 
MAT.1.3	Yuda ñalʋlɩ Faarɛɛzɩ nɛ Zaaraa. Payaɣ po-ɖoo se Tamaarɩ. Faarɛɛzɩ ñalʋlɩ Ɛsrɔm, Ɛsrɔm ñalʋlɩ Aram, 
MAT.1.4	Aram ñalʋlɩ Aminaadaabɩ, Aminaadaabɩ ñalʋlɩ Naasɔɔnɩ, Naasɔɔnɩ ñalʋlɩ Salɩmɔɔ, 
MAT.1.5	Salɩmɔɔ ñalʋlɩ Boozi. Payaɣ Boozi ɛnʋ e-ɖoo se Rahaabɩ. Boozi ñalʋlɩ Obɛɛdɩ. Payaɣ ɛ́lɛ́ ɖoo se Ruti. Obɛɛdɩ ñalʋlɩ Yesee 
MAT.1.6	nɛ Yesee ñalʋlɩ wiyaʋ sɔsɔ Daaviidi.
MAT.1.6	Daaviidi ñalʋlɩ Salomɔɔ. Salomɔɔ ɛnʋ e-ɖoo kɛkɛ sɔɔja Urii halʋ. 
MAT.1.7	Salomɔɔ ñalʋlɩ Roboam, Roboam ñalʋlɩ Abiya, Abiya ñalʋlɩ Asafʋ, 
MAT.1.8	Asafʋ ñalʋlɩ Yozafatɩ, Yozafatɩ ñalʋlɩ Yoram, Yoram ñalʋlɩ Oziyaasɩ, 
MAT.1.9	Oziyaasɩ ñalʋlɩ Yoatam, Yoatam ñalʋlɩ Ahazɩ, Ahazɩ ñalʋlɩ Ezekiyasɩ, 
MAT.1.10	Ezekiyasɩ ñalʋlɩ Manaasee, Manaasee ñalʋlɩ Amɔɔnɩ, Amɔɔnɩ ñalʋlɩ Yoziyaasɩ, 
MAT.1.11	Yoziyaasɩ ñalʋlɩ Yekooniyaasɩ nɛ e-newaa. Alɩwaatʋ ńdʋ́ tɩ-taa pɛkɛzɩ Izrɛɛlɩ ñɩma tɛtʋ Babilooni. 
MAT.1.12	Pʋbʋ wayɩ Yekooniyaasɩ ñalʋlɩ Salaatɩyɛlɩ, Salaatɩyɛlɩ ñalʋlɩ Zorobaabɛɛlɩ, 
MAT.1.13	Zorobaabɛɛlɩ ñalʋlɩ Abiyudi, Abiyudi ñalʋlɩ Eliyaakim, Eliyaakim ñalʋlɩ Azɔɔrɩ, 
MAT.1.14	Azɔɔrɩ ñalʋlɩ Sadɔɔkɩ, Sadɔɔkɩ ñalʋlɩ Akim, Akim ñalʋlɩ Eliyudi 
MAT.1.15	Eliyudi ñalʋlɩ Eleyazaarɩ, Eleyazaarɩ ñalʋlɩ Maataɣ, Maataɣ ñalʋlɩ Yakɔɔbʋ 
MAT.1.16	nɛ Yakɔɔbʋ ñalʋlɩ Yozɛɛfʋ nɛ ɛ́lɛ́ kpaɣ Maarɩɩ. Maarɩɩ ɛnʋ ɛlʋlɩnɩ Yesu weyi payaɣ se Krɩstʋ yɔ, pʋ-tɔbʋʋ se Weyi Ɛsɔ Lɩzaa Yɔ. 
