MAT.1.1	Ie sab naam Jiesoe Kriest ke baap-daada log ke hai. Oe Daawied aur Aabraaham ke aulaad hai.
MAT.1.2	Aabraaham Iesaak ke baap raha.
MAT.1.2	Iesaak Jaakob ke baap raha.
MAT.1.2	Jaakob Joeda aur okar bhaai log ke baap raha.
MAT.1.3	Joeda Peres aur Serah ke baap raha aur oelogke maai Taamar raha.
MAT.1.3	Peres Hesron ke baap raha aur Hesron Aaram ke baap raha.
MAT.1.4	Aaram Aamienaadab ke baap raha.
MAT.1.4	Aamienaadab Nahson ke baap raha. Nahson ke beta Saalmon raha.
MAT.1.5	Saalmon Boas ke baap raha djaun ke maai Raahab raha.
MAT.1.5	Boas Obed ke baap raha aur okar maai Roet raha.
MAT.1.5	Obed Jesai ke baap raha.
MAT.1.6	Jesai raadja Daawied ke baap raha.
MAT.1.6	Daawied Saalomo ke baap raha aur Saalomo ke maai Oeria ke aurat raha.
MAT.1.7	Saalomo Rehaabeam ke baap raha.
MAT.1.7	Rehaabeam Aabia ke baap raha.
MAT.1.7	Aabia Aasa ke baap raha.
MAT.1.8	Aasa Josaafat ke baap raha.
MAT.1.8	Josaafat Joram ke baap raha.
MAT.1.8	Joram Oesia ke baap raha.
MAT.1.9	Oesia Jotam ke baap raha.
MAT.1.9	Jotam Aahas ke baap raha.
MAT.1.9	Aahas Heskia ke baap raha.
MAT.1.10	Heskia Maanase ke baap raha.
MAT.1.10	Maanase Aamon ke baap raha.
MAT.1.10	Aamon Josia ke baap raha.
MAT.1.11	Josia Jekonia ke aur okar bhaai ke baap raha oe samai djab Israel ke djaatie log Baabielonia ke des me djabar-djastie se ledjaawal gail raha.
MAT.1.12	Ekare baad Jekonia ke beta Sealtiejel paida bhail.
MAT.1.12	Sealtiejel Seroebaabal ke baap raha.
MAT.1.13	Seroebaabal Aabioed ke baap raha.
MAT.1.13	Aabioed Eljaakem ke baap raha.
MAT.1.13	Eljaakem Aasor ke baap raha.
MAT.1.14	Aasor Saadok ke baap raha.
MAT.1.14	Saadok Aahem ke baap raha.
MAT.1.14	Aahem Elioed ke baap raha.
MAT.1.15	Elioed Eleaasar ke baap raha.
MAT.1.15	Eleaasar Matan ke baap raha.
MAT.1.15	Matan Jaakob ke baap raha.
MAT.1.16	Jaakob Josaf ke baap raha.
MAT.1.16	Josaf Maria ke aadmie raha, aur Maria Jiesoe ke maai raha. Jiesoe bhie Kriest
