MAT.1.1	Nönca tlapoale de tiebiebetcöhua de Jesucristo, öque iloac iconie David, hua iconie Abraham.
MAT.1.2	Abraham oyeya tajtle de Isaac, hua Isaac oyeya tajtle de Jacob, hua Jacob oyeya tajtle de Judá hua noche icnihua. 
MAT.1.3	Hua Judá oyeya tajtle de Fares hua Zara, hua innöntzi de yejua yaja Tamar. Hua Fares oyeya tajtle de Esrom, hua Esrom oyeya tajtle de Aram. 
MAT.1.4	Hua Aram oyeya tajtle de Aminadab, hua Aminadab oyeya tajtle de Naasón, hua Naasón oyeya tajtle de Salmón. 
MAT.1.5	Hua Salmón oyeya tajtle de Booz, hua inöntzi Booz yaja Rahab. Hua Booz oyeya tajtle de Obed, hua inöntzi Obed yaja Rut. Hua Obed oyeya tajtle de Isaí. 
MAT.1.6	Hua Isaí oyeya tajtle de inu rey David.
MAT.1.6	Hua David oyeya tajtle de Salomón, hua inöntzi Salomón yaja öque oyeya isohua de Urías. 
MAT.1.7	Hua Salomón oyeya tajtle de Roboam, hua Roboam oyeya tajtle de Abías, hua Abías oyeya tajtle de Asa. 
MAT.1.8	Hua Asa oyeya tajtle de Josafat, hua Josafat oyeya tajtle de Joram, hua Joram oyeya tajtle de Uzías. 
MAT.1.9	Hua Uzías oyeya tajtle de Jotam, hua Jotam oyeya tajtle de Acaz, hua Acaz oyeya tajtle de Ezequías. 
MAT.1.10	Hua Ezequías oyeya tajtle de Manasés, hua Manasés oyeya tajtle de Amón, hua Amón oyeya tajtle de Josías. 
MAT.1.11	Hua Josías oyeya tajtle de Jeconías hua icnihua, cuöc uyajque inu israelitas de priesos ompa Babilonia.
MAT.1.12	Hua sötiepa de cuöc uyajque ca Babilonia, Jeconías omochi tajtle de Salatiel, hua Salatiel oyeya tajtle de Zorobabel. 
MAT.1.13	Hua Zorobabel oyeya tajtle de Abiud, hua Abiud oyeya tajtle de Eliaquim, hua Eliaquim oyeya tajtle de Azor. 
MAT.1.14	Hua Azor oyeya tajtle de Sadoc, hua Sadoc oyeya tajtle de Aquim, hua Aquim oyeya tajtle de Eliud. 
MAT.1.15	Hua Eliud oyeya tajtle de Eleazar, hua Eleazar oyeya tajtle de Matán, hua Matán oyeya tajtle de Jacob. 
MAT.1.16	Hua Jacob oyeya tajtle de Josie, öque uya inömec María öque tietlöcatele Jesús, öque tietucöyutejque Cristo.
MAT.1.17	Ejqueu cate catorce generaciones desde Abraham hasta David, hua nuyejque cate catorce generaciones desde David hasta cuöc uyajque ca Babilonia, hua nuyejque cate catorce generaciones desde cuöc uyajque ca Babilonia hasta cuöc otlöcatihuac Cristo.
MAT.1.18	Ejqueyi uya quiene ca otlöcatihuac Jesucristo. Oyeya sente sisehuantu itucö María öque sötiepa uyesquea tienönajtzi. Yaja hua Josie ye omocomprometierojque para monömectisque. Pero antes de mosietelisque, María omoutztlöle por medio de Espíritu Sönto. 
MAT.1.19	Hua Josie, öque uyesquea inömec, yectec tlöcatl oyeya, hua amo oquenequeya quepejpinöjtis. Por inu oquepensöro quecajcöhuas sa ichtacajtzi. 
MAT.1.20	Hua cuöc yaja quepensörojtaya ini nönca sösantle, ohuöla sente öngel tli cualtitlanque Tlöcatzintle. Inu öngel moniexte ipa icochtiemequeles Josie, hua oquelfe:
