MAT.1.1	Na‘e tupu ‘a Sīsū Kalaisi mei he hako ‘o e Tu‘i ko Tēvitá, mei he hako ‘o ‘Ēpalahamé. 
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Pea ko hono tohi hohoko eni meia ‘Ēpalahame ‘o a‘u kia Tēvitá: Ko ‘Ēpalahame, ‘Aisake, Sēkope, Siuta mo hono ngaahi tehiná (ko e fānau tangata ‘a Siutá ko Pelesi mo Sala, pea ko ‘enau fa‘eé ko Tema) mo Hesiloni ko e foha ‘o Pelesi. Ko ‘Ālame, ‘Aminatape, Nāsoni, Salemone, Poasi (ko ‘ene fa‘eé ko Lēhapi), ko ‘Ōpeti (ko ‘ene fa‘eé ko Lute), ko Sese, mo e Tu‘i ko Tēvitá.
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Ko hono tohi hohoko ‘eni meia Tēvita ‘o a‘u ki he Fakahē ki Pāpiloné: Ko Tēvita, Solomone (ko ‘ene fa‘eé ‘a e uaifi ‘o ‘Ūlaiá), ko Lehopoame, ‘Āpaia, ‘Asa, Sihosafate mo Siolame. Ko ‘Ūsaia, Siotame, ‘Āhasi, Hesekaia, Manase, ‘Āmone, Siosaia, mo Sihoiakimi mo hono ngaahi tokouá.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Pea ko hono tohi hohoko ‘eni mei he Fakahē ki Pāpiloné ‘o a‘u ki he ‘alo‘i ‘o Sīsuú: Ko Sihoiakini, Saletili, Seluipepeli, ‘āpaiuta, ‘Ilaiakimi, ‘Ēsoa, Sētoki, ‘Ākemi. Ko ‘Elaiuti, ‘Eliesa, Mātani, Sēkope, mo Siosifa, ‘a e husepāniti ‘o Mele ko e fa‘ē ‘a Sīsū, ‘a ē ‘oku ui ko e Mīsaiá.
MAT.1.17	Ko e to‘utangata ia ‘e hongofulu mā fā meia ‘Ēpalahame kia Tēvita. Pea toe to‘utangata ‘e hongofulu mā fā meia Tevita ‘o a‘u ki he Fakahē ki Pāpiloné. Pea to‘utangata leva ‘e hongofulu mā fā mei ai ‘o a‘u mai ki he ‘alo‘i ‘o e Mīsaiá.
MAT.1.18	Ko e fakamatala eni ki he anga hono ‘alo‘i ‘o Sīsū Kalaisí. Na‘e ‘i ai e finemui ko Mele na‘e fakama‘u ke mali mo e tangata ko Siosifa na‘e kau ‘i he kāinga ‘o e Tu‘i ko Tēvitá. Kae te‘eki ke fai ‘ena malí, na‘e fakatokanga‘i ‘e Mele kuo feitama ia ki he Laumālie Mā‘oni‘oní.
MAT.1.19	Pea fakakaukau ‘a Siosifa ke fakafoki fakapulipuli pē ‘ena fakama‘ú; he ko e tangata faitotonu ia, pea na‘e ‘ikai te ne loto ke fakamaa‘i ‘a Mele ki he kakaí. 
MAT.1.20	Pea lolotonga ‘a e fifili ‘a Siosifa pe Ko e hā ‘ene me‘a ‘e faí, kuo mohe ia ‘o misi ‘okú ne sio ki ha ‘āngelo ‘a e ‘Eikí ‘oku tu‘u mai. Pea pehē mai ‘e he ‘āngeló ki ai, “‘E Siosifa, ‘oua te ke tāla‘a ka ke mali mo Mele. He ko ‘ene feitamá ki he Laumālie Mā‘oni‘oní. ‘E fā‘ele ‘a Mele ko e tamasi‘i tangata. 
MAT.1.21	Pea te ke fakahingoa ia ko Sīsū. He te ne vete ‘a hono kakaí mei he‘enau ngaahi angahalá. 
MAT.1.22	‘E mo‘oni ai e lau ‘a e Palōfitá, 
MAT.1.23	‘‘E feitama ha tāupo‘ou, pea te ne fā‘ele‘i ha tamasi‘i tangata. Pea ‘e fakahingoa ia ko ‘Imānuela, ko hono ‘uhingá, ‘Ko e ‘Otuá ‘oku ‘iate kitautolu’.” 
