MAT.1.1	Ene pitiiŋ to Yesu Krisi puughu tooni. Yesu, i siŋ to kinik David, ve David i siŋ to Abaram. 
MAT.1.2	Yesu puughu tooni tau Abaram ve ilam imuul izi David, ezazi tauvene: Abaram naatu Isak, Isak naatu Yakop, ve Yakop natŋa, ene: Yuda tomania tooghŋa ve tazŋa. 
MAT.1.3	Yuda yesuru Tamar tipoop natuzŋa bogboog ru. Ee eeza Peres, ve ite eeza Sera. Peres naatu Ezron, ve Ezron naatu Ram. 
MAT.1.4	Ram naatu Aminadap, Aminadap naatu Nason, ve Nason naatu Salmon. 
MAT.1.5	Salmon yesuru Reap tipoop Boas, ve Boas yesuru azaawa Rut tipoop Obet. Obet naatu Yesi, 
MAT.1.6	ve Yesi naatu, ene kinik David. David ivai Uraia azaawa Batseba, ve yesuru tipoop Solomon. 
MAT.1.7	Solomon naatu Reoboam, Reoboam naatu Abia, ve Abia naatu Asa. 
MAT.1.8	Asa naatu Yosapat, Yosapat naatu Yoram, ve Yoram natu Usia, 
MAT.1.9	Usia naatu Yotam, Yotam naatu Aas, ve Aas naatu Esekia. 
MAT.1.10	Esekia naatu Manase. Manase naatu Amon, ve Amon naatu Yosia. 
MAT.1.11	Yosia natŋa, ene: Yekonia ve tazŋa siriv. Saawe tana, yes Babilona tilam tireu nugh tintiina isov to yes Yuda, ve tiyau zi gha tigherev zi tila tivot nugh toozi tau igheen malau kat. 
MAT.1.12	Saawe tau yes Israela tilepleep izi Babilon, Yekonia yesuru azaawa tipoop Sealtiel, ve Sealtiel yesuru azaawa tipoop Zerubabel. 
MAT.1.13	Zerubabel naatu Abiut, Abiut naatu Eliakim, ve Eliakim naatu Azor. 
MAT.1.14	Azor naatu Sadok, Sadok naatu Akim, ve Akim naatu Eliut. 
MAT.1.15	Eliut naatu Eleasar, Eleasar naatu Matan, ve Matan naatu Yakop. 
MAT.1.16	Yakop naatu Yosep. Yosep azaawa Maria ta ipoop Yesu, i ta tiwaato tighe Krisi 
MAT.1.17	Tauvene Abaram naatu Isak, Isak naatu Yakop, ve paaghu toozi tiparseeŋ tauvene taghon taghon le David ivot imin saŋavul ve paaŋ (14). Ve indeeŋ saawe to David, le ila imuul saawe tau yes Babilona tiyau yes Yuda ve tigham zi tila Babilon, paaghu to David tiparseeŋ irau saŋavul ve paaŋ (14) muul. Ve saawe tau yes Yuda tipul Babilon ve timuul tila tauzi nugh toozi, le ila imuul saawe tau Krisi tiina ipoopa na, paaghu to David tiparseeŋ irau saŋavul ve paaŋ (14) muul.
MAT.1.18	Sinaiŋ to Yesu Krisi tiina ipoopa, ene vene: Tiina Maria, tisiigho pa ŋeer ee, eeza Yosep. Eemon yesuru tilup zi soone, ve tighilaal tighe Maria aapo. Gabua tana ivot ila Avuvu Patabuyaaŋ tapiri. 
