GEN.1.1	Ni fíĉilum fafu, Aláemit nátut fatiya ni ettam.
GEN.1.2	Ettam yay eᵽa erakel eomene, ban néni n’emoĉ. Ni baj mal mammeŋe múggub yo múharo. Biinum Aláemit m’bíni fatiya mal mamu m’bíbefene.
GEN.1.3	Ñer Aláemit naah : « Gajaŋa gubaj ! » N’gubaj may ti maagen. 
GEN.1.4	Najuh búoh gajaŋa gagu kakan waf waaro. Náfaculor gajaŋa ni emoĉ, 
GEN.1.5	aban navoh gajaŋa gagu etufunaha ; emoĉ yay, yo navoh yo efuga. Ni baj tiname, ni baj bujom : funah fítiar ufu.
GEN.1.6	Aláemit nabbañ aah : « Elínga ebaj yajae me éfaculor mal mamu maa n’ettam ni maa fatiya. » 
GEN.1.7	Min átut élinga yauyu yagabor me mal mamu maa n’ettam ni maa fatiya ; nebaj ti nalob me. 
GEN.1.8	Elínga yauyu, navoh yo émit. Ni baj tiname, ni baj bujom : funah fúuten ufu.
GEN.1.9	Aláemit nabbañ aah : « Mbi mal mamu maamme n’ettam muomunor tiñ tanur, min mahae múᵽurul. » Ni kan ti nalob me. 
GEN.1.10	Mahae maumu, navoh mo mof ; to mal mamu muomunor me, navoh to fal. Ban najuh búoh kakan waf waaro. 
GEN.1.11	Mbiban natajen aah : « Mbi ettam yay eil esel yánoyan yajae me esen eugit, mb’eil may bununuh bánoban bajae me ebuh subugum sabaje bakol bi éni eugit. » Ni baj may ti maagen, 
GEN.1.12	min ettam yay eil esel, mununuhen ni ununuh, gánogan n’gubaj eugit go. Ban najuh búoh kakan waf waaro. 
GEN.1.13	Ni baj tiname, ni baj bujom : funah fúfaten ufu.
GEN.1.14	Aláemit nabbañ aah : « Ujaŋa ubaj n’émit bi egabor etufunaha ni efuga ; ujaŋa wauwu wo ujae me egiten nay ugan waw ujae me ekan, ni gunah gagu ni símit sasu. 
GEN.1.15	Dó n’émit, mb’újaŋenul mof mamu. » Ni baj may ti maagen. 
GEN.1.16	Ñer Aláemit nátut ujaŋa úuba wájaloe : gagu gafaŋ me gájalo, go bi ejaŋen etufunaha ; gafaŋ me gatiti, go bi ejaŋen efuga ; nátut may suut sasu. 
GEN.1.17	Nabaŋ so ᵽe fatiya bi efijigen ettam yay, 
GEN.1.18	min siĉil etufunaha ni efuga, ban ni sigabor gajaŋa ni emoĉ. Aláemit najuh búoh kakan waf waaro. 
GEN.1.19	Ni baj tiname, ni baj bujom : funah fubarigen ufu.
GEN.1.20	Aláemit nabbañ aah : « Mbi mal mamu mugoror mala gammeŋ gagu gaa waf waw ᵽe wajae ró me eroŋ, mbi ᵽoᵽ upu waw núh’úit fatiya uhat ettam yay. » 
GEN.1.21	Min átut súnuhureŋ sasu saa mal sámah sasu ni wáfowaf waĉine ni mal, ban n’ubugor dó ; nátut ᵽoᵽ upu waw wáile me fatiya. Wánowan ni wo, nátut wo ni ganogor wo gúbuli. Aban najuh búoh kakan waf waaro. 
GEN.1.22	Násonien so ᵽe naah so : « Mbi jubugor iki jimmeŋen fal fafu ! Upu waw, buru mbi jubugor iki jimmeŋen ettam yay ! » 
GEN.1.23	Ni baj tiname, ni baj bujom : funah futogen ufu.
GEN.1.24	Aláemit nabbañ aah : « Mbi ettam yay ebaj súnuhureŋ, sánosan ni ganogor so : sihaj, súnuhureŋ saa baha, bi ni sáfulore me n’ettam ró. » Ni baj may ti maagen, 
GEN.1.25	min átut sihaj, súnuhureŋ saa baha, bi ni sáfulore me n’ettam ró, sánosan ni ganogor so. Aban najuh búoh kakan waf waaro.
GEN.1.26	Aláemit natajen aah : « Utúlal an anogorolal, mb’anogorolal ti maagen. Mbi waf waw ᵽe úni n’guñen gola : suol sasu saamme ni mal, upu waw waa fatiya, súnuhureŋ sasu sal ettam bi ni sáfulore me ró. »
GEN.1.27	Ñer Aláemit nátut arafuhow anogorol,
GEN.1.27	ban nanogorol maagen mamu.
