MAT.1.1	Gëtabu ga mwango wamwa Yesu Kiristo, mwana wamwa Daudi, mwana wamwa Iburahamu. 
MAT.1.2	Iburahamu naa tata wamwa Isaka, na Isaka tata wamwa Yakobo, na Yakobo tata wamwa Yuda na vaunaakwe. 
MAT.1.3	Yuda tata wamwa Faresi na Sara nyinya wawe naa Tamari, Faresi tata wamwa Hesironi, Hesironi tata wamwa Rami, 
MAT.1.4	Rami tata wamwa Aminadabu, Aminadabu tata wamwa Nasoni. Nasoni tata wamwa Salimoni, 
MAT.1.5	Salimoni tata wamwa Boasi nyinya wakwe naa Rahabu. Boasi tata wamwa Obedi na nyinya wakwe Ruti. Obedi tata wamwa Yese, 
MAT.1.6	na Yese tata wamwa mutemi Daudi. Daudi naa tata wamwa Solomoni na nyinya wakwe naa mukhema wamwa Uria. 
MAT.1.7	Solomoni tata wamwa Rehoboamu. Rehaboamu mweeso noo tata wamwa Abiya. Abiya naa tata wamwa Asa. 
MAT.1.8	Asa tata wamwa Yehosafati, Yehosafati tata wamwa Yoramu, Yoramu tata wamwa Usia. 
MAT.1.9	Usia tata wamwa Yotamu, Yotamu tata wamwa Ahasi na Ahasi tata wamwa Hesekia. 
MAT.1.10	Hesekia tata wamwa Manase na Manase tata wamwa Amosi, Amosi tata wamwa Yosia. 
MAT.1.11	Yosia tata wamwa Yekonia na vaunaakwe Rësëë naa itungo nënaa Ayahudi vëgahorwa nënaa vahumwa fëta na utowa uBabeli.
MAT.1.12	Nënaa Ayahudi vahumwa fëta vatowa uBabeloni: Yekonia naa tata wamwa Sealitiëli, Sealitieli tata wamwa Serubabeli, 
MAT.1.13	Serubabeli tata wamwa Abihudi, Abihudi tata wamwa Eliakimu, na Eliakimu tata wamwa Asori. 
MAT.1.14	Asori tata wamwa Sadoki, Sadoki tata wamwa Akimu, Akimu tata wamwa Eliudi. 
MAT.1.15	Eliudi tata wamwa Eleasari, na Eleasari tata wamwa Matani, na Matani tata wamwa Yakobo. 
MAT.1.16	Yakobo tata wamwa Yosefu mughohi amwa Mariamu, gwa wasuu në Yesu agafafwa, nëugutaanwaa Kiristo.
MAT.1.17	Uvii mpafo yoong'e ufuma kunë Iburahamu faka kunë Daudi naa mpafo ikumi na ine, na ufuma kunë Daudi faka Ayahudi nënaa vëgahumwa fëta na utowa uBabeli mpafo ikumi na ine, na ufuma utowa uBabeli faka kunë Kiristo mpafo ikumi na ine.
MAT.1.18	Uvii, Yesu Kiristo agafafwa vii: Mariamu nyinya wakwe, naa wakengeerwe na Yosefu. Ëgweeso nënaa ëkëë vinëkhaa itambëëmwe mwino mughosya na mukhema, agamanyëka mwino naa mwito gwa udaho wa Mwahu Mweru. 
MAT.1.19	Yosefu mughohi wakwe gusoko naa muntu nëughookie mu uduvi, wakwe, na gwa udëa umuvirya mënyaa agaramua umureka gwa gëmpihë. 
MAT.1.20	Ëgweeso nënaa ëkëë uguriinkanëya rësëë, malaëka wa Müküü agamudwëëra mu ndoti ugumwëëra, “Yosefu, mwana amwa Daudi, utaoghofee umuhora Mariamu mukhema ako, gusoko wito wasuu nëuwukweti, wa Mwahu Mweru. 
MAT.1.21	Ugutunguka mwana wa gëghosya, veenoo ugumutaana rina rakwe Yesu, gusoko ujie uvatyoa antu vakwe ufuma mumahutye awe.” 
MAT.1.22	Ayaa oong'e ëgatendeka uning'anëe ukhani nënaa Müküü agauhanya ukëëra kunë munyagëdaghu:
MAT.1.23	“Muncha muteere nëakëë
MAT.1.23	inateniwa uguvucha wito na ugumufafa
MAT.1.23	mwana wa gëghosya, mweeso noo
MAT.1.23	ugutaanwa Imanueli.”
MAT.1.23	(Rianaayo,
MAT.1.23	Muungu wë itambëëmwe na see).
MAT.1.24	Yosefu nënaa wafëtya, agatenda mwino chuu malaëka wa Müküü naawamukhanëa, agamuhora mukhemaakwe agamutoa ukhaya. 
MAT.1.25	Ëgweeso inamumanyaa mba nduvë gëmwërë faka afoo nënaa Mariamu agitungua mwana wagëghosya. Yosefu mweeso noo agamutaana rina rakwe Yesu.
MAT.2.1	Yesu agafafwa umuji wa uBetelehemu, uYudea, itungo nënaa Herode mutemi. Nënaa wafafwa, aremu va njota ufuma kiya vëgafika uYerusalemu, 
MAT.2.2	vëuhanya, “Wëëfee wasuu, nëwafafwaa mutemi wa Ayahudi? Gusoko gwamëonaa njota akwe nënaa adwëëraa ukiya, gwajaa gumukurye.” 
MAT.2.3	Mutemi Herode nënaa watagheeya asaa, agawurya majëghana, mweeso na uYerusalemu voong'e. 
MAT.2.4	Uvii, agavataana mwirundo wa akumbeki aküü voong'e na vaandëki va antu, agavawëya, fee fana naa Kiristo ugufafwa. 
MAT.2.5	Vëgamukhanëa, “uBetelehemu a uYuda. Uu mwino munyagëdaghu agandëka:
MAT.2.6	‘Veve Betelehumu mung'ë a Yuda,
MAT.2.6	mba ëse wurë vee utimunyuughu
MAT.2.6	mbanduvë mukhatë a atongeeri
MAT.2.6	va Yuda, gusoko, ufuma
MAT.2.6	kunë vee ujie udwëëra mutongeeri
MAT.2.6	nëujie uvatongeera antu vane Isiraeli.’”
MAT.2.7	Faafo, Herode agavataana umpëo aremu va njota vasaa, agawëya itungo ryeso nënaa njota asëë avadwëëraa. 
MAT.2.8	Agavatuma uBetelehemu uguhanya, “Endi mwende umanya sayu a mwana wasuu. Nëmwamuhanga ndetei sayu nëënonoo nende umukürya.” 
MAT.2.9	Nënaa vamutegheeya mutemi aremu va njota vasaa vëgenda kunë vinjë. Ngwë njota ësëë nënaa vamëghune ukiya ëgavatongeera, faka ëgenda gimëka gunto fana naa mwana urë. 
MAT.2.10	Nënaa vamëona njota ësëë vëgayanja ino. 
