GEN.1.1	Kafa viuḡuwai Guyau abama keta fwayafwaya i fufunisiya. 
GEN.1.2	Eatu maiunuununa keta kawakakavina keta kumanovana kunukubana ogodibu i gikafufuya. Keta Guyau Kanununa etanei i kanukanuwedadaniya.
GEN.1.4	Guyau mayesina i kitiya dewadewana eketa mayesina i nutakiya kumanovana nenei.
GEN.1.5	Keta mayesina i weniya 
GEN.1.7	Eketa na naki maise i kikinomana. Guyau baiyavana i fufuniya ebe ina nutakiya ata kana ukowa keta tanowa kana ukowa.
GEN.1.8	Baiyavananama i weniya 
GEN.1.9	Keta Guyau i bwaduwa, “Ukowa abama kanonovanei i kavivau kabaḡa tamokaḡa nenei atu fwayafwaya kasakasanina ku kikinomana.” Eketa na naki maise i kikinomana. 
GEN.1.10	Kasakasanina i weniya 
GEN.1.11	Yota i bwaduwa, “Kisisiku tuninatunina fwayafwaya nenei i kawananaimi. Kai vivisisimi, kai na kavami be na susukwami.” Eketa na naki maise i kikinomana. 
GEN.1.12	Kisisiku tuninatunina fwayafwaya kasakasaninei si tafwa. Kai vivisisisi, kai na kavasi be na susukwasi si viuwa maise kiayonisi. Keta Guyau i kitiya naki dewadewana.
GEN.1.13	Keta navinavi i kakaviya atu nuwabuni i kikinomana, kuyadayada kana vitonu.
GEN.1.14	Keta Guyau i bwaduwa, “Kimayeta, kawasasakaoḡowai kwa kikinomana be kwa nutakai kuyadayada nuwabuna nenei be kwana vikiyakiyaya tutuya, kuyadayada, keta manamana. 
GEN.1.15	Kwana tafa kawasasakaoḡowai be fwayafwaya mayesina kwana veniya.” Eketa na naki maise i kikinomana. 
GEN.1.16	Guyau kimayeta nuwesi nakanakasisi i fufunisiya, tafana nakasina kuyadayada ina visimeiya atu tafana kabegona nuwabuna ina visimeiya. Keta yota kinavinavi i fufunisiya. 
GEN.1.17	Guyau kimayeta kawasasakaoḡowai i tenisiya be fwayafwaya sina tafiya, 
GEN.1.18	be yota sina visimeisiya kuyadayada keta nuwabuna be yota sina nutakiya mayesina kumanovana nenei. Keta Guyau i kitiya naki dewadewana.
GEN.1.19	Keta navinavi i kakaviya atu nuwabuni i kikinomana, kuyadayada kana vinufunina.
GEN.1.20	Guyau i bwaduwa, “Ukowa, ku maḡa gevageva tunisitunisi na yawasisi yota maise manuwa kawasasakaoḡowai.” 
GEN.1.21	Guyau i fufunisiya gibo kana kabikeya be iba tamokatamokaḡa ukowa sinenei yawayawasisi si savisavivina tututausi kasi kikitana maise, yota manuwa tamokatamokaḡa tauna kana kikitana maise. Keta Guyau i kitiya naki dewadewana. 
GEN.1.22	I sawanuwagabubuwisiya keta i iyavisiya i bwaduwa, “Gevageva, kwana vinatunasiwasiwaḡa keta kwana yagwana be gibo kwana vimaiya. Manuwa, kwana vinatunafuwaḡa keta kwana yagwana fwayafwaya etanei.”
GEN.1.23	Keta navinavi i kakaviya atu nuwabuni i kikinomana, kuyadayada kana vi5.
GEN.1.24	Guyau i bwaduwa, “Fwayafwaya, yomuyomu tamokatamokaḡa ku gikikinomaneisi nimwauwai be kidagimai, be yota tooyaḡayaḡaḡa tamokatamokaḡa, tauna kana kikitana maise.” Eketa na naki maise i kikinomana. 
GEN.1.25	Eketa Guyau i fufunisiya yomuyomu nimwauwai be kidagimai, be yota tooyaḡayaḡaḡa tamokatamokaḡa, tauna kana kikitana maise. Keta Guyau i kitiya naki dewadewana.
GEN.1.27	Guyau kana kitakita maise i fufunisiya namoḡa,
GEN.1.27	namoḡa keta gumayogu i fufunisiya.
GEN.1.28	Guyau i sawanuwagabubuwisiya keta i iyavisiya i bwaduwa, “Kwana vinatunasiwasiwaḡa keta kwana yagwana, be fwayafwaya kwana vimaiya keta kwana visimeisiya. Gibo kana iyana yota manuwa kawasasakaoḡowai be yomuyomu matatafuna fwayafwayai si savisavivina, kwana visimeisiya.”
GEN.1.29	Guyau i bwaduwa, “Iba matatafuna fwayafwayai maise kai vivisisisi keta kai viviuwasi, a venimiya tasike kami kabwaga. 
GEN.1.30	Keta yomuyomu-wanawanaki yota manuwa be tooyaḡayaḡaḡa fwayafwaya etanei na yawasisi, a venisiya kisaya o kabwaga fasinei.” Eketa na naki maise i kikinomana.
GEN.1.31	Guyau iba matatafuna i fufunisiya, i kitiya naki dewabauna.
GEN.1.31	Keta navinavi i kakaviya atu nuwabuni i kikinomana, kuyadayada kana vi6.
GEN.2.1	Abama, fwayafwaya keta iba matatafusi kasi kikifufuna naki i kakaviya. 
GEN.2.2	Keta Guyau yana kifufuna i nusafuya, eketa kuyadayada kana vi7 nenei i vidawana eketa i viyawasiya. 
GEN.2.3	Eketa kuyadayada kana vi7 Guyau i sawanuwagabubuwiya keta i tenesiniya, uḡuna kuyadayadanama nenei o i viyawasiya yana kikifufuna kana bunanige matatafuna nenesiyai.
GEN.2.4	Eketa namaise Guyau abama keta fwayafwaya i fufunisiya, naki maisemoka sifusifufuna.
GEN.2.8	Keta Yave Guyau baguna i baguniya Ideni nenei gagasa kuweyaina keta namoḡanama i gikamakamiya nokomai i teniya. 
GEN.2.9	I fufunisiya kai dewabausi nokomai si tafwa keta si sakuna uwasi dewadewasi. Baguna sinefounei kai nuwesi si misiniya. Kai tamokaḡa i misiniya o yawasi kana kai eatu tamo o dewadewana keta goyona kasi kafa sanamana kana kai.
GEN.2.15	Keta Yave Guyau namoḡa baguna Ideni sinenei i teniya be ina saviviniya keta yota ina kitavikaviniya. 
