GEN.1.1	Idi 
GEN.1.2	Ket ti daga adda idi a gosogoso ken 
GEN.1.3	Ket ti Dios kinunana, 
GEN.1.4	Ket ti Dios nakitana a ti lawag naimbag: ket inlasin ti Dios ti lawag cadagiti sipnget.
GEN.1.5	Ket ti Dios ninaganna ti lawag aldaw, ket dagiti sipnget ninagananna ti rabii. Ket naadda ti malem ken ti bigat, maysa nga aldaw.
GEN.1.6	Ket ti Dios kinunana, adda coma maysa a tangatang iti tengnga dagiti dandanum, a pagsisinaan dagiti dandanum cadagiti dandanum.
GEN.1.7	Ket ti Dios inaramidna ti tangatang, ket insinana dagiti danum nga adda iti baba ti tangatang, cadagiti danum nga adda iti rabaw ti tangatang: ket naaramid a casta.
GEN.1.8	Ket ti Dios ninaganna, ti tangatang, Langit. Ket naadda ti malem ken ti bigat, aldaw a maicadua.
GEN.1.9	Ket ti Dios kinunana, 
GEN.1.10	Ket ti Dios ninagananna ti namaga, Daga ket ti nacatiponan dagiti danum ninagananna Tataaw: ket ti Dios nakitana a nasayaatda,
GEN.1.11	Ket ti Dios kinunana, Patuboen coma ti daga ti root, mulmula nga adda bukelda 
GEN.1.12	Ket pinataud ti daga ti root, mulmula nga addaan bukel a mayannatup iti casisigudda, ken caycayo nga agbunga a ti bukel adda cadacuada cas ti casisigudda: ket ti Dios nakitana a nasayaatda.
GEN.1.13	Ket naadda ti malem ken ti bigat, aldaw a maicatlo.
GEN.1.14	Ket ti Dios kinunana, Adda coma dagiti silsilaw iti tangatang dagiti langit tapno aglasin ti aldaw ken ti rabii: ket maipaayda coma a cas pagilaslasinan, ken panpanawen, al-aldaw, ken tawtawen:
GEN.1.15	Ket maipaayda coma a silsilaw iti tangatang dagiti langit a manglawag iti daga: ket naaramid a casta.
GEN.1.16	Ket ti 
GEN.1.17	Ket ti Dios insaadna ida iti tangatang dagiti langit, tapno lawaganda ti rabaw ti daga,
GEN.1.19	Ket naadda ti malem ken ti bigat, aldaw a maicapat.
GEN.1.20	Ket ti Dios kinunana agpangen coma cadagiti dandanum dagiti parsua a nabiag ken agtayab dagiti tumatayab iti ngato ti daga iti tangatang dagiti langit.
GEN.1.21	Ket ti Dios 
GEN.1.22	Ket ti Dios binendicionanna ida a cunana, 
GEN.1.23	Ket naadda ti malem ken ti bigat, aldaw a maicalima.
GEN.1.24	Ket ti Dios kinunana, Patauden coma ti daga dagiti parsua a nabiag cas iti cakikitada, an-animal, ken agcarcarayam ken agcacarungsot iti daga cas iti cakikitada: ket naaramid a casta.
GEN.1.25	Ket ti Dios inaramidna dagiti agcacarungsot iti daga cas iti casisigudda, ken an-animal, cas iti cakikitada, ken isu-amin nga aguy-uyas iti daga cas iti casisigudda: ket ti Dios nakitana a nasayaatda.
GEN.1.26	Ket ti Dios kinunana, 
GEN.1.27	Ket ti Dios pinarsuana ti tao a caladawanna met laeng, iti ladawan ti Dios pinarsuana; pinarsuana ida a 
GEN.1.29	Ket ti Dios kinunana, Adtoy, iniccancayo iti isu-amin a roroot nga addan bukel, nga adda iti rabaw ti amin a daga: ken isu-amin a cayo nga addaan bunga nga agpataud ti bin-i; maipaaydanto a 
GEN.1.31	Ket 
GEN.2.1	Ket nalpasen dagiti langit ken ti daga, 
GEN.2.3	Ket binendicionan ti Dios ti aldaw a maicapito ket sinantificarna: agsipud ta kencuana ti naginanaanna cadagiti amin a gapuanan a ti Dios pinarsuana ken inaramidna.
GEN.2.5	Ket idi awan pay la ti 
GEN.2.6	Ngem nagpangato ti maysa nga angep a naggapu iti daga, ket binisibisanna ti amin a rabaw ti daga.
GEN.2.7	Ket ni Jehova Dios binukelna ti tao iti 
GEN.2.8	Ket ni Jehova Dios incabilna iti maysa a 
GEN.2.9	Ket ni Jehova Dios pinatubona iti daga, amin a cayo a nacaay-ayo a makita, ken naimbag a canen; casta met 
GEN.2.10	Ket nagayus idiay Eden ti maysa a carayan a mangsibug iti minuyongan ket nanipud idiay nagcappat ti ayusna.
GEN.2.11	Ti nagan ti umuna Pishon: daytoy isu ti manglawlaw iti 
GEN.2.12	Ket ti balitoc iti daydiay a daga nasayaat; adda idiay dagiti batbato a bedelio ken onix.
GEN.2.13	Ti nagan ti maicadua a carayan Gijon: daytoy ti manglawlaw iti amin a daga ti Etiopia.
GEN.2.14	Ket ti nagan ti maicatlo a carayan Hiddekel: daytoy ti agturong iti sangoanan ti daga nga Assiria. Ket ti maicappat a carayan isu ti Eufrates.
GEN.2.15	Ket ni Jehova Dios innalana ti tao ket insaadna iti minuyongan idiay Eden, tapno talonenna ken aywananna.
GEN.2.16	Ket ni Jehova Dios, imbilinna idi tao a kinunana, cadagiti amin a cayo iti minuyongan mangancanto a siwayawaya:
GEN.2.17	Ngem ti aggapu iti cayo ti pannacaammo ti imbag ken ti dakes saanmonto a canen: ta iti aldaw a pannanganmo iti daydiay 
GEN.2.18	Ket ni Jehova Dios kinunana, Saan a nasayaat nga agmaymaysa ti tao: yaramidacto ti catulonganna a maitutop kencuana.
