MAT.1.1	Libru yaꞌa kakuneꞌe xixitna Jesucristu. Xixitna‑ia n‑kuu David. Xixitna David n‑kuu Abraham. 
MAT.1.2	Abraham n‑kuu taa Isaac. Isaac n‑kuu taa Jacob. Jacob n‑kuu taa Judá xiꞌin ñani‑s. 
MAT.1.3	Judá n‑kuu taa Fares xiꞌin Zara, te Tamar n‑kuu dɨꞌɨ‑s. Fares n‑kuu taa Esrom, te Esrom n‑kuu taa Aram. 
MAT.1.4	Aram n‑kuu taa Aminadab, te Aminadab n‑kuu taa Naasón, te Naasón n‑kuu taa Salmón. 
MAT.1.5	Salmón n‑kuu taa Booz, te Rahab n‑kuu dɨꞌɨ Booz. Booz n‑kuu taa Obed, te Rut n‑kuu dɨꞌɨ Obed. Obed n‑kuu taa Isaí. 
MAT.1.6	Isaí n‑kuu taa David. David n‑kuu se kunxaꞌnu. Daꞌya yɨɨ David n‑kuu Salomón.
MAT.1.6	N‑kaa David xiꞌin ñadɨꞌɨ Urías, te n‑kaku Salomón. 
MAT.1.7	Salomón n‑kuu taa Roboam, te Roboam n‑kuu taa Abías, te Abías n‑kuu taa Asa. 
MAT.1.8	Asa n‑kuu taa Josafat, te Josafat n‑kuu taa Joram, te Joram n‑kuu taa Uzías. 
MAT.1.9	Uzías n‑kuu taa Jotam, te Jotam n‑kuu taa Acaz, te Acaz n‑kuu taa Ezequías. 
MAT.1.10	Ezequías n‑kuu taa Manasés, te Manasés n‑kuu taa Amón, te Amón n‑kuu taa Josías. 
MAT.1.11	Josías n‑kuu taa Jeconías xiꞌin ntaka ñani‑s. Na n‑xo tuu Jeconías, daa xndeka juexa soldado Babilonia dava ñayiu Israel juaꞌan ñuu‑s xa nkotuu‑i ijan.
MAT.1.12	Nu n‑yaꞌa xijan, te n‑kaku daꞌya Jeconías. Salatiel n‑xo nani‑s. Salatiel n‑kuu taa Zorobabel. 
MAT.1.13	Zorobabel n‑kuu taa Abiud, te Abiud n‑kuu taa Eliaquim, te Eliaquim n‑kuu taa Azor. 
MAT.1.14	Azor n‑kuu taa Sadoc, te Sadoc n‑kuu taa Aquim, te Aquim n‑kuu taa Eliud. 
MAT.1.15	Eliud n‑kuu taa Eleazar, te Eleazar n‑kuu taa Matán, te Matán n‑kuu taa Jacob. 
MAT.1.16	Jacob n‑kuu taa José, se n‑kuu yɨɨ María. María n‑kuu dɨꞌɨ Jesús, Ia kuu Cristu.
MAT.1.17	Nde tiempo n‑xo tuu Abraham xiꞌin nde tiempo n‑xo tuu David uxi koon generación n‑kuu. Nde na n‑xo tuu David xiꞌin nde kɨu xndeka juexa soldado Babilonia ñayiu Israel juaꞌan Babilonia uxi koon ka generación n‑kuu. Uxi koon ka generación n‑yaꞌa. Ijan dada n‑kaku Cristu.
MAT.1.18	Duꞌa n‑kuu xa n‑kaku Jesucristu. María, ñá n‑kuu dɨꞌɨ Jesucristu, n‑xiaꞌan‑ña tnuꞌu‑ña José xa tnundaꞌa‑ña xiꞌin‑s. Ta jini tnaꞌa ka‑ña xiꞌin‑s na n‑kida Espíritu Ianyuux xa niꞌi daꞌya‑ña. 
MAT.1.19	José, se vaꞌa kuu‑s. Ñatu n‑kuu ini‑s xa datuu‑s‑ña nuu ñayiu xa niꞌi daꞌya‑ña. Xijan kuu xa n‑juini‑s xa naꞌi ni dandoo‑s‑ña. 
MAT.1.20	Duꞌa n‑xani ini‑s xa kada‑s, te ɨɨn xakuaa n‑kachi xene‑s xa n‑jaꞌan ɨɨn ángel, ia xinokuechi nuu Ianyuux nuu‑s. Duꞌa n‑jaꞌan‑ia:
MAT.1.20	—José, se kuu daꞌya dana David, maxku yuꞌu‑n xa tnundaꞌa‑n xiꞌin María chi daꞌya ñuꞌu xiti‑i, daꞌya Espíritu Ianyuux kuu‑ia. 
MAT.1.21	Kajan‑i se yɨɨ. Danani‑n‑ia Jesús. Duꞌa kunani‑ia chi dananitaꞌu‑ia ñayiu kundeka‑ia.
MAT.1.22	Ntdaa xaꞌa yaꞌa xa na jɨn tnaꞌa xa n‑jaꞌan Ianyuux nuu ɨɨn se n‑jaꞌan nuu ñayiu xa n‑jaꞌan‑ia. Duꞌa n‑chidotnuni‑s:
MAT.1.23	Kunaꞌa xa juꞌun daꞌya ɨɨn dichi ii, te kajan‑i ɨɨn se yɨɨ.
MAT.1.23	Dandee ñaꞌa ñayiu Emanuel.
MAT.1.23	(Emanuel kuu: Tuu‑ro xiꞌin Ianyuux.)
MAT.1.24	N‑ndoto José. N‑ndokoo‑s. Ijan dada n‑kida‑s na n‑taꞌu tniu ángel, ia xinokuechi nuu Ianyuux; n‑tnundaꞌa‑s xiꞌin María, 
