LUK.1.1	O danah naŕi Tiofilus, danah kuŕum la os ag tatam keŕ keŕ ig gamnigwa beko atan qeri né ene yeg. 
LUK.1.2	Ag né qe danahas ig mariweg duet qe sillah ole yeg. Danahas qe digumakwa Yesus keŕ keŕ sew amlagwa peg qe, dimba ag Tiwurdi Néri kuak danah beg. 
LUK.1.3	Da Luk da né qe digumakwa arereg ban qe peko kepaŕko kouturin. Qeri da ole né ene keŕ keŕ kunum ban qe dimlamurko yarildi kena elle qe yin. 
LUK.1.4	Danah naŕi Tiofilus, na né ismireg qe, né meŕe qe doka ot mourdig.
LUK.1.5	Sén qewa Herod
LUK.1.6	A olele Naŕinahri Ŕo am Né ole kunum dimlamurdap, qeri ge Tiwur a danahas mangunah qere piatan. 
LUK.1.7	Gam a keinmanah am a nir kawa, keŕdi Elisabet nug owa nir kawa. 
LUK.1.8	Sén os pris ameg Sakaraia nug daré ole qe asilag sén kekuakri dewew ge, deŕ os pris Sakaraia nug Tiwur nohwa kekuan. 
LUK.1.9	Pris ag koulagwa wenlag ker masawa yeksi touŕweg ge, Sakaraia wénih ban. Wénih bew ge, nug kepŕurweg Tiwur Lougwa noko ker ahu os kew kas muŕdig kena ole Tiwurdi mandigri nuan. 
LUK.1.10	Ker ahu os kew kas muŕdig kena be ole qe nug manewew ge, danahas kunum dimdim qagleksi unuqoreg. 
LUK.1.11	Sén qewa Tiwurdi doup Sakaraia gumurko doko, qaŕéw ker ahu os muŕdig kena ole aŕelle dian qe séku kenariwa sirko dian. 
LUK.1.12	Dewew ge, Sakaraia aminko doup qe peko ge, nug wawtuŕko ole faŕan. 
LUK.1.13	Gam Tiwurdi doup amegwa anan. “Sakaraia, na aw faŕwen. Tiwur unuqorak nasip duan. Na wat Elisabet nug nir danah memanko mirdig, am na nir qe wénih Yon kataŕ. 
LUK.1.14	Geisah nug dow, na ot gamag naŕi asdig. Am nug durig qeri danahas la kuŕum ole olag gamag asdig. 
LUK.1.15	Keŕdi nug Tiwur nohwa danah wénih ole darig. Nug wain am le gagrag la qe ole ospi lew, am nug anig owa niewew, sén qewa ole Koulli Gun nug ole wittew dessa omaldig. 
LUK.1.16	Nug anuqko Israel danahas kuŕum omlarew ag olag buliew asilag Naŕinah Tiwur gumdeksi dolag. 
LUK.1.17	Profet
LUK.1.18	Sakaraia Tiwurdi doup koŕmoran, “Da qe areg ol meŕe mérig? Keŕdi da wal ole i keinmanah am i nir ole makri sén eŕtan.”
LUK.1.19	Tiwurdi doup nug koŕewa oko anan, “Da doup Gebrel. Da Tiwur nohwa deina ole. Nug da meŕilew nasip né kena ene oko na amenwa andildi uŕiyém. 
